사조오양(006090),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,2547,2897,2547,2864,69790,10325.0,2860000.0
1999-01-05,2944,3174,2793,3015,86730,10868.0,2860000.0
1999-01-06,3075,3333,3055,3214,104750,11583.0,2860000.0
1999-01-07,3412,3412,3103,3206,112230,11554.0,2860000.0
1999-01-08,3135,3412,3095,3253,157750,11726.0,2860000.0
1999-01-11,3333,3742,3301,3741,172470,13485.0,2860000.0
1999-01-12,4047,4246,3889,4126,335650,14872.0,2860000.0
1999-01-13,4127,4746,4127,4737,372340,17074.0,2860000.0
1999-01-14,4658,4658,4031,4031,216990,14529.0,2860000.0
1999-01-15,4047,4285,3690,4134,179660,14901.0,2860000.0
1999-01-18,4373,4754,4365,4753,187190,17131.0,2860000.0
1999-01-19,4762,4762,4238,4356,132350,15701.0,2860000.0
1999-01-20,4277,4365,3916,3967,87560,14300.0,2860000.0
1999-01-21,4087,4166,3690,3967,129620,14300.0,2860000.0
1999-01-22,3968,4166,3730,3967,95210,14300.0,2860000.0
1999-01-25,3968,3968,3412,3412,45790,12298.0,2860000.0
1999-01-26,3412,3730,3095,3142,92030,11326.0,2860000.0
1999-01-27,3214,3405,3055,3404,58680,12269.0,2860000.0
1999-01-28,3492,3908,3333,3721,88820,13413.0,2860000.0
1999-01-29,3809,3817,3627,3809,70530,13728.0,2860000.0
1999-02-01,3730,4166,3730,4110,134900,14815.0,2860000.0
1999-02-02,4143,4682,3849,4206,296060,15158.0,2860000.0
1999-02-03,4206,4357,3809,3928,131830,14157.0,2860000.0
1999-02-04,4127,4127,3651,3729,55450,13442.0,2860000.0
1999-02-05,3746,3968,3738,3884,71930,14000.0,2860000.0
1999-02-08,3960,3960,3619,3618,74320,13042.0,2860000.0
1999-02-09,3579,3579,3301,3412,86120,12298.0,2860000.0
1999-02-10,3452,3770,3405,3579,111170,12899.0,2860000.0
1999-02-11,3611,3706,3500,3571,69140,12870.0,2860000.0
1999-02-12,3611,3722,3571,3650,71740,13156.0,2860000.0
1999-02-18,3809,3809,3492,3515,33760,12670.0,2860000.0
1999-02-19,3492,3492,3198,3301,46720,11898.0,2860000.0
1999-02-22,3214,3722,3214,3412,69860,12298.0,2860000.0
1999-02-23,3452,3539,3325,3380,60250,12184.0,2860000.0
1999-02-24,3389,3420,3270,3293,32900,11869.0,2860000.0
1999-02-25,3262,3262,3103,3134,36280,11297.0,2860000.0
1999-02-26,3174,3412,3174,3412,35580,12298.0,2860000.0
1999-03-02,3405,3555,3405,3452,49060,12441.0,2860000.0
1999-03-03,3452,3492,3270,3372,35870,12155.0,2860000.0
1999-03-04,3333,3412,3333,3372,20610,12155.0,2860000.0
1999-03-05,3333,3412,3301,3396,19990,12241.0,2860000.0
1999-03-08,3420,3730,3420,3642,81590,13127.0,2860000.0
1999-03-09,3571,3793,3500,3587,64910,12927.0,2860000.0
1999-03-10,3500,3611,3500,3499,32500,12613.0,2860000.0
1999-03-11,3508,3643,3492,3634,43090,13099.0,2860000.0
1999-03-12,3730,4079,3730,3856,106330,13900.0,2860000.0
1999-03-15,4047,4166,3889,3928,93620,14157.0,2860000.0
1999-03-16,3928,4063,3889,3967,85960,14300.0,2860000.0
1999-03-17,3968,4031,3770,3967,66250,14300.0,2860000.0
1999-03-18,3571,4047,3571,3825,82880,13785.0,2860000.0
1999-03-19,3651,3952,3651,3928,61170,14157.0,2860000.0
1999-03-22,3968,4158,3897,3928,46310,14157.0,2860000.0
1999-03-23,3928,4031,3889,3928,50070,14157.0,2860000.0
1999-03-24,3928,4127,3857,4126,95130,14872.0,2860000.0
1999-03-25,4206,4746,4127,4523,364840,16302.0,2860000.0
1999-03-26,4682,4722,4468,4602,176470,16588.0,2860000.0
1999-03-29,4563,4563,4365,4483,54710,16159.0,2860000.0
1999-03-30,4333,4563,4333,4483,98230,16159.0,2860000.0
1999-03-31,4484,4563,4301,4301,68480,15501.0,2860000.0
1999-04-01,4349,4349,4071,4071,107070,14672.0,2860000.0
1999-04-02,4127,4166,3992,4110,47170,14815.0,2860000.0
1999-04-06,4182,4722,4182,4721,225800,17017.0,2860000.0
1999-04-07,4801,4992,4611,4610,153880,16617.0,2860000.0
1999-04-08,4682,4920,4643,4761,103630,17160.0,2860000.0
1999-04-09,4722,4722,4523,4602,107570,16588.0,2860000.0
1999-04-12,4523,4841,4389,4642,80390,16731.0,2860000.0
1999-04-13,4523,4801,4516,4523,104890,16302.0,2860000.0
1999-04-14,4603,4635,4484,4515,46900,16273.0,2860000.0
1999-04-15,4516,4682,4444,4682,95050,16874.0,2860000.0
1999-04-16,4690,4698,4484,4483,48550,16159.0,2860000.0
1999-04-19,4484,4603,4484,4563,37790,16445.0,2860000.0
1999-04-20,4143,4643,4143,4602,44350,16588.0,2860000.0
1999-04-21,4603,4920,4603,4602,93060,16588.0,2860000.0
1999-04-22,4611,5000,4611,4920,89550,17732.0,2860000.0
1999-04-23,5008,5658,5008,5396,104540,19448.0,2860000.0
1999-04-26,5619,5635,5238,5634,91200,20306.0,2860000.0
1999-04-27,5635,5793,5476,5793,86800,20878.0,2860000.0
1999-04-28,5793,5873,5555,5793,60390,20878.0,2860000.0
1999-04-29,5793,6349,5793,5872,55770,21164.0,2860000.0
1999-04-30,6190,6190,5658,5705,15120,20563.0,2860000.0
1999-05-03,5722,5912,5635,5658,39160,20392.0,2860000.0
1999-05-04,5833,5873,5555,5713,42330,20592.0,2860000.0
1999-05-06,5714,5873,5563,5642,64230,20335.0,2860000.0
1999-05-07,5825,6190,5674,5951,99590,21450.0,2860000.0
1999-05-10,6349,6349,5992,6070,71680,21879.0,2860000.0
1999-05-11,6127,6349,5952,5951,74970,21450.0,2860000.0
1999-05-12,5793,6190,5563,5713,55090,20592.0,2860000.0
1999-05-13,5714,5793,5396,5396,57700,19448.0,2860000.0
1999-05-14,5396,5476,5158,5158,54850,18590.0,2860000.0
1999-05-17,4960,5301,4777,4777,26620,17217.0,2860000.0
1999-05-18,4754,4920,4619,4840,29720,17446.0,2860000.0
1999-05-19,4841,5071,4762,4920,30880,17732.0,2860000.0
1999-05-20,4920,4960,4365,4761,24360,17160.0,2860000.0
1999-05-21,4619,4801,4603,4682,18710,16874.0,2860000.0
1999-05-24,4690,4762,4603,4610,14470,16617.0,2860000.0
1999-05-25,4603,4722,4563,4571,17840,16474.0,2860000.0
1999-05-26,4682,5158,4603,5158,33590,18590.0,2860000.0
1999-05-27,5158,5158,4928,4928,24640,17761.0,2860000.0
1999-05-28,5000,5000,4762,4761,16470,17160.0,2860000.0
1999-05-31,4762,5079,4762,4983,27680,17961.0,2860000.0
1999-06-01,4984,4984,4762,4920,8540,17732.0,2860000.0
1999-06-02,4801,5238,4801,5237,26390,18876.0,2860000.0
1999-06-03,5230,5849,5158,5674,86000,20449.0,2860000.0
1999-06-04,5674,5873,5555,5642,71140,20335.0,2860000.0
1999-06-07,5642,5912,5444,5880,88180,21193.0,2860000.0
1999-06-08,5912,6031,5761,5832,62520,21021.0,2860000.0
1999-06-09,5722,5912,5635,5832,78810,21021.0,2860000.0
1999-06-10,6023,6111,5714,5832,128870,21021.0,2860000.0
1999-06-11,6031,6031,5754,5793,51420,20878.0,2860000.0
1999-06-14,5754,5754,5087,5555,40710,20020.0,2860000.0
1999-06-15,5158,5547,5158,5158,33700,18590.0,2860000.0
1999-06-16,5198,5396,5158,5396,19040,19448.0,2860000.0
1999-06-17,5396,5515,5246,5436,37830,19591.0,2860000.0
1999-06-18,5436,5436,5198,5356,15170,19305.0,2860000.0
1999-06-21,5476,5476,5158,5356,34720,19305.0,2860000.0
1999-06-22,5158,5635,5158,5634,107990,20306.0,2860000.0
1999-06-23,5476,5746,5476,5475,32020,19734.0,2860000.0
1999-06-24,5404,5944,5404,5555,107690,20020.0,2860000.0
1999-06-25,5785,5785,5555,5555,53420,20020.0,2860000.0
1999-06-28,5595,5674,5412,5491,21690,19791.0,2860000.0
1999-06-29,5087,5754,5087,5753,38850,20735.0,2860000.0
1999-06-30,5515,5595,5436,5499,7820,19820.0,2860000.0
1999-07-01,5555,5555,5325,5515,32900,19877.0,2860000.0
1999-07-02,5515,5635,5428,5428,43790,19562.0,2860000.0
1999-07-05,5754,5754,5396,5491,41710,19791.0,2860000.0
1999-07-06,5555,5674,5412,5499,59130,19820.0,2860000.0
1999-07-07,5777,6317,5658,6317,136360,22766.0,2860000.0
1999-07-08,6793,7142,6507,6507,164950,23452.0,2860000.0
1999-07-09,6825,6825,6349,6507,57180,23452.0,2860000.0
1999-07-12,6523,6825,6238,6428,76630,23166.0,2860000.0
1999-07-13,6507,7388,6507,6904,94060,24882.0,2860000.0
1999-07-14,6904,6944,6349,6348,45160,22880.0,2860000.0
1999-07-15,6349,6349,5476,6094,37180,21965.0,2860000.0
1999-07-16,5714,6103,5714,5951,33200,21450.0,2860000.0
1999-07-19,6190,6507,5952,6213,53160,22394.0,2860000.0
1999-07-20,6039,6507,6031,6190,38360,22308.0,2860000.0
1999-07-21,6190,6198,5968,5991,51720,21593.0,2860000.0
1999-07-22,6507,6888,6119,6348,33150,22880.0,2860000.0
1999-07-23,6349,6746,5952,6348,68540,22880.0,2860000.0
1999-07-26,6190,6341,5555,6110,44910,22022.0,2860000.0
1999-07-27,6269,6507,6111,6348,38960,22880.0,2860000.0
1999-07-28,6825,6825,6349,6666,50190,24024.0,2860000.0
1999-07-29,6666,6746,6468,6745,74080,24310.0,2860000.0
1999-07-30,6825,7753,6825,7753,90580,27942.0,2860000.0
1999-08-02,8095,8095,7150,7777,91390,28028.0,2860000.0
1999-08-03,7896,8928,7539,8174,118890,29458.0,2860000.0
1999-08-04,8015,8690,7936,8332,69590,30030.0,2860000.0
1999-08-05,8015,8333,7301,7301,51170,26312.0,2860000.0
1999-08-06,7182,7523,6984,6999,25290,25225.0,2860000.0
1999-08-09,6825,7484,6825,7221,34980,26026.0,2860000.0
1999-08-10,7071,7071,6666,6745,17400,24310.0,2860000.0
1999-08-11,6825,6825,6269,6293,24720,22680.0,2860000.0
1999-08-12,6293,6507,6293,6340,28470,22851.0,2860000.0
1999-08-13,6380,6579,6111,6348,61890,22880.0,2860000.0
1999-08-16,6349,6349,6031,6340,15940,22851.0,2860000.0
1999-08-17,6230,6246,5476,5515,42020,19877.0,2860000.0
1999-08-18,5563,5563,5158,5237,24900,18876.0,2860000.0
1999-08-19,5238,5690,5238,5555,27260,20020.0,2860000.0
1999-08-20,6111,6111,5635,5634,18870,20306.0,2860000.0
1999-08-23,5952,5952,5642,5729,31730,20649.0,2860000.0
1999-08-24,5825,5952,5563,5690,29090,20506.0,2860000.0
