우성사료(006980),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,1490,1500,1400,1430,865300,44187.0,3090000.0
1999-01-05,1450,1530,1415,1500,1479700,46350.0,3090000.0
1999-01-06,1510,1670,1490,1660,1958200,51294.0,3090000.0
1999-01-07,1700,1750,1630,1630,2068000,50367.0,3090000.0
1999-01-08,1630,1715,1630,1680,624400,51912.0,3090000.0
1999-01-11,1690,1820,1680,1705,1209400,52684.0,3090000.0
1999-01-12,1750,1780,1680,1725,700200,53302.0,3090000.0
1999-01-13,1720,1720,1670,1700,577300,52530.0,3090000.0
1999-01-14,1510,1670,1510,1650,374800,50985.0,3090000.0
1999-01-15,1555,1690,1555,1650,575900,50985.0,3090000.0
1999-01-18,1670,1730,1670,1685,332200,52066.0,3090000.0
1999-01-19,1700,1700,1610,1640,225800,50676.0,3090000.0
1999-01-20,1600,1620,1580,1600,170200,49440.0,3090000.0
1999-01-21,1510,1525,1460,1490,292800,46041.0,3090000.0
1999-01-22,1510,1510,1385,1385,212100,42796.0,3090000.0
1999-01-25,1400,1400,1340,1350,118000,41715.0,3090000.0
1999-01-26,1550,1550,1400,1445,530100,44650.0,3090000.0
1999-01-27,1500,1500,1415,1470,207700,45423.0,3090000.0
1999-01-28,1490,1490,1450,1470,354100,45423.0,3090000.0
1999-01-29,1460,1520,1435,1520,206100,46968.0,3090000.0
1999-02-01,1500,1540,1500,1500,356000,46350.0,3090000.0
1999-02-02,1520,1525,1460,1470,187800,45423.0,3090000.0
1999-02-03,1450,1450,1390,1415,119100,43724.0,3090000.0
1999-02-04,1440,1545,1400,1440,180500,44496.0,3090000.0
1999-02-05,1405,1450,1405,1430,130000,44187.0,3090000.0
1999-02-08,1440,1450,1400,1400,81400,43260.0,3090000.0
1999-02-09,1380,1380,1335,1350,150600,41715.0,3090000.0
1999-02-10,1260,1350,1260,1350,152200,41715.0,3090000.0
1999-02-11,1350,1370,1320,1350,51600,41715.0,3090000.0
1999-02-12,1380,1385,1355,1370,93600,42333.0,3090000.0
1999-02-18,1400,1400,1350,1360,94400,42024.0,3090000.0
1999-02-19,1320,1345,1270,1345,81400,41560.0,3090000.0
1999-02-22,1325,1325,1270,1280,31800,39552.0,3090000.0
1999-02-23,1250,1310,1250,1270,23300,39243.0,3090000.0
1999-02-24,1290,1290,1245,1250,79000,38625.0,3090000.0
1999-02-25,1230,1290,1230,1255,70500,38780.0,3090000.0
1999-02-26,1370,1370,1280,1330,69900,41097.0,3090000.0
1999-03-02,1350,1440,1315,1420,296200,43878.0,3090000.0
1999-03-03,1400,1410,1350,1410,90700,43569.0,3090000.0
1999-03-04,1480,1480,1375,1400,73500,43260.0,3090000.0
1999-03-05,1400,1400,1370,1380,89600,42642.0,3090000.0
1999-03-08,1380,1465,1380,1465,239000,45268.0,3090000.0
1999-03-09,1465,1465,1420,1420,51100,43878.0,3090000.0
1999-03-10,1380,1450,1380,1415,54500,43724.0,3090000.0
1999-03-11,1430,1430,1400,1425,51100,44032.0,3090000.0
1999-03-12,1430,1460,1400,1450,174900,44805.0,3090000.0
1999-03-15,1480,1550,1480,1550,597600,47895.0,3090000.0
1999-03-16,1590,1610,1555,1590,476400,49131.0,3090000.0
1999-03-17,1630,1630,1530,1530,69100,47277.0,3090000.0
1999-03-18,1470,1520,1470,1480,110000,45732.0,3090000.0
1999-03-19,1450,1510,1450,1490,51600,46041.0,3090000.0
1999-03-22,1500,1500,1460,1460,97000,45114.0,3090000.0
1999-03-23,1470,1510,1460,1500,125400,46350.0,3090000.0
1999-03-24,1470,1500,1460,1495,114900,46196.0,3090000.0
1999-03-25,1450,1545,1450,1545,300000,47740.0,3090000.0
1999-03-26,1500,1545,1500,1510,63400,46659.0,3090000.0
1999-03-29,1460,1500,1460,1465,51000,45268.0,3090000.0
1999-03-30,1470,1550,1470,1500,686900,46350.0,3090000.0
1999-03-31,1535,1590,1535,1560,333600,48204.0,3090000.0
1999-04-01,1580,1640,1550,1565,771800,48358.0,3090000.0
1999-04-02,1600,1610,1550,1580,230300,48822.0,3090000.0
1999-04-06,1550,1630,1550,1630,352400,50367.0,3090000.0
1999-04-07,1650,1650,1600,1600,533700,49440.0,3090000.0
1999-04-08,1580,1625,1580,1620,303100,50058.0,3090000.0
1999-04-09,1630,1645,1580,1630,336700,50367.0,3090000.0
1999-04-12,1870,1870,1750,1870,2307300,57783.0,3090000.0
1999-04-13,1900,1950,1850,1875,1280200,57938.0,3090000.0
1999-04-14,1875,1920,1790,1810,546500,55929.0,3090000.0
1999-04-15,1850,2075,1850,2075,1118100,64118.0,3090000.0
1999-04-16,2060,2075,1800,2050,883700,63345.0,3090000.0
1999-04-19,2355,2355,2050,2100,437800,64890.0,3090000.0
1999-04-20,2150,2150,2000,2050,224800,63345.0,3090000.0
1999-04-21,2060,2060,1950,2020,315100,62418.0,3090000.0
1999-04-22,2045,2050,1980,2000,179900,61800.0,3090000.0
1999-04-23,2000,2030,1980,1980,138300,61182.0,3090000.0
1999-04-26,2120,2120,1980,2080,230100,64272.0,3090000.0
1999-04-27,2080,2150,2030,2120,419900,65508.0,3090000.0
1999-04-28,2055,2280,2055,2120,359000,65508.0,3090000.0
1999-04-29,2150,2200,2020,2020,447900,62418.0,3090000.0
1999-04-30,2100,2150,2060,2100,208400,64890.0,3090000.0
1999-05-03,2220,2300,2170,2200,445700,67980.0,3090000.0
1999-05-04,2300,2340,2240,2300,531700,71070.0,3090000.0
1999-05-06,2365,2480,2250,2450,1639500,75705.0,3090000.0
1999-05-07,2480,2500,2270,2370,299900,73233.0,3090000.0
1999-05-10,2480,2725,2420,2670,2091300,82503.0,3090000.0
1999-05-11,2730,2850,2700,2720,1020100,84048.0,3090000.0
1999-05-12,2840,2850,2500,2550,883000,78795.0,3090000.0
1999-05-13,2580,2750,2450,2500,970800,77250.0,3090000.0
1999-05-14,2500,2590,2200,2200,321100,67980.0,3090000.0
1999-05-17,2100,2205,2020,2090,348000,64581.0,3090000.0
1999-05-18,2090,2200,2090,2170,340000,67053.0,3090000.0
1999-05-19,2250,2495,2225,2300,244700,71070.0,3090000.0
1999-05-20,2300,2330,2150,2300,317200,71070.0,3090000.0
1999-05-21,2300,2330,2200,2300,264200,71070.0,3090000.0
1999-05-24,2300,2300,2220,2300,88600,71070.0,3090000.0
1999-05-25,2245,2370,2245,2340,143800,72306.0,3090000.0
1999-05-26,2360,2440,2350,2350,140000,72615.0,3090000.0
1999-05-27,2350,2450,2350,2440,356800,75396.0,3090000.0
1999-05-28,2400,2440,2310,2360,130100,72924.0,3090000.0
1999-05-31,2360,2360,2280,2340,171000,72306.0,3090000.0
1999-06-01,2215,2350,2215,2350,174600,72615.0,3090000.0
1999-06-02,2350,2420,2300,2350,300300,72615.0,3090000.0
1999-06-03,2420,2450,2350,2370,226800,73233.0,3090000.0
