사조산업(007160),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,4600,4600,4430,4430,51000,22150.0,5000000.0
1999-01-05,4530,4850,4310,4850,229660,24250.0,5000000.0
1999-01-06,5010,5390,4900,5200,279510,26000.0,5000000.0
1999-01-07,5200,5320,4920,5150,241470,25750.0,5000000.0
1999-01-08,5150,5790,5150,5510,266890,27550.0,5000000.0
1999-01-11,5600,6330,5600,6330,356660,31650.0,5000000.0
1999-01-12,6600,7000,6330,6600,461680,33000.0,5000000.0
1999-01-13,6900,7580,6600,7410,529780,37050.0,5000000.0
1999-01-14,6900,7250,6300,6300,381050,31500.0,5000000.0
1999-01-15,6400,6700,5800,6500,355600,32500.0,5000000.0
1999-01-18,6650,7460,6650,7400,440050,37000.0,5000000.0
1999-01-19,7350,7350,6600,6610,185040,33050.0,5000000.0
1999-01-20,6510,6780,6000,6300,151280,31500.0,5000000.0
1999-01-21,6800,6800,6050,6500,331980,32500.0,5000000.0
1999-01-22,6500,6600,6000,6000,130350,30000.0,5000000.0
1999-01-25,6010,6300,5110,5260,129630,26300.0,5000000.0
1999-01-26,5300,5700,5100,5350,164780,26750.0,5000000.0
1999-01-27,5400,5600,5350,5560,147550,27800.0,5000000.0
1999-01-28,5570,6090,5560,5750,153130,28750.0,5000000.0
1999-01-29,5730,5840,5460,5700,98480,28500.0,5000000.0
1999-02-01,5650,6300,5650,6200,213680,31000.0,5000000.0
1999-02-02,6400,7000,6100,6600,347250,33000.0,5000000.0
1999-02-03,6490,6680,5610,6110,223250,30550.0,5000000.0
1999-02-04,6010,6270,5780,6000,87760,30000.0,5000000.0
1999-02-05,6100,6300,5920,6060,146220,30300.0,5000000.0
1999-02-08,5770,6180,5770,5800,89820,29000.0,5000000.0
1999-02-09,5720,5750,4940,5100,101510,25500.0,5000000.0
1999-02-10,5100,5490,4850,5320,108280,26600.0,5000000.0
1999-02-11,5370,5620,5370,5500,79800,27500.0,5000000.0
1999-02-12,5500,5700,5450,5550,84790,27750.0,5000000.0
1999-02-18,5490,5530,5200,5200,32110,26000.0,5000000.0
1999-02-19,5300,5300,4850,5000,60940,25000.0,5000000.0
1999-02-22,5080,5470,4900,5200,89340,26000.0,5000000.0
1999-02-23,5280,5400,5020,5030,31910,25150.0,5000000.0
1999-02-24,5190,5190,4800,4800,40400,24000.0,5000000.0
1999-02-25,4610,4700,4550,4600,38280,23000.0,5000000.0
1999-02-26,4650,4900,4650,4850,39230,24250.0,5000000.0
1999-03-02,4995,5200,4870,5100,82390,25500.0,5000000.0
1999-03-03,5200,5200,4920,4920,37140,24600.0,5000000.0
1999-03-04,4950,5070,4920,5000,52140,25000.0,5000000.0
1999-03-05,4920,5050,4920,5000,50450,25000.0,5000000.0
1999-03-08,5500,5500,5120,5290,72010,26450.0,5000000.0
1999-03-09,5330,5700,5100,5420,148140,27100.0,5000000.0
1999-03-10,5400,5500,5200,5370,37240,26850.0,5000000.0
1999-03-11,5370,5800,5310,5700,134200,28500.0,5000000.0
1999-03-12,5850,6450,5850,6150,279410,30750.0,5000000.0
1999-03-15,7000,7060,6350,6580,415890,32900.0,5000000.0
1999-03-16,6870,7000,6650,6800,321240,34000.0,5000000.0
1999-03-17,6950,6990,6370,6610,208450,33050.0,5000000.0
1999-03-18,6400,6590,5850,6020,134760,30100.0,5000000.0
1999-03-19,6100,6380,6000,6120,125830,30600.0,5000000.0
1999-03-22,6120,6200,5900,5950,137660,29750.0,5000000.0
1999-03-23,5700,6290,5700,6050,105600,30250.0,5000000.0
1999-03-24,6100,6150,5860,5900,96140,29500.0,5000000.0
1999-03-25,5900,6670,5900,6120,254710,30600.0,5000000.0
1999-03-26,6200,6270,6100,6120,81860,30600.0,5000000.0
1999-03-29,6110,6180,5930,5930,63190,29650.0,5000000.0
1999-03-30,6400,6490,6190,6380,238370,31900.0,5000000.0
1999-03-31,6390,6630,6390,6450,154420,32250.0,5000000.0
1999-04-01,6450,6600,6310,6440,107810,32200.0,5000000.0
1999-04-02,6430,6440,6250,6360,181740,31800.0,5000000.0
1999-04-06,6490,6730,6410,6660,269140,33300.0,5000000.0
1999-04-07,6700,6900,6510,6520,217890,32600.0,5000000.0
1999-04-08,6530,6700,6410,6440,94910,32200.0,5000000.0
1999-04-09,6440,6690,6310,6500,169160,32500.0,5000000.0
1999-04-12,6500,7150,6400,7000,390160,35000.0,5000000.0
1999-04-13,7000,7500,6800,7000,358680,35000.0,5000000.0
1999-04-14,7200,7210,6900,6950,152850,34750.0,5000000.0
1999-04-15,6950,7180,6750,7000,159870,35000.0,5000000.0
1999-04-16,7000,7000,6700,6720,136690,33600.0,5000000.0
1999-04-19,6410,6690,6410,6450,135040,32250.0,5000000.0
1999-04-20,6510,6800,6510,6700,129930,33500.0,5000000.0
1999-04-21,6720,7150,6700,6870,194900,34350.0,5000000.0
1999-04-22,6990,7200,6620,6700,127740,33500.0,5000000.0
1999-04-23,7700,7700,7110,7700,393090,38500.0,5000000.0
1999-04-26,8250,8350,7900,8240,572770,41200.0,5000000.0
1999-04-27,8240,9300,7820,9000,399890,45000.0,5000000.0
1999-04-28,8900,9300,8500,8760,274840,43800.0,5000000.0
1999-04-29,8800,9500,8760,8900,234820,44500.0,5000000.0
1999-04-30,9000,9100,8500,8500,176560,42500.0,5000000.0
1999-05-03,8800,9200,8700,8850,274280,44250.0,5000000.0
1999-05-04,9000,9190,8600,8620,230480,43100.0,5000000.0
1999-05-06,8830,8910,8620,8620,300220,43100.0,5000000.0
1999-05-07,8710,9500,8650,9200,511750,46000.0,5000000.0
1999-05-10,9300,9700,8900,9590,454040,47950.0,5000000.0
1999-05-11,9690,10200,8900,8900,328900,44500.0,5000000.0
1999-05-12,9050,9300,8710,8900,198350,44500.0,5000000.0
1999-05-13,8890,9000,8150,8150,167710,40750.0,5000000.0
1999-05-14,8010,8400,7160,7350,153760,36750.0,5000000.0
1999-05-17,7360,7600,7200,7200,108600,36000.0,5000000.0
1999-05-18,7060,7350,6810,7200,98720,36000.0,5000000.0
1999-05-19,7400,7770,7250,7500,150220,37500.0,5000000.0
1999-05-20,7500,7500,6750,6800,105720,34000.0,5000000.0
1999-05-21,6850,7000,6700,6750,72830,33750.0,5000000.0
1999-05-24,6750,6980,6510,6580,52660,32900.0,5000000.0
1999-05-25,6400,6800,6400,6700,107940,33500.0,5000000.0
1999-05-26,6900,7300,6890,7160,138480,35800.0,5000000.0
1999-05-27,7100,7350,6900,6950,143560,34750.0,5000000.0
1999-05-28,7100,7170,6820,7050,119670,35250.0,5000000.0
1999-05-31,7050,7350,7000,7050,165140,35250.0,5000000.0
1999-06-01,7050,7050,6810,6810,88720,34050.0,5000000.0
1999-06-02,6850,7000,6850,6920,88090,34600.0,5000000.0
1999-06-03,7000,7880,6960,7400,332470,37000.0,5000000.0
1999-06-04,7510,7700,7200,7400,124990,37000.0,5000000.0
1999-06-07,7210,7590,7210,7420,137550,37100.0,5000000.0
1999-06-08,7500,8100,7420,7800,245190,39000.0,5000000.0
1999-06-09,7700,7740,7250,7250,127280,36250.0,5000000.0
1999-06-10,7250,7500,7010,7310,114440,36550.0,5000000.0
1999-06-11,7400,7480,7160,7180,128020,35900.0,5000000.0
1999-06-14,7350,7350,7020,7100,71760,35500.0,5000000.0
1999-06-15,7100,7240,6040,6700,127560,33500.0,5000000.0
1999-06-16,6810,6990,6750,6750,69070,33750.0,5000000.0
1999-06-17,6700,7000,6700,6700,98380,33500.0,5000000.0
1999-06-18,6790,7000,6700,6830,96560,34150.0,5000000.0
1999-06-21,6830,6950,6600,6740,92080,33700.0,5000000.0
1999-06-22,6500,6900,6500,6790,79540,33950.0,5000000.0
1999-06-23,6600,7180,6600,6610,140260,33050.0,5000000.0
1999-06-24,7100,7600,7010,7600,394080,38000.0,5000000.0
1999-06-25,7800,8400,7100,7750,594740,38750.0,5000000.0
1999-06-28,7750,7980,7400,7600,150300,38000.0,5000000.0
1999-06-29,7900,7990,7500,7500,126660,37500.0,5000000.0
1999-06-30,7500,8200,7500,7700,191520,38500.0,5000000.0
1999-07-01,7700,7900,7410,7640,113370,38200.0,5000000.0
1999-07-02,7500,7900,7400,7520,147890,37600.0,5000000.0
1999-07-05,7600,7940,7600,7850,168830,39250.0,5000000.0
1999-07-06,8000,8800,7950,8500,459930,42500.0,5000000.0
1999-07-07,8300,8600,8010,8050,210410,40250.0,5000000.0
1999-07-08,8030,8400,8000,8300,234210,41500.0,5000000.0
1999-07-09,8700,8780,8300,8300,253340,41500.0,5000000.0
1999-07-12,8160,8750,8150,8150,275480,40750.0,5000000.0
1999-07-13,8110,8500,8000,8000,221020,40000.0,5000000.0
1999-07-14,8000,8100,7500,7560,122000,37800.0,5000000.0
1999-07-15,7560,7650,7310,7500,85960,37500.0,5000000.0
1999-07-16,7700,7700,7450,7700,120110,38500.0,5000000.0
1999-07-19,7600,7850,7560,7750,129610,38750.0,5000000.0
1999-07-20,7750,8290,7650,7850,189110,39250.0,5000000.0
1999-07-21,7850,8000,7200,7300,115710,36500.0,5000000.0
1999-07-22,7200,7500,7000,7400,105740,37000.0,5000000.0
1999-07-23,7400,7650,6290,6290,176490,31450.0,5000000.0
1999-07-26,6510,6750,6050,6310,176860,31550.0,5000000.0
1999-07-27,6650,7000,6550,6790,179470,33950.0,5000000.0
1999-07-28,6990,7700,6850,7100,198330,35500.0,5000000.0
1999-07-29,7100,7380,6830,7140,136320,35700.0,5000000.0
1999-07-30,7010,7450,6900,7100,179460,35500.0,5000000.0
1999-08-02,7500,7890,7310,7400,224610,37000.0,5000000.0
1999-08-03,7510,8290,7510,7610,398710,38050.0,5000000.0
1999-08-04,8010,8010,7300,7500,200740,37500.0,5000000.0
1999-08-05,7800,8200,7200,7250,424630,36250.0,5000000.0
1999-08-06,7260,7500,7020,7180,131460,35900.0,5000000.0
1999-08-09,7250,7800,7250,7410,234320,37050.0,5000000.0
1999-08-10,7450,7450,7000,7130,110120,35650.0,5000000.0
1999-08-11,7100,7100,6800,6900,105370,34500.0,5000000.0
1999-08-12,6910,7090,6840,6950,91090,34750.0,5000000.0
1999-08-13,7050,7150,6700,6850,109380,34250.0,5000000.0
1999-08-16,6910,6950,6630,6700,54110,33500.0,5000000.0
1999-08-17,6820,6830,6250,6500,110410,32500.0,5000000.0
1999-08-18,6550,6550,6000,6300,87780,31500.0,5000000.0
1999-08-19,6500,6800,6350,6650,127590,33250.0,5000000.0
1999-08-20,6700,6750,6430,6600,70070,33000.0,5000000.0
1999-08-23,7300,7300,6900,7000,196220,35000.0,5000000.0
1999-08-24,7100,7250,6950,7000,143580,35000.0,5000000.0
1999-08-25,7000,7290,7000,7110,165500,35550.0,5000000.0
1999-08-26,7000,7200,6970,6970,107580,34850.0,5000000.0
1999-08-27,7100,7140,6660,6800,118600,34000.0,5000000.0
1999-08-30,6800,7000,6600,6630,89580,33150.0,5000000.0
1999-08-31,6500,6940,6470,6840,112190,34200.0,5000000.0
1999-09-01,7000,7790,6750,7350,403190,36750.0,5000000.0
1999-09-02,6260,7250,6260,6820,179470,34100.0,5000000.0
1999-09-03,7000,7250,6610,6860,156450,34300.0,5000000.0
1999-09-06,6900,7000,6700,6720,100270,33600.0,5000000.0
1999-09-07,7000,7100,6750,6840,92050,34200.0,5000000.0
1999-09-08,6810,7090,6700,6750,112820,33750.0,5000000.0
1999-09-09,6660,6800,6610,6680,57550,33400.0,5000000.0
1999-09-10,6750,6890,6650,6660,92850,33300.0,5000000.0
1999-09-13,6750,6870,6660,6700,81670,33500.0,5000000.0
1999-09-14,6810,7100,6810,6820,137890,34100.0,5000000.0
1999-09-15,6850,6850,6680,6700,76630,33500.0,5000000.0
1999-09-16,6620,7100,6610,6850,156420,34250.0,5000000.0
1999-09-17,6700,6790,6500,6650,66320,33250.0,5000000.0
1999-09-20,6510,6790,6510,6700,134720,33500.0,5000000.0
1999-09-21,6700,6750,6550,6600,82030,33000.0,5000000.0
1999-09-22,6490,6580,6330,6350,85750,31750.0,5000000.0
1999-09-27,6200,6390,6050,6060,79080,30300.0,5000000.0
1999-09-28,6010,6190,6000,6000,64020,30000.0,5000000.0
1999-09-29,5950,6000,5700,5700,68940,28500.0,5000000.0
