디티알오토모티브(007340),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,6932,7843,6932,7560,108600,110719.0,2301855.0
1999-01-05,7388,7687,7388,7686,211000,112561.0,2301855.0
1999-01-06,7703,8001,7687,7859,158100,115093.0,2301855.0
1999-01-07,7860,7860,7687,7812,140900,114402.0,2301855.0
1999-01-08,7703,7860,7640,7859,273900,115093.0,2301855.0
1999-01-11,7875,8331,7703,8016,387700,117395.0,2301855.0
1999-01-12,8017,8017,7577,7859,246700,115093.0,2301855.0
1999-01-13,7546,7828,7546,7702,61400,112791.0,2301855.0
1999-01-14,7560,7560,7152,7167,83400,104965.0,2301855.0
1999-01-15,7230,7340,7152,7340,40600,107497.0,2301855.0
1999-01-18,7309,7702,7246,7670,116100,112331.0,2301855.0
1999-01-19,7859,7859,7670,7670,81300,112331.0,2301855.0
1999-01-20,7655,7703,7546,7639,37900,111870.0,2301855.0
1999-01-21,7576,7623,7403,7403,126700,108417.0,2301855.0
1999-01-22,7403,7403,7230,7230,6800,105885.0,2301855.0
1999-01-25,7230,7230,6523,6523,74500,95527.0,2301855.0
1999-01-26,6618,6916,6618,6617,99300,96908.0,2301855.0
1999-01-27,6632,6915,6522,6916,28900,101282.0,2301855.0
1999-01-28,6915,6995,6601,6916,4500,101282.0,2301855.0
1999-01-29,6759,7043,6759,7042,121300,103123.0,2301855.0
1999-02-01,7043,7043,6900,7042,142400,103123.0,2301855.0
1999-02-02,7216,7216,6917,7042,27900,103123.0,2301855.0
1999-02-03,7043,7043,6288,6287,34900,92074.0,2301855.0
1999-02-04,6585,6838,6538,6539,25000,95757.0,2301855.0
1999-02-05,6603,6839,6603,6602,23000,96678.0,2301855.0
1999-02-08,6601,6758,6601,6759,5900,98980.0,2301855.0
1999-02-09,6805,6805,6461,6539,15600,95757.0,2301855.0
1999-02-10,6461,6886,6445,6885,20900,100821.0,2301855.0
1999-02-11,6759,6886,6633,6885,19900,100821.0,2301855.0
1999-02-12,6886,6996,6886,6995,22900,102433.0,2301855.0
1999-02-18,6915,6915,6915,6916,0,101282.0,2301855.0
1999-02-19,6759,6759,6445,6727,20500,98519.0,2301855.0
1999-02-22,6586,6838,6523,6523,12500,95527.0,2301855.0
1999-02-23,6523,6523,6523,6523,51900,95527.0,2301855.0
1999-02-24,6728,6728,6728,6727,100,98519.0,2301855.0
1999-02-25,6523,6728,6523,6727,4200,98519.0,2301855.0
1999-02-26,6664,6885,6522,6759,44300,98980.0,2301855.0
1999-03-02,6916,6916,6751,6900,3200,101051.0,2301855.0
1999-03-03,6901,6901,6446,6444,27000,94376.0,2301855.0
1999-03-04,6445,6522,6445,6476,25500,94836.0,2301855.0
1999-03-05,6446,6572,6446,6492,79700,95067.0,2301855.0
1999-03-08,6522,6915,6483,6916,133600,101282.0,2301855.0
1999-03-09,6759,6869,6618,6837,26000,100131.0,2301855.0
1999-03-10,6681,6759,6618,6680,7800,97829.0,2301855.0
1999-03-11,6523,6681,6523,6680,60400,97829.0,2301855.0
1999-03-12,6681,6681,6602,6633,17200,97138.0,2301855.0
1999-03-15,6681,6838,6602,6633,40300,97138.0,2301855.0
1999-03-16,6775,6775,6585,6586,16600,96448.0,2301855.0
1999-03-17,6618,6742,6585,6586,117300,96448.0,2301855.0
1999-03-18,6618,6618,6365,6366,32200,93225.0,2301855.0
1999-03-19,6712,6712,6523,6680,36700,97829.0,2301855.0
1999-03-22,6681,6696,6523,6523,45100,95527.0,2301855.0
1999-03-23,6516,6555,6453,6476,43900,94836.0,2301855.0
1999-03-24,6603,6713,6462,6712,74400,98289.0,2301855.0
1999-03-25,6523,6713,6523,6602,15700,96678.0,2301855.0
1999-03-26,6649,6743,6602,6617,15200,96908.0,2301855.0
1999-03-29,6461,6665,6445,6531,1073400,95642.0,2301855.0
1999-03-30,6586,6869,6586,6837,157500,100131.0,2301855.0
1999-03-31,6839,6980,6696,6775,120100,99210.0,2301855.0
1999-04-01,6695,6962,6695,6916,150800,101282.0,2301855.0
1999-04-02,6853,7106,6853,6995,459600,102433.0,2301855.0
1999-04-06,7153,7310,7106,7215,193700,105655.0,2301855.0
1999-04-07,7238,7372,7152,7230,157300,105885.0,2301855.0
1999-04-08,7153,7373,7153,7309,228100,107036.0,2301855.0
1999-04-09,7340,7607,7340,7545,389400,110489.0,2301855.0
1999-04-12,7568,7703,7387,7545,109600,110489.0,2301855.0
1999-04-13,7547,7547,7310,7466,76400,109338.0,2301855.0
1999-04-14,7623,7623,7246,7246,38300,106116.0,2301855.0
1999-04-15,7310,7546,7230,7325,192900,107266.0,2301855.0
1999-04-16,7310,7624,7310,7309,288400,107036.0,2301855.0
1999-04-19,7467,7467,7106,7325,113400,107266.0,2301855.0
1999-04-20,7546,7546,7246,7380,149400,108072.0,2301855.0
1999-04-21,7420,7860,7381,7380,470600,108072.0,2301855.0
1999-04-22,7545,7623,7419,7450,383100,109108.0,2301855.0
1999-04-23,7546,7860,7466,7545,255800,110489.0,2301855.0
1999-04-26,7703,7781,7561,7702,101300,112791.0,2301855.0
1999-04-27,7860,8095,7703,8016,188700,117395.0,2301855.0
1999-04-28,7859,7937,7780,7938,122400,116244.0,2301855.0
1999-04-29,8080,8629,8001,8032,103200,117625.0,2301855.0
1999-04-30,8174,8410,7890,8095,146200,118546.0,2301855.0
