에이프로젠 KIC(007460),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,6936,6936,6652,6732,67800,14362.0,860000.0
1999-01-05,6814,7218,6651,7015,351600,14964.0,860000.0
1999-01-06,7218,8056,7012,8020,612600,17114.0,860000.0
1999-01-07,8056,8786,7652,8063,1195200,17200.0,860000.0
1999-01-08,8058,8142,7774,7963,335700,16985.0,860000.0
1999-01-11,7853,8788,7853,8265,487900,17630.0,860000.0
1999-01-12,8341,8341,7660,8102,255300,17286.0,860000.0
1999-01-13,8550,8875,8061,8303,452800,17716.0,860000.0
1999-01-14,8057,8057,7249,7455,240500,15910.0,860000.0
1999-01-15,7450,7854,7413,7656,149600,16340.0,860000.0
1999-01-18,7653,8461,7653,8221,424500,17544.0,860000.0
1999-01-19,8377,8624,7997,8221,506300,17544.0,860000.0
1999-01-20,8099,8220,7731,7920,312200,16899.0,860000.0
1999-01-21,7894,7894,7249,7455,217400,15910.0,860000.0
1999-01-22,7448,7496,7230,7455,300900,15910.0,860000.0
1999-01-25,7455,7660,7334,7336,48700,15652.0,860000.0
1999-01-26,7252,7499,7053,7053,222700,15050.0,860000.0
1999-01-27,6890,7131,6769,7053,245900,15050.0,860000.0
1999-01-28,7230,7332,7049,7254,59700,15480.0,860000.0
1999-01-29,7085,7411,7085,7254,227500,15480.0,860000.0
1999-02-01,7274,8263,7274,7939,439900,16942.0,860000.0
1999-02-02,7936,7936,7568,7575,235800,16168.0,860000.0
1999-02-03,7940,7940,7253,7398,287200,15781.0,860000.0
1999-02-04,7392,7392,7049,7254,99200,15480.0,860000.0
1999-02-05,7293,7733,7251,7656,283600,16340.0,860000.0
1999-02-08,7376,7859,7376,7498,137300,15996.0,860000.0
1999-02-09,7374,7573,7254,7417,62700,15824.0,860000.0
1999-02-10,7273,7448,7273,7455,97600,15910.0,860000.0
1999-02-11,7617,7702,7280,7336,153300,15652.0,860000.0
1999-02-12,7532,7568,7249,7455,101900,15910.0,860000.0
1999-02-18,7452,7477,7277,7297,89800,15566.0,860000.0
1999-02-19,7290,7290,7127,7254,140400,15480.0,860000.0
