일양약품(007570),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,4365,4490,4323,4407,116380,46465.0,4383496.0
1999-01-05,4324,4802,4324,4449,374500,46903.0,4383496.0
1999-01-06,4573,4760,4491,4698,308740,49534.0,4383496.0
1999-01-07,4843,4988,4698,4823,342960,50849.0,4383496.0
1999-01-08,4739,4822,4614,4823,224280,50849.0,4383496.0
1999-01-11,5114,5530,5052,5530,625380,58300.0,4383496.0
1999-01-12,5820,5903,5446,5778,1064720,60931.0,4383496.0
1999-01-13,5695,6007,5529,5633,564040,59396.0,4383496.0
1999-01-14,5489,5509,4802,5072,418120,53479.0,4383496.0
1999-01-15,5072,5654,4988,5425,397460,57205.0,4383496.0
1999-01-18,5529,6111,5446,6028,767720,63561.0,4383496.0
1999-01-19,6070,6070,5613,5738,457000,60492.0,4383496.0
1999-01-20,6028,6589,5861,6070,1877760,63999.0,4383496.0
1999-01-21,6235,6361,5570,5820,1294320,61369.0,4383496.0
1999-01-22,5903,5986,4988,4989,387220,52602.0,4383496.0
1999-01-25,5197,5384,5010,5280,406740,55670.0,4383496.0
1999-01-26,5280,5508,4988,4989,358240,52602.0,4383496.0
1999-01-27,4906,5154,4698,4989,280900,52602.0,4383496.0
1999-01-28,5030,5446,5030,5155,363600,54355.0,4383496.0
1999-01-29,5175,5342,4656,5238,344580,55232.0,4383496.0
1999-02-01,5321,5570,5196,5404,366600,56985.0,4383496.0
1999-02-02,5488,5904,5405,5530,494440,58300.0,4383496.0
1999-02-03,5571,6029,5530,5904,751500,62246.0,4383496.0
1999-02-04,6111,6195,5612,5841,716200,61588.0,4383496.0
1999-02-05,5987,6112,5696,5966,566720,62903.0,4383496.0
1999-02-08,6029,6652,5925,5925,811960,62465.0,4383496.0
1999-02-09,5779,5821,5197,5530,385420,58300.0,4383496.0
1999-02-10,5404,5570,5114,5404,341540,56985.0,4383496.0
1999-02-11,5321,5612,5321,5446,185800,57424.0,4383496.0
1999-02-12,5488,5986,5446,5778,407100,60931.0,4383496.0
1999-02-18,5862,5904,5571,5696,170620,60054.0,4383496.0
1999-02-19,5613,5613,4844,5488,227600,57862.0,4383496.0
1999-02-22,5405,5426,5094,5114,105920,53917.0,4383496.0
1999-02-23,5114,5260,4947,5072,140700,53479.0,4383496.0
1999-02-24,4906,5154,4906,4947,127600,52164.0,4383496.0
1999-02-25,4822,4906,4614,4739,176100,49972.0,4383496.0
1999-02-26,4739,5030,4739,4989,93280,52602.0,4383496.0
1999-03-02,5197,5322,5114,5259,204560,55451.0,4383496.0
1999-03-03,5260,5302,4989,5051,154440,53259.0,4383496.0
1999-03-04,5114,5322,4989,5093,188060,53698.0,4383496.0
1999-03-05,5073,5239,5031,5114,192380,53917.0,4383496.0
1999-03-08,5238,5321,5196,5238,270860,55232.0,4383496.0
1999-03-09,5322,5738,5239,5530,500740,58300.0,4383496.0
1999-03-10,5654,5695,5488,5571,346520,58739.0,4383496.0
1999-03-11,5508,5986,5508,5862,461800,61807.0,4383496.0
1999-03-12,5904,5987,5738,5904,289600,62246.0,4383496.0
1999-03-15,5987,5987,5696,5696,233580,60054.0,4383496.0
1999-03-16,5612,5778,5529,5612,167380,59479.0,4405855.0
1999-03-17,5612,5820,5529,5654,302460,59920.0,4405855.0
1999-03-18,5717,6196,5696,5738,606940,60801.0,4405855.0
1999-03-19,5778,5903,5591,5612,205840,59479.0,4405855.0
1999-03-22,5696,5696,5488,5488,190880,58157.0,4405855.0
1999-03-23,5488,5696,5384,5488,179200,58157.0,4405855.0
1999-03-24,5508,5633,5446,5446,139440,57717.0,4405855.0
1999-03-25,5362,5612,5301,5446,141100,57717.0,4405855.0
1999-03-26,5550,5612,5425,5591,92440,59259.0,4405855.0
1999-03-29,5488,5612,5488,5612,168980,59479.0,4405855.0
1999-03-30,5763,5763,5549,5591,103260,57717.0,4405855.0
1999-03-31,5613,5677,5464,5506,103360,56836.0,4405855.0
1999-04-01,5464,5677,5421,5591,189800,57717.0,4405855.0
