일정실업(008500),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,7091,7091,6690,6690,940,8020.0,1000000.0
1999-01-05,6757,7258,6682,7257,7280,8700.0,1000000.0
1999-01-06,7283,8342,6974,8341,24890,10000.0,1000000.0
1999-01-07,8551,9593,8342,9509,30690,11400.0,1000000.0
1999-01-08,9510,9510,9009,9176,8700,11000.0,1000000.0
1999-01-11,9176,10094,9093,9843,33200,11800.0,1000000.0
1999-01-12,10010,10261,9677,9676,19930,11600.0,1000000.0
1999-01-13,9677,10261,9593,10260,10950,12300.0,1000000.0
1999-01-14,10010,10094,9510,9926,17370,11900.0,1000000.0
1999-01-15,9426,9927,9426,9926,8340,11900.0,1000000.0
1999-01-18,10010,11137,10010,10677,26910,12800.0,1000000.0
1999-01-19,10678,10845,9176,10093,6150,12100.0,1000000.0
1999-01-20,10177,10761,10010,10010,18940,12000.0,1000000.0
1999-01-21,10010,10344,9844,10344,22120,12400.0,1000000.0
1999-01-22,9844,10427,9844,10052,25200,12050.0,1000000.0
1999-01-25,10177,10511,9927,10260,12650,12300.0,1000000.0
1999-01-26,10678,11345,10094,10093,32610,12100.0,1000000.0
1999-01-27,10427,10761,9593,10260,15220,12300.0,1000000.0
1999-01-28,10427,11762,10427,11428,51570,13700.0,1000000.0
1999-01-29,11262,11637,10636,10636,16690,12750.0,1000000.0
1999-02-01,10845,11345,10678,10927,42740,13100.0,1000000.0
1999-02-02,10928,11178,10010,10510,17850,12600.0,1000000.0
1999-02-03,10427,10678,10219,10510,10680,12600.0,1000000.0
1999-02-04,10511,11428,10511,11345,34560,13600.0,1000000.0
1999-02-05,11595,13013,11512,12512,34740,15000.0,1000000.0
1999-02-08,12596,13013,11679,12512,21550,15000.0,1000000.0
1999-02-09,12346,12346,11303,11595,6090,13900.0,1000000.0
1999-02-10,10511,11512,10010,11094,7970,13300.0,1000000.0
1999-02-11,11095,11262,10594,11136,10500,13350.0,1000000.0
1999-02-12,10010,11262,10010,10594,10850,12700.0,1000000.0
1999-02-18,11011,11011,10636,10761,9430,12900.0,1000000.0
1999-02-19,10344,10719,10010,10719,3290,12850.0,1000000.0
1999-02-22,10928,11262,10511,10927,6180,13100.0,1000000.0
1999-02-23,10928,10928,10511,10761,6190,12900.0,1000000.0
1999-02-24,10970,10970,10845,10844,2160,13000.0,1000000.0
1999-02-25,10010,10719,10010,10385,2930,12450.0,1000000.0
1999-02-26,10386,10594,10261,10427,4650,12500.0,1000000.0
1999-03-02,10427,11011,10261,10927,6080,13100.0,1000000.0
1999-03-03,10845,10845,10511,10510,3010,12600.0,1000000.0
1999-03-04,10427,11720,10344,11595,19420,13900.0,1000000.0
1999-03-05,11554,11804,11262,11762,5640,14100.0,1000000.0
1999-03-08,11679,12138,11679,12054,13060,14450.0,1000000.0
1999-03-09,11679,11846,11595,11803,3450,14150.0,1000000.0
1999-03-10,11512,12513,11512,12512,7630,15000.0,1000000.0
1999-03-11,12430,12680,12096,12679,6920,15200.0,1000000.0
1999-03-12,12513,12680,11929,12512,21780,15000.0,1000000.0
1999-03-15,12513,13431,12263,13263,17880,15900.0,1000000.0
1999-03-16,12888,13597,12888,13597,17020,16300.0,1000000.0
1999-03-17,13848,15349,13347,15349,32200,18400.0,1000000.0
1999-03-18,15016,15016,13514,14181,20690,17000.0,1000000.0
1999-03-19,14181,14515,13347,14097,52920,16900.0,1000000.0
1999-03-22,13848,13848,12763,13347,18410,16000.0,1000000.0
1999-03-23,12930,13347,12763,13347,5270,16000.0,1000000.0
1999-03-24,11345,13347,11345,12763,18190,15300.0,1000000.0
1999-03-25,13180,13180,12596,12596,5470,15100.0,1000000.0
1999-03-26,12763,13264,12596,13180,5600,15800.0,1000000.0
1999-03-29,13180,13764,13180,13680,10150,16400.0,1000000.0
1999-03-30,13472,14098,13180,13972,11970,16750.0,1000000.0
1999-03-31,14015,14432,13764,14097,15470,16900.0,1000000.0
1999-04-01,13848,14306,13764,14181,9930,17000.0,1000000.0
1999-04-02,13848,14515,13848,14515,11270,17400.0,1000000.0
1999-04-06,14515,14515,13764,14515,18970,17400.0,1000000.0
1999-04-07,15850,15850,14181,14348,6110,17200.0,1000000.0
1999-04-08,13931,14181,13347,14014,5770,16800.0,1000000.0
1999-04-09,13931,13931,13097,13180,5800,15800.0,1000000.0
1999-04-12,13347,13347,12263,12262,12510,14700.0,1000000.0
1999-04-13,12513,13055,12430,12512,19080,15000.0,1000000.0
1999-04-14,12513,12596,11762,12179,8900,14600.0,1000000.0
1999-04-15,12596,12847,12012,12429,26120,14900.0,1000000.0
1999-04-16,12513,12638,12096,12262,9130,14700.0,1000000.0
1999-04-19,12263,12513,11679,11845,3850,14200.0,1000000.0
1999-04-20,11512,12096,11262,11595,5290,13900.0,1000000.0
1999-04-21,11929,12096,11428,11428,7800,13700.0,1000000.0
1999-04-22,11554,12012,11554,12012,10130,14400.0,1000000.0
1999-04-23,11679,12263,11679,12095,7080,14500.0,1000000.0
1999-04-26,11846,11929,11512,11595,13800,13900.0,1000000.0
1999-04-27,11595,12012,11512,11595,10100,13900.0,1000000.0
1999-04-28,11428,12346,11345,12095,21860,14500.0,1000000.0
1999-04-29,12096,13889,12096,12429,29940,14900.0,1000000.0
1999-04-30,12763,13347,12471,12471,14900,14950.0,1000000.0
1999-05-03,12555,12972,12513,12930,10600,15500.0,1000000.0
1999-05-04,13264,13848,12847,13347,30770,16000.0,1000000.0
1999-05-06,13514,14181,13347,13430,21900,16100.0,1000000.0
1999-05-07,13681,13681,12888,13180,15450,15800.0,1000000.0
1999-05-10,13013,13180,12555,13096,11400,15700.0,1000000.0
1999-05-11,13347,15057,13347,15057,115590,18050.0,1000000.0
1999-05-12,15182,15850,14056,14056,150640,16850.0,1000000.0
1999-05-13,14306,14306,12096,12930,21100,15500.0,1000000.0
1999-05-14,12930,14849,12763,14848,99970,17800.0,1000000.0
1999-05-17,14932,15266,12930,12930,107070,15500.0,1000000.0
1999-05-18,12596,13097,12513,13096,20110,15700.0,1000000.0
1999-05-19,13264,13597,12763,13347,19390,16000.0,1000000.0
1999-05-20,13764,14181,12346,12596,11640,15100.0,1000000.0
1999-05-21,11929,12930,11929,12512,5790,15000.0,1000000.0
1999-05-24,12138,13180,12138,12846,8660,15400.0,1000000.0
1999-05-25,12596,13180,12471,12471,7240,14950.0,1000000.0
1999-05-26,12513,12847,12346,12763,9370,15300.0,1000000.0
1999-05-27,12930,13347,12930,13013,8190,15600.0,1000000.0
1999-05-28,13097,13097,12430,12471,7050,14950.0,1000000.0
1999-05-31,12513,12805,12513,12596,6120,15100.0,1000000.0
1999-06-01,12596,12930,12096,12763,15740,15300.0,1000000.0
1999-06-02,12763,13013,12346,12512,21010,15000.0,1000000.0
1999-06-03,12513,12513,12096,12429,8750,14900.0,1000000.0
1999-06-04,12346,12763,12096,12763,9690,15300.0,1000000.0
1999-06-07,12596,12596,12346,12512,8570,15000.0,1000000.0
1999-06-08,12096,12680,12096,12512,6960,15000.0,1000000.0
1999-06-09,12346,12680,12179,12179,9160,14600.0,1000000.0
1999-06-10,12471,13097,12346,12763,11530,15300.0,1000000.0
1999-06-11,12763,12847,12763,12763,6070,15300.0,1000000.0
1999-06-14,12763,13347,12763,13180,5690,15800.0,1000000.0
1999-06-15,13180,13764,12847,13263,19950,15900.0,1000000.0
1999-06-16,13264,13848,13055,13555,13470,16250.0,1000000.0
1999-06-17,13931,14181,13305,13639,8230,16350.0,1000000.0
1999-06-18,14181,14181,13347,13347,4940,16000.0,1000000.0
1999-06-21,13180,13848,12930,13513,7730,16200.0,1000000.0
1999-06-22,13347,13764,12930,13764,12400,16500.0,1000000.0
1999-06-23,13514,13597,13013,13513,4930,16200.0,1000000.0
1999-06-24,13431,14348,13431,14097,70170,16900.0,1000000.0
1999-06-25,14181,14515,13764,13764,11190,16500.0,1000000.0
1999-06-28,13764,14015,13180,13180,10460,15800.0,1000000.0
1999-06-29,12930,13514,12930,13263,5690,15900.0,1000000.0
1999-06-30,13097,13681,11303,12763,10530,15300.0,1000000.0
1999-07-01,12346,14640,12346,13347,10850,16000.0,1000000.0
1999-07-02,13681,13931,12930,13597,7230,16300.0,1000000.0
1999-07-05,13097,14015,13097,13430,5540,16100.0,1000000.0
1999-07-06,14098,14098,13472,13472,3360,16150.0,1000000.0
1999-07-07,13514,13806,12972,13096,6760,15700.0,1000000.0
1999-07-08,13514,13514,12763,12930,14350,15500.0,1000000.0
1999-07-09,13431,13556,13055,13388,10410,16050.0,1000000.0
1999-07-12,13431,13764,13180,13597,5020,16300.0,1000000.0
1999-07-13,12930,13431,12930,13055,7540,15650.0,1000000.0
1999-07-14,13347,13431,12930,12930,7580,15500.0,1000000.0
1999-07-15,12930,13180,12763,12888,4520,15450.0,1000000.0
1999-07-16,12596,13180,12596,12930,6750,15500.0,1000000.0
1999-07-19,12680,13681,12680,13222,13030,15850.0,1000000.0
1999-07-20,13347,13764,13347,13347,5580,16000.0,1000000.0
1999-07-21,12930,13347,12722,12971,4380,15550.0,1000000.0
1999-07-22,12596,12930,12596,12679,1650,15200.0,1000000.0
1999-07-23,12680,13431,12596,12846,19970,15400.0,1000000.0
1999-07-26,13013,13013,11345,11345,7510,13600.0,1000000.0
1999-07-27,9760,11679,9760,11511,9010,13800.0,1000000.0
1999-07-28,11762,12263,11762,12054,9470,14450.0,1000000.0
1999-07-29,12138,12138,11679,11678,5560,14000.0,1000000.0
1999-07-30,11595,11846,11178,11261,8460,13500.0,1000000.0
1999-08-02,11095,12930,11095,12930,25660,15500.0,1000000.0
1999-08-03,12930,13347,12430,12930,10760,15500.0,1000000.0
1999-08-04,12930,13305,12513,12512,4410,15000.0,1000000.0
1999-08-05,11804,12513,11679,11678,5640,14000.0,1000000.0
1999-08-06,11512,11929,11512,11762,2910,14100.0,1000000.0
1999-08-09,11929,12263,11929,12262,3350,14700.0,1000000.0
1999-08-10,11929,12680,11679,11678,5020,14000.0,1000000.0
1999-08-11,11345,12346,11345,11845,1160,14200.0,1000000.0
1999-08-12,12596,12596,11595,12346,5220,14800.0,1000000.0
1999-08-13,11762,12096,11595,11929,5890,14300.0,1000000.0
1999-08-16,12263,12930,12096,12512,13780,15000.0,1000000.0
1999-08-17,13347,13681,12555,12846,24160,15400.0,1000000.0
