호텔신라(008770),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,7430,7430,6947,7150,317890,135172.0,18241800.0
1999-01-05,7092,8105,7092,7950,540240,150312.0,18241800.0
1999-01-06,8009,8491,7768,8394,756890,158704.0,18241800.0
1999-01-07,8491,8781,7825,8201,730250,155055.0,18241800.0
1999-01-08,7825,8491,7825,8018,570140,151589.0,18241800.0
1999-01-11,8154,8877,7999,8684,610920,164176.0,18241800.0
1999-01-12,8732,8781,8211,8394,331690,158704.0,18241800.0
1999-01-13,8250,8684,8018,8153,478530,154143.0,18241800.0
1999-01-14,7729,8009,7439,7439,415280,140644.0,18241800.0
1999-01-15,7729,7999,7536,7912,224950,149583.0,18241800.0
1999-01-18,8568,8568,8115,8182,371280,154690.0,18241800.0
1999-01-19,8202,8337,7825,7825,200550,147941.0,18241800.0
1999-01-20,7623,7719,7430,7429,410330,217462.0,28241800.0
1999-01-21,7237,7237,6967,7024,304350,205600.0,28241800.0
1999-01-22,6851,6996,6658,6754,270470,197693.0,28241800.0
1999-01-25,6764,6851,6417,6513,229140,190632.0,28241800.0
1999-01-26,6803,6899,6513,6513,351150,190632.0,28241800.0
1999-01-27,6706,6947,6610,6947,272470,203341.0,28241800.0
1999-01-28,6947,7121,6851,6889,276390,201646.0,28241800.0
1999-01-29,6899,6899,6658,6754,180100,197693.0,28241800.0
1999-02-01,6764,6918,6706,6764,170250,197975.0,28241800.0
1999-02-02,6870,6947,6523,6609,205640,193456.0,28241800.0
1999-02-03,6610,6696,6378,6416,136320,187808.0,28241800.0
1999-02-04,6417,6455,6224,6300,107190,184419.0,28241800.0
1999-02-05,6320,6465,6272,6320,123450,184984.0,28241800.0
1999-02-08,6330,6465,6253,6252,92990,183007.0,28241800.0
1999-02-09,6146,6166,5789,6040,243340,176794.0,28241800.0
1999-02-10,6146,6166,5838,6165,144270,180465.0,28241800.0
1999-02-11,5896,6224,5896,5992,152390,175382.0,28241800.0
1999-02-12,6166,6417,6011,6416,467430,187808.0,28241800.0
1999-02-18,6407,6465,6175,6175,148790,180748.0,28241800.0
1999-02-19,6127,6127,5789,6011,176280,175946.0,28241800.0
1999-02-22,5954,6108,5847,6078,143270,177923.0,28241800.0
1999-02-23,5982,6224,5973,5992,157300,175382.0,28241800.0
1999-02-24,5992,6156,5809,5808,87710,170016.0,28241800.0
1999-02-25,5838,6127,5809,5808,177940,170016.0,28241800.0
1999-02-26,5982,6069,5886,6030,104840,176511.0,28241800.0
1999-03-02,6127,6272,6031,6127,155540,179335.0,28241800.0
1999-03-03,6224,6272,6050,6271,265120,183572.0,28241800.0
1999-03-04,6349,6417,6204,6320,283320,184984.0,28241800.0
1999-03-05,6262,6349,6185,6320,141960,184984.0,28241800.0
1999-03-08,6465,6754,6378,6561,408130,192044.0,28241800.0
1999-03-09,6561,6581,6368,6416,219120,187808.0,28241800.0
1999-03-10,6658,6947,6561,6754,777190,197693.0,28241800.0
1999-03-11,6764,7285,6754,7014,879480,205318.0,28241800.0
1999-03-12,7131,7198,6947,6957,590570,203623.0,28241800.0
1999-03-15,6996,7198,6947,7043,544150,206165.0,28241800.0
1999-03-16,7140,7333,7063,7188,419880,210401.0,28241800.0
1999-03-17,7333,7768,7189,7671,988360,224522.0,28241800.0
1999-03-18,7526,7623,7285,7333,526280,214638.0,28241800.0
1999-03-19,7526,7575,7333,7371,421660,215767.0,28241800.0
1999-03-22,7623,8096,7497,8008,1183420,234407.0,28241800.0
1999-03-23,8009,8105,7768,7960,530540,232995.0,28241800.0
1999-03-24,8057,8202,7748,7757,361480,227064.0,28241800.0
1999-03-25,7729,8009,7623,7719,463810,225934.0,28241800.0
1999-03-26,8105,8202,7719,7815,318070,228759.0,28241800.0
1999-03-29,7816,7845,6706,7709,619810,225652.0,28241800.0
1999-03-30,7816,7903,7623,7728,277840,226217.0,28241800.0
1999-03-31,8009,8057,7661,7719,388260,225934.0,28241800.0
1999-04-01,7719,8105,7681,8057,486750,235819.0,28241800.0
