금비(008870),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,6950.0,7290.0,6950.0,7160.0,11370.0,7160.0,1000000.0
1999-01-05,7210.0,8230.0,7210.0,8230.0,25900.0,8230.0,1000000.0
1999-01-06,8430.0,8900.0,8230.0,8400.0,55380.0,8400.0,1000000.0
1999-01-07,8740.0,9660.0,8200.0,9660.0,72750.0,9660.0,1000000.0
1999-01-08,9800.0,10000.0,8520.0,8970.0,70950.0,8970.0,1000000.0
1999-01-11,10000.0,10000.0,9200.0,9500.0,34060.0,9500.0,1000000.0
1999-01-12,9500.0,9780.0,9300.0,9500.0,50270.0,9500.0,1000000.0
1999-01-13,10000.0,10900.0,9850.0,10900.0,64020.0,10900.0,1000000.0
1999-01-14,12500.0,12500.0,11500.0,12200.0,280440.0,12200.0,1000000.0
1999-01-15,12600.0,13800.0,11200.0,12700.0,149690.0,12700.0,1000000.0
1999-01-18,12700.0,13700.0,11800.0,12800.0,107810.0,12800.0,1000000.0
1999-01-19,13000.0,13000.0,11600.0,12000.0,58090.0,12000.0,1000000.0
1999-01-20,11200.0,12100.0,10200.0,10500.0,39070.0,10500.0,1000000.0
1999-01-21,10300.0,10300.0,9350.0,9400.0,44000.0,9400.0,1000000.0
1999-01-22,9500.0,10100.0,9400.0,9500.0,20090.0,9500.0,1000000.0
1999-01-25,9010.0,10900.0,9010.0,10900.0,86600.0,10900.0,1000000.0
1999-01-26,11000.0,11900.0,9850.0,10200.0,135190.0,10200.0,1000000.0
1999-01-27,10500.0,10500.0,9800.0,10050.0,11960.0,10050.0,1000000.0
1999-01-28,10450.0,11200.0,10300.0,10900.0,56960.0,10900.0,1000000.0
1999-01-29,10500.0,12000.0,10500.0,11300.0,49670.0,11300.0,1000000.0
1999-02-01,12950.0,12950.0,12100.0,12950.0,178120.0,12950.0,1000000.0
1999-02-02,13800.0,14000.0,12700.0,13400.0,111810.0,13400.0,1000000.0
1999-02-03,13600.0,13600.0,12000.0,12000.0,36360.0,12000.0,1000000.0
1999-02-04,11600.0,12500.0,11500.0,11500.0,25500.0,11500.0,1000000.0
1999-02-05,11700.0,12800.0,11700.0,12200.0,45900.0,12200.0,1000000.0
1999-02-08,12200.0,12500.0,11300.0,11300.0,41020.0,11300.0,1000000.0
1999-02-09,10900.0,11200.0,10000.0,10050.0,34310.0,10050.0,1000000.0
1999-02-10,10150.0,10900.0,9500.0,10350.0,21480.0,10350.0,1000000.0
1999-02-11,10500.0,11300.0,10400.0,10600.0,32720.0,10600.0,1000000.0
1999-02-12,10100.0,11300.0,10100.0,10700.0,18340.0,10700.0,1000000.0
1999-02-18,11300.0,11300.0,10400.0,10450.0,12560.0,10450.0,1000000.0
1999-02-19,10250.0,10250.0,9700.0,9900.0,17900.0,9900.0,1000000.0
1999-02-22,9510.0,9880.0,9300.0,9300.0,16280.0,9300.0,1000000.0
1999-02-23,9300.0,9600.0,9010.0,9110.0,11220.0,9110.0,1000000.0
1999-02-24,9200.0,9500.0,9000.0,9050.0,13080.0,9050.0,1000000.0
1999-02-25,8400.0,9000.0,8400.0,9000.0,14400.0,9000.0,1000000.0
1999-02-26,8050.0,10350.0,8050.0,10350.0,95190.0,10350.0,1000000.0
1999-03-02,10450.0,11000.0,10350.0,10600.0,124260.0,10600.0,1000000.0
1999-03-03,10500.0,10500.0,9900.0,10050.0,30860.0,10050.0,1000000.0
1999-03-04,10000.0,11050.0,10000.0,10550.0,42460.0,10550.0,1000000.0
1999-03-05,10350.0,10750.0,10200.0,10350.0,16440.0,10350.0,1000000.0
1999-03-08,11000.0,11000.0,10500.0,10750.0,31400.0,10750.0,1000000.0
1999-03-09,12000.0,12000.0,11100.0,11100.0,46250.0,11100.0,1000000.0
1999-03-10,11000.0,11000.0,10550.0,11000.0,23620.0,11000.0,1000000.0
1999-03-11,10750.0,11400.0,10750.0,11000.0,23790.0,11000.0,1000000.0
1999-03-12,11800.0,11800.0,11000.0,11150.0,34740.0,11150.0,1000000.0
1999-03-15,11300.0,11500.0,11000.0,11000.0,18980.0,11000.0,1000000.0
1999-03-16,11200.0,11900.0,11200.0,11300.0,40470.0,11300.0,1000000.0
1999-03-17,11600.0,11600.0,11000.0,11000.0,18570.0,11000.0,1000000.0
1999-03-18,11050.0,11050.0,10350.0,10400.0,14530.0,10400.0,1000000.0
1999-03-19,10500.0,10950.0,10500.0,10600.0,11720.0,10600.0,1000000.0
1999-03-22,10600.0,11000.0,10450.0,10600.0,19620.0,10600.0,1000000.0
1999-03-23,10600.0,10850.0,10500.0,10800.0,7890.0,10800.0,1000000.0
1999-03-24,10650.0,10900.0,10300.0,10550.0,19030.0,10550.0,1000000.0
1999-03-25,10600.0,11400.0,10550.0,10750.0,22220.0,10750.0,1000000.0
1999-03-26,10900.0,10900.0,10550.0,10600.0,12240.0,10600.0,1000000.0
1999-03-29,10500.0,10800.0,10250.0,10250.0,15010.0,10250.0,1000000.0
1999-03-30,10700.0,10700.0,10300.0,10700.0,9330.0,10700.0,1000000.0
1999-03-31,10900.0,11100.0,10500.0,10800.0,14550.0,10800.0,1000000.0
1999-04-01,11000.0,11000.0,10600.0,10800.0,16010.0,10800.0,1000000.0
1999-04-02,10800.0,11600.0,10700.0,11000.0,41140.0,11000.0,1000000.0
1999-04-06,11300.0,11500.0,10850.0,11250.0,23050.0,11250.0,1000000.0
1999-04-07,11400.0,11700.0,11250.0,11400.0,43200.0,11400.0,1000000.0
1999-04-08,11450.0,11600.0,11100.0,11100.0,26540.0,11100.0,1000000.0
1999-04-09,11300.0,11500.0,10900.0,11300.0,30620.0,11300.0,1000000.0
1999-04-12,11000.0,11300.0,11000.0,11100.0,17310.0,11100.0,1000000.0
1999-04-13,10900.0,11300.0,10900.0,11000.0,26120.0,11000.0,1000000.0
1999-04-14,11200.0,11400.0,10900.0,11250.0,24540.0,11250.0,1000000.0
1999-04-15,11250.0,11600.0,11000.0,11500.0,35830.0,11500.0,1000000.0
1999-04-16,11400.0,12200.0,11400.0,11500.0,81470.0,11500.0,1000000.0
1999-04-19,11500.0,11700.0,11200.0,11200.0,17020.0,11200.0,1000000.0
1999-04-20,11100.0,11600.0,11100.0,11150.0,16660.0,11150.0,1000000.0
1999-04-21,11600.0,11600.0,10900.0,10900.0,14120.0,10900.0,1000000.0
1999-04-22,10650.0,11200.0,10650.0,10800.0,18590.0,10800.0,1000000.0
1999-04-23,11000.0,11900.0,10800.0,11300.0,25650.0,11300.0,1000000.0
1999-04-26,11500.0,11500.0,10800.0,11000.0,17740.0,11000.0,1000000.0
