SIMPAC(009160),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,808,1012,808,923,1589600,8217.0,3950549.0
1999-01-05,977,1034,888,1020,1676100,9086.0,3950549.0
1999-01-06,1034,1110,1021,1083,1563200,9639.0,3950549.0
1999-01-07,1043,1248,1021,1145,5310600,10192.0,3950549.0
1999-01-08,1145,1145,1021,1074,1119800,9560.0,3950549.0
1999-01-11,1079,1155,1079,1132,1797800,10074.0,3950549.0
1999-01-12,1177,1177,1097,1154,2057200,10271.0,3950549.0
1999-01-13,1154,1327,1154,1327,4605800,11812.0,3950549.0
1999-01-14,1330,1374,1130,1130,3252000,10054.0,3950549.0
1999-01-15,1110,1243,1066,1185,2573400,10548.0,3950549.0
1999-01-18,1266,1363,1243,1341,4243900,11931.0,3950549.0
1999-01-19,1332,1443,1252,1251,2455600,11141.0,3950549.0
1999-01-20,1252,1350,1199,1216,1825900,10825.0,3950549.0
1999-01-21,1199,1287,1114,1136,1392200,10113.0,3950549.0
1999-01-22,1136,1176,1012,1065,1691600,9481.0,3950549.0
1999-01-25,1065,1069,998,1002,768800,8928.0,3950549.0
1999-01-26,977,1083,977,976,1505500,8691.0,3950549.0
1999-01-27,977,1021,932,998,1361800,8889.0,3950549.0
1999-01-28,977,1088,977,1038,1291400,9244.0,3950549.0
1999-01-29,1047,1096,1039,1096,1142600,9758.0,3950549.0
1999-02-01,1090,1152,1067,1107,1074200,9857.0,3950549.0
1999-02-02,1154,1154,1056,1065,690800,9481.0,3950549.0
1999-02-03,1061,1061,1007,1011,878500,9007.0,3950549.0
1999-02-04,999,1083,999,1020,615000,9086.0,3950549.0
1999-02-05,1065,1065,998,1033,601600,9205.0,3950549.0
1999-02-08,1114,1132,1043,1052,1009600,9363.0,3950549.0
1999-02-09,981,1012,897,914,644000,8138.0,3950549.0
1999-02-10,906,954,799,936,970400,8336.0,3950549.0
1999-02-11,937,995,932,976,690500,8691.0,3950549.0
1999-02-12,954,1003,954,980,860300,8731.0,3950549.0
1999-02-18,985,985,914,949,537300,8454.0,3950549.0
1999-02-19,914,1061,888,896,1967600,7980.0,3950549.0
1999-02-22,930,975,899,912,901700,8118.0,3950549.0
1999-02-23,919,932,856,865,577900,7704.0,3950549.0
1999-02-24,835,892,830,830,794600,7388.0,3950549.0
1999-02-25,803,821,768,767,856200,6834.0,3950549.0
1999-02-26,768,821,768,799,868100,7111.0,3950549.0
1999-03-02,800,844,800,826,958900,7348.0,3950549.0
1999-03-03,830,856,790,803,548700,7150.0,3950549.0
1999-03-04,808,839,808,839,614300,7467.0,3950549.0
1999-03-05,837,837,820,837,485100,7447.0,3950549.0
1999-03-08,848,932,848,905,1061500,8059.0,3950549.0
1999-03-09,933,933,853,870,793600,7743.0,3950549.0
1999-03-10,846,886,846,859,843200,7644.0,3950549.0
1999-03-11,862,991,862,972,1938800,8652.0,3950549.0
1999-03-12,1107,1116,1063,1116,2394500,9936.0,3950549.0
1999-03-15,1235,1261,1066,1088,4410800,9679.0,3950549.0
1999-03-16,1043,1066,1003,1007,1541600,8968.0,3950549.0
1999-03-17,1008,1065,937,936,1566900,8336.0,3950549.0
1999-03-18,893,920,888,888,1286000,7901.0,3950549.0
1999-03-19,910,977,910,954,1163100,8494.0,3950549.0
1999-03-22,977,977,910,923,976000,8217.0,3950549.0
1999-03-23,923,950,910,918,582400,8178.0,3950549.0
1999-03-24,910,955,901,923,732100,8217.0,3950549.0
1999-03-25,923,959,901,914,848600,8138.0,3950549.0
1999-03-26,923,932,897,905,692300,8059.0,3950549.0
1999-03-29,888,897,866,892,525400,7941.0,3950549.0
1999-03-30,930,930,890,903,543000,8039.0,3950549.0
1999-03-31,911,933,888,910,456600,8099.0,3950549.0
1999-04-01,908,908,886,894,724100,7960.0,3950549.0
1999-04-02,896,896,865,865,744700,7704.0,3950549.0
1999-04-06,848,915,777,901,1437000,8020.0,3950549.0
1999-04-07,899,956,899,916,1995600,8158.0,3950549.0
1999-04-08,919,941,883,896,784200,7980.0,3950549.0
1999-04-09,888,950,879,910,1763200,8099.0,3950549.0
1999-04-12,910,933,897,901,1020500,8020.0,3950549.0
1999-04-13,892,1030,888,958,2308200,8533.0,3950549.0
1999-04-14,1021,1021,937,954,1699300,8494.0,3950549.0
1999-04-15,981,999,932,954,1674800,8494.0,3950549.0
1999-04-16,908,974,899,903,1125300,8039.0,3950549.0
1999-04-19,890,948,881,903,1251800,8039.0,3950549.0
1999-04-20,910,999,910,985,1950200,8770.0,3950549.0
1999-04-21,977,995,915,923,1043700,8217.0,3950549.0
1999-04-22,923,954,910,927,1040900,8257.0,3950549.0
1999-04-23,932,959,919,927,1070700,8257.0,3950549.0
1999-04-26,888,932,888,905,1138800,8059.0,3950549.0
1999-04-27,895,939,890,890,1312600,7921.0,3950549.0
1999-04-28,919,1026,893,985,3163500,8770.0,3950549.0
1999-04-29,1021,1110,990,1016,2276200,9047.0,3950549.0
1999-04-30,1021,1065,981,980,1396000,8731.0,3950549.0
1999-05-03,1003,1127,1003,1127,2698100,10034.0,3950549.0
1999-05-04,1296,1296,1128,1176,5064300,10469.0,3950549.0
1999-05-06,1177,1332,1155,1310,3485300,11654.0,3950549.0
1999-05-07,1310,1465,1252,1332,4622200,11852.0,3950549.0
1999-05-10,1288,1421,1266,1332,2487200,11852.0,3950549.0
1999-05-11,1336,1354,1203,1220,1512100,10864.0,3950549.0
1999-05-12,1164,1195,1084,1110,1296500,9876.0,3950549.0
1999-05-13,1119,1199,1066,1110,1716500,9876.0,3950549.0
1999-05-14,1108,1276,1108,1275,3868900,11358.0,3950549.0
1999-05-17,1394,1394,1110,1154,4625500,10271.0,3950549.0
1999-05-18,1136,1327,1087,1327,4348800,11812.0,3950549.0
1999-05-19,1377,1496,1266,1332,7043900,11852.0,3950549.0
1999-05-20,1371,1398,1243,1242,2713100,11062.0,3950549.0
1999-05-21,1265,1398,1265,1376,3982500,12247.0,3950549.0
1999-05-24,1377,1572,1341,1509,7535900,13432.0,3950549.0
1999-05-25,1550,1687,1545,1616,7046800,14380.0,3950549.0
1999-05-26,1620,1643,1505,1598,4150300,14222.0,3950549.0
1999-05-27,1598,1678,1531,1589,5467200,14143.0,3950549.0
1999-05-28,1589,1642,1465,1464,2639400,13037.0,3950549.0
1999-05-31,1385,1500,1381,1420,3440700,12642.0,3950549.0
1999-06-01,1421,1487,1376,1416,2814100,12602.0,3950549.0
1999-06-02,1421,1461,1416,1416,1766900,12602.0,3950549.0
1999-06-03,1430,1594,1430,1553,5086200,13827.0,3950549.0
1999-06-04,1580,1634,1478,1544,3352500,13748.0,3950549.0
1999-06-07,1545,1576,1474,1491,2731300,13274.0,3950549.0
1999-06-08,1492,1629,1429,1535,3450400,13669.0,3950549.0
1999-06-09,1541,1590,1470,1487,1597500,13234.0,3950549.0
1999-06-10,1465,1509,1434,1451,991200,12918.0,3950549.0
1999-06-11,1474,1545,1443,1442,1875000,12839.0,3950549.0
1999-06-14,1443,1510,1421,1487,1513600,13234.0,3950549.0
1999-06-15,1488,1492,1332,1332,1243400,11852.0,3950549.0
1999-06-16,1332,1416,1332,1376,907600,12247.0,3950549.0
1999-06-17,1363,1381,1332,1336,837800,11891.0,3950549.0
1999-06-18,1332,1368,1288,1287,1015800,11457.0,3950549.0
1999-06-21,1245,1325,1161,1174,853900,10449.0,3950549.0
1999-06-22,1237,1312,1175,1312,949700,11674.0,3950549.0
1999-06-23,1303,1414,1303,1334,1326300,11871.0,3950549.0
1999-06-24,1336,1389,1287,1295,1018900,11536.0,3950549.0
1999-06-25,1309,1354,1287,1295,1058200,11536.0,3950549.0
1999-06-28,1309,1327,1238,1264,871100,11259.0,3950549.0
1999-06-29,1225,1301,1221,1273,863300,11338.0,3950549.0
1999-06-30,1274,1292,1230,1229,717100,10943.0,3950549.0
1999-07-01,1199,1234,1154,1229,1128300,10943.0,3950549.0
1999-07-02,1228,1307,1228,1303,1127600,11595.0,3950549.0
1999-07-05,1332,1443,1314,1394,2417300,12405.0,3950549.0
1999-07-06,1438,1438,1332,1358,1130700,12089.0,3950549.0
1999-07-07,1359,1421,1332,1354,1262700,12049.0,3950549.0
1999-07-08,1345,1465,1336,1464,2551800,13037.0,3950549.0
1999-07-09,1551,1684,1427,1684,4986900,14992.0,3950549.0
1999-07-12,1935,1935,1798,1935,3436700,17224.0,3950549.0
1999-07-13,1909,2225,1825,2171,8585600,19318.0,3950549.0
1999-07-14,2264,2495,2188,2494,5871000,22202.0,3950549.0
1999-07-15,2269,2478,2149,2149,4847500,19121.0,3950549.0
1999-07-16,2197,2352,2006,2263,4965300,20148.0,3950549.0
1999-07-19,2602,2602,2398,2602,4500000,23150.0,3950549.0
1999-07-20,2686,2988,2686,2796,4668500,24888.0,3950549.0
1999-07-21,2797,2797,2441,2556,2748800,22755.0,3950549.0
1999-07-22,2491,2842,2487,2664,2852500,23703.0,3950549.0
1999-07-23,2663,2708,2441,2441,2954700,21728.0,3950549.0
1999-07-26,2446,2575,2087,2091,1944600,18607.0,3950549.0
1999-07-27,2131,2402,2131,2402,2024600,21372.0,3950549.0
1999-07-28,2663,2752,2548,2672,2969000,23782.0,3950549.0
1999-07-29,2709,2842,2575,2686,1868300,23901.0,3950549.0
1999-07-30,2686,2704,2318,2486,2149100,22123.0,3950549.0
1999-08-02,2752,2752,2530,2619,1377100,23308.0,3950549.0
1999-08-03,2575,2788,2495,2690,1942200,23940.0,3950549.0
1999-08-04,2797,2797,2624,2708,1715900,24098.0,3950549.0
1999-08-05,2686,2730,2557,2574,1101700,22913.0,3950549.0
1999-08-06,2486,2619,2442,2574,953900,22913.0,3950549.0
1999-08-09,2535,2664,2495,2508,979100,22321.0,3950549.0
1999-08-10,2508,2641,2468,2641,1515400,23506.0,3950549.0
1999-08-11,2623,2987,2530,2840,2675500,25284.0,3950549.0
1999-08-12,2837,3099,2779,3018,3203400,26864.0,3950549.0
1999-08-13,3063,3280,2930,3102,2546000,27614.0,3950549.0
1999-08-16,3197,3379,3064,3107,2274800,27654.0,3950549.0
1999-08-17,3108,3174,2939,2943,2172500,26192.0,3950549.0
1999-08-18,2620,2886,2509,2886,1765600,25679.0,3950549.0
1999-08-19,2886,3019,2819,2930,1172000,26074.0,3950549.0
1999-08-20,2841,3019,2841,2974,1292800,26469.0,3950549.0
1999-08-23,2952,3041,2863,2974,4532900,26469.0,3950549.0
1999-08-24,3063,3081,2930,2930,1853100,26074.0,3950549.0
1999-08-25,2890,2975,2753,2752,1565600,24493.0,3950549.0
1999-08-26,2761,2890,2730,2796,1130400,24888.0,3950549.0
1999-08-27,2837,3081,2815,2912,6594200,25916.0,3950549.0
1999-08-30,2930,2961,2668,2668,1459400,23743.0,3950549.0
1999-08-31,2397,2530,2353,2379,2655300,21175.0,3950549.0
1999-09-01,2398,2442,2176,2202,1561800,19595.0,3950549.0
1999-09-02,2242,2242,1909,1909,1521000,16987.0,3950549.0
1999-09-03,1914,2109,1821,2087,1749600,18568.0,3950549.0
1999-09-06,2091,2348,2091,2219,1449800,19753.0,3950549.0
1999-09-07,2242,2264,2153,2175,759900,19358.0,3950549.0
1999-09-08,2109,2135,2002,2006,540400,17856.0,3950549.0
1999-09-09,2020,2108,1997,2041,549600,18173.0,3950549.0
1999-09-10,2131,2242,2064,2175,918100,19358.0,3950549.0
1999-09-13,2131,2171,2012,2087,579400,18568.0,3950549.0
1999-09-14,2131,2176,2065,2087,640200,18568.0,3950549.0
1999-09-15,2042,2118,1998,1997,598300,17777.0,3950549.0
1999-09-16,1998,2042,1953,2006,525200,17856.0,3950549.0
1999-09-17,1975,1998,1864,1935,484500,17224.0,3950549.0
1999-09-20,1869,2043,1869,1909,430300,16987.0,3950549.0
1999-09-21,1909,1997,1909,1957,569500,17422.0,3950549.0
1999-09-22,2003,2003,1869,1887,580500,16790.0,3950549.0
1999-09-27,1874,1882,1740,1775,293100,15802.0,3950549.0
1999-09-28,1709,1909,1709,1779,406600,15842.0,3950549.0
1999-09-29,1798,1843,1732,1731,268300,15407.0,3950549.0
1999-09-30,1740,1816,1696,1713,307900,15249.0,3950549.0
1999-10-01,1642,1740,1509,1642,605900,14617.0,3950549.0
1999-10-04,1563,1820,1563,1731,568700,15407.0,3950549.0
1999-10-05,1731,1820,1620,1620,496500,14420.0,3950549.0
1999-10-06,1776,1776,1599,1687,588700,15012.0,3950549.0
1999-10-07,1709,1940,1647,1869,1439400,16632.0,3950549.0
1999-10-08,1949,2149,1887,2149,1796600,19121.0,3950549.0
1999-10-11,2278,2468,2264,2468,3635900,21965.0,3950549.0
1999-10-12,2527,2571,2398,2486,2705700,22123.0,3950549.0
1999-10-13,2486,2642,2442,2530,1684100,22518.0,3950549.0
1999-10-14,2553,2709,2464,2486,1372900,22123.0,3950549.0
1999-10-15,2619,2619,2397,2437,1206000,21689.0,3950549.0
1999-10-18,2287,2398,2220,2308,969400,20543.0,3950549.0
1999-10-19,2273,2442,2264,2353,736100,20938.0,3950549.0
1999-10-20,2548,2548,2357,2397,687600,21333.0,3950549.0
1999-10-21,2441,2464,2326,2325,656000,20701.0,3950549.0
1999-10-22,2313,2349,2242,2286,715200,20345.0,3950549.0
1999-10-25,2309,2455,2291,2340,1256300,20819.0,3950549.0
1999-10-26,2286,2331,2197,2219,1051300,19753.0,3950549.0
1999-10-27,2158,2282,2087,2087,2665400,18568.0,3950549.0
1999-10-28,1776,2220,1776,2019,5423800,17975.0,3950549.0
1999-10-29,2136,2193,2020,2153,1706300,19160.0,3950549.0
1999-11-01,2069,2153,2065,2131,827100,18963.0,3950549.0
1999-11-02,2069,2131,1811,1975,1024900,17580.0,3950549.0
1999-11-03,2100,2100,1913,1957,721700,17422.0,3950549.0
1999-11-04,1967,2251,1931,2175,3469400,19358.0,3950549.0
1999-11-05,2218,2218,2014,2129,1383000,18943.0,3950549.0
1999-11-08,2109,2242,2109,2109,713400,18765.0,3950549.0
