한창제지(009460),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,1699,2025,1699,1929,334800,7275.0,2466055.0
1999-01-05,1837,2151,1771,1968,560100,7423.0,2466055.0
1999-01-06,1981,2262,1981,2262,975500,8533.0,2466055.0
1999-01-07,2262,2412,2190,2190,611600,8261.0,2466055.0
1999-01-08,2216,2353,2190,2223,859500,8385.0,2466055.0
1999-01-11,2352,2555,2287,2557,1330000,9642.0,2466055.0
1999-01-12,2620,2941,2490,2877,2874900,10851.0,2466055.0
1999-01-13,2876,3197,2713,2942,2394100,11097.0,2466055.0
1999-01-14,2545,2840,2506,2501,1567600,9433.0,2466055.0
1999-01-15,2308,2811,2308,2746,1213800,10357.0,2466055.0
1999-01-18,3158,3158,3014,3158,1382200,11911.0,2466055.0
1999-01-19,3393,3530,2752,2818,3115200,10629.0,2466055.0
1999-01-20,3092,3171,2844,2942,1018400,11097.0,2466055.0
1999-01-21,3105,3380,2818,3073,1861100,11590.0,2466055.0
1999-01-22,2882,3130,2679,2812,1054000,10604.0,2466055.0
1999-01-25,2634,2745,2431,2485,528800,9371.0,2466055.0
1999-01-26,2550,2746,2229,2419,532400,9124.0,2466055.0
1999-01-27,2210,2517,2210,2419,595900,9124.0,2466055.0
1999-01-28,2450,2594,2418,2596,906500,9790.0,2466055.0
1999-01-29,2365,2738,2365,2583,397700,9741.0,2466055.0
1999-02-01,2680,2746,2576,2589,566500,9766.0,2466055.0
1999-02-02,2517,2615,2484,2550,646700,9618.0,2466055.0
1999-02-03,2491,2497,2360,2360,520500,8902.0,2466055.0
1999-02-04,2352,2411,2267,2354,452900,8878.0,2466055.0
1999-02-05,2295,2471,2223,2393,451800,9026.0,2466055.0
1999-02-08,2352,2418,2294,2315,207600,8730.0,2466055.0
1999-02-09,2124,2320,2058,2073,141500,7817.0,2466055.0
1999-02-10,1994,2223,1902,2092,442300,7891.0,2466055.0
1999-02-11,2124,2189,2091,2145,250600,8089.0,2466055.0
1999-02-12,2144,2255,2144,2190,257100,8261.0,2466055.0
1999-02-18,2222,2254,2110,2158,298700,8138.0,2466055.0
1999-02-19,2092,2125,2033,2125,235400,8015.0,2466055.0
1999-02-22,2157,2157,2072,2079,162800,7842.0,2466055.0
1999-02-23,2151,2151,1994,1994,186800,7521.0,2466055.0
1999-02-24,1961,2092,1961,1994,307600,7521.0,2466055.0
1999-02-25,1895,1960,1855,1857,201100,7004.0,2466055.0
1999-02-26,1862,2025,1862,2014,205800,7595.0,2466055.0
1999-03-02,2030,2089,2030,2030,239400,7657.0,2466055.0
1999-03-03,2045,2110,1895,1962,132600,7398.0,2466055.0
1999-03-04,1941,2026,1941,1981,144700,7472.0,2466055.0
1999-03-05,1961,2020,1909,1981,132400,7472.0,2466055.0
1999-03-08,2032,2182,2032,2158,414000,8138.0,2466055.0
1999-03-09,2157,2262,2105,2125,292100,8015.0,2466055.0
1999-03-10,2085,2157,2033,2105,232700,7941.0,2466055.0
1999-03-11,2059,2151,2059,2151,233800,8113.0,2466055.0
1999-03-12,2176,2254,2156,2158,485200,8138.0,2466055.0
1999-03-15,2223,2255,2157,2223,426200,8385.0,2466055.0
1999-03-16,2071,2189,2071,2132,243100,8039.0,2466055.0
1999-03-17,2092,2223,2066,2066,366100,7793.0,2466055.0
1999-03-18,1960,2091,1960,2027,310700,7645.0,2466055.0
1999-03-19,2023,2121,2023,2089,300500,7879.0,2466055.0
1999-03-22,2091,2137,2025,2027,256700,7645.0,2466055.0
1999-03-23,2030,2095,2030,2089,145700,7879.0,2466055.0
1999-03-24,2059,2118,2026,2092,342100,7891.0,2466055.0
1999-03-25,2091,2156,2045,2099,251000,7916.0,2466055.0
1999-03-26,2059,2144,2053,2079,434300,7842.0,2466055.0
1999-03-29,2110,2110,1960,1975,272000,7447.0,2466055.0
1999-03-30,1961,2020,1961,2020,449700,7620.0,2466055.0
1999-03-31,2025,2058,1973,1975,263900,7447.0,2466055.0
1999-04-01,1981,2053,1968,1994,435200,7521.0,2466055.0
1999-04-02,1993,2039,1934,1962,535500,7398.0,2466055.0
1999-04-06,1960,1973,1770,1962,391600,7398.0,2466055.0
1999-04-07,1927,2058,1927,1962,630600,7398.0,2466055.0
1999-04-08,1961,2072,1961,2033,645400,7669.0,2466055.0
1999-04-09,2153,2343,2041,2338,1606700,8816.0,2466055.0
1999-04-12,2419,2648,2406,2517,1473900,9494.0,2466055.0
1999-04-13,2514,2579,2291,2357,639200,8890.0,2466055.0
1999-04-14,2294,2615,2288,2615,773300,9864.0,2466055.0
1999-04-15,2713,2903,2615,2870,1938700,10826.0,2466055.0
1999-04-16,2941,3039,2614,2694,1745200,10160.0,2466055.0
1999-04-19,3101,3101,3101,3096,172500,11677.0,2466055.0
1999-04-20,3556,3556,3262,3400,2625500,12823.0,2466055.0
1999-04-21,3392,3392,2889,2936,1232200,11073.0,2466055.0
1999-04-22,2967,3137,2751,2812,608700,10604.0,2466055.0
1999-04-23,2810,2941,2810,2851,534900,10752.0,2466055.0
1999-04-26,2857,2942,2726,2759,589500,10407.0,2466055.0
1999-04-27,2679,2843,2620,2753,617600,10382.0,2466055.0
1999-04-28,2679,2928,2679,2812,711100,10604.0,2466055.0
1999-04-29,2810,3072,2712,2910,886500,10974.0,2466055.0
1999-04-30,3341,3341,3341,3341,831200,12602.0,2466055.0
1999-05-03,3838,3838,3596,3838,3547300,14476.0,2466055.0
1999-05-04,3922,4052,3529,3662,1978600,13810.0,2466055.0
1999-05-06,3857,3857,3563,3563,1150000,13440.0,2466055.0
1999-05-07,3687,4093,3687,4093,3194600,15438.0,2466055.0
1999-05-10,4282,4701,4250,4701,4844600,17731.0,2466055.0
1999-05-11,4570,4675,4413,4446,1649600,16769.0,2466055.0
1999-05-12,4445,4445,4000,4152,892500,15659.0,2466055.0
1999-05-13,3923,4544,3923,3923,954900,14796.0,2466055.0
1999-05-14,3955,4184,3596,3596,916000,13563.0,2466055.0
1999-05-17,3529,3725,3464,3662,509100,13810.0,2466055.0
1999-05-18,3595,3791,3346,3407,585000,12848.0,2466055.0
1999-05-19,3529,3784,3529,3688,536700,13909.0,2466055.0
1999-05-20,3661,3661,3269,3465,493000,13070.0,2466055.0
1999-05-21,3269,3465,3269,3341,203000,12602.0,2466055.0
1999-05-24,3138,3301,3138,3145,250400,11862.0,2466055.0
1999-05-25,2948,3301,2948,3171,903000,11960.0,2466055.0
1999-05-26,3170,3385,3170,3289,622900,12404.0,2466055.0
1999-05-27,3418,3647,3333,3335,481100,12577.0,2466055.0
1999-05-28,3465,3465,3203,3282,654600,12380.0,2466055.0
1999-05-31,3333,3379,3235,3237,692700,12207.0,2466055.0
1999-06-01,3170,3268,3170,3178,357900,11985.0,2466055.0
1999-06-02,3184,3301,3138,3210,525400,12108.0,2466055.0
1999-06-03,3327,3510,3300,3459,683400,13045.0,2466055.0
1999-06-04,3563,3589,3334,3439,660800,12971.0,2466055.0
1999-06-07,3530,3570,3367,3426,460900,12922.0,2466055.0
1999-06-08,3464,3464,3379,3420,488400,12897.0,2466055.0
1999-06-09,3400,3530,3203,3269,339500,12330.0,2466055.0
1999-06-10,3138,3269,3138,3171,326700,11960.0,2466055.0
1999-06-11,3183,3314,3176,3237,421800,12207.0,2466055.0
1999-06-14,3282,3334,3171,3171,624900,11960.0,2466055.0
1999-06-15,3170,3261,2699,3106,372100,11714.0,2466055.0
1999-06-16,3215,3215,3019,3106,182100,11714.0,2466055.0
1999-06-17,2778,3158,2778,2942,433800,11097.0,2466055.0
1999-06-18,3066,3066,2876,2942,304900,11097.0,2466055.0
1999-06-21,2974,3039,2882,2910,298900,10974.0,2466055.0
1999-06-22,2980,3235,2954,2962,505800,11171.0,2466055.0
1999-06-23,2941,3104,2810,3008,419200,11344.0,2466055.0
1999-06-24,3040,3040,2942,2975,200400,11221.0,2466055.0
1999-06-25,3006,3072,2941,3008,507500,11344.0,2466055.0
1999-06-28,3007,3014,2948,3001,259500,11319.0,2466055.0
1999-06-29,2876,2975,2870,2975,284700,11221.0,2466055.0
1999-06-30,3040,3073,2909,3073,581000,11590.0,2466055.0
1999-07-01,2908,3529,2908,3531,1009000,13317.0,2466055.0
1999-07-02,3412,3725,3412,3688,770600,13909.0,2466055.0
1999-07-05,4052,4183,3660,3662,2068200,13810.0,2466055.0
1999-07-06,3661,3726,3465,3596,559200,13563.0,2466055.0
1999-07-07,3563,3563,3400,3400,476500,12823.0,2466055.0
1999-07-08,3333,3529,3314,3505,644300,13218.0,2466055.0
1999-07-09,3465,3570,3400,3524,641000,13292.0,2466055.0
1999-07-12,4047,4047,4047,4047,699100,15265.0,2466055.0
1999-07-13,4505,4505,3694,3792,3044900,14303.0,2466055.0
1999-07-14,3995,4047,3498,3596,810800,13563.0,2466055.0
1999-07-15,3478,3726,3406,3413,556800,12873.0,2466055.0
1999-07-16,3419,3589,3419,3498,439800,13193.0,2466055.0
1999-07-19,3537,3628,3498,3596,577800,13563.0,2466055.0
1999-07-20,3470,3784,3470,3629,558300,13687.0,2466055.0
1999-07-21,3785,3792,3530,3563,473900,13440.0,2466055.0
1999-07-22,3529,3660,3268,3662,456600,13810.0,2466055.0
1999-07-23,3549,4039,3405,3433,815100,12947.0,2466055.0
1999-07-26,3432,3530,3145,3145,411900,11862.0,2466055.0
1999-07-27,3150,3333,3150,3335,274600,12577.0,2466055.0
1999-07-28,3334,3458,3334,3393,389500,12799.0,2466055.0
1999-07-29,3399,3529,3333,3335,367600,12577.0,2466055.0
1999-07-30,3399,3431,3104,3106,321100,11714.0,2466055.0
1999-08-02,3073,3269,3007,3269,251800,12330.0,2466055.0
1999-08-03,3170,3268,3137,3237,314600,12207.0,2466055.0
1999-08-04,3395,3395,3225,3240,252700,12219.0,2466055.0
1999-08-05,3300,3300,3117,3237,170200,12207.0,2466055.0
1999-08-06,3333,3333,3137,3217,149900,12133.0,2466055.0
1999-08-09,3333,3562,3104,3335,412600,12577.0,2466055.0
1999-08-10,3333,3510,3333,3335,407100,12577.0,2466055.0
1999-08-11,3333,3399,3202,3204,289300,12084.0,2466055.0
1999-08-12,3614,3614,3307,3420,507200,12897.0,2466055.0
1999-08-13,3465,3792,3341,3596,1083100,13563.0,2466055.0
1999-08-16,3660,4020,3660,3760,1186400,14180.0,2466055.0
1999-08-17,3758,3791,3333,3335,917200,12577.0,2466055.0
1999-08-18,3085,3202,2836,3093,477600,11664.0,2466055.0
1999-08-19,2890,3301,2890,3138,378200,11837.0,2466055.0
1999-08-20,3040,3230,3007,3171,199700,11960.0,2466055.0
1999-08-23,3249,3583,3105,3367,868900,12700.0,2466055.0
1999-08-24,3465,3517,3190,3243,652400,12232.0,2466055.0
