LS산전(010120),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,26682,29330,26682,27700,36170,138385.0,20350786.0
1999-01-05,28515,28515,26886,28271,44560,141234.0,20350786.0
1999-01-06,28312,30960,28312,30144,72040,150596.0,20350786.0
1999-01-07,34667,34667,33404,34666,189740,173185.0,20350786.0
1999-01-08,35481,36663,32996,33811,198900,168912.0,20350786.0
1999-01-11,33811,34626,32182,32996,101810,164841.0,20350786.0
1999-01-12,33404,33607,30960,31774,79830,158736.0,20350786.0
1999-01-13,30593,32467,30552,31366,99300,156701.0,20350786.0
1999-01-14,30960,34015,29452,31366,171890,156701.0,20350786.0
1999-01-15,36052,36052,34219,36051,278040,180104.0,20350786.0
1999-01-18,41347,41347,41347,41347,30380,206560.0,20350786.0
1999-01-19,47458,47458,47458,47457,131760,237087.0,20350786.0
1999-01-20,54383,54383,53772,54383,1014690,271683.0,20350786.0
1999-01-21,53976,56216,49495,55605,1903910,277788.0,20350786.0
1999-01-22,57031,59475,47458,47457,1168820,237087.0,20350786.0
1999-01-25,43384,47254,40736,40940,774470,204525.0,20350786.0
1999-01-26,43181,43588,37885,37884,411850,189262.0,20350786.0
1999-01-27,37926,39514,35848,39514,298540,197403.0,20350786.0
1999-01-28,39922,43995,38700,42773,639050,213683.0,20350786.0
1999-01-29,41755,45625,41551,42773,373780,213683.0,20350786.0
1999-02-01,44606,45625,42773,43587,225900,217753.0,20350786.0
1999-02-02,43588,44810,40736,42365,189040,211648.0,20350786.0
1999-02-03,42569,43181,39514,39514,139160,197403.0,20350786.0
1999-02-04,37885,39474,36663,38088,137210,190280.0,20350786.0
1999-02-05,38129,38903,36948,37477,134040,187227.0,20350786.0
1999-02-08,37477,38659,35848,36051,127840,180104.0,20350786.0
1999-02-09,34626,35074,31489,32181,95090,160771.0,20350786.0
1999-02-10,32589,36622,31408,35073,357100,175220.0,20350786.0
1999-02-11,36215,36215,34219,34422,147410,171964.0,20350786.0
1999-02-12,34626,35155,34015,34462,162720,172168.0,20350786.0
1999-02-18,35441,35441,32711,33485,98390,167283.0,20350786.0
1999-02-19,33445,33445,30960,31774,130290,158736.0,20350786.0
1999-02-22,31000,31000,29860,29981,123560,149782.0,20350786.0
1999-02-23,29860,30919,29860,30267,138220,151206.0,20350786.0
1999-02-24,30349,30960,28923,28922,121390,144491.0,20350786.0
1999-02-25,27701,28719,27293,27578,131050,137775.0,20350786.0
1999-02-26,27741,31286,27741,30552,369250,152631.0,20350786.0
1999-03-02,31652,34993,31367,32263,486090,161178.0,20350786.0
1999-03-03,33811,33811,30593,32385,316970,161789.0,20350786.0
1999-03-04,32630,33607,31571,32589,259850,162806.0,20350786.0
1999-03-05,32589,32589,31408,32589,7167570,162806.0,20350786.0
1999-03-08,33404,34422,32793,33607,412990,167894.0,20350786.0
1999-03-09,33811,35889,32996,33403,689660,166876.0,20350786.0
1999-03-10,34219,34219,32182,32670,156290,163213.0,20350786.0
1999-03-11,32793,33404,32182,32996,333960,164841.0,20350786.0
1999-03-12,33200,34137,32589,32996,601730,164841.0,20350786.0
