현대미포조선(010620),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,7099,7224,6850,7099,170500,147261.0,8611758.0
1999-01-05,7140,7680,7016,7577,410830,157165.0,8611758.0
1999-01-06,7473,8075,7349,8013,322930,166207.0,8611758.0
1999-01-07,8095,8386,7763,7930,306970,164485.0,8611758.0
1999-01-08,7846,7846,7514,7514,148660,155873.0,8611758.0
1999-01-11,7452,7514,7306,7473,102280,155012.0,8611758.0
1999-01-12,7680,7680,7182,7245,122290,150275.0,8611758.0
1999-01-13,7348,7680,7348,7431,178220,154150.0,8611758.0
1999-01-14,7223,7265,7057,7265,94570,150706.0,8611758.0
1999-01-15,7099,7265,7016,7141,93490,148481.0,8632600.0
1999-01-18,7223,7369,7161,7182,88290,149414.0,8636634.0
1999-01-19,7182,7182,6850,6892,70980,143368.0,8636634.0
1999-01-20,6933,7141,6767,6850,72540,142504.0,8636634.0
1999-01-21,6933,6933,6643,6643,75640,159924.0,9995229.0
1999-01-22,6559,6559,6372,6559,109880,157925.0,9995229.0
1999-01-25,6518,6518,6186,6394,78680,153927.0,9995229.0
1999-01-26,6394,6559,6310,6373,269280,153427.0,9995229.0
1999-01-27,6310,6477,6228,6394,94630,153927.0,9995229.0
1999-01-28,6476,6559,6227,6310,116300,151927.0,9995229.0
1999-01-29,6310,6808,6310,6559,377760,157925.0,9995229.0
1999-02-01,6601,6829,6559,6559,325420,157925.0,9995229.0
1999-02-02,6476,6808,6476,6725,542370,161923.0,9995229.0
1999-02-03,6850,7390,6767,7058,806810,169919.0,9995229.0
1999-02-04,7057,7182,6850,7182,341250,172917.0,9995229.0
1999-02-05,7182,7224,7037,7141,255100,171918.0,9995229.0
1999-02-08,6975,7099,6643,6850,165680,164921.0,9995229.0
1999-02-09,6705,6705,6310,6435,123490,154926.0,9995229.0
1999-02-10,6248,6601,6061,6559,91180,157925.0,9995229.0
1999-02-11,6310,6601,6310,6559,48580,157925.0,9995229.0
1999-02-12,6642,6829,6476,6809,78780,163922.0,9995229.0
1999-02-18,6933,6933,6559,6809,64030,163922.0,9995229.0
1999-02-19,6601,6705,6393,6643,55180,159924.0,9995229.0
1999-02-22,6477,6601,6393,6539,47660,157425.0,9995229.0
1999-02-23,6435,6559,6310,6539,44890,157425.0,9995229.0
1999-02-24,6393,6725,6393,6643,143270,159924.0,9995229.0
1999-02-25,6517,6601,6435,6601,43100,158924.0,9995229.0
1999-02-26,6601,6601,6352,6539,138360,157425.0,9995229.0
1999-03-02,6517,7016,6435,6975,218510,167920.0,9995229.0
1999-03-03,6891,6912,6725,6725,83580,161923.0,9995229.0
1999-03-04,6725,6850,6580,6725,72050,161923.0,9995229.0
1999-03-05,6725,6871,6601,6643,186220,159924.0,9995229.0
1999-03-08,6684,6996,6684,6788,143880,163422.0,9995229.0
1999-03-09,6830,7141,6830,6892,143880,165921.0,9995229.0
1999-03-10,7016,7389,6933,7265,259810,174917.0,9995229.0
1999-03-11,7265,7369,7099,7120,217360,171418.0,9995229.0
1999-03-12,7265,7307,7016,7099,126930,170918.0,9995229.0
1999-03-15,7141,7224,7058,7058,252260,169919.0,9995229.0
1999-03-16,7099,7141,6933,7099,93740,170918.0,9995229.0
1999-03-17,7099,7223,6974,7224,201330,173917.0,9995229.0
1999-03-18,7307,7598,7265,7349,517040,176916.0,9995229.0
1999-03-19,7286,7431,7286,7349,203970,176916.0,9995229.0
1999-03-22,7307,7598,7307,7307,269120,175916.0,9995229.0
1999-03-23,7265,7431,7119,7120,113400,171418.0,9995229.0
1999-03-24,7182,7514,7058,7349,263460,176916.0,9995229.0
1999-03-25,7140,7431,7099,7182,147180,172917.0,9995229.0
1999-03-26,7265,7265,7078,7078,67750,170419.0,9995229.0
1999-03-29,7120,7224,6996,6996,173190,168420.0,9995229.0
1999-03-30,7058,7224,7058,7141,95060,171920.0,9995332.0
1999-03-31,7182,7265,7016,7016,153830,168921.0,9995332.0
1999-04-01,6933,7307,6871,7141,341040,171920.0,9995332.0
1999-04-02,7265,7514,7140,7390,410630,177917.0,9995332.0
1999-04-06,7431,7846,7431,7805,483440,187912.0,9995332.0
1999-04-07,7805,7805,7556,7556,206880,181915.0,9995332.0
