삼호개발(010960),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-07-16,1230,1230,1230,1230,1240855,17589.0,14300000.0
2002-07-18,1090,1220,1090,1090,5654137,15587.0,14300000.0
2002-07-19,1100,1110,980,1030,1274251,14729.0,14300000.0
2002-07-22,1000,1000,910,910,1091098,13013.0,14300000.0
2002-07-23,860,1000,860,940,1818151,13442.0,14300000.0
2002-07-24,900,1030,850,930,1253049,13299.0,14300000.0
2002-07-25,960,980,910,910,661824,13013.0,14300000.0
2002-07-26,860,910,820,820,558316,11726.0,14300000.0
2002-07-29,840,860,800,810,398245,11583.0,14300000.0
2002-07-30,840,900,820,850,653492,12155.0,14300000.0
2002-07-31,870,910,810,870,1657647,12441.0,14300000.0
2002-08-01,890,900,820,820,864882,11726.0,14300000.0
2002-08-02,840,860,810,830,391258,11869.0,14300000.0
2002-08-05,880,880,820,820,572885,11726.0,14300000.0
2002-08-06,850,870,810,850,804807,12155.0,14300000.0
2002-08-07,900,950,860,870,3457862,12441.0,14300000.0
2002-08-08,910,970,900,970,3161872,13871.0,14300000.0
2002-08-09,1020,1040,920,940,2010734,13442.0,14300000.0
2002-08-12,930,950,890,920,736921,13156.0,14300000.0
2002-08-13,930,930,890,900,601369,12870.0,14300000.0
2002-08-14,850,1000,850,1000,3257067,14300.0,14300000.0
2002-08-16,1010,1020,940,940,1273724,13442.0,14300000.0
2002-08-19,930,960,910,920,486409,13156.0,14300000.0
2002-08-20,940,940,900,920,570989,13156.0,14300000.0
2002-08-21,900,950,900,930,768433,13299.0,14300000.0
2002-08-22,910,960,910,950,591954,13585.0,14300000.0
2002-08-23,950,980,930,950,497673,13585.0,14300000.0
2002-08-26,970,1060,950,1020,1013291,14586.0,14300000.0
2002-08-27,1000,1030,970,1020,345093,14586.0,14300000.0
2002-08-28,1020,1020,990,990,274320,14157.0,14300000.0
2002-08-29,990,1020,980,1020,224715,14586.0,14300000.0
2002-08-30,1030,1140,1020,1070,1111402,15301.0,14300000.0
2002-09-02,1080,1190,1080,1130,1960077,16159.0,14300000.0
2002-09-03,1140,1150,1000,1000,2361812,14300.0,14300000.0
2002-09-04,960,980,920,940,786574,13442.0,14300000.0
2002-09-05,950,970,910,940,704373,13442.0,14300000.0
2002-09-06,930,960,930,940,350594,13442.0,14300000.0
2002-09-09,940,950,910,920,390910,13156.0,14300000.0
2002-09-10,920,940,900,900,209841,12870.0,14300000.0
2002-09-11,920,980,910,960,538873,13728.0,14300000.0
2002-09-12,950,1030,930,1000,1013951,14300.0,14300000.0
2002-09-13,970,990,960,990,295317,14157.0,14300000.0
2002-09-16,980,1000,980,990,166521,14157.0,14300000.0
2002-09-17,980,1070,980,1040,495116,14872.0,14300000.0
2002-09-18,1030,1050,1000,1030,203710,14729.0,14300000.0
2002-09-19,1030,1070,1010,1030,136005,14729.0,14300000.0
2002-09-23,1010,1040,980,1000,169563,14300.0,14300000.0
2002-09-24,960,1020,960,1000,200270,14300.0,14300000.0
2002-09-25,980,1020,980,1000,213665,14300.0,14300000.0
2002-09-26,1000,1040,1000,1040,108879,14872.0,14300000.0
2002-09-27,1050,1050,1000,1010,90777,14443.0,14300000.0
2002-09-30,1030,1120,980,1060,518069,15158.0,14300000.0
2002-10-01,1080,1120,1060,1060,286305,15158.0,14300000.0
2002-10-02,1070,1100,1030,1030,261420,14729.0,14300000.0
2002-10-04,1000,1080,1000,1080,187042,15444.0,14300000.0
2002-10-07,1050,1070,1020,1040,54971,14872.0,14300000.0
2002-10-08,1020,1140,1020,1140,522808,16302.0,14300000.0
2002-10-09,1130,1270,1130,1270,445260,18161.0,14300000.0
2002-10-10,1360,1420,1270,1340,1386113,19162.0,14300000.0
2002-10-11,1390,1500,1180,1330,1173206,19019.0,14300000.0
2002-10-14,1360,1480,1360,1480,230738,21164.0,14300000.0
2002-10-15,1650,1650,1650,1650,25724,23595.0,14300000.0
2002-10-16,1830,1840,1700,1840,514458,26312.0,14300000.0
2002-10-17,1840,2000,1710,1850,417073,26455.0,14300000.0
2002-10-18,1840,1850,1680,1730,601750,24739.0,14300000.0
2002-10-21,1700,1800,1700,1730,193112,24739.0,14300000.0
2002-10-22,1740,1870,1660,1710,565886,24453.0,14300000.0
2002-10-23,1690,1800,1690,1770,208256,25311.0,14300000.0
2002-10-24,1770,1950,1760,1810,492346,25883.0,14300000.0
2002-10-25,1830,1940,1800,1920,420551,27456.0,14300000.0
2002-10-28,1940,1980,1840,1870,323475,26741.0,14300000.0
2002-10-29,1820,2090,1760,2090,775817,29887.0,14300000.0
