금호석유화학(011780),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,5500,5690,5200,5500,343370,112195.0,20399137.0
1999-01-05,5500,5600,5420,5490,376080,111991.0,20399137.0
1999-01-06,5500,6100,5450,5850,517520,119335.0,20399137.0
1999-01-07,6010,6150,5850,5860,450730,119539.0,20399137.0
1999-01-08,5800,6730,5700,6730,2594340,137286.0,20399137.0
1999-01-11,7220,7300,7010,7100,1556410,144834.0,20399137.0
1999-01-12,7100,7850,6800,7650,1743790,156053.0,20399137.0
1999-01-13,7650,7650,7050,7100,848500,144834.0,20399137.0
1999-01-14,6610,6990,6200,6400,667580,130554.0,20399137.0
1999-01-15,6500,7140,6450,6990,524790,142590.0,20399137.0
1999-01-18,7000,7390,7000,7200,587000,146874.0,20399137.0
1999-01-19,7400,7800,7050,7190,755050,146670.0,20399137.0
1999-01-20,7090,7150,6610,6700,459550,136674.0,20399137.0
1999-01-21,6700,6900,6510,6700,380530,136674.0,20399137.0
1999-01-22,6700,6800,5800,5900,440610,120355.0,20399137.0
1999-01-25,6010,6190,5800,5900,331400,120355.0,20399137.0
1999-01-26,6100,6140,5700,5700,251850,116275.0,20399137.0
1999-01-27,5700,5940,5400,5800,351350,118315.0,20399137.0
1999-01-28,5910,6490,5900,6000,373240,122395.0,20399137.0
1999-01-29,5900,6150,5900,6100,217440,124435.0,20399137.0
1999-02-01,6100,6540,6000,6300,339800,128515.0,20399137.0
1999-02-02,6360,6360,6000,6100,249420,124435.0,20399137.0
1999-02-03,6010,6010,5800,5800,164040,118315.0,20399137.0
1999-02-04,5620,5910,5510,5610,133310,114439.0,20399137.0
1999-02-05,5750,5760,5460,5610,160160,114439.0,20399137.0
1999-02-08,5900,5900,5630,5640,151350,115051.0,20399137.0
1999-02-09,5400,5540,5150,5170,178800,105464.0,20399137.0
1999-02-10,5200,5200,4850,5200,214160,106076.0,20399137.0
1999-02-11,5200,5320,5100,5170,126570,105464.0,20399137.0
1999-02-12,5290,5340,5200,5280,108100,107707.0,20399137.0
1999-02-18,5380,5480,5010,5130,76620,104648.0,20399137.0
1999-02-19,5000,5010,4520,4890,261880,99752.0,20399137.0
1999-02-22,4610,4770,4600,4650,82510,94856.0,20399137.0
1999-02-23,4600,4700,4430,4500,120790,91796.0,20399137.0
1999-02-24,4410,4600,4250,4250,103810,86696.0,20399137.0
1999-02-25,4200,4250,4000,4150,143060,84656.0,20399137.0
1999-02-26,4050,4290,4050,4260,160020,86900.0,20399137.0
1999-03-02,4310,4780,4310,4740,177370,96692.0,20399137.0
1999-03-03,4740,4750,4450,4550,135180,92816.0,20399137.0
1999-03-04,4590,4900,4500,4700,261030,95876.0,20399137.0
1999-03-05,4600,4850,4600,4810,137340,98120.0,20399137.0
1999-03-08,4950,5170,4950,5100,235300,104036.0,20399137.0
1999-03-09,5010,5220,5010,5050,148210,103016.0,20399137.0
1999-03-10,5060,5060,4890,5020,98490,102404.0,20399137.0
1999-03-11,5100,5400,5100,5270,189400,107503.0,20399137.0
1999-03-12,5400,5600,5280,5500,278130,112195.0,20399137.0
1999-03-15,5800,5800,5550,5600,182380,114235.0,20399137.0
1999-03-16,5780,5780,5500,5600,113160,114235.0,20399137.0
1999-03-17,5640,5700,5450,5500,176220,112195.0,20399137.0
1999-03-18,5450,5650,5450,5550,292520,113215.0,20399137.0
1999-03-19,5550,5680,5450,5610,201690,114439.0,20399137.0
1999-03-22,5600,6000,5350,5510,229420,112399.0,20399137.0
1999-03-23,5520,5520,5300,5340,174730,108931.0,20399137.0
1999-03-24,5300,5400,5140,5300,226090,108115.0,20399137.0
1999-03-25,5200,5440,5200,5320,238300,108523.0,20399137.0
1999-03-26,5320,5390,5120,5120,175090,104444.0,20399137.0
1999-03-29,5030,5090,4910,5050,172910,103016.0,20399137.0
1999-03-30,5100,5290,5100,5250,91610,107095.0,20399137.0
1999-03-31,5300,5300,5150,5150,104750,105056.0,20399137.0
1999-04-01,5200,5300,5200,5250,119790,107095.0,20399137.0
1999-04-02,5350,5550,5300,5410,247610,110359.0,20399137.0
1999-04-06,5600,6200,5500,6100,599300,124435.0,20399137.0
1999-04-07,6100,6350,5810,5900,379640,120355.0,20399137.0
1999-04-08,5900,6200,5610,6100,490730,124435.0,20399137.0
1999-04-09,6130,6240,5960,6050,304450,123415.0,20399137.0
1999-04-12,6000,6100,5700,5810,197070,118519.0,20399137.0
1999-04-13,5700,6050,5650,5820,246620,118723.0,20399137.0
1999-04-14,5930,5950,5760,5810,176560,118519.0,20399137.0
1999-04-15,5820,6300,5820,6250,522840,127495.0,20399137.0
1999-04-16,6500,6850,6400,6650,1087870,135654.0,20399137.0
1999-04-19,6800,6900,6500,6500,516950,132594.0,20399137.0
1999-04-20,6650,6890,6600,6600,476000,134634.0,20399137.0
1999-04-21,6400,6690,6210,6250,328840,127495.0,20399137.0
1999-04-22,6100,6790,6100,6550,415670,133614.0,20399137.0
1999-04-23,6610,6850,6600,6850,593770,139734.0,20399137.0
1999-04-26,6850,7600,6500,7600,803770,155033.0,20399137.0
1999-04-27,8000,8500,7260,8160,1400140,166457.0,20399137.0
1999-04-28,8160,8600,7850,8300,825030,169313.0,20399137.0
1999-04-29,9500,9500,8710,8800,1342930,179512.0,20399137.0
1999-04-30,8900,9000,8100,8500,402680,173393.0,20399137.0
1999-05-03,8350,8800,8200,8360,409310,170537.0,20399137.0
1999-05-04,8360,8800,8360,8560,468960,174617.0,20399137.0
1999-05-06,8710,8900,8610,8810,605360,179716.0,20399137.0
1999-05-07,8810,8990,8410,8500,347900,173393.0,20399137.0
1999-05-10,8300,8350,8100,8110,464730,165437.0,20399137.0
1999-05-11,8130,8380,7840,7840,574300,159929.0,20399137.0
1999-05-12,7800,7800,7400,7450,324880,151974.0,20399137.0
1999-05-13,7450,7700,7280,7280,376370,148506.0,20399137.0
1999-05-14,7350,7520,6910,6930,291750,141366.0,20399137.0
1999-05-17,6800,6950,6610,6610,170110,134838.0,20399137.0
1999-05-18,6350,6700,6350,6550,238340,133614.0,20399137.0
1999-05-19,6700,7350,6600,6920,456410,141162.0,20399137.0
1999-05-20,6900,6900,6300,6300,174100,128515.0,20399137.0
1999-05-21,6460,6500,6220,6390,220660,130350.0,20399137.0
1999-05-24,6480,6640,6310,6450,240810,131574.0,20399137.0
1999-05-25,6580,6800,6420,6800,224390,138714.0,20399137.0
1999-05-26,7000,7390,6860,7350,494140,149934.0,20399137.0
1999-05-27,7400,7400,6830,7040,432370,143610.0,20399137.0
1999-05-28,6920,7070,6800,6950,224820,141774.0,20399137.0
1999-05-31,6950,7070,6750,6750,195710,137694.0,20399137.0
1999-06-01,6700,6800,6550,6650,129860,135654.0,20399137.0
1999-06-02,6700,7050,6700,7050,306820,143814.0,20399137.0
1999-06-03,7110,7890,6960,7390,774480,150750.0,20399137.0
1999-06-04,7600,7600,7100,7210,275460,147078.0,20399137.0
1999-06-07,7310,7480,7230,7300,346730,148914.0,20399137.0
1999-06-08,7410,7600,7200,7590,360450,154829.0,20399137.0
1999-06-09,7500,7590,7200,7200,364880,146874.0,20399137.0
1999-06-10,7200,7300,7050,7200,291380,146874.0,20399137.0
1999-06-11,7300,7360,7000,7010,243960,142998.0,20399137.0
1999-06-14,7290,7400,7100,7150,200920,145854.0,20399137.0
