경동인베스트(012320),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,14103,14754,14103,14756,19170,46200.0,2400000.0
1999-01-05,14947,15560,14794,15331,39400,48000.0,2400000.0
1999-01-06,15867,17208,15331,17209,65930,53880.0,2400000.0
1999-01-07,17210,17631,16482,17324,47510,54240.0,2400000.0
1999-01-08,17630,17630,16863,17133,32030,53640.0,2400000.0
1999-01-11,17094,18014,15331,17631,72630,55200.0,2400000.0
1999-01-12,17247,18167,17247,17784,38580,55680.0,2400000.0
1999-01-13,17860,18014,17324,17631,34150,55200.0,2400000.0
1999-01-14,17246,17937,17094,17631,38020,55200.0,2400000.0
1999-01-15,17245,18549,17245,18052,36080,56520.0,2400000.0
1999-01-18,17401,19547,17401,18781,45580,58800.0,2400000.0
1999-01-19,18858,19164,18397,18857,14270,59040.0,2400000.0
1999-01-20,17822,18857,17822,18781,35680,58800.0,2400000.0
1999-01-21,18628,18628,17746,18397,18110,57600.0,2400000.0
1999-01-22,17631,18321,16979,18014,6660,56400.0,2400000.0
1999-01-25,17170,17938,17170,17171,6340,53760.0,2400000.0
1999-01-26,17170,17631,15024,15025,9670,47040.0,2400000.0
1999-01-27,15330,17131,15330,16634,12070,52080.0,2400000.0
1999-01-28,15944,17400,15944,16174,940,50640.0,2400000.0
1999-01-29,15714,16711,15714,16251,3260,50880.0,2400000.0
1999-02-01,16251,17018,16251,16481,8710,51600.0,2400000.0
1999-02-02,16595,16863,16556,16634,6090,52080.0,2400000.0
1999-02-03,16211,16825,16097,16787,10740,52560.0,2400000.0
1999-02-04,16824,16940,15330,16864,24660,52800.0,2400000.0
1999-02-05,15829,18397,15829,17631,41110,55200.0,2400000.0
1999-02-08,17630,17630,16556,16864,790,52800.0,2400000.0
1999-02-09,16173,16211,16096,16212,1780,50760.0,2400000.0
1999-02-10,15331,16098,15331,16098,2340,50400.0,2400000.0
1999-02-11,16098,16712,16098,16098,2010,50400.0,2400000.0
1999-02-12,16098,16712,16098,16711,12040,52320.0,2400000.0
1999-02-18,16711,16863,16136,16558,5050,51840.0,2400000.0
