현대모비스(012330),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,3870,4122,3852,3964,478040,201792.0,32030484.0
1999-01-05,4091,4519,4034,4373,1294420,222612.0,32030484.0
1999-01-06,4412,4909,4311,4782,2641620,243432.0,32030484.0
1999-01-07,4846,4909,4607,4657,2020990,237026.0,32030484.0
1999-01-08,4531,5022,4405,4814,3404710,398033.0,52030484.0
1999-01-11,4720,4972,4663,4858,2373810,401675.0,52030484.0
1999-01-12,4909,5582,4726,5582,4266050,461510.0,52030484.0
1999-01-13,5538,5891,5349,5349,4577230,442259.0,52030484.0
1999-01-14,5161,5223,4600,4720,2178040,390229.0,52030484.0
1999-01-15,5041,5280,4783,5034,2581170,416244.0,52030484.0
1999-01-18,5538,5538,4909,4971,3343890,411041.0,52030484.0
1999-01-19,5098,5280,4978,5066,2588370,418845.0,52030484.0
1999-01-20,5098,5129,4846,4845,1325360,400635.0,52030484.0
1999-01-21,4720,4783,4399,4399,1351440,363693.0,52030484.0
1999-01-22,4279,4720,4223,4675,2509490,386586.0,52030484.0
1999-01-25,4846,4909,4657,4770,1407570,394391.0,52030484.0
1999-01-26,4814,5022,4689,4915,2467320,406358.0,52030484.0
1999-01-27,4972,5651,4940,5651,4231040,467234.0,52030484.0
1999-01-28,5645,5972,5450,5538,5598390,457868.0,52030484.0
1999-01-29,5601,6287,5570,6167,8166330,509899.0,52030484.0
1999-02-01,6230,6482,6010,6136,5681860,507297.0,52030484.0
1999-02-02,6287,6287,5853,5984,3718190,494810.0,52030484.0
1999-02-03,5991,6035,5727,5846,5914460,483363.0,52030484.0
1999-02-04,5664,5784,5161,5223,2149460,431855.0,52030711.0
1999-02-05,5349,5651,5167,5405,4217020,446944.0,52030711.0
1999-02-08,5400,5475,5098,5097,2333720,421449.0,52030711.0
1999-02-09,5105,5135,4561,4680,1283020,326753.0,52030711.0
1999-02-10,4472,5008,4472,4941,1284860,344964.0,52030711.0
1999-02-11,5008,5515,5008,5291,1538780,369418.0,52030711.0
1999-02-12,5373,5515,5269,5365,1313310,374621.0,52030711.0
1999-02-18,5403,5440,5068,5105,620500,356410.0,52030711.0
1999-02-19,4956,5068,4710,4993,913310,348606.0,52030711.0
1999-02-22,4881,5209,4859,4993,647810,348606.0,52030711.0
1999-02-23,4993,5127,4852,4911,430770,342882.0,52030711.0
1999-02-24,4911,5016,4844,4844,361020,338200.0,52030711.0
1999-02-25,4710,4770,4561,4695,584260,327793.0,52030711.0
1999-02-26,4695,4919,4695,4918,541840,343403.0,52030711.0
1999-03-02,5068,5180,4963,5030,788610,351207.0,52030711.0
1999-03-03,5075,5098,4904,4978,488200,347565.0,52030711.0
1999-03-04,5001,5031,4911,4911,447890,342882.0,52030711.0
1999-03-05,4807,4919,4777,4851,582140,338720.0,52030711.0
1999-03-08,4904,5217,4852,5179,2229860,361613.0,52030711.0
1999-03-09,5180,5440,5068,5067,3227350,353809.0,52030711.0
