경인양행(012610),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,2978,2978,2801,2821,30330,51944.0,1720000.0
1999-01-05,2820,2866,2745,2868,44750,52804.0,1720000.0
1999-01-06,2848,3081,2848,3083,89490,56760.0,1720000.0
1999-01-07,3081,3174,3016,3064,79000,56416.0,1720000.0
1999-01-08,3082,3101,2989,2989,51820,55040.0,1720000.0
1999-01-11,2989,3157,2970,3054,76810,56244.0,1720000.0
1999-01-12,3090,3100,2848,2938,49190,54094.0,1720000.0
1999-01-13,2932,3174,2894,3176,63740,58480.0,1720000.0
1999-01-14,3072,3109,2894,2896,40080,53320.0,1720000.0
1999-01-15,2849,2975,2849,2942,16760,78120.0,2480000.0
1999-01-18,2989,3119,2905,2970,35940,78864.0,2480000.0
1999-01-19,2988,2988,2848,2849,24750,75640.0,2480000.0
1999-01-20,2923,2923,2755,2802,30320,74400.0,2480000.0
1999-01-21,2718,2774,2615,2634,17640,69936.0,2480000.0
1999-01-22,2568,2587,2428,2503,22610,66464.0,2480000.0
1999-01-25,2428,2494,2335,2335,18560,62000.0,2480000.0
1999-01-26,2428,2475,2335,2335,21660,62000.0,2480000.0
1999-01-27,2363,2428,2363,2419,11100,64232.0,2480000.0
1999-01-28,2438,2559,2428,2503,16130,66464.0,2480000.0
1999-01-29,2531,2550,2475,2531,15010,67208.0,2480000.0
1999-02-01,2550,2624,2494,2587,18650,68696.0,2480000.0
1999-02-02,2614,2614,2493,2569,19290,68200.0,2480000.0
1999-02-03,2511,2558,2437,2438,9600,64728.0,2480000.0
1999-02-04,2371,2474,2371,2438,6550,64728.0,2480000.0
1999-02-05,2451,2507,2437,2443,18780,64852.0,2480000.0
1999-02-08,2452,2522,2442,2466,13890,65472.0,2480000.0
1999-02-09,2465,2465,2259,2289,15290,60760.0,2480000.0
1999-02-10,2240,2465,2240,2396,19590,63612.0,2480000.0
1999-02-11,2427,2446,2343,2382,17430,63240.0,2480000.0
1999-02-12,2446,2446,2380,2410,11760,63984.0,2480000.0
1999-02-18,2427,2427,2315,2326,5250,61752.0,2480000.0
1999-02-19,2250,2278,2175,2242,14920,59520.0,2480000.0
1999-02-22,2195,2195,2120,2148,10050,57040.0,2480000.0
1999-02-23,2241,2307,2204,2251,24560,59768.0,2480000.0
1999-02-24,2213,2269,2176,2176,4360,57784.0,2480000.0
1999-02-25,2148,2241,2148,2148,19470,57040.0,2480000.0
1999-02-26,2157,2232,2157,2195,4580,58280.0,2480000.0
1999-03-02,2240,2268,2212,2242,12420,59520.0,2480000.0
1999-03-03,2241,2241,2204,2209,5290,58652.0,2480000.0
1999-03-04,2194,2287,2184,2242,11990,59520.0,2480000.0
1999-03-05,2203,2268,2203,2270,7160,60264.0,2480000.0
1999-03-08,2316,2363,2288,2363,13880,62744.0,2480000.0
1999-03-09,2391,2391,2297,2307,9410,61256.0,2480000.0
1999-03-10,2306,2324,2240,2242,7650,59520.0,2480000.0
1999-03-11,2240,2324,2240,2270,12880,60264.0,2480000.0
1999-03-12,2287,2399,2287,2345,20260,62248.0,2480000.0
1999-03-15,2428,2428,2335,2335,24350,62000.0,2480000.0
1999-03-16,2306,2446,2306,2410,22360,63984.0,2480000.0
1999-03-17,2427,2474,2343,2401,12880,63736.0,2480000.0
1999-03-18,2372,2391,2335,2335,11790,62000.0,2480000.0
1999-03-19,2335,2372,2316,2335,11200,62000.0,2480000.0
1999-03-22,2316,2391,2307,2307,13360,61256.0,2480000.0
1999-03-23,2334,2371,2296,2354,13500,62496.0,2480000.0
1999-03-24,2363,2531,2335,2531,59310,67208.0,2480000.0
1999-03-25,2522,2596,2475,2578,50820,68448.0,2480000.0
1999-03-26,2522,2746,2522,2587,175940,68696.0,2480000.0
1999-03-29,2539,2577,2483,2499,33270,66340.0,2480000.0
1999-03-30,2521,2670,2521,2597,39000,68944.0,2480000.0
1999-03-31,2540,2699,2540,2662,83020,70680.0,2480000.0
1999-04-01,2708,2736,2606,2662,62750,70680.0,2480000.0
1999-04-02,2680,2680,2601,2634,30860,69936.0,2480000.0
1999-04-06,2634,2671,2578,2643,37890,70184.0,2480000.0
1999-04-07,2605,2698,2605,2625,65010,69688.0,2480000.0
1999-04-08,2615,2638,2550,2578,30970,68448.0,2480000.0
1999-04-09,2595,2605,2539,2569,41630,68200.0,2480000.0
1999-04-12,2568,2568,2494,2522,25520,66960.0,2480000.0
1999-04-13,2540,2578,2522,2522,26360,66960.0,2480000.0
1999-04-14,2502,2661,2502,2597,35080,68944.0,2480000.0
1999-04-15,2606,2662,2550,2615,40820,69440.0,2480000.0
1999-04-16,2634,2680,2550,2550,27250,67704.0,2480000.0
1999-04-19,2550,2615,2550,2550,37390,67704.0,2480000.0
1999-04-20,2550,2596,2550,2578,30020,68448.0,2480000.0
1999-04-21,2615,2755,2596,2662,61480,70680.0,2480000.0
1999-04-22,2707,2735,2567,2625,35020,69688.0,2480000.0
1999-04-23,2634,2690,2624,2643,37140,70184.0,2480000.0
1999-04-26,2661,2698,2577,2681,40560,71176.0,2480000.0
1999-04-27,2707,2904,2679,2821,70220,74896.0,2480000.0
1999-04-28,2821,2905,2783,2877,51580,76384.0,2480000.0
1999-04-29,2899,2988,2820,2896,81700,76880.0,2480000.0
1999-04-30,2941,2941,2754,2849,36480,75640.0,2480000.0
1999-05-03,2848,3034,2848,2966,90210,78740.0,2480000.0
1999-05-04,2989,3409,2989,3409,252740,90520.0,2480000.0
1999-05-06,3917,3917,3455,3550,661180,94240.0,2480000.0
1999-05-07,3045,3502,3045,3316,159120,88040.0,2480000.0
1999-05-10,3371,3380,3221,3335,83320,88536.0,2480000.0
1999-05-11,3333,3688,3315,3363,110060,89280.0,2480000.0
1999-05-12,3361,3455,3231,3279,51700,87048.0,2480000.0
1999-05-13,3193,3277,2988,3167,51420,84072.0,2480000.0
1999-05-14,3129,3185,2970,3054,36690,81096.0,2480000.0
1999-05-17,3053,3053,2726,2756,40110,73160.0,2480000.0
1999-05-18,2661,2838,2661,2709,30890,71920.0,2480000.0
1999-05-19,2895,2895,2755,2774,30690,73656.0,2480000.0
1999-05-20,2849,2849,2662,2690,33320,71424.0,2480000.0
1999-05-21,2662,2764,2624,2704,20020,71796.0,2480000.0
1999-05-24,2704,2736,2615,2643,25300,70184.0,2480000.0
1999-05-25,2651,2749,2651,2737,26930,72664.0,2480000.0
1999-05-26,2754,2922,2754,2849,57500,75640.0,2480000.0
1999-05-27,2849,2886,2802,2802,24100,74400.0,2480000.0
1999-05-28,2801,2834,2773,2821,15720,74896.0,2480000.0
1999-05-31,2810,2885,2754,2756,20940,73160.0,2480000.0
1999-06-01,2782,2782,2670,2709,22040,71920.0,2480000.0
1999-06-02,2708,2905,2708,2802,43820,74400.0,2480000.0
1999-06-03,2810,2862,2717,2756,36350,73160.0,2480000.0
1999-06-04,2821,2830,2718,2802,15510,74400.0,2480000.0
1999-06-07,2802,2886,2802,2830,24780,75144.0,2480000.0
1999-06-08,2830,2989,2774,2989,53230,79360.0,2480000.0
1999-06-09,2983,2983,2754,2756,33820,73160.0,2480000.0
1999-06-10,2764,2849,2708,2802,29640,74400.0,2480000.0
1999-06-11,2848,2960,2801,2896,41780,76880.0,2480000.0
1999-06-14,2894,2988,2810,2849,30320,75640.0,2480000.0
1999-06-15,2811,2867,2708,2802,31820,74400.0,2480000.0
1999-06-16,2849,2863,2802,2802,33520,74400.0,2480000.0
1999-06-17,2802,2886,2755,2802,24870,74400.0,2480000.0
1999-06-18,2802,2849,2746,2746,17920,72912.0,2480000.0
1999-06-21,2782,2876,2675,2849,44610,75640.0,2480000.0
1999-06-22,2876,2894,2754,2798,33580,74276.0,2480000.0
1999-06-23,2838,2946,2787,2924,51280,77624.0,2480000.0
1999-06-24,3003,3073,2923,2942,47550,78120.0,2480000.0
1999-06-25,3006,3006,2894,2896,27680,76880.0,2480000.0
1999-06-28,2942,2942,2849,2914,58730,77376.0,2480000.0
1999-06-29,2858,3073,2858,2989,60450,79360.0,2480000.0
1999-06-30,3082,3147,2998,3059,91680,81220.0,2480000.0
1999-07-01,3081,3165,3053,3092,72880,82088.0,2480000.0
1999-07-02,3118,3343,3090,3223,81460,85560.0,2480000.0
1999-07-05,3259,3296,3165,3176,47520,84320.0,2480000.0
1999-07-06,3175,3241,3138,3213,48540,85312.0,2480000.0
1999-07-07,3194,3222,3101,3157,70420,83824.0,2480000.0
1999-07-08,3157,3353,3082,3255,97050,86428.0,2480000.0
1999-07-09,3221,3268,3156,3223,44570,85560.0,2480000.0
1999-07-12,3184,3259,3081,3083,66430,81840.0,2480000.0
1999-07-13,3081,3081,2941,2980,45160,79112.0,2480000.0
1999-07-14,3100,3100,2848,2849,31370,75640.0,2480000.0
1999-07-15,2820,2880,2805,2840,22150,75392.0,2480000.0
1999-07-16,2810,2904,2810,2896,30260,76880.0,2480000.0
1999-07-19,2913,2969,2848,2896,28370,76880.0,2480000.0
1999-07-20,2951,3063,2877,2942,57400,78120.0,2480000.0
1999-07-21,2989,2989,2802,2830,34310,75144.0,2480000.0
1999-07-22,2805,2843,2707,2765,25080,73408.0,2480000.0
1999-07-23,2764,2783,2578,2587,42570,68696.0,2480000.0
1999-07-26,2550,2550,2199,2279,40600,60512.0,2480000.0
1999-07-27,2296,2521,2250,2382,42550,63240.0,2480000.0
1999-07-28,2428,2447,2381,2419,29170,64232.0,2480000.0
1999-07-29,2419,2578,2405,2517,52290,66836.0,2480000.0
1999-07-30,2531,2531,2344,2391,30120,63488.0,2480000.0
1999-08-02,2391,2419,2344,2363,30110,62744.0,2480000.0
1999-08-03,2381,2466,2381,2447,22800,64976.0,2480000.0
1999-08-04,2447,2606,2447,2522,30140,66960.0,2480000.0
1999-08-05,2427,2567,2427,2429,32740,64480.0,2480000.0
1999-08-06,2447,2512,2447,2475,22880,65720.0,2480000.0
1999-08-09,2438,2475,2391,2391,18000,63488.0,2480000.0
1999-08-10,2381,2456,2363,2363,20500,62744.0,2480000.0
1999-08-11,2362,2380,2259,2326,18840,61752.0,2480000.0
1999-08-12,2367,2391,2288,2335,23620,62000.0,2480000.0
1999-08-13,2307,2391,2265,2391,26460,63488.0,2480000.0
1999-08-16,2432,2507,2380,2457,38370,65224.0,2480000.0
1999-08-17,2427,2455,2240,2242,27750,59520.0,2480000.0
1999-08-18,2194,2240,1913,2027,27870,53816.0,2480000.0
1999-08-19,2054,2128,2035,2102,24850,55800.0,2480000.0
1999-08-20,2101,2162,2008,2083,11700,55304.0,2480000.0
1999-08-23,2072,2128,2072,2102,16810,55800.0,2480000.0
1999-08-24,2111,2157,2083,2111,34610,56048.0,2480000.0
1999-08-25,2129,2185,2120,2120,27800,56296.0,2480000.0
1999-08-26,2147,2147,2091,2102,24300,55800.0,2480000.0
1999-08-27,2269,2316,2167,2232,100750,59272.0,2480000.0
1999-08-30,2259,2380,2166,2303,97680,61132.0,2480000.0
1999-08-31,2296,2334,2217,2228,41090,59148.0,2480000.0
1999-09-01,2232,2288,2195,2195,30860,58280.0,2480000.0
1999-09-02,2148,2241,2064,2064,33300,54808.0,2480000.0
1999-09-03,1961,2097,1961,2055,23980,54560.0,2480000.0
1999-09-06,2054,2086,2016,2027,17530,53816.0,2480000.0
1999-09-07,2055,2167,2036,2148,24970,57040.0,2480000.0
1999-09-08,2100,2147,2054,2060,10770,54684.0,2480000.0
1999-09-09,2063,2119,2044,2060,15110,54684.0,2480000.0
1999-09-10,2036,2139,2036,2120,13860,56296.0,2480000.0
1999-09-13,2138,2184,2100,2102,26210,55800.0,2480000.0
1999-09-14,2097,2097,2036,2036,21200,54064.0,2480000.0
1999-09-15,2072,2128,2026,2060,28990,54684.0,2480000.0
1999-09-16,2059,2101,2055,2055,18160,54560.0,2480000.0
1999-09-17,1988,2054,1895,2018,14590,53568.0,2480000.0
1999-09-20,2022,2241,1961,2148,59040,57040.0,2480000.0
1999-09-21,2143,2213,2083,2176,51170,57784.0,2480000.0
1999-09-22,2167,2167,2083,2083,33820,55304.0,2480000.0
1999-09-27,2086,2086,1979,2027,15680,53816.0,2480000.0
1999-09-28,1979,2086,1974,1976,11920,52452.0,2480000.0
1999-09-29,1928,2017,1914,1924,24420,51088.0,2480000.0
1999-09-30,1895,1932,1829,1831,15950,48608.0,2480000.0
1999-10-01,1792,1839,1699,1761,26150,46748.0,2480000.0
1999-10-04,1700,1896,1700,1756,19490,46624.0,2480000.0
1999-10-05,1709,1816,1681,1681,19180,44640.0,2480000.0
1999-10-06,1690,1756,1644,1728,17150,45880.0,2480000.0
1999-10-07,1728,1821,1718,1821,20350,48360.0,2480000.0
1999-10-08,1690,1821,1690,1765,7830,46872.0,2480000.0
1999-10-11,1773,1848,1755,1775,12230,47120.0,2480000.0
1999-10-12,1755,1932,1755,1887,44520,50096.0,2480000.0
1999-10-13,1840,1868,1798,1840,13230,48856.0,2480000.0
1999-10-14,1891,1891,1793,1821,17650,48360.0,2480000.0
1999-10-15,1802,1844,1793,1807,11910,47988.0,2480000.0
1999-10-18,1774,1826,1686,1686,9780,44764.0,2480000.0
1999-10-19,1681,1746,1653,1653,17730,43896.0,2480000.0
1999-10-20,1704,1728,1695,1728,11150,45880.0,2480000.0
1999-10-21,1746,1793,1714,1714,15240,45508.0,2480000.0
1999-10-22,1714,1751,1686,1700,9290,45136.0,2480000.0
1999-10-25,1713,1713,1633,1663,11440,44144.0,2480000.0
1999-10-26,1639,1676,1606,1653,8510,43896.0,2480000.0
1999-10-27,1634,1681,1616,1644,11200,43648.0,2480000.0
1999-10-28,1662,1774,1634,1728,27420,45880.0,2480000.0
1999-10-29,1727,1885,1717,1817,55260,48236.0,2480000.0
1999-11-01,1821,1849,1784,1793,18710,47616.0,2480000.0
1999-11-02,1792,1960,1759,1850,54880,49104.0,2480000.0
1999-11-03,1849,1868,1784,1807,30900,47988.0,2480000.0
1999-11-04,1812,1863,1793,1812,11710,48112.0,2480000.0
1999-11-05,1821,1858,1774,1784,30850,47368.0,2480000.0
1999-11-08,1792,1904,1792,1850,41630,49104.0,2480000.0
1999-11-09,1905,2125,1868,2125,114440,56420.0,2480000.0
1999-11-10,2195,2195,2064,2092,83360,55552.0,2480000.0
1999-11-11,2064,2232,2017,2176,63690,57784.0,2480000.0
1999-11-12,2231,2231,2012,2074,43740,55056.0,2480000.0
1999-11-15,2035,2054,1941,1943,32690,51584.0,2480000.0
1999-11-16,1904,1998,1862,1943,36670,51584.0,2480000.0
1999-11-17,1946,1988,1783,1887,33720,50096.0,2480000.0
1999-11-18,1690,1905,1690,1896,34370,50344.0,2480000.0
1999-11-19,1914,1947,1821,1821,30420,48360.0,2480000.0
1999-11-22,1848,1923,1820,1845,25770,48980.0,2480000.0
1999-11-23,1821,1830,1756,1765,19650,46872.0,2480000.0
1999-11-24,1718,1746,1681,1681,20740,44640.0,2480000.0
1999-11-25,1699,1699,1615,1635,23240,43400.0,2480000.0
1999-11-26,1633,1661,1530,1607,22020,42656.0,2480000.0
1999-11-29,1536,1611,1513,1541,13960,40920.0,2480000.0
1999-11-30,1512,1633,1512,1635,34680,43400.0,2480000.0
1999-12-01,1544,1601,1544,1551,11330,41168.0,2480000.0
1999-12-02,1587,1708,1582,1616,43220,42904.0,2480000.0
1999-12-03,1634,1774,1559,1700,55930,45136.0,2480000.0
1999-12-06,1745,1745,1596,1635,17620,43400.0,2480000.0
1999-12-07,1601,1601,1521,1532,33310,40672.0,2480000.0
1999-12-08,1522,1550,1419,1499,30160,39804.0,2480000.0
1999-12-09,1521,1540,1493,1518,39820,40300.0,2480000.0
1999-12-10,1437,1605,1437,1579,36670,41912.0,2480000.0
1999-12-13,1601,1652,1563,1588,32690,42160.0,2480000.0
1999-12-14,1606,1826,1588,1826,42900,48484.0,2480000.0
1999-12-15,1904,2096,1778,1962,162620,52080.0,2480000.0
1999-12-16,2027,2027,1812,1835,77880,48732.0,2480000.0
1999-12-17,1857,1960,1587,1607,42680,42656.0,2480000.0
1999-12-20,1633,1689,1605,1616,26520,42904.0,2480000.0
1999-12-21,1615,1615,1493,1495,26380,39680.0,2480000.0
1999-12-22,1474,1568,1428,1495,26200,39680.0,2480000.0
1999-12-23,1437,1549,1437,1476,24520,39184.0,2480000.0
1999-12-24,1446,1521,1446,1467,28350,38936.0,2480000.0
1999-12-27,1465,1540,1334,1336,26830,35464.0,2480000.0
1999-12-28,1354,1410,1340,1368,23330,36332.0,2480000.0
2000-01-04,1381,1493,1381,1467,8870,38936.0,2480000.0
2000-01-05,1541,1569,1494,1541,28980,40920.0,2480000.0
2000-01-06,1680,1680,1400,1448,27770,38440.0,2480000.0
2000-01-07,1465,1530,1390,1504,23060,39928.0,2480000.0
2000-01-10,1447,1550,1447,1513,16520,40176.0,2480000.0
2000-01-11,1508,1508,1457,1471,13510,39060.0,2480000.0
2000-01-12,1470,1502,1395,1406,16120,37324.0,2480000.0
2000-01-13,1437,1474,1404,1448,16900,38440.0,2480000.0
2000-01-14,1447,1466,1396,1401,15150,37200.0,2480000.0
2000-01-17,1475,1475,1401,1401,16500,37200.0,2480000.0
2000-01-18,1429,1429,1368,1401,35840,37200.0,2480000.0
2000-01-19,1429,1429,1335,1345,23910,35712.0,2480000.0
2000-01-20,1317,1345,1242,1242,15650,32984.0,2480000.0
2000-01-21,1241,1306,1241,1308,15600,34720.0,2480000.0
2000-01-24,1306,1348,1306,1308,12210,34720.0,2480000.0
2000-01-25,1306,1325,1250,1252,12050,33232.0,2480000.0
2000-01-26,1250,1288,1250,1280,10180,33976.0,2480000.0
2000-01-27,1278,1390,1278,1336,24810,35464.0,2480000.0
2000-01-28,1345,1401,1289,1298,17680,34472.0,2480000.0
2000-01-31,1307,1321,1261,1312,12080,34844.0,2480000.0
2000-02-01,1345,1373,1321,1326,19890,35216.0,2480000.0
2000-02-02,1334,1446,1334,1392,29870,36952.0,2480000.0
2000-02-03,1400,1484,1400,1476,25570,39184.0,2480000.0
2000-02-07,1493,1493,1404,1448,25020,38440.0,2480000.0
2000-02-08,1494,1494,1401,1401,14010,37200.0,2480000.0
2000-02-09,1409,1456,1400,1439,16760,38192.0,2480000.0
2000-02-10,1437,1460,1390,1448,26350,38440.0,2480000.0
2000-02-11,1438,1541,1419,1513,65360,40176.0,2480000.0
2000-02-14,1512,1530,1465,1495,32400,39680.0,2480000.0
2000-02-15,1447,1494,1424,1485,29370,39432.0,2480000.0
2000-02-16,1465,1484,1409,1462,20200,38812.0,2480000.0
2000-02-17,1381,1675,1381,1677,57610,44516.0,2480000.0
2000-02-18,1924,1924,1924,1924,46960,51088.0,2480000.0
2000-02-21,2209,2209,2209,2209,35980,58652.0,2480000.0
2000-02-22,2536,2536,2536,2536,9400,67332.0,2480000.0
2000-02-23,2913,2913,2156,2158,619010,57288.0,2480000.0
2000-02-24,2241,2480,2111,2480,403270,65844.0,2480000.0
2000-02-25,2489,2792,2335,2335,372130,62000.0,2480000.0
2000-02-28,2390,2684,2287,2686,269120,71300.0,2480000.0
2000-02-29,2708,3073,2596,2643,415090,70184.0,2480000.0
2000-03-02,2708,2839,2381,2522,172670,66960.0,2480000.0
2000-03-03,2540,2606,2325,2335,111290,62000.0,2480000.0
2000-03-06,2288,2680,2279,2522,180070,66960.0,2480000.0
2000-03-07,2474,2521,2254,2256,75690,59892.0,2480000.0
2000-03-08,2259,2380,2100,2261,112950,60016.0,2480000.0
2000-03-09,2198,2357,2147,2242,86020,59520.0,2480000.0
2000-03-10,2335,2578,2255,2578,248700,68448.0,2480000.0
2000-03-13,2614,2670,2437,2452,124940,65100.0,2480000.0
2000-03-14,2461,2470,2148,2176,85380,57784.0,2480000.0
2000-03-15,2147,2315,2100,2158,97220,57288.0,2480000.0
2000-03-16,2148,2223,1919,1924,73130,51088.0,2480000.0
2000-03-17,1924,2008,1858,1868,55250,49600.0,2480000.0
2000-03-20,1867,2054,1867,1990,59010,52824.0,2480000.0
2000-03-21,1970,2227,1970,2148,92890,57040.0,2480000.0
2000-03-22,2129,2325,2064,2195,209540,58280.0,2480000.0
2000-03-23,2194,2282,2007,2027,54530,53816.0,2480000.0
2000-03-24,2054,2138,1927,1971,52930,52328.0,2480000.0
2000-03-27,1913,2063,1913,1990,38070,52824.0,2480000.0
2000-03-28,2157,2213,2064,2209,79930,58652.0,2480000.0
2000-03-29,2190,2419,2055,2139,116910,56792.0,2480000.0
2000-03-30,2279,2335,1970,2008,74110,53320.0,2480000.0
