HDC(012630),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,5332,5954,5273,5865,614020,279906.0,28273311.0
1999-01-05,5865,5865,5332,5598,920480,267183.0,28273311.0
1999-01-06,5693,5806,5450,5711,513370,272555.0,28273311.0
1999-01-07,5687,5711,5473,5474,437100,261245.0,28273311.0
1999-01-08,5450,5622,5332,5391,329600,257287.0,28273311.0
1999-01-11,5272,5510,5107,5361,397440,255873.0,28273311.0
1999-01-12,5569,5658,4947,5332,2209710,264450.0,29383364.0
1999-01-13,5432,5432,5213,5273,348360,261512.0,29383364.0
1999-01-14,5154,5154,4633,4739,314470,235067.0,29383364.0
1999-01-15,4621,5029,4562,4976,442380,246820.0,29383364.0
1999-01-18,4976,5095,4917,5036,508600,249759.0,29383364.0
1999-01-19,5095,5391,4858,5154,493070,262533.0,30176259.0
1999-01-20,5184,5213,5035,5124,305670,261025.0,30176259.0
1999-01-21,5094,5094,4638,4739,172810,241410.0,30176259.0
1999-01-22,4621,4739,4336,4597,204530,234168.0,30176259.0
1999-01-25,4799,4799,4508,4573,153420,232961.0,30176259.0
1999-01-26,4858,4887,4574,4621,228730,235375.0,30176259.0
1999-01-27,4680,4793,4502,4793,178190,244126.0,30176259.0
1999-01-28,4799,4851,4633,4650,212270,236884.0,30176259.0
1999-01-29,4709,4857,4680,4698,113250,239298.0,30176259.0
1999-02-01,4739,4828,4709,4828,173590,245937.0,30176259.0
1999-02-02,4935,4935,4745,4793,225430,244126.0,30176259.0
1999-02-03,4851,4851,4733,4739,217660,241410.0,30176259.0
1999-02-04,4799,4799,4532,4609,293230,234771.0,30176259.0
1999-02-05,4956,4956,4555,4555,293550,202181.0,30176259.0
1999-02-08,4357,4555,4357,4487,127800,199163.0,30176259.0
1999-02-09,4350,4350,4181,4201,139970,186489.0,30176259.0
1999-02-10,4065,4684,4065,4521,220230,200672.0,30176259.0
1999-02-11,4555,4622,4418,4487,139160,199163.0,30176259.0
1999-02-12,4724,4737,4555,4629,214730,205500.0,30176259.0
1999-02-18,4731,4738,4486,4507,144170,200069.0,30176259.0
1999-02-19,4350,4419,4160,4412,93530,195844.0,30176259.0
