세우글로벌(013000),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,184249,191228,184249,189134,541600,32431.0,2393402.0
1999-01-05,189832,200999,185645,194019,1074400,33268.0,2393402.0
1999-01-06,200999,219145,198207,210769,2392400,36140.0,2393402.0
1999-01-07,212165,219145,209374,210769,1920800,36140.0,2393402.0
1999-01-08,214957,226124,210770,212863,1808000,36499.0,2393402.0
1999-01-11,214957,244269,214957,240081,2933800,41167.0,2393402.0
1999-01-12,240082,244269,223332,244269,2313200,41885.0,2393402.0
1999-01-13,248457,270790,240082,247758,4002300,42483.0,2393402.0
1999-01-14,238686,241478,216353,219144,1395400,37576.0,2393402.0
1999-01-15,228915,236592,214957,230311,1699100,39491.0,2393402.0
1999-01-18,228915,264509,228915,258227,2879800,44278.0,2393402.0
1999-01-19,248457,256832,234499,234498,1568300,40209.0,2393402.0
1999-01-20,239384,244269,226124,234498,1252300,40209.0,2393402.0
1999-01-21,231707,231707,216353,217748,1054700,37337.0,2393402.0
1999-01-22,209374,217749,205884,210769,845900,36140.0,2393402.0
1999-01-25,209374,214259,199603,199603,828100,34226.0,2393402.0
1999-01-26,201697,209374,198905,198905,812900,34106.0,2393402.0
1999-01-27,192624,202395,187041,199603,595600,34226.0,2393402.0
1999-01-28,202395,210770,202395,210769,585500,36140.0,2393402.0
1999-01-29,207978,214957,206582,214957,689700,36858.0,2393402.0
1999-02-01,214957,230311,214957,223332,790400,38294.0,2393402.0
1999-02-02,222634,230311,214259,223332,748100,38294.0,2393402.0
1999-02-03,225426,233103,219145,219144,1115300,37576.0,2393402.0
1999-02-04,216353,223332,210770,214957,602000,36858.0,2393402.0
1999-02-05,216353,219145,208676,210769,566300,36140.0,2393402.0
1999-02-08,211468,214957,203790,203790,511500,34944.0,2393402.0
1999-02-09,203790,203790,188436,191228,714300,32790.0,2393402.0
1999-02-10,191228,198207,188436,191925,492400,32909.0,2393402.0
1999-02-11,192624,203790,192624,203790,740600,34944.0,2393402.0
1999-02-12,205186,221936,203790,217748,943700,37337.0,2393402.0
1999-02-18,217749,240082,217749,221238,1377000,37935.0,2393402.0
1999-02-19,221936,236592,218447,230311,3354800,39491.0,2393402.0
1999-02-22,235894,241478,226124,226123,2289900,38773.0,2393402.0
1999-02-23,228915,234499,225426,228915,1633600,39252.0,2393402.0
1999-02-24,237290,237290,223332,223332,1986100,38294.0,2393402.0
1999-02-25,218447,221238,209374,209373,1286300,35901.0,2393402.0
1999-02-26,207978,214957,206582,211467,1093800,36260.0,2393402.0
1999-03-02,214259,229613,214259,227519,1646500,39012.0,2393402.0
1999-03-03,230311,230311,220540,223332,730500,38294.0,2393402.0
1999-03-04,224728,256832,221936,256831,5265200,44039.0,2393402.0
1999-03-05,265207,273582,247061,247061,7639100,42363.0,2393402.0
1999-03-08,254040,258228,244269,253342,4119300,43440.0,2393402.0
1999-03-09,257530,272186,256134,267300,3966200,45834.0,2393402.0
1999-03-10,263811,292425,263811,266602,5377700,45714.0,2393402.0
1999-03-11,274280,274978,261019,267998,1704300,45953.0,2393402.0
1999-03-12,269394,277769,259624,262415,1692800,44996.0,2393402.0
1999-03-15,258926,269394,251249,261717,2340800,44876.0,2393402.0
1999-03-16,262415,274280,258926,267998,2009600,45953.0,2393402.0
1999-03-17,267998,272186,254738,255436,1256800,43799.0,2393402.0
1999-03-18,252644,254040,240082,240081,1255800,41167.0,2393402.0
1999-03-19,237290,248457,237290,240081,1266600,41167.0,2393402.0
1999-03-22,241478,250551,240082,244967,1002900,42004.0,2393402.0
1999-03-23,244269,249853,238686,238686,967400,40927.0,2393402.0
1999-03-24,238686,246363,233103,241477,936300,41406.0,2393402.0
1999-03-25,238686,242874,234499,238686,682400,40927.0,2393402.0
1999-03-26,235197,241478,234499,234498,526500,40209.0,2393402.0
1999-03-29,233103,242874,230311,238686,518100,40927.0,2393402.0
1999-03-30,238686,243572,237290,237290,591100,40688.0,2393402.0
1999-03-31,237290,242176,235894,241477,584300,41406.0,2393402.0
1999-04-01,241478,242874,234499,240081,614800,41167.0,2393402.0
1999-04-02,238686,254040,231707,242873,1138400,41645.0,2393402.0
1999-04-06,244269,247061,237290,239384,564100,41047.0,2393402.0
1999-04-07,237290,247759,237290,237290,942700,40688.0,2393402.0
1999-04-08,237290,240082,234499,234498,542600,40209.0,2393402.0
1999-04-09,233103,238686,199603,199603,1544800,34226.0,2393402.0
1999-04-12,210770,220540,206582,210769,2483100,36140.0,2393402.0
1999-04-13,212165,231707,209374,224727,1715400,38534.0,2393402.0
1999-04-14,224728,228915,209374,217748,1037900,37337.0,2393402.0
1999-04-15,219145,221936,210770,216352,1130600,37098.0,2393402.0
1999-04-16,216353,223332,209374,210769,864700,36140.0,2393402.0
1999-04-19,212165,216353,203790,204488,908500,35063.0,2393402.0
1999-04-20,203790,216353,198207,206582,1141000,35422.0,2393402.0
1999-04-21,211468,237290,211468,237290,3522500,40688.0,2393402.0
1999-04-22,238686,238686,224728,226123,1975900,38773.0,2393402.0
1999-04-23,226124,248457,224728,227519,1608800,39012.0,2393402.0
1999-04-26,224728,226124,217051,219144,839300,37576.0,2393402.0
1999-04-27,219145,228915,219145,221936,890300,38055.0,2393402.0
1999-04-28,223332,233103,219145,230311,1321500,39491.0,2393402.0
1999-04-29,231707,245665,231707,237290,1327100,40688.0,2393402.0
1999-04-30,237290,244269,228915,228915,684600,39252.0,2393402.0
1999-05-03,235894,247061,231707,241477,1514400,41406.0,2393402.0
1999-05-04,241478,254040,237290,242175,1871500,41526.0,2393402.0
1999-05-06,244269,248457,237290,241477,3402700,41406.0,2393402.0
1999-05-07,250074,264141,243822,250074,1494600,38294.0,2393402.0
1999-05-10,257889,267267,253200,267266,1559700,40927.0,2393402.0
1999-05-11,279770,296963,275081,281333,3324700,43081.0,2393402.0
1999-05-12,286022,293837,273519,286022,1950700,43799.0,2393402.0
1999-05-13,286022,315719,286022,292274,3239500,44757.0,2393402.0
1999-05-14,292274,295400,253200,256325,1206500,39252.0,2393402.0
1999-05-17,251637,262578,226630,229755,808900,35183.0,2393402.0
1999-05-18,235226,240696,221941,233662,730500,35781.0,2393402.0
1999-05-19,237570,252419,234444,243822,968900,37337.0,2393402.0
1999-05-20,236007,242259,218815,218814,516000,33508.0,2393402.0
1999-05-21,225067,228193,214907,225066,739500,34465.0,2393402.0
1999-05-24,220378,242259,220378,225066,457700,34465.0,2393402.0
