화승알앤에이(013520),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,710,880,710,851,47230,35402.0,4160000.0
1999-01-05,852,920,852,900,41630,37440.0,4160000.0
1999-01-06,900,900,860,880,53320,36608.0,4160000.0
1999-01-07,880,975,880,920,67380,38272.0,4160000.0
1999-01-08,920,920,880,899,31930,37398.0,4160000.0
1999-01-11,880,990,880,990,95260,41184.0,4160000.0
1999-01-12,1020,1080,970,1000,63510,41600.0,4160000.0
1999-01-13,940,1070,940,970,65740,40352.0,4160000.0
1999-01-14,960,960,830,840,38360,34944.0,4160000.0
1999-01-15,820,930,820,908,34300,37773.0,4160000.0
1999-01-18,920,960,840,890,47790,37024.0,4160000.0
1999-01-19,910,930,892,900,41610,37440.0,4160000.0
1999-01-20,900,920,830,835,25750,34736.0,4160000.0
1999-01-21,805,805,730,730,22640,30368.0,4160000.0
1999-01-22,660,760,660,720,37190,43200.0,6000000.0
1999-01-25,700,740,700,730,27750,43800.0,6000000.0
1999-01-26,740,780,710,710,29920,42600.0,6000000.0
1999-01-27,730,755,710,745,37240,44700.0,6000000.0
1999-01-28,720,800,720,800,63210,48000.0,6000000.0
1999-01-29,771,800,750,800,37130,48000.0,6000000.0
1999-02-01,800,850,770,800,44130,48000.0,6000000.0
1999-02-02,780,890,780,852,185170,51120.0,6000000.0
1999-02-03,850,879,820,839,61690,50340.0,6000000.0
1999-02-04,840,840,785,820,28310,49200.0,6000000.0
1999-02-05,820,850,790,801,24050,48060.0,6000000.0
1999-02-08,703,840,703,780,16780,46800.0,6000000.0
1999-02-09,751,800,735,749,16150,44940.0,6000000.0
1999-02-10,731,749,637,725,52700,43500.0,6000000.0
1999-02-11,730,750,710,725,14510,43500.0,6000000.0
1999-02-12,700,748,700,740,26460,44400.0,6000000.0
1999-02-18,799,799,750,750,14720,45000.0,6000000.0
1999-02-19,730,730,670,720,14840,43200.0,6000000.0
1999-02-22,640,750,640,681,11990,40860.0,6000000.0
1999-02-23,700,700,670,670,16760,40200.0,6000000.0
1999-02-24,720,720,670,680,17370,40800.0,6000000.0
1999-02-25,671,680,643,655,9280,39300.0,6000000.0
1999-02-26,670,699,660,670,11850,40200.0,6000000.0
1999-03-02,671,730,671,710,30440,42600.0,6000000.0
1999-03-03,661,724,661,690,15330,41400.0,6000000.0
1999-03-04,700,700,680,687,13410,41220.0,6000000.0
1999-03-05,670,700,670,690,13180,41400.0,6000000.0
1999-03-08,705,730,705,723,20680,43380.0,6000000.0
1999-03-09,725,730,710,725,15610,43500.0,6000000.0
1999-03-10,720,720,692,710,20990,42600.0,6000000.0
1999-03-11,710,760,710,748,34900,44880.0,6000000.0
1999-03-12,858,858,770,775,58340,46500.0,6000000.0
1999-03-15,785,810,765,765,24360,45900.0,6000000.0
1999-03-16,780,805,780,798,57860,47880.0,6000000.0
1999-03-17,800,815,761,771,33210,46260.0,6000000.0
1999-03-18,750,769,730,733,21710,43980.0,6000000.0
1999-03-19,738,760,733,745,19030,44700.0,6000000.0
1999-03-22,751,765,750,755,14640,45300.0,6000000.0
1999-03-23,765,765,715,725,8750,43500.0,6000000.0
1999-03-24,705,760,705,740,20170,44400.0,6000000.0
1999-03-25,730,750,730,750,13930,45000.0,6000000.0
1999-03-26,750,750,730,740,14860,44400.0,6000000.0
1999-03-29,745,745,710,714,13500,42840.0,6000000.0
1999-03-30,715,740,715,730,12510,43800.0,6000000.0
1999-03-31,731,739,725,725,11870,43500.0,6000000.0
1999-04-01,731,740,710,728,23910,43680.0,6000000.0
1999-04-02,740,740,705,705,27400,42300.0,6000000.0
1999-04-06,710,735,710,720,51230,43200.0,6000000.0
1999-04-07,730,755,730,750,54540,45000.0,6000000.0
1999-04-08,756,862,756,815,178470,48900.0,6000000.0
1999-04-09,840,845,791,820,78920,49200.0,6000000.0
1999-04-12,821,870,800,870,96660,52200.0,6000000.0
1999-04-13,905,950,895,920,134300,55200.0,6000000.0
1999-04-14,915,920,865,890,63240,53400.0,6000000.0
1999-04-15,920,950,895,930,89030,55800.0,6000000.0
1999-04-16,880,945,880,901,62120,54060.0,6000000.0
1999-04-19,900,949,850,850,128830,51000.0,6000000.0
1999-04-20,898,900,865,870,42180,52200.0,6000000.0
1999-04-21,851,935,851,890,72360,53400.0,6000000.0
1999-04-22,910,930,890,910,60160,54600.0,6000000.0
1999-04-23,930,1000,930,961,203490,57660.0,6000000.0
1999-04-26,1050,1050,970,990,127180,59400.0,6000000.0
1999-04-27,980,990,940,960,75180,57600.0,6000000.0
1999-04-28,960,990,945,960,130450,57600.0,6000000.0
1999-04-29,980,1100,980,1100,252910,66000.0,6000000.0
1999-04-30,1170,1180,1050,1100,179700,66000.0,6000000.0
1999-05-03,1060,1160,1050,1125,140210,67500.0,6000000.0
1999-05-04,1170,1170,1100,1110,64640,66600.0,6000000.0
1999-05-06,1160,1210,1130,1180,131450,70800.0,6000000.0
1999-05-07,1190,1190,1140,1150,109630,69000.0,6000000.0
1999-05-10,1170,1225,1150,1210,126200,72600.0,6000000.0
1999-05-11,1210,1285,1170,1200,381560,72000.0,6000000.0
1999-05-12,1170,1200,1100,1130,135620,67800.0,6000000.0
1999-05-13,1130,1130,1000,1000,132590,60000.0,6000000.0
1999-05-14,1015,1030,930,940,86840,56400.0,6000000.0
1999-05-17,950,950,875,900,47890,54000.0,6000000.0
1999-05-18,905,930,890,910,55780,54600.0,6000000.0
1999-05-19,970,1000,950,950,129740,57000.0,6000000.0
1999-05-20,913,940,900,900,95140,54000.0,6000000.0
1999-05-21,850,950,850,905,27830,54300.0,6000000.0
1999-05-24,870,920,860,870,22420,52200.0,6000000.0
1999-05-25,873,905,873,895,21270,53700.0,6000000.0
1999-05-26,920,1025,920,1025,192230,61500.0,6000000.0
1999-05-27,1045,1050,980,1015,115500,60900.0,6000000.0
1999-05-28,1020,1020,960,981,47440,58860.0,6000000.0
1999-05-31,961,1020,960,960,44470,57600.0,6000000.0
1999-06-01,931,979,920,950,37200,57000.0,6000000.0
1999-06-02,980,980,920,960,43670,57600.0,6000000.0
1999-06-03,960,1000,925,955,56490,57300.0,6000000.0
1999-06-04,955,955,930,950,39850,57000.0,6000000.0
1999-06-07,960,1000,940,961,76410,57660.0,6000000.0
1999-06-08,965,1000,952,970,45370,58200.0,6000000.0
1999-06-09,980,980,948,949,69910,56940.0,6000000.0
1999-06-10,950,967,940,949,37840,56940.0,6000000.0
1999-06-11,950,978,920,951,107320,57060.0,6000000.0
1999-06-14,975,997,960,960,64070,57600.0,6000000.0
1999-06-15,1000,1080,961,1030,262970,61800.0,6000000.0
1999-06-16,1030,1180,1030,1140,543840,68400.0,6000000.0
1999-06-17,1110,1190,1055,1070,247990,64200.0,6000000.0
1999-06-18,1090,1170,1060,1140,214780,68400.0,6000000.0
1999-06-21,1180,1215,1100,1100,176090,66000.0,6000000.0
1999-06-22,1050,1150,1050,1125,118120,67500.0,6000000.0
1999-06-23,1130,1165,1050,1125,107090,67500.0,6000000.0
1999-06-24,1125,1155,1060,1090,62880,65400.0,6000000.0
1999-06-25,1090,1250,1060,1250,397610,75000.0,6000000.0
1999-06-28,1300,1340,1255,1280,384730,76800.0,6000000.0
1999-06-29,1250,1325,1210,1310,140910,78600.0,6000000.0
1999-06-30,1330,1440,1290,1300,207930,78000.0,6000000.0
1999-07-01,1250,1360,1250,1345,153700,80700.0,6000000.0
1999-07-02,1360,1420,1310,1370,130980,82200.0,6000000.0
1999-07-05,1375,1410,1320,1330,125970,79800.0,6000000.0
1999-07-06,1320,1380,1270,1340,97720,80400.0,6000000.0
1999-07-07,1370,1540,1280,1520,191240,91200.0,6000000.0
1999-07-08,1510,1510,1410,1430,113990,85800.0,6000000.0
1999-07-09,1450,1480,1400,1400,101940,84000.0,6000000.0
1999-07-12,1390,1470,1390,1395,141180,83700.0,6000000.0
1999-07-13,1405,1440,1340,1360,87130,81600.0,6000000.0
1999-07-14,1410,1480,1370,1430,203570,85800.0,6000000.0
1999-07-15,1425,1470,1380,1410,80250,84600.0,6000000.0
1999-07-16,1430,1550,1400,1470,172660,88200.0,6000000.0
1999-07-19,1480,1600,1460,1540,148320,92400.0,6000000.0
1999-07-20,1540,1720,1520,1580,280210,94800.0,6000000.0
1999-07-21,1620,1650,1540,1540,142360,92400.0,6000000.0
1999-07-22,1510,1550,1430,1510,93750,90600.0,6000000.0
1999-07-23,1450,1520,1350,1400,122300,84000.0,6000000.0
1999-07-26,1310,1400,1300,1320,73230,79200.0,6000000.0
1999-07-27,1350,1430,1350,1430,65170,85800.0,6000000.0
1999-07-28,1400,1480,1380,1380,92740,82800.0,6000000.0
1999-07-29,1350,1420,1350,1355,61940,81300.0,6000000.0
1999-07-30,1360,1440,1305,1390,74540,83400.0,6000000.0
1999-08-02,1390,1550,1340,1530,155510,91800.0,6000000.0
1999-08-03,1530,1550,1410,1430,58640,85800.0,6000000.0
1999-08-04,1450,1480,1360,1375,63710,82500.0,6000000.0
1999-08-05,1355,1415,1340,1360,80310,81600.0,6000000.0
1999-08-06,1410,1410,1350,1360,39760,81600.0,6000000.0
1999-08-09,1350,1415,1350,1415,69810,84900.0,6000000.0
1999-08-10,1430,1460,1350,1350,73060,81000.0,6000000.0
1999-08-11,1350,1400,1325,1370,42230,82200.0,6000000.0
1999-08-12,1350,1410,1350,1370,45840,82200.0,6000000.0
1999-08-13,1380,1420,1270,1340,34060,80400.0,6000000.0
1999-08-16,1305,1320,1275,1290,19640,77400.0,6000000.0
1999-08-17,1270,1310,1200,1200,42720,72000.0,6000000.0
1999-08-18,1115,1200,1060,1130,28570,67800.0,6000000.0
1999-08-19,1130,1220,1130,1210,26740,72600.0,6000000.0
1999-08-20,1230,1230,1190,1200,21560,72000.0,6000000.0
1999-08-23,1200,1270,1200,1245,18720,74700.0,6000000.0
1999-08-24,1240,1350,1240,1350,39170,81000.0,6000000.0
1999-08-25,1350,1450,1350,1390,92950,83400.0,6000000.0
1999-08-26,1445,1445,1350,1350,102260,81000.0,6000000.0
1999-08-27,1340,1380,1250,1300,88410,78000.0,6000000.0
1999-08-30,1300,1300,1250,1250,60030,75000.0,6000000.0
1999-08-31,1200,1280,1200,1250,33380,75000.0,6000000.0
1999-09-01,1230,1250,1190,1220,40020,73200.0,6000000.0
1999-09-02,1170,1200,1165,1170,28280,70200.0,6000000.0
1999-09-03,1145,1200,1120,1170,37440,70200.0,6000000.0
1999-09-06,1150,1200,1140,1190,42980,71400.0,6000000.0
1999-09-07,1180,1285,1160,1195,196380,71700.0,6000000.0
1999-09-08,1250,1265,1170,1170,112570,70200.0,6000000.0
1999-09-09,1170,1230,1150,1190,71500,71400.0,6000000.0
1999-09-10,1200,1250,1160,1160,43900,69600.0,6000000.0
1999-09-13,1230,1230,1165,1195,37190,71700.0,6000000.0
1999-09-14,1185,1235,1160,1210,49130,72600.0,6000000.0
1999-09-15,1210,1235,1175,1185,38440,71100.0,6000000.0
1999-09-16,1190,1260,1190,1210,111920,72600.0,6000000.0
1999-09-17,1200,1200,1150,1170,48960,70200.0,6000000.0
1999-09-20,1180,1220,1160,1185,66050,71100.0,6000000.0
1999-09-21,1220,1270,1200,1230,90880,73800.0,6000000.0
1999-09-22,1230,1230,1180,1190,51860,71400.0,6000000.0
1999-09-27,1190,1200,1120,1120,31310,67200.0,6000000.0
1999-09-28,1125,1140,1080,1110,42650,66600.0,6000000.0
1999-09-29,1080,1110,950,950,39890,57000.0,6000000.0
1999-09-30,990,1035,970,970,32720,58200.0,6000000.0
1999-10-01,940,950,831,920,67400,55200.0,6000000.0
1999-10-04,880,945,880,910,34130,54600.0,6000000.0
1999-10-05,920,920,850,850,30340,51000.0,6000000.0
1999-10-06,865,925,810,850,33040,51000.0,6000000.0
1999-10-07,920,920,883,907,39000,54420.0,6000000.0
1999-10-08,922,929,890,916,31100,54960.0,6000000.0
1999-10-11,920,949,910,910,21480,54600.0,6000000.0
1999-10-12,927,1000,927,960,68390,57600.0,6000000.0
1999-10-13,990,1010,970,980,35130,58800.0,6000000.0
1999-10-14,990,990,930,979,24880,58740.0,6000000.0
1999-10-15,950,980,950,962,27040,57720.0,6000000.0
1999-10-18,900,920,880,880,40720,52800.0,6000000.0
1999-10-19,880,919,870,898,31290,53880.0,6000000.0
1999-10-20,901,930,901,919,24220,55140.0,6000000.0
1999-10-21,920,944,900,900,34300,54000.0,6000000.0
1999-10-22,900,910,895,902,12430,54120.0,6000000.0
1999-10-25,950,1030,890,930,102720,55800.0,6000000.0
1999-10-26,950,950,886,900,41000,54000.0,6000000.0
1999-10-27,930,930,892,892,18220,53520.0,6000000.0
1999-10-28,890,914,881,901,17270,54060.0,6000000.0
1999-10-29,1000,1000,940,960,84740,57600.0,6000000.0
1999-11-01,979,990,960,978,40710,58680.0,6000000.0
1999-11-02,990,1090,965,1030,100530,61800.0,6000000.0
1999-11-03,1090,1090,1040,1055,81530,63300.0,6000000.0
1999-11-04,1070,1080,1025,1035,46100,62100.0,6000000.0
1999-11-05,1045,1130,990,1040,105670,62400.0,6000000.0
1999-11-08,1045,1070,1025,1050,44460,63000.0,6000000.0
1999-11-09,1025,1080,1000,1060,56740,63600.0,6000000.0
1999-11-10,1090,1170,1080,1170,212820,70200.0,6000000.0
1999-11-11,1145,1240,1145,1190,94080,71400.0,6000000.0
1999-11-12,1210,1270,1210,1230,189880,73800.0,6000000.0
1999-11-15,1160,1220,1120,1130,62690,67800.0,6000000.0
1999-11-16,1060,1130,1060,1095,55120,65700.0,6000000.0
1999-11-17,1070,1100,1030,1045,60700,62700.0,6000000.0
1999-11-18,1045,1065,1005,1015,29830,60900.0,6000000.0
1999-11-19,1030,1065,980,1040,39350,62400.0,6000000.0
1999-11-22,1050,1060,1015,1015,36860,60900.0,6000000.0
1999-11-23,1000,1090,990,1080,69520,64800.0,6000000.0
1999-11-24,1085,1105,1040,1060,40240,63600.0,6000000.0
1999-11-25,1050,1120,1005,1035,52250,62100.0,6000000.0
1999-11-26,1025,1090,960,961,42990,57660.0,6000000.0
1999-11-29,902,945,902,912,18850,54720.0,6000000.0
1999-11-30,950,975,931,950,45560,57000.0,6000000.0
1999-12-01,970,990,955,955,20700,57300.0,6000000.0
1999-12-02,950,990,950,969,26900,58140.0,6000000.0
1999-12-03,960,970,921,945,11310,56700.0,6000000.0
1999-12-06,925,1045,925,955,87660,57300.0,6000000.0
1999-12-07,950,979,871,900,25240,54000.0,6000000.0
1999-12-08,950,968,915,929,46730,55740.0,6000000.0
1999-12-09,790,935,790,920,38610,55200.0,6000000.0
1999-12-10,920,960,900,940,48800,56400.0,6000000.0
1999-12-13,960,975,940,946,46220,56760.0,6000000.0
1999-12-14,960,1020,925,990,88730,59400.0,6000000.0
1999-12-15,980,1010,898,900,57530,54000.0,6000000.0
1999-12-16,920,930,885,891,27560,53460.0,6000000.0
1999-12-17,880,900,850,880,26290,52800.0,6000000.0
1999-12-20,853,878,853,853,19190,51180.0,6000000.0
1999-12-21,836,840,790,810,31370,48600.0,6000000.0
1999-12-22,810,810,731,790,106760,47400.0,6000000.0
1999-12-23,801,801,761,761,51010,45660.0,6000000.0
1999-12-24,771,804,746,777,24580,46620.0,6000000.0
1999-12-27,795,799,770,790,32810,47400.0,6000000.0
1999-12-28,790,870,790,849,61780,50940.0,6000000.0
2000-01-04,724,830,724,772,74450,46320.0,6000000.0
2000-01-05,768,772,716,721,50920,43260.0,6000000.0
2000-01-06,722,740,680,680,35030,40800.0,6000000.0
2000-01-07,680,720,680,715,33180,42900.0,6000000.0
2000-01-10,720,750,705,705,21000,42300.0,6000000.0
2000-01-11,705,720,686,700,22060,42000.0,6000000.0
2000-01-12,700,715,680,707,31750,42420.0,6000000.0
2000-01-13,729,743,691,740,26950,44400.0,6000000.0
2000-01-14,716,760,716,740,31750,44400.0,6000000.0
2000-01-17,735,759,727,730,17200,43800.0,6000000.0
2000-01-18,717,730,700,710,17930,42600.0,6000000.0
2000-01-19,701,718,654,656,11790,39360.0,6000000.0
2000-01-20,650,665,615,639,10980,38340.0,6000000.0
2000-01-21,639,642,620,628,21380,37680.0,6000000.0
2000-01-24,628,645,610,634,49990,38040.0,6000000.0
2000-01-25,632,683,625,641,105690,38460.0,6000000.0
2000-01-26,649,649,610,630,58710,37800.0,6000000.0
2000-01-27,679,720,655,695,128810,41700.0,6000000.0
2000-01-28,719,755,700,710,74950,42600.0,6000000.0
2000-01-31,710,710,671,682,26860,40920.0,6000000.0
2000-02-01,700,750,682,720,97220,43200.0,6000000.0
2000-02-02,740,740,693,722,55410,43320.0,6000000.0
2000-02-03,709,739,701,705,59390,42300.0,6000000.0
2000-02-07,729,729,692,719,47460,43140.0,6000000.0
2000-02-08,705,720,690,720,34700,43200.0,6000000.0
2000-02-09,700,715,690,711,46590,42660.0,6000000.0
2000-02-10,720,720,680,680,40270,40800.0,6000000.0
2000-02-11,655,670,616,625,35800,37500.0,6000000.0
2000-02-14,610,610,586,586,15720,35160.0,6000000.0
2000-02-15,590,600,550,565,28500,33900.0,6000000.0
2000-02-16,551,564,540,552,33800,33120.0,6000000.0
2000-02-17,532,550,529,539,46540,32340.0,6000000.0
2000-02-18,521,576,520,560,56080,33600.0,6000000.0
2000-02-21,570,570,500,525,18790,31500.0,6000000.0
2000-02-22,500,600,500,510,38290,30600.0,6000000.0
2000-02-23,511,586,511,558,56160,33480.0,6000000.0
2000-02-24,558,560,530,530,27180,31800.0,6000000.0
2000-02-25,515,580,510,555,43080,33300.0,6000000.0
2000-02-28,581,638,581,638,79110,38280.0,6000000.0
2000-02-29,630,675,595,628,57720,37680.0,6000000.0
2000-03-02,590,660,590,610,31530,36600.0,6000000.0
2000-03-03,615,670,615,635,32080,38100.0,6000000.0
2000-03-06,660,725,646,710,63870,42600.0,6000000.0
2000-03-07,725,725,680,680,36580,40800.0,6000000.0
2000-03-08,680,700,665,665,27560,39900.0,6000000.0
2000-03-09,689,694,665,671,38100,40260.0,6000000.0
2000-03-10,661,699,661,672,51050,40320.0,6000000.0
2000-03-13,702,750,702,711,68570,42660.0,6000000.0
2000-03-14,739,755,685,729,83750,43740.0,6000000.0
2000-03-15,700,713,682,688,44940,41280.0,6000000.0
2000-03-16,700,710,642,649,40420,38940.0,6000000.0
2000-03-17,690,690,632,641,35250,38460.0,6000000.0
2000-03-20,661,710,660,667,93830,40020.0,6000000.0
2000-03-21,705,705,645,650,75690,39000.0,6000000.0
2000-03-22,660,688,645,675,42900,40500.0,6000000.0
2000-03-23,681,695,640,651,49070,39060.0,6000000.0
2000-03-24,670,748,670,748,194640,44880.0,6000000.0
2000-03-27,783,860,760,780,564880,46800.0,6000000.0
2000-03-28,790,790,735,768,128170,46080.0,6000000.0
2000-03-29,795,795,695,715,68400,42900.0,6000000.0
2000-03-30,686,715,660,671,74820,40260.0,6000000.0
2000-03-31,610,699,610,695,73630,41700.0,6000000.0
2000-04-03,651,700,631,638,40900,38280.0,6000000.0
2000-04-04,650,650,605,620,49310,37200.0,6000000.0
2000-04-06,620,630,606,620,30830,37200.0,6000000.0
2000-04-07,621,650,600,615,39820,36900.0,6000000.0
2000-04-10,624,650,622,643,36950,38580.0,6000000.0
2000-04-11,620,642,606,606,20940,36360.0,6000000.0
2000-04-12,610,620,610,615,17290,36900.0,6000000.0
2000-04-14,620,625,595,595,25250,35700.0,6000000.0
2000-04-17,570,585,506,511,34840,30660.0,6000000.0
2000-04-18,530,555,520,535,22370,32100.0,6000000.0
2000-04-19,550,580,550,569,22400,34140.0,6000000.0
2000-04-20,569,595,545,588,18420,35280.0,6000000.0
2000-04-21,593,610,580,600,16630,36000.0,6000000.0
2000-04-24,669,669,616,620,34260,37200.0,6000000.0
2000-04-25,610,620,532,585,15610,35100.0,6000000.0
2000-04-26,600,600,551,555,22310,33300.0,6000000.0
2000-04-27,530,550,530,531,12730,31860.0,6000000.0
2000-04-28,536,565,536,559,7650,33540.0,6000000.0
2000-05-02,587,590,555,569,24220,34140.0,6000000.0
2000-05-03,565,580,561,575,9710,34500.0,6000000.0
2000-05-04,592,592,563,567,4900,34020.0,6000000.0
2000-05-08,571,595,565,584,13840,35040.0,6000000.0
2000-05-09,585,600,584,589,4350,35340.0,6000000.0
2000-05-10,625,625,569,575,8550,34500.0,6000000.0
2000-05-12,560,650,560,589,72180,35340.0,6000000.0
2000-05-15,584,584,536,543,13940,32580.0,6000000.0
2000-05-16,564,564,543,543,7530,32580.0,6000000.0
2000-05-17,560,560,462,462,48840,27720.0,6000000.0
2000-05-18,463,465,445,450,36500,27000.0,6000000.0
2000-05-19,440,482,440,480,11030,28800.0,6000000.0
2000-05-22,485,485,436,439,5660,26340.0,6000000.0
2000-05-23,412,469,410,415,26580,24900.0,6000000.0
2000-05-24,400,434,377,434,31470,26040.0,6000000.0
2000-05-25,450,490,440,475,26780,28500.0,6000000.0
2000-05-26,475,487,425,431,16110,25860.0,6000000.0
2000-05-29,430,469,400,420,16670,25200.0,6000000.0
2000-05-30,459,464,440,460,22500,27600.0,6000000.0
2000-05-31,461,497,460,477,53150,28590.0,6000000.0
2000-06-01,476,510,453,510,44700,30600.0,6000000.0
2000-06-02,510,584,510,549,159080,32940.0,6000000.0
2000-06-05,559,631,550,631,133100,37860.0,6000000.0
2000-06-07,631,725,585,725,324620,43500.0,6000000.0
2000-06-08,760,783,686,740,290350,44400.0,6000000.0
2000-06-09,730,750,691,715,154540,42900.0,6000000.0
2000-06-12,720,770,705,742,201280,44520.0,6000000.0
2000-06-13,750,853,701,798,190470,47880.0,6000000.0
2000-06-14,725,800,725,729,59640,43740.0,6000000.0
2000-06-15,719,719,620,620,74910,37200.0,6000000.0
2000-06-16,530,648,530,620,125900,37200.0,6000000.0
2000-06-19,602,707,602,660,115460,39600.0,6000000.0
2000-06-20,642,699,642,680,39450,40800.0,6000000.0
2000-06-21,680,728,680,699,105530,41940.0,6000000.0
2000-06-22,750,750,700,715,58880,42900.0,6000000.0
2000-06-23,715,715,700,700,57800,42000.0,6000000.0
2000-06-26,700,715,672,688,136140,41280.0,6000000.0
2000-06-27,688,699,660,688,125020,41280.0,6000000.0
2000-06-28,700,720,687,699,102520,41940.0,6000000.0
2000-06-29,699,700,675,675,70660,40500.0,6000000.0
2000-06-30,675,690,675,684,49260,41040.0,6000000.0
2000-07-03,684,690,665,688,70350,41280.0,6000000.0
2000-07-04,688,757,641,710,138880,42600.0,6000000.0
2000-07-05,729,740,710,726,63410,43560.0,6000000.0
2000-07-06,746,748,710,740,103930,44400.0,6000000.0
