까뮤이앤씨(013700),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,440,484,440,484,57790,21854.0,4515228.0
1999-01-05,519,556,490,556,153910,25105.0,4515228.0
1999-01-06,557,570,520,565,110560,25511.0,4515228.0
1999-01-07,570,570,520,540,75760,24382.0,4515228.0
1999-01-08,530,584,530,568,64420,25646.0,4515228.0
1999-01-11,648,648,550,570,62960,25737.0,4515228.0
1999-01-12,570,584,520,540,77640,24382.0,4515228.0
1999-01-13,530,535,500,530,79040,23931.0,4515228.0
1999-01-14,519,519,451,451,39530,20364.0,4515228.0
1999-01-15,452,490,452,490,57810,22125.0,4515228.0
1999-01-18,530,530,470,500,49630,22576.0,4515228.0
1999-01-19,465,560,465,525,74860,23705.0,4515228.0
1999-01-20,525,550,475,475,37640,21447.0,4515228.0
1999-01-21,470,471,435,440,41700,19867.0,4515228.0
1999-01-22,440,450,400,430,30270,19415.0,4515228.0
1999-01-25,400,440,400,406,27650,18332.0,4515228.0
1999-01-26,410,430,392,395,24750,17835.0,4515228.0
1999-01-27,400,415,336,410,32330,18512.0,4515228.0
1999-01-28,420,420,400,420,25350,18964.0,4515228.0
1999-01-29,400,440,400,430,34190,19415.0,4515228.0
1999-02-01,430,440,415,439,35550,19822.0,4515228.0
1999-02-02,435,435,400,410,40240,18512.0,4515228.0
1999-02-03,430,430,385,390,22930,17609.0,4515228.0
1999-02-04,399,401,390,400,32040,18061.0,4515228.0
1999-02-05,382,415,382,405,18920,18287.0,4515228.0
1999-02-08,385,410,385,392,11370,17700.0,4515228.0
1999-02-09,350,391,333,340,42580,15329.0,4515228.0
1999-02-10,341,390,341,390,56400,17609.0,4515228.0
1999-02-11,435,435,396,401,49750,18106.0,4515228.0
1999-02-12,412,430,410,420,39840,18964.0,4515228.0
1999-02-18,435,435,410,425,29010,19190.0,4515228.0
1999-02-19,400,420,385,420,32230,18964.0,4515228.0
1999-02-22,415,439,402,420,69740,18964.0,4515228.0
1999-02-23,430,435,400,406,42090,18309.0,4515228.0
1999-02-24,352,409,352,375,42440,16932.0,4515228.0
1999-02-25,350,386,350,367,15390,16571.0,4515228.0
1999-02-26,360,385,360,385,21470,17384.0,4515228.0
1999-03-02,400,440,400,411,24070,18558.0,4515228.0
1999-03-03,411,430,390,390,14940,17609.0,4515228.0
1999-03-04,420,435,405,408,47760,18422.0,4515228.0
1999-03-05,390,417,390,408,17070,18422.0,4515228.0
1999-03-08,450,469,428,469,139260,21176.0,4515228.0
1999-03-09,495,515,480,492,199880,22215.0,4515228.0
1999-03-10,487,500,463,500,61330,22576.0,4515228.0
1999-03-11,517,540,515,525,101980,23705.0,4515228.0
1999-03-12,526,535,500,521,69110,23524.0,4515228.0
1999-03-15,560,580,521,521,70810,23524.0,4515228.0
1999-03-16,515,535,501,530,50900,23931.0,4515228.0
1999-03-17,535,560,510,536,104760,24202.0,4515228.0
1999-03-18,510,516,480,485,39290,21899.0,4515228.0
1999-03-19,485,523,485,520,44320,23479.0,4515228.0
1999-03-22,525,527,505,505,25550,22802.0,4515228.0
1999-03-23,511,545,510,520,47050,23479.0,4515228.0
1999-03-24,525,539,500,530,45400,23931.0,4515228.0
1999-03-25,515,545,515,540,65090,24382.0,4515228.0
1999-03-26,548,548,521,530,40130,23931.0,4515228.0
1999-03-29,510,529,510,511,35750,23073.0,4515228.0
1999-03-30,512,532,512,532,43700,24021.0,4515228.0
1999-03-31,538,539,513,535,25420,24156.0,4515228.0
1999-04-01,535,538,520,520,38900,23479.0,4515228.0
1999-04-02,521,525,505,524,46000,23660.0,4515228.0
1999-04-06,524,560,510,550,99850,24834.0,4515228.0
1999-04-07,560,575,550,550,45400,24834.0,4515228.0
1999-04-08,521,560,521,560,27330,25285.0,4515228.0
1999-04-09,566,580,535,575,84930,25963.0,4515228.0
1999-04-12,590,640,575,630,138660,28446.0,4515228.0
1999-04-13,630,689,600,640,126280,28897.0,4515228.0
1999-04-14,650,660,603,650,150760,29349.0,4515228.0
1999-04-15,660,709,656,699,194250,31561.0,4515228.0
1999-04-16,699,729,650,660,79270,29801.0,4515228.0
1999-04-19,659,680,616,630,66030,28446.0,4515228.0
1999-04-20,630,630,595,620,51920,27994.0,4515228.0
1999-04-21,620,630,595,600,41220,27091.0,4515228.0
1999-04-22,580,600,531,561,78080,25330.0,4515228.0
1999-04-23,595,599,565,590,25980,26640.0,4515228.0
1999-04-26,580,630,565,620,63270,27994.0,4515228.0
1999-04-27,620,640,551,600,92020,27091.0,4515228.0
1999-04-28,571,638,570,600,88190,27091.0,4515228.0
1999-04-29,600,619,570,600,65420,27091.0,4515228.0
1999-04-30,610,610,580,589,28580,26595.0,4515228.0
1999-05-03,590,605,582,600,47410,27091.0,4515228.0
1999-05-04,620,680,615,660,140820,29801.0,4515228.0
1999-05-06,680,700,640,683,162120,30839.0,4515228.0
1999-05-07,700,700,638,650,64790,29349.0,4515228.0
1999-05-10,650,668,620,630,37870,28446.0,4515228.0
1999-05-11,628,699,613,649,134610,29304.0,4515228.0
1999-05-12,552,639,552,610,103910,27543.0,4515228.0
1999-05-13,562,610,550,550,40440,24834.0,4515228.0
1999-05-14,570,573,540,550,27990,24834.0,4515228.0
1999-05-17,550,555,500,500,21020,22576.0,4515228.0
1999-05-18,495,515,490,500,18090,22576.0,4515228.0
1999-05-19,502,511,490,509,29280,22983.0,4515228.0
1999-05-20,510,510,480,500,12630,22576.0,4515228.0
1999-05-21,481,510,480,510,10880,23028.0,4515228.0
1999-05-24,480,530,480,500,32770,22576.0,4515228.0
1999-05-25,500,508,490,505,9680,22802.0,4515228.0
1999-05-26,482,549,482,525,28940,23705.0,4515228.0
1999-05-27,540,540,500,520,21150,23479.0,4515228.0
1999-05-28,510,578,497,520,53520,23479.0,4515228.0
1999-05-31,531,550,519,519,23740,23434.0,4515228.0
1999-06-01,530,540,505,525,12090,23705.0,4515228.0
1999-06-02,530,530,506,528,24460,23840.0,4515228.0
1999-06-03,532,535,512,512,11590,23118.0,4515228.0
1999-06-04,530,530,509,525,46980,23705.0,4515228.0
1999-06-07,530,540,510,540,30010,24382.0,4515228.0
1999-06-08,545,545,515,521,15280,23524.0,4515228.0
1999-06-09,530,550,525,532,54980,24021.0,4515228.0
1999-06-10,540,540,530,540,31550,24382.0,4515228.0
1999-06-11,550,621,530,621,141450,28040.0,4515228.0
1999-06-14,620,620,580,581,39810,26233.0,4515228.0
1999-06-15,563,575,521,530,14610,23931.0,4515228.0
1999-06-16,533,550,523,535,12760,24156.0,4515228.0
1999-06-17,530,590,530,590,22660,26640.0,4515228.0
1999-06-18,566,566,531,540,26940,24382.0,4515228.0
1999-06-21,535,555,521,535,14170,24156.0,4515228.0
1999-06-22,555,558,535,550,29430,24834.0,4515228.0
1999-06-23,551,560,528,528,15350,23840.0,4515228.0
1999-06-24,531,557,531,545,16940,24608.0,4515228.0
1999-06-25,521,550,521,550,36410,24834.0,4515228.0
1999-06-28,539,547,532,534,14720,24111.0,4515228.0
1999-06-29,535,590,525,525,47280,23705.0,4515228.0
1999-06-30,550,550,536,537,16070,24247.0,4515228.0
1999-07-01,535,550,535,540,8680,24382.0,4515228.0
1999-07-02,540,580,525,580,55720,26188.0,4515228.0
1999-07-05,580,650,570,640,56370,28897.0,4515228.0
1999-07-06,620,660,601,615,38320,27769.0,4515228.0
1999-07-07,630,630,600,600,42360,27091.0,4515228.0
1999-07-08,624,690,620,690,177030,31155.0,4515228.0
1999-07-09,700,780,650,780,275840,35219.0,4515228.0
1999-07-12,780,790,700,740,76350,33413.0,4515228.0
1999-07-13,651,740,651,651,34030,29394.0,4515228.0
1999-07-14,660,665,640,650,48130,29349.0,4515228.0
1999-07-15,630,658,629,629,41660,28401.0,4515228.0
1999-07-16,635,650,610,650,31770,29349.0,4515228.0
1999-07-19,623,657,613,630,30300,28446.0,4515228.0
1999-07-20,616,650,610,630,32890,28446.0,4515228.0
1999-07-21,640,640,590,595,41080,26866.0,4515228.0
1999-07-22,595,600,550,580,21040,26188.0,4515228.0
1999-07-23,580,628,560,560,27980,25285.0,4515228.0
1999-07-26,600,610,521,540,35620,24382.0,4515228.0
1999-07-27,545,570,522,550,21420,24834.0,4515228.0
1999-07-28,552,569,511,550,136380,24834.0,4515228.0
1999-07-29,555,575,537,550,27680,24834.0,4515228.0
1999-07-30,555,555,520,530,34900,23931.0,4515228.0
1999-08-02,530,530,501,509,24920,22983.0,4515228.0
1999-08-03,500,547,500,522,75510,23569.0,4515228.0
1999-08-04,522,555,522,532,20890,24021.0,4515228.0
1999-08-05,545,545,513,525,21230,23705.0,4515228.0
1999-08-06,520,538,515,515,29260,23253.0,4515228.0
1999-08-09,530,546,510,530,23040,23931.0,4515228.0
1999-08-10,531,545,480,505,59630,22802.0,4515228.0
1999-08-11,520,525,500,505,69300,22802.0,4515228.0
1999-08-12,535,535,503,519,9450,23434.0,4515228.0
1999-08-13,529,531,500,519,25550,23434.0,4515228.0
1999-08-16,505,524,505,515,10410,23253.0,4515228.0
1999-08-17,502,515,480,499,24180,22531.0,4515228.0
1999-08-18,492,492,442,460,8860,20770.0,4515228.0
1999-08-19,461,529,444,500,72070,22576.0,4515228.0
1999-08-20,491,500,470,489,6890,22079.0,4515228.0
1999-08-23,491,510,480,490,34190,22125.0,4515228.0
1999-08-24,480,510,451,483,151900,21809.0,4515228.0
1999-08-25,509,520,483,500,207670,22576.0,4515228.0
1999-08-26,512,512,476,484,91710,21831.0,4515228.0
1999-08-27,483,493,464,471,71360,21267.0,4515228.0
1999-08-30,472,499,472,495,55280,22350.0,4515228.0
1999-08-31,475,509,475,481,31630,21718.0,4515228.0
1999-09-01,485,490,460,461,29800,20793.0,4515228.0
1999-09-02,450,460,442,442,52120,19957.0,4515228.0
1999-09-03,442,455,432,445,32390,20093.0,4515228.0
1999-09-06,445,451,431,435,19250,19619.0,4515228.0
1999-09-07,426,434,422,422,41890,19054.0,4515228.0
1999-09-08,431,441,410,414,23020,18693.0,4515228.0
1999-09-09,417,420,400,415,32180,18738.0,4515228.0
1999-09-10,420,450,416,434,44930,19596.0,4515228.0
1999-09-13,444,444,424,428,16440,19303.0,4515228.0
1999-09-14,421,449,410,425,36610,19190.0,4515228.0
1999-09-15,420,434,416,416,15670,18783.0,4515228.0
1999-09-16,410,428,410,420,31120,18964.0,4515228.0
1999-09-17,405,423,400,413,8860,18648.0,4515228.0
1999-09-20,418,418,401,407,32350,18377.0,4515228.0
1999-09-21,409,413,402,408,27260,18422.0,4515228.0
1999-09-22,410,410,396,400,20680,18061.0,4515228.0
1999-09-27,400,404,385,387,11150,17474.0,4515228.0
1999-09-28,380,395,380,395,8580,17835.0,4515228.0
1999-09-29,454,454,395,403,42350,18196.0,4515228.0
1999-09-30,405,405,370,378,10880,17045.0,4515228.0
1999-10-01,380,380,332,334,23150,15081.0,4515228.0
1999-10-04,364,365,341,348,13770,15713.0,4515228.0
1999-10-05,312,362,309,310,7910,13997.0,4515228.0
1999-10-06,313,330,301,330,13430,14900.0,4515228.0
1999-10-07,333,367,330,367,22260,16571.0,4515228.0
1999-10-08,390,390,350,369,31980,16661.0,4515228.0
1999-10-11,369,370,353,370,14660,16706.0,4515228.0
1999-10-12,360,381,360,380,11720,17158.0,4515228.0
1999-10-13,373,379,365,373,5170,16819.0,4515228.0
1999-10-14,385,389,372,385,18960,17384.0,4515228.0
1999-10-15,385,399,370,370,21540,16706.0,4515228.0
1999-10-18,352,380,350,355,8010,16029.0,4515228.0
1999-10-19,351,380,350,368,11280,16616.0,4515228.0
1999-10-20,378,387,361,382,35940,17248.0,4515228.0
1999-10-21,388,399,363,366,34730,16526.0,4515228.0
1999-10-22,370,380,368,375,7870,16932.0,4515228.0
1999-10-25,365,384,360,360,5350,16255.0,4515228.0
1999-10-26,351,355,340,355,18870,16029.0,4515228.0
1999-10-27,333,365,333,346,7880,15623.0,4515228.0
1999-10-28,355,355,346,350,9900,15803.0,4515228.0
1999-10-29,341,359,341,349,3800,15758.0,4515228.0
1999-11-01,354,367,350,358,26490,16165.0,4515228.0
1999-11-02,365,370,355,370,24820,16706.0,4515228.0
1999-11-03,375,378,355,365,10640,16481.0,4515228.0
1999-11-04,373,373,356,364,14760,16435.0,4515228.0
1999-11-05,367,397,364,370,59910,16706.0,4515228.0
1999-11-08,377,395,377,379,36800,17113.0,4515228.0
1999-11-09,384,387,370,379,20780,17113.0,4515228.0
1999-11-10,376,383,361,361,26130,16300.0,4515228.0
1999-11-11,365,365,350,355,21470,16029.0,4515228.0
1999-11-12,346,363,343,350,36760,15803.0,4515228.0
1999-11-15,352,369,345,353,33160,15939.0,4515228.0
1999-11-16,343,360,340,341,26330,15374.0,4515228.0
1999-11-17,354,354,329,329,29800,14855.0,4515228.0
1999-11-18,329,334,325,326,18250,14697.0,4515228.0
1999-11-19,321,339,320,325,17820,14674.0,4515228.0
1999-11-22,328,333,311,323,10990,14584.0,4515228.0
1999-11-23,315,370,305,335,67360,15126.0,4515228.0
1999-11-24,324,325,290,290,22590,13094.0,4515228.0
1999-11-25,290,304,285,285,31700,12868.0,4515228.0
1999-11-26,284,284,251,258,20690,11649.0,4515228.0
1999-11-29,249,270,249,260,19780,11740.0,4515228.0
1999-11-30,261,275,255,266,30720,12011.0,4515228.0
1999-12-01,273,280,261,266,27040,12011.0,4515228.0
1999-12-02,266,295,253,290,67810,13094.0,4515228.0
