사조씨푸드(014710),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-06-29,10000,10500,8590,8910,5136918,153417.0,17218543.0
2012-07-02,9060,9520,8820,9190,1125204,158238.0,17218543.0
2012-07-03,9300,9320,8900,8920,603389,153589.0,17218543.0
2012-07-04,9030,9340,8870,9210,557655,158583.0,17218543.0
2012-07-05,9370,10100,9260,9280,1506179,159788.0,17218543.0
2012-07-06,9480,9580,9320,9380,525983,161510.0,17218543.0
2012-07-09,9450,9940,9350,9890,972916,170291.0,17218543.0
2012-07-10,9990,10500,9940,10150,865816,174768.0,17218543.0
2012-07-11,10150,10500,9870,10400,454339,179073.0,17218543.0
2012-07-12,10300,10700,10200,10350,367337,178212.0,17218543.0
2012-07-13,10250,10350,9620,10000,407927,172185.0,17218543.0
2012-07-16,9940,10000,9550,9600,309529,165298.0,17218543.0
2012-07-17,9710,10100,9710,9910,355084,170636.0,17218543.0
2012-07-18,9960,10350,9850,10200,448940,175629.0,17218543.0
2012-07-19,10300,10400,9820,9920,406343,170808.0,17218543.0
2012-07-20,9870,9950,9470,9580,359175,164954.0,17218543.0
2012-07-23,9600,9600,9290,9290,204164,159960.0,17218543.0
2012-07-24,9270,9300,8950,9100,246216,156689.0,17218543.0
2012-07-25,8990,9280,8810,9100,178440,156689.0,17218543.0
2012-07-26,9130,9480,9070,9310,207244,160305.0,17218543.0
2012-07-27,9380,9520,9220,9450,161657,162715.0,17218543.0
2012-07-30,9580,9580,9110,9130,128268,157205.0,17218543.0
2012-07-31,9150,9280,8990,9180,119037,158066.0,17218543.0
2012-08-01,9180,9370,9100,9210,65197,158583.0,17218543.0
2012-08-02,9200,9300,9060,9080,60626,156344.0,17218543.0
2012-08-03,9040,9170,9000,9090,44850,156517.0,17218543.0
2012-08-06,9170,9170,9000,9030,81097,155483.0,17218543.0
2012-08-07,9150,9150,8860,8980,143219,154623.0,17218543.0
2012-08-08,8980,9030,8730,8750,182347,150662.0,17218543.0
2012-08-09,8750,8770,8510,8680,246811,149457.0,17218543.0
2012-08-10,8720,8860,8700,8780,115955,151179.0,17218543.0
2012-08-13,8900,8910,8700,8840,147413,152212.0,17218543.0
2012-08-14,8850,9270,8850,9240,272163,159099.0,17218543.0
2012-08-16,9300,9300,9050,9050,122669,155828.0,17218543.0
2012-08-17,9070,9370,8950,9350,319862,160993.0,17218543.0
2012-08-20,9460,9540,9250,9400,137285,161854.0,17218543.0
2012-08-21,9450,9480,9350,9400,97453,161854.0,17218543.0
2012-08-22,9400,9400,9200,9390,112906,161682.0,17218543.0
2012-08-23,9310,9400,9290,9400,72995,161854.0,17218543.0
2012-08-24,9340,9380,9220,9300,86911,160132.0,17218543.0
2012-08-27,9270,9270,9100,9110,77689,156861.0,17218543.0
2012-08-28,9120,9350,9110,9280,110045,159788.0,17218543.0
2012-08-29,9230,9350,9160,9300,62958,160132.0,17218543.0
2012-08-30,9320,9320,9140,9270,56975,159616.0,17218543.0
2012-08-31,9150,9270,9130,9160,80748,157722.0,17218543.0
2012-09-03,9170,9320,9050,9320,113600,160477.0,17218543.0
2012-09-04,9280,9830,9280,9580,337006,164954.0,17218543.0
2012-09-05,9610,9650,9400,9550,70164,164437.0,17218543.0
2012-09-06,9610,9630,9450,9550,60105,164437.0,17218543.0
2012-09-07,9600,9730,9400,9610,97100,165470.0,17218543.0
2012-09-10,9640,9690,9510,9610,56963,165470.0,17218543.0
2012-09-11,9580,9600,9480,9580,50056,164954.0,17218543.0
2012-09-12,9550,9790,9550,9650,78429,166159.0,17218543.0
2012-09-13,9650,9780,9500,9520,56693,163921.0,17218543.0
2012-09-14,9540,9640,9310,9350,144864,160993.0,17218543.0
2012-09-17,9320,9320,8970,9070,178771,156172.0,17218543.0
2012-09-18,9100,9170,9030,9120,92114,157033.0,17218543.0
2012-09-19,9150,9150,9020,9110,99196,156861.0,17218543.0
2012-09-20,9140,9140,8980,8980,132061,154623.0,17218543.0
2012-09-21,8960,9110,8960,9080,87801,156344.0,17218543.0
2012-09-24,9110,9110,8990,9030,63079,155483.0,17218543.0
2012-09-25,9040,9060,8920,8930,42722,153762.0,17218543.0
2012-09-26,8930,9010,8840,8930,63889,153762.0,17218543.0
2012-09-27,8930,8960,8710,8720,89611,150146.0,17218543.0
2012-09-28,8780,8900,8740,8820,44032,151868.0,17218543.0
2012-10-02,8860,8920,8760,8810,46565,151695.0,17218543.0
2012-10-04,8810,9010,8800,9010,52931,155139.0,17218543.0
2012-10-05,9090,9090,8870,8980,64842,154623.0,17218543.0
2012-10-08,8950,9090,8950,9020,84134,155311.0,17218543.0
2012-10-09,9020,9090,8860,8880,82264,152901.0,17218543.0
2012-10-10,8880,9050,8800,8940,47278,153934.0,17218543.0
2012-10-11,8940,9040,8780,8810,54484,151695.0,17218543.0
2012-10-12,8800,8900,8710,8720,59371,150146.0,17218543.0
2012-10-15,8790,8790,8580,8590,61306,147907.0,17218543.0
2012-10-16,8600,8630,8150,8300,267949,142914.0,17218543.0
2012-10-17,8390,8410,8170,8190,145976,141020.0,17218543.0
2012-10-18,8190,8370,8170,8190,124565,141020.0,17218543.0
2012-10-19,8190,8200,8030,8060,81665,138781.0,17218543.0
2012-10-22,7950,8050,7810,7950,124533,136887.0,17218543.0
2012-10-23,8020,8270,8000,8250,106892,142053.0,17218543.0
2012-10-24,8300,8950,8270,8800,563202,151523.0,17218543.0
2012-10-25,8770,8780,8380,8410,204980,144808.0,17218543.0
2012-10-26,8480,8580,8260,8260,101580,142225.0,17218543.0
2012-10-29,8300,8380,7990,8190,117145,141020.0,17218543.0
2012-10-30,8280,8370,8120,8160,62535,140503.0,17218543.0
2012-10-31,8190,8380,8190,8370,59794,144119.0,17218543.0
2012-11-01,8390,8490,8270,8280,80313,142570.0,17218543.0
2012-11-02,8320,8400,8190,8200,62875,141192.0,17218543.0
2012-11-05,8190,8250,8050,8250,57191,142053.0,17218543.0
2012-11-06,8240,8350,8100,8110,87887,139642.0,17218543.0
2012-11-07,8120,8190,8030,8060,69840,138781.0,17218543.0
2012-11-08,8030,8040,7890,7990,65052,137576.0,17218543.0
2012-11-09,7960,8040,7890,7960,52238,137060.0,17218543.0
2012-11-12,8100,8110,7970,8020,63064,138093.0,17218543.0
2012-11-13,8000,8160,7860,7880,89890,135682.0,17218543.0
2012-11-14,7880,7900,7500,7590,113060,130689.0,17218543.0
2012-11-15,7320,7330,6460,6460,520689,111232.0,17218543.0
2012-11-16,6500,6500,5790,5950,437493,102450.0,17218543.0
2012-11-19,5980,6190,5950,6140,172335,105722.0,17218543.0
2012-11-20,6180,6240,5970,6030,152347,103828.0,17218543.0
2012-11-21,6080,6160,5670,5760,264388,99179.0,17218543.0
2012-11-22,5810,5890,5770,5880,124621,101245.0,17218543.0
2012-11-23,5940,6150,5870,6000,149619,103311.0,17218543.0
2012-11-26,6020,6150,5900,6150,102854,105894.0,17218543.0
2012-11-27,6150,6310,6100,6310,121739,108649.0,17218543.0
2012-11-28,6310,6450,6270,6350,138631,109338.0,17218543.0
2012-11-29,6370,6550,6260,6540,130063,112609.0,17218543.0
2012-11-30,6520,6530,6250,6500,159553,111921.0,17218543.0
2012-12-03,6490,6640,6410,6460,76459,111232.0,17218543.0
2012-12-04,6450,6500,6270,6400,101456,110199.0,17218543.0
2012-12-05,6460,6480,6270,6300,70481,108477.0,17218543.0
2012-12-06,6300,6380,6260,6320,32399,108821.0,17218543.0
2012-12-07,6400,6400,6000,6260,133665,107788.0,17218543.0
2012-12-10,6240,6270,6020,6040,124604,104000.0,17218543.0
2012-12-11,6060,6100,5960,6030,101297,103828.0,17218543.0
2012-12-12,6100,6100,5970,6030,78241,103828.0,17218543.0
