삼성증권(016360),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,23319,24650,22410,23839,946860,1159720.0,31600000.0
1999-01-05,23838,24032,22864,23839,783590,1159720.0,31600000.0
1999-01-06,24031,24487,23383,23383,684110,1137600.0,31600000.0
1999-01-07,23383,24357,22799,24195,853310,1177100.0,31600000.0
1999-01-08,23708,25136,23610,24163,743110,1175520.0,31600000.0
1999-01-11,24032,24748,23643,24358,590760,1185000.0,31600000.0
1999-01-12,24228,24682,22084,23189,766320,1128120.0,31600000.0
1999-01-13,22929,23383,22083,22604,492730,1099680.0,31600000.0
1999-01-14,21564,22083,20394,21045,447660,1023840.0,31600000.0
1999-01-15,20785,21630,20525,21110,371270,1027000.0,31600000.0
1999-01-18,21110,21759,20784,20785,344830,1011200.0,31600000.0
1999-01-19,20785,21305,20136,20461,556340,995400.0,31600000.0
1999-01-20,20136,20461,19032,19032,701840,925880.0,31600000.0
1999-01-21,18836,18836,17927,18512,946690,900600.0,31600000.0
1999-01-22,18251,18835,17635,18057,676270,878480.0,31600000.0
1999-01-25,18186,18316,17017,17018,527950,827920.0,31600000.0
1999-01-26,17472,18186,16823,16888,673950,821600.0,31600000.0
1999-01-27,17213,19421,17084,19422,966350,944840.0,31600000.0
1999-01-28,19486,20331,19032,19292,1004760,938520.0,31600000.0
1999-01-29,19421,20006,18966,19292,493600,938520.0,31600000.0
1999-02-01,19291,19941,19226,19454,382570,946420.0,31600000.0
1999-02-02,19518,19551,18252,18512,330030,900600.0,31600000.0
1999-02-03,18382,18382,17862,17863,259970,869000.0,31600000.0
1999-02-04,17667,18251,17602,17927,242160,872160.0,31600000.0
1999-02-05,18024,19811,17862,18642,575920,906920.0,31600000.0
1999-02-08,18965,19940,18575,18577,560210,903760.0,31600000.0
1999-02-09,18835,19161,18381,18967,441430,922720.0,31600000.0
1999-02-10,18966,19811,18544,19292,772020,938520.0,31600000.0
1999-02-11,20360,20360,19463,19602,231400,897440.0,31600000.0
1999-02-12,19947,20499,19740,20155,390130,922720.0,31600000.0
1999-02-18,20360,20498,19119,19532,570700,894280.0,31600000.0
1999-02-19,19326,19326,18290,18705,312010,856360.0,31600000.0
1999-02-22,18084,18567,17186,17394,433970,796320.0,31600000.0
1999-02-23,17462,17807,16702,17255,475790,790000.0,31600000.0
1999-02-24,16979,17532,16841,16842,207470,771040.0,31600000.0
1999-02-25,16564,17427,16426,16737,247910,766300.0,31600000.0
1999-02-26,16841,19222,16841,19223,493410,880060.0,31600000.0
1999-03-02,19671,20223,18981,19223,595110,880060.0,31600000.0
1999-03-03,19532,19842,18842,19015,370840,870580.0,31600000.0
1999-03-04,19291,19291,18843,19119,194330,875320.0,31600000.0
1999-03-05,18704,19326,18670,19119,208720,875320.0,31600000.0
1999-03-08,19670,21673,19533,21397,780000,979600.0,31600000.0
1999-03-09,21397,21673,20844,20982,488710,960640.0,31600000.0
1999-03-10,21397,21949,20982,21742,740490,995400.0,31600000.0
1999-03-11,21809,23742,21809,23121,777050,1058600.0,31600000.0
1999-03-12,23328,23432,22293,22846,407990,1045960.0,31600000.0
1999-03-15,23812,23812,22708,22708,339120,1039640.0,31600000.0
1999-03-16,22431,22983,22362,22915,224980,1049120.0,31600000.0
1999-03-17,23466,24156,23053,23466,652270,1074400.0,31600000.0
1999-03-18,23190,23742,22638,23121,415530,1058600.0,31600000.0
1999-03-19,23328,24432,23190,23812,528130,1090200.0,31600000.0
1999-03-22,24156,24571,23293,24157,514700,1106000.0,31600000.0
1999-03-23,24156,24294,23811,24157,352550,1106000.0,31600000.0
1999-03-24,24156,24156,23328,23812,272890,1090200.0,31600000.0
1999-03-25,22915,24157,22915,23330,259490,1068080.0,31600000.0
1999-03-26,23328,23811,22983,23260,276210,1064920.0,31600000.0
1999-03-29,23260,23675,22777,23053,190660,1055440.0,31600000.0
1999-03-30,23053,23514,22768,23160,200180,1030160.0,31600000.0
1999-03-31,23229,23655,23016,23160,129670,1030160.0,31600000.0
1999-04-01,23159,25610,22803,24936,628780,1109160.0,31600000.0
1999-04-02,25575,25575,24510,24510,377000,1090200.0,31600000.0
1999-04-06,24510,26356,24510,25078,366280,1115480.0,31600000.0
1999-04-07,25575,26215,25078,25149,639740,1118640.0,31600000.0
1999-04-08,25219,26001,25148,25717,506680,1143920.0,31600000.0
1999-04-09,26001,26285,25431,25717,508270,1143920.0,31600000.0
1999-04-12,26285,26285,25431,25503,310720,1134440.0,31600000.0
1999-04-13,24864,26568,24864,25788,562810,1147080.0,31600000.0
1999-04-14,25930,27563,25645,27493,861110,1222920.0,31600000.0
1999-04-15,27706,31614,27706,31614,1682990,1715564.0,38552000.0
1999-04-16,31614,32253,29908,30867,1145300,1675084.0,38552000.0
1999-04-19,31187,31934,30015,31258,781060,1696288.0,38552000.0
1999-04-20,31186,33175,30902,31578,768880,1713636.0,38552000.0
1999-04-21,31258,33105,30902,30903,717270,1677012.0,38552000.0
1999-04-22,31259,31259,28807,30477,595600,1653881.0,38552000.0
1999-04-23,30511,33034,29482,32111,835970,1742550.0,38552000.0
1999-04-26,33176,36871,32324,36871,1132680,2000849.0,38552000.0
1999-04-27,37296,39001,35165,38078,1565140,2066387.0,38552000.0
1999-04-28,36231,38718,35948,36942,718440,2004704.0,38552000.0
1999-04-29,35521,36587,33390,34100,573190,1850496.0,38552000.0
1999-04-30,33389,34738,32678,32679,755010,1773392.0,38552000.0
1999-05-03,33673,33744,30973,31897,510610,1730985.0,38552000.0
1999-05-04,31969,33602,31826,33034,838770,1792668.0,38552000.0
1999-05-06,32679,35876,32679,34314,1108350,1862062.0,38552000.0
1999-05-07,35520,37723,34881,36373,923850,1973862.0,38552000.0
1999-05-10,36088,39072,34951,39072,899260,2120360.0,38552000.0
1999-05-11,39073,42625,37865,39286,997570,2131926.0,38552000.0
1999-05-12,40067,40849,38363,39286,903250,2131926.0,38552000.0
1999-05-13,39285,39569,34099,34739,856760,1885193.0,38552000.0
1999-05-14,35166,35876,33319,34314,855750,1862062.0,38552000.0
1999-05-17,34668,35450,34455,35166,686260,1908324.0,38552000.0
1999-05-18,34455,35805,34172,35166,375320,1908324.0,38552000.0
1999-05-19,35521,37581,35166,36871,721120,2000849.0,38552000.0
1999-05-20,37509,37793,35662,36373,686280,1973862.0,38552000.0
1999-05-21,36443,37864,35662,37083,450370,2012414.0,38552000.0
1999-05-24,37651,38290,36657,37368,494490,2027835.0,38552000.0
1999-05-25,37296,38219,37013,37226,202270,2020125.0,38552000.0
1999-05-26,36941,37509,36443,37226,278360,2020125.0,38552000.0
1999-05-27,37367,38006,36941,37226,390660,2020125.0,38552000.0
1999-05-28,37226,37724,36373,36942,338020,2004704.0,38552000.0
1999-05-31,37296,38290,37225,37226,262750,2020125.0,38552000.0
1999-06-01,36941,37864,36514,37368,321840,2027835.0,38552000.0
1999-06-02,37723,41914,37723,40138,1054420,2178188.0,38552000.0
1999-06-03,40493,40990,38717,40138,460920,2178188.0,38552000.0
1999-06-04,40494,44757,40494,42980,928020,2332396.0,38552000.0
1999-06-07,45395,49374,44614,49374,1038160,2679364.0,38552000.0
