동남합성(023450),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,3619,3619,3432,3497,14160,10170.0,900000.0
1999-01-05,3494,3680,3433,3636,37980,10575.0,900000.0
1999-01-06,3896,4175,3896,4177,88460,12150.0,900000.0
1999-01-07,4175,4484,4113,4146,94690,12060.0,900000.0
1999-01-08,4176,4285,4099,4100,26780,11925.0,900000.0
1999-01-11,4098,4454,4098,4332,37460,12600.0,900000.0
1999-01-12,4392,4578,4206,4580,54360,13320.0,900000.0
1999-01-13,4764,4764,4485,4549,45980,13230.0,900000.0
1999-01-14,4456,4456,4022,4131,29920,12015.0,900000.0
1999-01-15,4175,4268,4051,4239,21550,12330.0,900000.0
1999-01-18,4330,4578,4237,4394,53510,12780.0,900000.0
1999-01-19,4577,4577,4144,4208,19360,12240.0,900000.0
1999-01-20,4206,4206,4020,4022,13800,11700.0,900000.0
1999-01-21,4007,4007,3805,3899,17940,11340.0,900000.0
1999-01-22,3898,3898,3743,3837,15030,11160.0,900000.0
1999-01-25,3712,3896,3556,3713,9080,10800.0,900000.0
1999-01-26,3650,3834,3401,3651,14470,10620.0,900000.0
1999-01-27,3339,3650,3339,3558,8580,10350.0,900000.0
1999-01-28,3448,3804,3448,3651,8960,10620.0,900000.0
1999-01-29,3510,3712,3401,3558,13070,10350.0,900000.0
1999-02-01,3589,3836,3558,3775,14370,10980.0,900000.0
1999-02-02,3834,3834,3650,3713,10090,10800.0,900000.0
1999-02-03,3619,3681,3494,3682,6110,10710.0,900000.0
1999-02-04,3556,3804,3556,3651,5200,10620.0,900000.0
1999-02-05,3711,3711,3587,3636,2620,10575.0,900000.0
1999-02-08,3558,4022,3558,3868,13240,11250.0,900000.0
1999-02-09,3896,3896,3557,3558,8630,10350.0,900000.0
1999-02-10,3463,3619,3432,3528,5060,10260.0,900000.0
1999-02-11,3556,3681,3556,3682,5180,10710.0,900000.0
1999-02-12,3556,3681,3556,3651,4660,10620.0,900000.0
1999-02-18,3681,3834,3557,3558,2890,10350.0,900000.0
1999-02-19,3433,3509,3402,3512,3140,10215.0,900000.0
1999-02-22,3355,3463,3340,3419,3660,9945.0,900000.0
1999-02-23,3401,3401,3154,3342,7280,9720.0,900000.0
1999-02-24,3187,3403,3187,3187,4370,9270.0,900000.0
1999-02-25,3203,3203,3036,3091,4550,8991.0,900000.0
1999-02-26,3125,3187,3094,3187,8770,9270.0,900000.0
1999-03-02,3246,3370,3185,3311,13850,9630.0,900000.0
1999-03-03,3341,3341,3187,3187,7210,9270.0,900000.0
1999-03-04,3217,3279,3124,3203,3490,9315.0,900000.0
1999-03-05,3123,3370,3108,3311,6890,9630.0,900000.0
1999-03-08,3185,3463,3185,3404,7920,9900.0,900000.0
1999-03-09,3509,3509,3386,3388,11050,9855.0,900000.0
1999-03-10,3386,3619,3370,3404,7290,9900.0,900000.0
1999-03-11,3309,3463,3309,3450,7090,10035.0,900000.0
1999-03-12,3402,3649,3402,3605,11940,10485.0,900000.0
1999-03-15,3681,3696,3525,3528,9900,10260.0,900000.0
1999-03-16,3479,3681,3479,3589,12190,10440.0,900000.0
1999-03-17,3525,3619,3525,3558,3850,10350.0,900000.0
1999-03-18,3557,3634,3557,3558,6210,10350.0,900000.0
1999-03-19,3588,3619,3463,3558,5960,10350.0,900000.0
1999-03-22,3417,3619,3417,3497,5710,10170.0,900000.0
1999-03-23,3494,3588,3432,3497,3780,10170.0,900000.0
1999-03-24,3494,3588,3417,3558,5340,10350.0,900000.0
1999-03-25,3556,4020,3525,3682,24710,10710.0,900000.0
1999-03-26,3650,3927,3650,3713,18220,10800.0,900000.0
1999-03-29,3650,3650,3432,3497,13520,10170.0,900000.0
1999-03-30,3494,3587,3494,3512,10360,10215.0,900000.0
1999-03-31,3494,3650,3494,3528,9740,10260.0,900000.0
1999-04-01,3588,3681,3556,3620,5780,10530.0,900000.0
1999-04-02,3634,3634,3525,3558,6270,10350.0,900000.0
1999-04-06,3510,3588,3494,3558,5730,10350.0,900000.0
1999-04-07,3572,3696,3572,3682,7470,10710.0,900000.0
1999-04-08,3619,3742,3619,3620,5500,10530.0,900000.0
