한국콜마홀딩스(024720),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,1071.0,1071.0,1071.0,1071.0,0.0,10080.0,600000.0
1999-01-05,1071.0,1071.0,1071.0,1071.0,0.0,,
1999-01-06,1071.0,1071.0,1071.0,1071.0,0.0,,
1999-01-07,1071.0,1071.0,1071.0,1071.0,0.0,,
1999-01-08,1071.0,1071.0,1071.0,1071.0,0.0,,
1999-01-11,1084.0,1148.0,1084.0,1148.0,300.0,10800.0,600000.0
1999-01-12,1148.0,1148.0,1148.0,1148.0,0.0,10800.0,600000.0
1999-01-13,1116.0,1116.0,1116.0,1116.0,0.0,10500.0,600000.0
1999-01-14,1148.0,1148.0,1148.0,1148.0,420.0,10800.0,600000.0
1999-01-15,1148.0,1148.0,1148.0,1148.0,0.0,,
1999-01-18,1148.0,1148.0,1148.0,1148.0,0.0,,
1999-01-19,1135.0,1135.0,1135.0,1135.0,72.0,10680.0,600000.0
1999-01-20,1135.0,1135.0,1135.0,1135.0,0.0,10680.0,600000.0
1999-01-21,1135.0,1135.0,1135.0,1135.0,77.0,10680.0,600000.0
1999-01-22,1135.0,1135.0,1135.0,1135.0,0.0,,
1999-01-25,1135.0,1135.0,1135.0,1135.0,0.0,,
1999-01-26,1122.0,1122.0,1122.0,1122.0,30.0,10560.0,600000.0
1999-01-27,1122.0,1122.0,1122.0,1122.0,0.0,10560.0,600000.0
1999-01-28,1122.0,1122.0,1122.0,1122.0,0.0,,
1999-01-29,1084.0,1084.0,1084.0,1084.0,260.0,10200.0,600000.0
1999-02-01,1084.0,1084.0,1084.0,1084.0,0.0,10200.0,600000.0
1999-02-02,1084.0,1084.0,1084.0,1084.0,0.0,,
1999-02-03,956.0,956.0,956.0,956.0,0.0,9000.0,600000.0
1999-02-04,842.0,956.0,842.0,956.0,45.0,9000.0,600000.0
1999-02-05,956.0,956.0,956.0,956.0,0.0,9000.0,600000.0
1999-02-08,956.0,956.0,956.0,956.0,0.0,,
1999-02-09,956.0,956.0,956.0,956.0,0.0,,
1999-02-10,956.0,956.0,956.0,956.0,0.0,,
1999-02-11,956.0,956.0,956.0,956.0,0.0,,
1999-02-12,956.0,956.0,956.0,956.0,0.0,,
