한국단자공업(025540),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,5538,5538,5311,5490,19100,57127.0,984947.0
1999-01-05,5368,5491,5112,5490,35800,57127.0,984947.0
1999-01-06,5633,5870,5491,5689,69300,59195.0,984947.0
1999-01-07,5680,5775,5680,5775,47300,60082.0,984947.0
1999-01-08,5775,5775,5586,5585,21600,58112.0,984947.0
1999-01-11,5586,5766,5491,5680,12100,59097.0,984947.0
1999-01-12,5690,5860,5576,5689,45700,59195.0,984947.0
1999-01-13,5699,5870,5680,5775,29700,60082.0,984947.0
1999-01-14,5728,5775,5538,5538,62600,57619.0,984947.0
1999-01-15,5680,5690,5491,5680,19900,59097.0,984947.0
1999-01-18,5680,5870,5586,5869,33300,61067.0,984947.0
1999-01-19,6059,6059,5879,5888,46800,61264.0,984947.0
1999-01-20,5964,5964,5680,5822,15500,60574.0,984947.0
1999-01-21,5586,5586,5491,5576,10200,58013.0,984947.0
1999-01-22,5018,5444,5018,5396,38000,56142.0,984947.0
1999-01-25,5207,5396,5018,5301,9800,55157.0,984947.0
1999-01-26,4980,5302,4980,5301,7100,55157.0,984947.0
1999-01-27,5112,5444,4980,5206,19100,54172.0,984947.0
1999-01-28,5302,5396,4923,5159,28600,53680.0,984947.0
1999-01-29,5112,5283,5112,5254,9600,54665.0,984947.0
1999-02-01,5112,5680,5112,5680,30900,59097.0,984947.0
1999-02-02,6248,6371,5775,6049,77500,62938.0,984947.0
1999-02-03,6012,6012,5728,6011,62000,62544.0,984947.0
1999-02-04,6012,6059,5917,6059,80000,63037.0,984947.0
1999-02-05,5879,6248,5879,6106,72400,63529.0,984947.0
1999-02-08,6059,6390,6059,6257,31400,65105.0,984947.0
1999-02-09,6154,6154,5974,6144,13700,63923.0,984947.0
1999-02-10,5964,6059,5964,6011,29600,62544.0,984947.0
1999-02-11,6002,6059,5964,6021,14500,62643.0,984947.0
1999-02-12,6059,6154,6059,6059,21200,63037.0,984947.0
1999-02-18,6031,6428,6031,6059,13400,63037.0,984947.0
1999-02-19,5406,5870,5406,5775,10500,60082.0,984947.0
1999-02-22,5349,5671,5349,5490,1800,57127.0,984947.0
1999-02-23,5822,5851,5538,5585,22500,58112.0,984947.0
1999-02-24,5586,5586,5415,5434,2500,56536.0,984947.0
1999-02-25,5235,5472,5235,5472,2300,56930.0,984947.0
1999-02-26,5112,5538,5112,5254,5800,54665.0,984947.0
1999-03-02,5368,5491,5254,5273,7600,54862.0,984947.0
1999-03-03,5302,5661,5302,5443,22700,56634.0,984947.0
1999-03-04,5396,5491,5396,5490,4100,57127.0,984947.0
1999-03-05,5491,5491,5491,5490,1500,57127.0,984947.0
1999-03-08,5633,5671,5605,5670,4800,58998.0,984947.0
1999-03-09,5671,5671,5567,5566,700,57915.0,984947.0
1999-03-10,5406,5500,5311,5396,23600,56142.0,984947.0
1999-03-11,5273,5453,5273,5405,48000,56240.0,984947.0
1999-03-12,5406,5491,5358,5481,19800,57028.0,984947.0
1999-03-15,5576,5586,5482,5538,9300,57619.0,984947.0
1999-03-16,5680,5737,5595,5680,28100,59097.0,984947.0
1999-03-17,5586,5775,5586,5727,9400,59589.0,984947.0
1999-03-18,5728,5822,5595,5689,33500,59195.0,984947.0
1999-03-19,5680,5822,5680,5737,8300,59688.0,984947.0
1999-03-22,5737,5766,5680,5689,18900,59195.0,984947.0
1999-03-23,5690,5775,5595,5680,15900,59097.0,984947.0
1999-03-24,5680,5775,5680,5775,35800,60082.0,984947.0
1999-03-25,5870,5870,5775,5784,5800,60180.0,984947.0
1999-03-26,5784,5917,5784,5917,12200,61559.0,984947.0
1999-03-29,5917,5955,5728,5746,173600,59786.0,984947.0
1999-03-30,5784,5822,5747,5746,30000,59786.0,984947.0
1999-03-31,5917,5917,5784,5869,7600,61067.0,984947.0
1999-04-01,5879,6438,5879,6390,62600,66484.0,984947.0
1999-04-02,6722,6722,6390,6437,23400,66976.0,984947.0
1999-04-06,6542,7195,6542,7100,77900,73871.0,984947.0
1999-04-07,7479,7526,7195,7280,39600,75742.0,984947.0
1999-04-08,7195,7195,7100,7195,21300,74856.0,984947.0
1999-04-09,7195,7290,7006,7289,19200,75841.0,984947.0
1999-04-12,7290,7384,7100,7100,28900,73871.0,984947.0
1999-04-13,6627,7290,6627,7100,4000,73871.0,984947.0
1999-04-14,7195,7195,7100,7100,137400,73871.0,984947.0
1999-04-15,7460,7470,7100,7147,26400,74363.0,984947.0
1999-04-16,7100,7290,7006,7289,37200,75841.0,984947.0
1999-04-19,7280,7564,7119,7195,17800,74856.0,984947.0
1999-04-20,7195,7280,7100,7195,66800,74856.0,984947.0
1999-04-21,7195,7432,7148,7289,29810,75841.0,984947.0
1999-04-22,7290,7290,7290,7289,0,75841.0,984947.0
1999-04-23,7290,7290,7290,7289,0,,
1999-04-26,7384,8378,7384,8378,98540,87168.0,9849470.0
1999-04-27,9183,9420,8142,8709,256740,90615.0,9849470.0
1999-04-28,8502,8994,8426,8709,210280,90615.0,9849470.0
1999-04-29,8520,8615,8246,8302,75410,86380.0,9849470.0
1999-04-30,8151,8170,7773,8094,110400,84213.0,9849470.0
1999-05-03,8047,8710,8047,8520,105140,88645.0,9849470.0
1999-05-04,8994,9657,8710,9230,210430,96032.0,9849470.0
1999-05-06,9657,10414,9657,10224,308060,106374.0,9849470.0
1999-05-07,10887,10887,9846,10035,228790,104404.0,9849470.0
1999-05-10,10035,10414,9467,10035,108660,104404.0,9849470.0
1999-05-11,9846,10698,9657,9656,141340,100465.0,9849470.0
1999-05-12,9562,9941,9089,9287,52120,96623.0,9849470.0
1999-05-13,8644,9467,8520,9173,59130,95441.0,9849470.0
1999-05-14,8956,9183,8473,8567,49980,89138.0,9849470.0
1999-05-17,8331,8426,7763,7763,32560,80766.0,9849470.0
1999-05-18,8028,8568,7858,8236,86190,85690.0,9849470.0
1999-05-19,8520,8568,8170,8236,69180,85690.0,9849470.0
1999-05-20,8236,8236,7593,7763,51670,80766.0,9849470.0
1999-05-21,7905,8142,7763,8141,47340,84705.0,9849470.0
1999-05-24,7867,8047,7867,8047,18300,83720.0,9849470.0
1999-05-25,7773,8236,7773,7952,20020,82736.0,9849470.0
1999-05-26,8132,8520,7952,8520,36920,88645.0,9849470.0
1999-05-27,8805,8805,8378,8520,56770,88645.0,9849470.0
1999-05-28,8331,8520,8142,8331,9630,86675.0,9849470.0
1999-05-31,8331,8615,8236,8236,39790,85690.0,9849470.0
1999-06-01,8047,8322,8047,8236,6030,85690.0,9849470.0
1999-06-02,8236,8615,8236,8331,22600,86675.0,9849470.0
1999-06-03,9562,9562,8625,8899,120450,92585.0,9849470.0
1999-06-04,9136,9136,8331,8520,26900,88645.0,9849470.0
1999-06-07,9183,9183,8378,8444,25470,87857.0,9849470.0
1999-06-08,8473,8568,8331,8454,27710,87956.0,9849470.0
1999-06-09,8426,8520,8331,8425,26470,87660.0,9849470.0
