한국주강(025890),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,787,787,787,787,0,3485.0,1056000.0
1999-01-05,691,763,691,763,1500,3379.0,1056000.0
1999-01-06,714,757,714,759,71400,3358.0,1056000.0
1999-01-07,716,740,716,728,41900,3221.0,1056000.0
1999-01-08,727,738,667,740,4200,3274.0,1056000.0
1999-01-11,690,786,690,716,43300,3168.0,1056000.0
1999-01-12,751,823,751,824,100700,3643.0,1056000.0
1999-01-13,904,944,904,946,33500,4187.0,1056000.0
1999-01-14,1086,1086,1000,1087,484700,4810.0,1056000.0
1999-01-15,1088,1249,1074,1248,301300,5523.0,1056000.0
1999-01-18,1265,1435,1265,1434,246900,6347.0,1056000.0
1999-01-19,1639,1639,1219,1220,191600,5396.0,1056000.0
1999-01-20,1169,1222,1074,1143,130700,5058.0,1056000.0
1999-01-21,1140,1140,978,1002,42100,4435.0,1056000.0
1999-01-22,918,1152,918,1153,56900,5100.0,1056000.0
1999-01-25,1157,1168,1014,1134,21500,5016.0,1056000.0
1999-01-26,1072,1096,1072,1074,80100,4752.0,1056000.0
1999-01-27,1143,1145,954,954,16900,4224.0,1056000.0
1999-01-28,953,1072,953,1026,9900,4541.0,1056000.0
1999-01-29,1038,1038,954,954,43000,4224.0,1056000.0
1999-02-01,953,1072,953,1074,54900,4752.0,1056000.0
1999-02-02,1169,1169,1071,1072,10900,4741.0,1056000.0
1999-02-03,1029,1170,1029,1076,68900,4763.0,1056000.0
1999-02-04,1072,1075,1072,1074,13000,4752.0,1056000.0
1999-02-05,1072,1072,977,1074,3200,4752.0,1056000.0
1999-02-08,1074,1074,1063,1062,6100,4699.0,1056000.0
1999-02-09,978,978,978,978,2000,4330.0,1056000.0
1999-02-10,954,954,930,954,19900,4224.0,1056000.0
1999-02-11,953,1024,953,1026,400,4541.0,1056000.0
1999-02-12,978,1023,954,959,53800,4245.0,1056000.0
1999-02-18,954,1073,911,911,11100,4034.0,1056000.0
1999-02-19,920,954,920,954,14000,4224.0,1056000.0
1999-02-22,835,835,835,835,1100,3696.0,1056000.0
1999-02-23,834,834,738,740,3200,3274.0,1056000.0
1999-02-24,764,850,762,850,13200,3765.0,1056000.0
1999-02-25,954,954,858,862,1600,3812.0,1056000.0
1999-02-26,813,953,813,816,4200,3612.0,1056000.0
1999-03-02,822,822,714,716,6000,3168.0,1056000.0
1999-03-03,715,787,715,787,1300,3485.0,1056000.0
1999-03-04,788,896,788,895,3100,3960.0,1056000.0
1999-03-05,798,857,798,859,1300,3802.0,1056000.0
1999-03-08,834,904,834,905,5200,4002.0,1056000.0
1999-03-09,882,882,858,862,7600,3812.0,1056000.0
1999-03-10,763,954,763,954,5000,4224.0,1056000.0
1999-03-11,905,905,905,907,7200,4013.0,1056000.0
1999-03-12,954,954,814,835,23600,3696.0,1056000.0
1999-03-15,836,953,836,926,67500,4097.0,1056000.0
1999-03-16,846,941,846,939,18900,4155.0,1056000.0
1999-03-17,885,895,861,862,13500,3812.0,1056000.0
1999-03-18,812,848,812,847,27200,3749.0,1056000.0
1999-03-19,767,848,767,847,7600,3749.0,1056000.0
1999-03-22,860,860,786,859,14400,3802.0,1056000.0
1999-03-23,739,835,739,835,2000,3696.0,1056000.0
1999-03-24,787,787,751,752,13000,3326.0,1056000.0
1999-03-25,858,858,739,763,7300,3379.0,1056000.0
1999-03-26,764,834,764,833,15200,3685.0,1056000.0
1999-03-29,719,834,719,833,10100,3685.0,1056000.0
1999-03-30,763,823,763,811,29600,3590.0,1056000.0
1999-03-31,765,811,765,810,400,3585.0,1056000.0
1999-04-01,767,859,752,766,7100,3390.0,1056000.0
1999-04-02,858,858,775,787,37600,3485.0,1056000.0
1999-04-06,787,787,766,768,15700,3400.0,1056000.0
1999-04-07,775,835,775,781,12000,3453.0,1056000.0
1999-04-08,778,778,714,769,20900,3406.0,1056000.0
1999-04-09,771,811,763,763,35300,3379.0,1056000.0
1999-04-12,717,762,717,740,16400,3274.0,1056000.0
1999-04-13,739,763,739,763,17500,3379.0,1056000.0
1999-04-14,763,787,763,787,39900,3485.0,1056000.0
1999-04-15,811,835,787,811,98600,3590.0,1056000.0
1999-04-16,787,787,775,776,27200,3432.0,1056000.0
1999-04-19,775,811,775,776,9600,3432.0,1056000.0
1999-04-20,787,787,763,763,27500,3379.0,1056000.0
1999-04-21,762,762,754,758,10900,3353.0,1056000.0
1999-04-22,763,830,647,787,9400,3485.0,1056000.0
1999-04-23,745,748,745,747,10300,3305.0,1056000.0
1999-04-26,746,746,738,740,13300,3274.0,1056000.0
1999-04-27,738,738,738,740,11700,3274.0,1056000.0
1999-04-28,739,835,715,835,63400,3696.0,1056000.0
1999-04-29,834,960,834,960,71700,4250.0,1056000.0
1999-04-30,1074,1074,883,952,24600,4213.0,1056000.0
1999-05-03,883,953,883,952,16000,4213.0,1056000.0
1999-05-04,933,933,897,930,33500,4118.0,1056000.0
1999-05-06,929,1069,862,1025,82000,4536.0,1056000.0
1999-05-07,1050,1050,953,952,46800,4213.0,1056000.0
1999-05-10,906,957,906,954,26700,4224.0,1056000.0
1999-05-11,957,978,923,930,66500,4118.0,1056000.0
1999-05-12,941,943,876,878,34900,3886.0,1056000.0
1999-05-13,860,905,860,907,12200,4013.0,1056000.0
1999-05-14,906,906,771,776,21100,3432.0,1056000.0
1999-05-17,776,848,745,847,40200,3749.0,1056000.0
1999-05-18,835,848,835,847,12300,3749.0,1056000.0
1999-05-19,954,954,834,881,17400,3897.0,1056000.0
1999-05-20,767,848,767,847,200,3749.0,1056000.0
1999-05-21,722,857,722,859,21000,3802.0,1056000.0
1999-05-24,870,881,750,883,35900,3907.0,1056000.0
1999-05-25,834,905,834,907,39400,4013.0,1056000.0
1999-05-26,930,942,839,943,71300,4171.0,1056000.0
1999-05-27,928,928,928,929,15000,4108.0,1056000.0
1999-05-28,813,857,813,859,2400,3802.0,1056000.0
1999-05-31,857,857,857,859,200,3802.0,1056000.0
1999-06-01,862,862,857,859,2000,3802.0,1056000.0
1999-06-02,905,905,767,902,13000,3992.0,1056000.0
1999-06-03,872,896,872,895,600,3960.0,1056000.0
1999-06-04,906,906,815,829,500,3670.0,1056000.0
1999-06-07,830,856,706,763,24800,3379.0,1056000.0
1999-06-08,781,876,781,878,30200,3886.0,1056000.0
1999-06-09,876,906,775,776,2900,3432.0,1056000.0
1999-06-10,787,880,763,881,9300,3897.0,1056000.0
1999-06-11,763,856,763,857,12200,3791.0,1056000.0
1999-06-14,865,879,810,878,62500,3886.0,1056000.0
1999-06-15,918,918,875,919,89000,4066.0,1056000.0
1999-06-16,953,1055,953,1055,211500,4673.0,1056000.0
1999-06-17,1098,1212,1098,1167,282500,5164.0,1056000.0
1999-06-18,1145,1192,1097,1097,114000,4858.0,1056000.0
1999-06-21,1145,1192,1121,1121,133600,4963.0,1056000.0
1999-06-22,1166,1166,1027,1074,93400,4752.0,1056000.0
1999-06-23,1096,1096,1003,1069,107500,4731.0,1056000.0
1999-06-24,1001,1072,908,1074,34800,4752.0,1056000.0
1999-06-25,921,1077,921,1076,32900,4763.0,1056000.0
