부국철강(026940),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,575.0,575.0,575.0,575.0,0.0,3870.0,1032000.0
1999-01-05,575.0,575.0,575.0,575.0,0.0,3870.0,1032000.0
1999-01-06,575.0,575.0,575.0,575.0,0.0,,
1999-01-07,575.0,575.0,575.0,575.0,0.0,,
1999-01-08,575.0,575.0,575.0,575.0,0.0,,
1999-01-11,575.0,575.0,575.0,575.0,0.0,,
1999-01-12,575.0,575.0,575.0,575.0,0.0,,
1999-01-13,575.0,575.0,575.0,575.0,0.0,,
1999-01-14,575.0,575.0,575.0,575.0,0.0,,
1999-01-15,575.0,575.0,575.0,575.0,0.0,,
1999-01-18,575.0,575.0,575.0,575.0,0.0,,
1999-01-19,575.0,575.0,575.0,575.0,0.0,,
1999-01-20,575.0,575.0,575.0,575.0,0.0,,
1999-01-21,575.0,575.0,575.0,575.0,0.0,,
1999-01-22,575.0,575.0,575.0,575.0,0.0,,
1999-01-25,575.0,575.0,575.0,575.0,0.0,,
1999-01-26,575.0,575.0,575.0,575.0,0.0,,
1999-01-27,575.0,575.0,575.0,575.0,0.0,,
1999-01-28,613.0,613.0,613.0,613.0,1000.0,4128.0,1032000.0
1999-01-29,613.0,613.0,613.0,613.0,0.0,4128.0,1032000.0
1999-02-01,613.0,613.0,613.0,613.0,0.0,,
1999-02-02,613.0,613.0,613.0,613.0,0.0,,
1999-02-03,613.0,613.0,613.0,613.0,1000.0,4128.0,1032000.0
1999-02-04,613.0,613.0,613.0,613.0,0.0,,
1999-02-05,613.0,613.0,613.0,613.0,0.0,,
1999-02-08,613.0,613.0,613.0,613.0,0.0,,
1999-02-09,613.0,613.0,613.0,613.0,0.0,,
1999-02-10,613.0,613.0,613.0,613.0,0.0,,
1999-02-11,613.0,613.0,613.0,613.0,0.0,,
1999-02-12,613.0,613.0,613.0,613.0,0.0,,
1999-02-18,613.0,613.0,613.0,613.0,0.0,,
1999-02-19,613.0,613.0,613.0,613.0,0.0,,
1999-02-22,613.0,613.0,613.0,613.0,0.0,,
1999-02-23,613.0,613.0,613.0,613.0,0.0,,
