동서(026960),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,671,671,671,672,0,71520.0,2980000.0
1999-01-05,671,671,671,672,0,71520.0,2980000.0
1999-01-06,671,671,671,672,0,,
1999-01-07,671,671,671,672,0,,
1999-01-08,671,671,671,672,0,,
1999-01-11,671,671,671,672,0,,
1999-01-12,671,671,671,672,0,,
1999-01-13,671,671,671,672,0,,
1999-01-14,671,671,671,672,0,,
1999-01-15,671,671,671,672,0,,
1999-01-18,671,671,671,672,0,,
1999-01-19,615,615,615,616,100,65560.0,2980000.0
1999-01-20,615,615,615,616,11300,65560.0,2980000.0
1999-01-21,615,615,615,616,0,65560.0,2980000.0
1999-01-22,615,615,615,616,0,,
1999-01-25,615,615,615,616,0,,
1999-01-26,615,615,615,616,0,,
1999-01-27,615,615,615,616,0,,
1999-01-28,615,615,615,616,0,,
1999-01-29,615,615,615,616,0,,
1999-02-01,615,615,615,616,0,,
1999-02-02,615,615,615,616,0,,
1999-02-03,615,615,615,616,0,,
1999-02-04,615,615,615,616,0,,
1999-02-05,615,615,615,616,0,,
1999-02-08,615,615,615,616,0,,
1999-02-09,615,615,615,616,0,,
1999-02-10,615,615,615,616,0,,
1999-02-11,615,615,615,616,0,,
1999-02-12,615,615,615,616,0,,
1999-02-18,615,615,615,616,0,,
1999-02-19,615,615,615,616,0,,
1999-02-22,615,615,615,616,5400,65560.0,2980000.0
1999-02-23,615,615,615,616,0,,
1999-02-24,615,615,615,616,15300,65560.0,2980000.0
1999-02-25,615,615,615,616,0,,
1999-02-26,615,615,615,616,0,,
1999-03-02,615,615,615,616,0,,
1999-03-03,615,615,615,616,0,,
1999-03-04,615,615,615,616,0,,
1999-03-05,615,615,615,616,0,,
1999-03-08,615,615,615,616,0,,
1999-03-09,615,615,615,616,0,,
1999-03-10,615,615,615,616,0,,
1999-03-11,615,615,615,616,0,,
1999-03-12,615,615,615,616,0,,
1999-03-15,615,615,615,616,0,,
1999-03-16,615,615,615,616,0,,
1999-03-17,615,615,615,616,0,,
1999-03-18,615,615,615,616,0,,
1999-03-19,615,615,615,616,0,,
1999-03-22,615,615,615,616,0,,
1999-03-23,615,615,615,616,0,,
1999-03-24,615,615,615,616,0,,
1999-03-25,615,615,615,616,0,,
1999-03-26,615,615,615,616,0,,
1999-03-29,615,615,615,616,0,,
1999-03-30,616,616,615,616,30150,65560.0,2980000.0
1999-03-31,615,615,615,616,0,,
1999-04-01,618,618,618,618,0,65858.0,2980000.0
1999-04-02,618,618,618,618,0,65858.0,2980000.0
1999-04-06,618,618,618,618,0,,
1999-04-07,618,618,618,618,0,,
1999-04-08,618,618,618,618,0,,
1999-04-09,618,618,618,618,0,,
1999-04-12,618,618,618,618,0,,
1999-04-13,618,618,618,618,0,,
1999-04-14,643,643,643,644,0,68540.0,2980000.0
1999-04-15,643,643,643,644,0,68540.0,2980000.0
1999-04-16,643,643,643,644,300,68540.0,2980000.0
1999-04-19,646,646,646,647,0,68838.0,2980000.0
1999-04-20,651,651,651,652,3400,69434.0,2980000.0
1999-04-21,671,671,671,672,0,71520.0,2980000.0
1999-04-22,671,671,671,672,0,,
1999-04-23,671,671,671,672,0,,
1999-04-26,673,673,673,675,100,71818.0,2980000.0
1999-04-27,673,673,673,675,0,71818.0,2980000.0
1999-04-28,673,673,673,675,0,,
1999-04-29,685,685,685,686,0,73010.0,2980000.0
1999-04-30,685,685,685,686,0,73010.0,2980000.0
1999-05-03,699,699,699,699,0,74500.0,2980000.0
1999-05-04,713,713,713,714,0,75990.0,2980000.0
1999-05-06,713,713,713,714,0,75990.0,2980000.0
1999-05-07,727,727,727,727,0,77480.0,2980000.0
1999-05-10,727,727,727,727,0,77480.0,2980000.0
1999-05-11,727,727,727,727,0,,
1999-05-12,727,727,727,727,0,,
1999-05-13,727,727,727,727,0,,
1999-05-14,727,727,727,727,0,,
1999-05-17,727,727,727,727,0,,
1999-05-18,727,727,727,727,0,,
1999-05-19,699,699,699,699,40000,74500.0,2980000.0
1999-05-20,727,727,727,727,0,77480.0,2980000.0
1999-05-21,727,727,727,727,0,,
