BGF(027410),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-05-19,14690,15000,13325,14227,3260633,1360132.0,24640080.0
2014-05-20,14123,15051,13737,14871,994959,1421733.0,24640080.0
2014-05-21,14922,15025,14304,14382,394793,1374916.0,24640080.0
2014-05-22,14381,14613,14304,14459,242042,1382308.0,24640080.0
2014-05-23,14536,15283,14304,15026,371638,1436517.0,24640080.0
2014-05-26,15026,15283,14871,14975,216755,1431589.0,24640080.0
2014-05-27,14897,14948,14355,14485,238094,1384772.0,24640080.0
2014-05-28,14381,14535,14046,14459,114627,1382308.0,24640080.0
2014-05-29,14432,14638,14201,14433,77948,1379844.0,24640080.0
2014-05-30,14329,14510,14278,14433,90033,1379844.0,24640080.0
2014-06-02,14304,14407,13762,14098,84888,1347812.0,24640080.0
2014-06-03,13995,14072,13376,13918,221999,1330564.0,24640080.0
2014-06-05,13865,13995,13685,13841,76008,1323172.0,24640080.0
2014-06-09,13814,14278,13814,14098,104658,1347812.0,24640080.0
2014-06-10,14046,14330,14046,14330,197780,1369988.0,24640080.0
2014-06-11,14303,14407,14200,14356,63461,1372452.0,24640080.0
2014-06-12,14355,14355,13995,14176,43024,1355204.0,24640080.0
2014-06-13,14098,14124,13711,14047,56736,1342884.0,24640080.0
2014-06-16,13943,14252,13943,14176,39636,1355204.0,24640080.0
2014-06-17,14046,14227,14046,14124,74457,1350276.0,24640080.0
2014-06-18,14123,14201,13762,13763,54522,1315780.0,24640080.0
2014-06-19,13325,14201,12963,14176,548280,1355204.0,24640080.0
2014-06-20,14124,14201,13969,14201,91115,1357668.0,24640080.0
2014-06-23,14175,14794,14123,14743,268897,1409413.0,24640080.0
2014-06-24,14871,15154,14562,15103,170344,1443909.0,24640080.0
2014-06-25,15077,15721,15051,15413,225590,1473477.0,24640080.0
2014-06-26,15412,15515,15154,15413,56949,1473477.0,24640080.0
2014-06-27,15412,16082,15257,15825,194751,1512901.0,24640080.0
2014-06-30,15824,16236,15618,16160,139885,1544933.0,24640080.0
2014-07-01,16237,17087,16082,16753,152860,1601605.0,24640080.0
2014-07-02,16752,16778,16443,16624,79754,1589285.0,24640080.0
2014-07-03,16727,16727,16365,16495,83943,1576965.0,24640080.0
2014-07-04,16546,16855,16469,16701,82571,1596677.0,24640080.0
2014-07-07,16727,17190,16521,16753,113260,1601605.0,24640080.0
2014-07-08,16649,16830,16624,16727,21383,1599141.0,24640080.0
2014-07-09,16829,17087,16701,16985,62052,1623781.0,24640080.0
2014-07-10,17087,17423,16984,17268,61203,1650885.0,24640080.0
2014-07-11,17267,17474,17216,17268,87290,1650885.0,24640080.0
2014-07-14,17448,17655,17268,17552,60399,1677989.0,24640080.0
2014-07-15,17732,17783,17268,17372,93801,1660741.0,24640080.0
2014-07-16,17448,17448,16494,17165,157986,1641029.0,24640080.0
2014-07-17,16958,17087,16443,16573,465539,1584357.0,24640080.0
2014-07-18,16237,16366,15618,16057,572939,1535077.0,24640080.0
2014-07-21,15979,16314,15979,16263,149761,1554789.0,24640080.0
2014-07-22,16211,16752,16211,16573,127400,1584357.0,24640080.0
2014-07-23,16494,16804,16391,16701,158660,1596677.0,24640080.0
2014-07-24,16521,16881,16237,16521,99098,1579429.0,24640080.0
2014-07-25,16624,16856,16391,16727,55129,1599141.0,24640080.0
2014-07-28,16727,16830,16521,16830,60181,1608997.0,24640080.0
2014-07-29,16907,16907,16366,16676,54097,1594213.0,24640080.0
2014-07-30,16108,16752,16108,16676,27802,1594213.0,24640080.0
2014-07-31,16830,16907,16521,16676,59303,1594213.0,24640080.0
2014-08-01,16494,16778,16494,16727,46221,1599141.0,24640080.0
2014-08-04,16830,16830,16521,16753,8477,1601605.0,24640080.0
2014-08-05,16752,16804,16624,16624,55518,1589285.0,24640080.0
2014-08-06,16598,16830,16366,16805,33064,1606533.0,24640080.0
2014-08-07,16804,17190,16546,17036,48963,1628709.0,24640080.0
2014-08-08,17035,17113,16829,17036,27230,1628709.0,24640080.0
2014-08-11,16933,17139,16675,16805,11965,1606533.0,24640080.0
2014-08-12,16856,17087,16701,16882,23595,1613925.0,24640080.0
2014-08-13,16958,16958,16649,16650,17763,1591749.0,24640080.0
2014-08-14,16443,16701,16237,16263,70611,1554789.0,24640080.0
2014-08-18,16443,16494,16159,16186,13033,1547397.0,24640080.0
2014-08-19,15206,16236,14974,16186,486359,1547397.0,24640080.0
2014-08-20,16159,16159,15644,15722,152883,1503045.0,24640080.0
2014-08-21,15747,15876,15696,15722,86027,1503045.0,24640080.0
2014-08-22,15722,15850,15670,15748,45970,1505509.0,24640080.0
2014-08-25,15644,15953,15644,15954,52352,1525221.0,24640080.0
2014-08-26,15773,16494,15747,16315,38403,1559717.0,24640080.0
2014-08-27,16340,16752,16314,16753,88717,1601605.0,24640080.0
2014-08-28,16856,16984,16649,16753,24368,1601605.0,24640080.0
2014-08-29,16752,16881,16546,16753,27303,1601605.0,24640080.0
2014-09-01,16752,16752,16185,16676,24679,1594213.0,24640080.0
2014-09-02,16649,16675,16469,16573,15676,1584357.0,24640080.0
2014-09-03,17139,17577,16933,17140,221250,1638565.0,24640080.0
2014-09-04,17267,17267,16417,17088,38818,1633637.0,24640080.0
2014-09-05,17087,17164,16855,17011,21419,1626245.0,24640080.0
2014-09-11,17010,17319,17010,17243,55397,1648421.0,24640080.0
2014-09-12,17242,17526,17190,17526,84869,1675525.0,24640080.0
2014-09-15,17552,17552,16830,16830,28869,1608997.0,24640080.0
2014-09-16,16726,17216,16701,17217,11452,1645957.0,24640080.0
2014-09-17,17216,17216,16598,16727,28491,1599141.0,24640080.0
2014-09-18,16675,16726,16134,16366,34552,1564645.0,24640080.0
2014-09-19,16365,16572,16185,16289,45002,1557253.0,24640080.0
2014-09-22,16288,16598,16133,16186,28777,1547397.0,24640080.0
2014-09-23,16134,16649,15721,16495,87254,1576965.0,24640080.0
2014-09-24,16288,16778,16288,16521,36938,1579429.0,24640080.0
2014-09-25,16649,16649,16185,16289,8463,1557253.0,24640080.0
2014-09-26,16108,16442,15824,16083,100160,1537541.0,24640080.0
2014-09-29,16211,16211,15825,16031,75129,1532613.0,24640080.0
2014-09-30,16108,16391,16082,16366,48538,1564645.0,24640080.0
2014-10-01,16468,16520,16211,16366,16073,1564645.0,24640080.0
2014-10-02,16108,16340,15979,16238,13174,1552325.0,24640080.0
2014-10-06,16494,16675,16056,16495,58345,1576965.0,24640080.0
2014-10-07,16494,16778,16211,16753,86299,1601605.0,24640080.0
2014-10-08,16752,16881,16417,16521,15390,1579429.0,24640080.0
2014-10-10,16443,16959,16443,16933,84844,1618853.0,24640080.0
2014-10-13,16933,17036,16675,16779,45002,1604069.0,24640080.0
2014-10-14,16881,16984,16624,16882,28547,1613925.0,24640080.0
2014-10-15,16881,17010,16778,16856,14421,1611461.0,24640080.0
2014-10-16,16572,16856,16572,16830,14447,1608997.0,24640080.0
