체시스(033250),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-08-11,1536,1536,1536,1537,44000,21840.0,975000.0
1999-08-12,1768,1768,1768,1767,380800,25106.0,975000.0
1999-08-13,2032,2032,2032,2032,846300,28860.0,975000.0
1999-08-16,2333,2333,2032,2032,950300,28860.0,975000.0
1999-08-17,1860,1983,1730,1819,311200,25838.0,975000.0
1999-08-18,1743,1743,1551,1613,171200,22912.0,975000.0
1999-08-19,1454,1735,1454,1681,160600,23888.0,975000.0
1999-08-20,1599,1819,1599,1781,205200,25301.0,975000.0
1999-08-23,1818,1886,1742,1750,127400,24862.0,975000.0
1999-08-24,1770,1770,1653,1654,122400,23498.0,975000.0
1999-08-25,1681,1736,1654,1716,134800,24375.0,975000.0
1999-08-26,1653,1715,1653,1654,83900,23498.0,975000.0
1999-08-27,1654,1654,1555,1613,101700,22912.0,975000.0
1999-08-30,1578,1612,1372,1386,114500,19695.0,975000.0
1999-08-31,1420,1502,1392,1482,105100,21060.0,975000.0
1999-09-01,1510,1514,1496,1510,76100,21450.0,975000.0
1999-09-02,1441,1572,1441,1572,52900,22328.0,975000.0
1999-09-03,1509,1578,1475,1551,41800,22035.0,975000.0
1999-09-06,1440,1543,1406,1544,112100,21938.0,975000.0
1999-09-07,1647,1647,1517,1613,82200,22912.0,975000.0
1999-09-08,1551,1613,1524,1565,22100,22230.0,975000.0
1999-09-09,1509,1540,1440,1444,52800,20524.0,975000.0
1999-09-10,1454,1481,1410,1441,32000,20475.0,975000.0
1999-09-13,1448,1448,1407,1410,43300,20036.0,975000.0
1999-09-14,1421,1434,1338,1380,88700,19598.0,975000.0
1999-09-15,1393,1455,1393,1410,60400,20036.0,975000.0
1999-09-16,1338,1476,1338,1407,39200,19988.0,975000.0
1999-09-17,1406,1406,1355,1400,38800,19890.0,975000.0
1999-09-20,1341,1399,1341,1345,25800,19110.0,975000.0
1999-09-21,1349,1397,1345,1373,20300,19500.0,975000.0
1999-09-22,1373,1373,1311,1321,52300,18769.0,975000.0
1999-09-27,1304,1304,1270,1277,20100,18135.0,975000.0
1999-09-28,1297,1297,1208,1211,14600,17209.0,975000.0
1999-09-29,1186,1221,1131,1180,29900,16770.0,975000.0
1999-09-30,1191,1356,1180,1270,56300,18038.0,975000.0
1999-10-01,1173,1179,1083,1132,33500,16088.0,975000.0
1999-10-04,1097,1128,1063,1098,19100,15600.0,975000.0
1999-10-05,1035,1097,1035,1098,34800,15600.0,975000.0
1999-10-06,1150,1150,1064,1112,8700,15795.0,975000.0
1999-10-07,1126,1174,1112,1167,31900,16575.0,975000.0
1999-10-08,1097,1269,1097,1242,54200,17648.0,975000.0
1999-10-11,1179,1296,1179,1235,46000,17550.0,975000.0
1999-10-12,1234,1262,1234,1235,16800,17550.0,975000.0
1999-10-13,1242,1304,1201,1270,35100,18038.0,975000.0
1999-10-14,1235,1290,1222,1270,14000,18038.0,975000.0
1999-10-15,1207,1269,1207,1249,6600,17745.0,975000.0
1999-10-18,1222,1226,1178,1222,27800,17355.0,975000.0
1999-10-19,1256,1256,1167,1222,8800,17355.0,975000.0
1999-10-20,1173,1234,1173,1235,36600,17550.0,975000.0
1999-10-21,1249,1249,1187,1225,13600,17404.0,975000.0
1999-10-22,1235,1239,1201,1225,14600,17404.0,975000.0
