유나이티드(033270),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-11-11,3321,3341,3033,3341,1171270,42000.0,1250000.0
1999-11-12,3680,3720,2943,2983,935770,37500.0,1250000.0
1999-11-15,2984,3034,2625,2625,388720,33000.0,1250000.0
1999-11-16,2525,2938,2426,2938,344030,36938.0,1250000.0
1999-11-17,2993,3052,2590,2590,274700,32562.0,1250000.0
1999-11-18,2580,2834,2486,2635,110000,33125.0,1250000.0
1999-11-19,2665,2933,2516,2928,262280,36812.0,1250000.0
1999-11-22,2973,2978,2784,2883,160580,36250.0,1250000.0
1999-11-23,2585,2873,2585,2724,199860,34250.0,1250000.0
1999-11-24,2754,2784,2595,2680,153240,33688.0,1250000.0
1999-11-25,2685,2734,2535,2695,332570,33875.0,1250000.0
1999-11-26,2635,2635,2516,2585,212640,32500.0,1250000.0
1999-11-29,2585,2585,2347,2545,103640,32000.0,1250000.0
1999-11-30,2545,2615,2287,2486,187560,31250.0,1250000.0
1999-12-01,2386,2784,2386,2784,218860,35000.0,1250000.0
1999-12-02,3117,3117,3117,3117,193910,39188.0,1250000.0
1999-12-03,3490,3490,2754,3023,503320,38000.0,1250000.0
1999-12-06,3013,3013,2784,2983,323740,37500.0,1250000.0
1999-12-07,2993,2993,2784,2933,199400,36875.0,1250000.0
1999-12-08,2978,3281,2978,3281,572760,41250.0,1250000.0
1999-12-09,3674,3674,3659,3674,123620,46188.0,1250000.0
1999-12-10,3927,4111,3778,4111,954300,51688.0,1250000.0
1999-12-13,4077,4091,3699,3967,390080,49875.0,1250000.0
1999-12-14,3927,4439,3778,4365,439970,54875.0,1250000.0
1999-12-15,4166,4171,3843,3947,298270,49625.0,1250000.0
1999-12-16,3828,4156,3475,3734,246050,46938.0,1250000.0
1999-12-17,3793,3793,3286,3286,61800,41312.0,1250000.0
1999-12-20,2893,3182,2893,3127,195280,39312.0,1250000.0
1999-12-21,2913,3251,2903,3132,178660,39375.0,1250000.0
1999-12-22,3082,3082,2844,3013,274250,37875.0,1250000.0
1999-12-23,3082,3301,2913,2913,210540,36625.0,1250000.0
1999-12-24,2883,2983,2685,2983,167750,37500.0,1250000.0
1999-12-27,3132,3182,2794,2983,90410,37500.0,1250000.0
1999-12-28,2983,2983,2804,2983,174990,37500.0,1250000.0
2000-01-04,2903,3082,2903,2983,42510,37500.0,1250000.0
2000-01-05,2983,2983,2779,2933,43190,36875.0,1250000.0
2000-01-06,2983,3072,2883,3072,106400,38625.0,1250000.0
2000-01-07,3062,3062,2883,2958,59210,37188.0,1250000.0
