무학(033920),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,120,120,120,124,0,3088.0,236600.0
1999-01-05,137,137,137,137,0,3431.0,236600.0
1999-01-06,137,137,137,137,0,3431.0,236600.0
1999-01-07,147,147,147,151,0,3762.0,236600.0
1999-01-08,147,147,147,151,0,3762.0,236600.0
1999-01-11,163,163,163,167,0,4164.0,236600.0
1999-01-12,163,163,163,167,0,4164.0,236600.0
1999-01-13,163,163,163,167,0,,
1999-01-14,163,163,163,167,0,,
1999-01-15,148,148,148,152,4700,3786.0,236600.0
1999-01-18,148,148,148,152,0,3786.0,236600.0
1999-01-19,148,165,148,169,4675,4211.0,236600.0
1999-01-20,183,183,183,187,0,4661.0,236600.0
1999-01-21,183,183,183,187,0,4661.0,236600.0
1999-01-22,164,164,164,164,4150,4105.0,236600.0
1999-01-25,164,164,164,164,0,4105.0,236600.0
1999-01-26,148,148,148,152,4525,3786.0,236600.0
1999-01-27,148,148,148,152,0,,
1999-01-28,137,137,137,137,5000,3431.0,236600.0
1999-01-29,137,137,137,137,2800,3431.0,236600.0
1999-02-01,137,137,137,137,0,,
1999-02-02,137,137,137,137,0,,
1999-02-03,121,121,121,121,0,3028.0,236600.0
1999-02-04,121,121,121,121,0,3028.0,236600.0
1999-02-05,121,121,121,121,0,,
1999-02-08,121,121,121,121,0,,
1999-02-09,107,135,107,135,50,3383.0,236600.0
1999-02-10,148,148,148,152,0,3786.0,236600.0
1999-02-11,148,148,130,134,1225,3336.0,236600.0
1999-02-12,124,124,124,124,25,3099.0,236600.0
1999-02-18,138,138,138,138,25,3454.0,236600.0
1999-02-19,130,130,123,127,4425,3170.0,236600.0
1999-02-22,123,123,123,127,0,3170.0,236600.0
1999-02-23,125,125,125,125,4200,3123.0,236600.0
1999-02-24,114,128,114,126,5825,3147.0,236600.0
1999-02-25,123,126,123,126,4200,3147.0,236600.0
1999-02-26,125,125,125,129,5250,3218.0,236600.0
1999-03-02,125,125,125,129,0,3218.0,236600.0
1999-03-03,125,125,125,129,0,,
1999-03-04,125,125,125,129,0,,
1999-03-05,125,125,125,129,0,,
1999-03-08,124,124,124,128,1000,3194.0,236600.0
1999-03-09,124,124,124,128,0,3194.0,236600.0
1999-03-10,124,124,124,128,0,,
1999-03-11,124,124,124,128,0,,
1999-03-12,124,124,124,128,0,,
1999-03-15,124,124,124,128,0,,
1999-03-16,123,123,123,127,2750,3170.0,236600.0
1999-03-17,123,123,123,127,0,,
1999-03-18,126,126,126,126,3825,3147.0,236600.0
1999-03-19,126,126,126,126,0,3147.0,236600.0
1999-03-22,126,126,126,126,3775,3147.0,236600.0
1999-03-23,126,126,126,126,0,,
1999-03-24,124,124,124,128,1900,3194.0,236600.0
1999-03-25,124,124,124,128,0,,
1999-03-26,124,124,124,128,3675,3194.0,236600.0
1999-03-29,124,124,124,128,0,,
1999-03-30,125,125,125,125,3725,3123.0,236600.0
1999-03-31,125,125,125,125,5000,3123.0,236600.0
1999-04-01,125,125,125,125,0,3123.0,236600.0
1999-04-02,125,125,125,125,0,,
1999-04-06,121,136,121,140,5375,3490.0,236600.0
1999-04-07,136,136,136,140,0,3490.0,236600.0
1999-04-08,129,129,129,133,3375,3312.0,236600.0
1999-04-09,129,129,129,133,0,3312.0,236600.0
1999-04-12,137,137,137,137,3125,3431.0,236600.0
1999-04-13,137,137,137,137,0,,
1999-04-14,139,139,139,139,3125,3478.0,236600.0
1999-04-15,142,142,142,142,0,3549.0,236600.0
1999-04-16,142,142,142,142,0,3549.0,236600.0
1999-04-19,152,154,152,154,2750,3857.0,236600.0
1999-04-20,154,154,154,154,0,3857.0,236600.0
1999-04-21,154,154,154,154,0,,
1999-04-22,143,143,143,147,2650,3667.0,236600.0
1999-04-23,143,143,143,147,0,3667.0,236600.0
1999-04-26,143,143,143,147,2750,3667.0,236600.0
1999-04-27,143,143,143,147,0,,
1999-04-28,143,143,143,147,0,,
1999-04-29,143,143,143,147,0,,
1999-04-30,143,143,143,147,2750,,
1999-05-03,143,143,143,147,0,,
1999-05-04,143,143,143,147,0,,
1999-05-06,143,143,143,147,0,,
1999-05-07,143,143,143,147,0,,
1999-05-10,143,143,143,147,0,,
1999-05-11,143,143,143,147,2750,,
1999-05-12,143,143,143,147,0,,
1999-05-13,143,144,143,148,2750,3691.0,236600.0
1999-05-14,156,156,156,156,0,3904.0,236600.0
1999-05-17,167,167,167,171,0,4259.0,236600.0
1999-05-18,167,167,167,171,0,4259.0,236600.0
1999-05-19,181,181,181,185,3300,4614.0,236600.0
1999-05-20,203,203,203,207,0,5158.0,236600.0
1999-05-21,231,231,231,231,0,5773.0,236600.0
1999-05-24,255,255,255,259,0,6459.0,236600.0
1999-05-25,255,255,255,259,0,6459.0,236600.0
1999-05-26,289,289,289,289,1750,7228.0,236600.0
1999-05-27,324,324,324,324,0,8092.0,236600.0
1999-05-28,359,359,359,363,0,9062.0,236600.0
1999-05-31,402,402,402,406,15150,10138.0,236600.0
1999-06-01,454,454,454,454,0,11345.0,236600.0
1999-06-02,454,454,454,454,0,11345.0,236600.0
1999-06-03,505,505,505,509,0,12705.0,236600.0
1999-06-04,448,448,448,448,50,11191.0,236600.0
1999-06-07,448,448,448,448,700,11191.0,236600.0
1999-06-08,395,395,395,399,1175,9961.0,236600.0
1999-06-09,395,395,395,399,0,9961.0,236600.0
1999-06-10,443,443,443,447,150,11156.0,236600.0
1999-06-11,500,500,500,500,0,12492.0,236600.0
1999-06-14,556,556,556,560,1400,13983.0,236600.0
1999-06-15,626,626,626,626,100,15639.0,236600.0
1999-06-16,701,701,701,701,0,17508.0,236600.0
1999-06-17,781,781,781,785,0,19590.0,236600.0
1999-06-18,878,878,878,878,50,21933.0,236600.0
1999-06-21,878,878,878,878,0,21933.0,236600.0
1999-06-22,849,849,849,853,50,21294.0,236600.0
1999-06-23,853,952,853,952,1250,23778.0,236600.0
1999-06-24,1062,1062,1062,1066,750,26618.0,236600.0
1999-06-25,1124,1124,1124,1128,250,28155.0,236600.0
1999-06-28,1124,1124,1124,1128,375,28155.0,236600.0
1999-06-29,1124,1124,1124,1128,0,28155.0,236600.0
1999-06-30,1124,1133,1124,1137,700,28392.0,236600.0
1999-07-01,1266,1266,1266,1270,2475,31704.0,236600.0
1999-07-02,1260,1421,1260,1421,1900,35490.0,236600.0
1999-07-05,1436,1588,1436,1592,375,39749.0,236600.0
1999-07-06,1398,1777,1398,1772,350,44244.0,236600.0
1999-07-07,1563,1677,1563,1677,75,41878.0,236600.0
1999-07-08,1478,1649,1478,1639,875,40932.0,236600.0
1999-07-09,1441,1441,1441,1445,700,36082.0,236600.0
1999-07-12,1615,1615,1615,1615,75,40340.0,236600.0
1999-07-13,1426,1800,1426,1800,700,44954.0,236600.0
1999-07-14,1583,2005,1583,2009,175,50159.0,236600.0
1999-07-15,1801,1801,1801,1805,500,45072.0,236600.0
1999-07-16,1588,1801,1588,1805,700,45072.0,236600.0
1999-07-19,1801,1801,1801,1805,0,45072.0,236600.0
1999-07-20,1986,1986,1986,1990,25,49686.0,236600.0
1999-07-21,1986,1986,1986,1990,0,49686.0,236600.0
1999-07-22,2062,2062,2062,2066,25,51579.0,236600.0
1999-07-23,1885,1885,1885,1885,0,47083.0,236600.0
1999-07-26,1659,1659,1659,1663,0,41523.0,236600.0
1999-07-27,1460,1460,1460,1464,0,36555.0,236600.0
1999-07-28,1460,1460,1460,1464,0,36555.0,236600.0
1999-07-29,1304,1304,1285,1289,175,32178.0,236600.0
1999-07-30,1152,1152,1152,1156,0,28865.0,236600.0
1999-08-02,1133,1133,1133,1137,4000,28392.0,236600.0
1999-08-03,1000,1267,1000,1014,575,25316.0,236600.0
1999-08-04,919,919,919,919,4250,22950.0,236600.0
1999-08-05,1010,1010,1010,1014,125,25316.0,236600.0
1999-08-06,901,901,901,905,2500,22595.0,236600.0
1999-08-09,798,798,798,802,25,20016.0,236600.0
1999-08-10,759,759,759,763,5000,19046.0,236600.0
1999-08-11,679,850,679,854,75,21318.0,236600.0
1999-08-12,767,947,767,947,3775,23660.0,236600.0
1999-08-13,1052,1061,1052,1061,125,26499.0,236600.0
1999-08-16,940,940,940,944,3750,23565.0,236600.0
1999-08-17,839,839,835,839,500,20939.0,236600.0
1999-08-18,744,744,738,738,325,18431.0,236600.0
1999-08-19,650,650,650,654,4125,16325.0,236600.0
1999-08-20,654,731,654,731,700,18266.0,236600.0
1999-08-23,731,731,731,731,0,18266.0,236600.0
1999-08-24,682,682,682,682,50,17035.0,236600.0
1999-08-25,760,760,760,764,25,19070.0,236600.0
1999-08-26,851,851,851,855,1125,21341.0,236600.0
1999-08-27,953,953,953,957,50,23897.0,236600.0
1999-08-30,1038,1067,1038,1071,50,26736.0,236600.0
1999-08-31,1190,1190,1190,1194,325,29812.0,236600.0
1999-09-01,1133,1332,1048,1336,3050,33361.0,236600.0
1999-09-02,1332,1332,1332,1336,0,33361.0,236600.0
1999-09-03,1332,1332,1332,1336,0,,
1999-09-06,1332,1488,1180,1289,3005,32178.0,2366000.0
1999-09-07,1440,1440,1440,1440,3,35963.0,2366000.0
1999-09-08,1289,1563,1270,1563,3353,39039.0,2366000.0
1999-09-09,1607,1607,1607,1611,3,40222.0,2366000.0
1999-09-10,1753,1800,1753,1800,248,44954.0,2366000.0
1999-09-13,1990,1990,1611,1705,2330,42588.0,2366000.0
1999-09-14,1512,1512,1498,1502,385,37501.0,2366000.0
1999-09-15,1498,1608,1322,1516,6038,37856.0,2366000.0
1999-09-16,1345,1506,1341,1506,3378,37619.0,2366000.0
1999-09-17,1326,1516,1326,1326,1515,33124.0,2366000.0
1999-09-20,1180,1180,1170,1170,3100,29220.0,2366000.0
1999-09-21,1033,1308,1033,1042,95,26026.0,2366000.0
1999-09-22,1142,1142,943,1137,2608,28392.0,2366000.0
1999-09-27,1133,1133,1133,1137,0,28392.0,2366000.0
1999-09-28,1133,1133,1133,1137,0,,
1999-09-29,1000,1133,1000,1137,193,28392.0,2366000.0
1999-09-30,1133,1133,1133,1137,0,,
1999-10-01,1010,1010,1010,1014,3200,25316.0,2366000.0
1999-10-04,953,953,953,957,3,23897.0,2366000.0
1999-10-05,844,1038,839,1033,4745,25789.0,2366000.0
1999-10-06,966,966,966,966,8,24133.0,2366000.0
1999-10-07,867,966,867,966,3128,24133.0,2366000.0
1999-10-08,953,953,953,957,0,23897.0,2366000.0
1999-10-11,849,868,839,872,3213,21767.0,2366000.0
1999-10-12,947,947,938,947,530,23660.0,2366000.0
1999-10-13,938,938,900,938,120,23423.0,2366000.0
