LG디스플레이(034220),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2004-07-23,31050,33800,29500,32750,2961457,10597900.0,323600000.0
2004-07-26,33000,34200,32750,33550,1063262,10856780.0,323600000.0
2004-07-27,33450,33500,32250,33300,535730,10775880.0,323600000.0
2004-07-28,33750,33900,33400,33800,479155,10937680.0,323600000.0
2004-07-29,33300,33600,33100,33250,189348,10759700.0,323600000.0
2004-07-30,33300,33750,33200,33400,180180,10808240.0,323600000.0
2004-08-02,32550,33000,31750,32450,205497,10500820.0,323600000.0
2004-08-03,32000,32150,30750,31800,349871,10290480.0,323600000.0
2004-08-04,31350,32050,31100,31800,236055,10290480.0,323600000.0
2004-08-05,32500,33800,32300,33750,466441,10921500.0,323600000.0
2004-08-06,33350,34600,33300,34500,616252,11164200.0,323600000.0
2004-08-09,33900,34350,33200,34150,227550,11050940.0,323600000.0
2004-08-10,34000,34650,34000,34650,202380,11212740.0,323600000.0
2004-08-11,34850,36150,34850,35500,887789,11487800.0,323600000.0
2004-08-12,35100,35450,34800,35200,387965,11390720.0,323600000.0
2004-08-13,34700,35350,34350,35000,388972,11326000.0,323600000.0
2004-08-16,34900,35000,34000,34450,166046,11148020.0,323600000.0
2004-08-17,34750,35050,34450,34900,135840,11293640.0,323600000.0
2004-08-18,35000,36350,34800,36100,589464,11681960.0,323600000.0
2004-08-19,36150,38550,35950,37900,1083051,12264440.0,323600000.0
2004-08-20,37600,37600,36650,36900,610530,11940840.0,323600000.0
2004-08-23,36900,37350,36000,36150,331598,11698140.0,323600000.0
2004-08-24,36200,37050,35200,36600,662080,11843760.0,323600000.0
2004-08-25,36400,36900,35850,36250,366311,11730500.0,323600000.0
2004-08-26,36450,37150,36450,36900,465933,11940840.0,323600000.0
2004-08-27,37200,37250,36350,36650,368643,11859940.0,323600000.0
2004-08-30,36400,36850,34200,34600,1052707,11196560.0,323600000.0
2004-08-31,34100,34750,33900,34250,453610,11083300.0,323600000.0
2004-09-01,34250,35000,34100,34900,403381,11293640.0,323600000.0
2004-09-02,34550,34800,34400,34500,235236,11164200.0,323600000.0
2004-09-03,34600,34750,33400,33500,448992,10840600.0,323600000.0
2004-09-06,33100,33400,32600,33100,331536,10711160.0,323600000.0
2004-09-07,33300,33400,32800,32900,288815,10646440.0,323600000.0
2004-09-08,32600,33600,32600,33150,258062,10727340.0,323600000.0
2004-09-09,33050,33400,32750,33100,239445,10767950.0,325315700.0
2004-09-10,33350,35500,33200,35500,773661,11548707.0,325315700.0
2004-09-13,35500,35750,34950,35350,700462,11499910.0,325315700.0
2004-09-14,35550,35850,34700,35400,392633,11516176.0,325315700.0
2004-09-15,35350,35450,34900,35250,236230,11467378.0,325315700.0
2004-09-16,34600,35000,34200,34450,292693,11207126.0,325315700.0
2004-09-17,34800,34800,33650,33750,275089,10979405.0,325315700.0
2004-09-20,34050,34650,33900,34300,184597,11158329.0,325315700.0
2004-09-21,34000,34500,34000,34250,159802,11142063.0,325315700.0
2004-09-22,34250,34700,33800,34000,339843,11060734.0,325315700.0
2004-09-23,33550,34550,33550,34000,401862,11060734.0,325315700.0
2004-09-24,34100,35700,34100,34850,370943,11337252.0,325315700.0
2004-09-30,35000,35600,35000,35100,230131,11418581.0,325315700.0
2004-10-01,35000,35500,34550,35500,240658,11548707.0,325315700.0
2004-10-04,36050,37100,36050,37100,731246,12069212.0,325315700.0
2004-10-05,36800,37900,36550,37500,468050,12199339.0,325315700.0
2004-10-06,37500,38000,37000,38000,421570,12361997.0,325315700.0
2004-10-07,37950,37950,36250,36900,354265,12004149.0,325315700.0
2004-10-08,36000,37500,36000,36850,422021,11987884.0,325315700.0
2004-10-11,36050,36500,35400,36000,336426,11711365.0,325315700.0
2004-10-12,34200,34300,32200,32250,1341827,10491431.0,325315700.0
2004-10-13,32800,33200,32050,32200,639940,10475166.0,325315700.0
2004-10-14,32400,33100,31650,32000,332128,10410102.0,325315700.0
2004-10-15,31600,33250,31600,32950,277017,10719152.0,325315700.0
2004-10-18,33100,33750,32900,33150,397788,10784215.0,325315700.0
2004-10-19,34000,35000,33900,34450,669004,11207126.0,325315700.0
2004-10-20,34450,35550,34000,34000,764390,11060734.0,325315700.0
2004-10-21,33800,34650,32700,33900,451892,11028202.0,325315700.0
2004-10-22,33900,35150,33700,34450,268051,11207126.0,325315700.0
2004-10-25,33300,33650,33000,33350,287397,10849279.0,325315700.0
2004-10-26,33350,33500,32100,32550,328760,10589026.0,325315700.0
2004-10-27,32500,32500,30900,31200,461007,10149850.0,325315700.0
2004-10-28,31600,31900,30750,31900,515779,10377571.0,325315700.0
2004-10-29,30750,31200,30250,31200,530489,10149850.0,325315700.0
2004-11-01,31000,31550,29950,30000,707496,9759471.0,325315700.0
2004-11-02,30100,31450,30100,31000,468847,10084787.0,325315700.0
2004-11-03,31150,32350,30850,32100,472224,10442634.0,325315700.0
2004-11-04,32050,32050,31000,31000,592851,10084787.0,325315700.0
2004-11-05,31700,33300,31600,32400,729862,10540229.0,325315700.0
2004-11-08,33000,33400,32750,32950,309764,10719152.0,325315700.0
2004-11-09,32900,33000,32250,33000,103410,10735418.0,325315700.0
2004-11-10,32650,33450,32650,33300,153259,10833013.0,325315700.0
2004-11-11,33050,34100,32700,33800,437160,10995671.0,325315700.0
2004-11-12,34200,35050,34150,34500,263449,11223392.0,325315700.0
2004-11-15,34500,35700,34050,34900,345995,11353518.0,325315700.0
2004-11-16,34900,35000,34250,34300,190290,11158329.0,325315700.0
2004-11-17,34100,36700,34100,35900,499469,11678834.0,325315700.0
2004-11-18,36750,36850,35200,35850,437301,11662568.0,325315700.0
2004-11-19,35800,36000,34400,35200,267857,11451113.0,325315700.0
2004-11-22,34250,34650,34000,34000,250539,11060734.0,325315700.0
2004-11-23,34300,34600,33950,34250,182265,11142063.0,325315700.0
2004-11-24,34500,36650,34000,36000,857826,11711365.0,325315700.0
2004-11-25,36500,38400,36250,37400,1273722,12166807.0,325315700.0
2004-11-26,38000,38250,35000,35850,677473,11662568.0,325315700.0
2004-11-29,36800,37000,35550,36400,520173,11841491.0,325315700.0
2004-11-30,36200,36600,36000,36300,183765,11808960.0,325315700.0
2004-12-01,36050,37500,36050,37000,334707,12036681.0,325315700.0
2004-12-02,37700,38250,37250,37650,289906,12248136.0,325315700.0
2004-12-03,38450,38700,36900,37150,257682,12085478.0,325315700.0
2004-12-06,37150,37150,35950,36350,219346,11825226.0,325315700.0
2004-12-07,35750,35850,35000,35500,352535,11548707.0,325315700.0
2004-12-08,35000,36750,34950,36750,427793,11955352.0,325315700.0
2004-12-09,36500,36700,35650,35650,644203,11597505.0,325315700.0
2004-12-10,36000,36300,34300,34900,266307,11353518.0,325315700.0
2004-12-13,34100,35150,34100,34450,149883,11207126.0,325315700.0
2004-12-14,34900,35700,34750,35700,254137,11613770.0,325315700.0
2004-12-15,35500,37750,35500,37500,378060,12199339.0,325315700.0
2004-12-16,37500,38450,37400,38200,584516,12427060.0,325315700.0
2004-12-17,38200,38500,37550,38400,211364,12492123.0,325315700.0
2004-12-20,38200,40300,37900,39700,517120,12915033.0,325315700.0
2004-12-21,39650,40000,38750,39700,345792,12915033.0,325315700.0
2004-12-22,39000,39000,36800,37500,792780,12199339.0,325315700.0
