엔씨소프트(036570),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-07-11,78400,78400,78400,78400,8,352800.0,4500000.0
2000-07-12,87800,87800,87800,87800,206,395100.0,4500000.0
2000-07-13,98300,98300,98300,98300,92439,442350.0,4500000.0
2000-07-14,110000,110000,104500,110000,166400,495000.0,4500000.0
2000-07-18,123000,123000,123000,123000,9918,553500.0,4500000.0
2000-07-19,137500,137500,137500,137500,11883,618750.0,4500000.0
2000-07-20,154000,154000,121000,121000,519116,544500.0,4500000.0
2000-07-21,121000,125000,106500,112000,273233,504000.0,4500000.0
2000-07-24,109000,119000,99000,99900,191698,449550.0,4500000.0
2000-07-25,99000,111500,98100,111500,92951,501750.0,4500000.0
2000-07-26,116500,122000,102000,104000,406347,468000.0,4500000.0
2000-07-27,104000,107500,96500,97000,181413,436500.0,4500000.0
2000-07-28,94900,99000,89500,90500,294538,407250.0,4500000.0
2000-07-31,87800,96400,85500,93200,264721,419400.0,4500000.0
2000-08-01,95900,104000,94000,104000,140622,468000.0,4500000.0
2000-08-02,109500,116000,101500,103000,418896,463500.0,4500000.0
2000-08-03,103000,111000,103000,106500,242620,479250.0,4500000.0
2000-08-04,108500,109000,99400,102000,165594,459000.0,4500000.0
2000-08-07,99500,107500,99500,101500,146432,456750.0,4500000.0
2000-08-08,103000,113500,101500,106000,507487,477000.0,4500000.0
2000-08-09,106000,108000,101500,104500,131162,470250.0,4500000.0
2000-08-10,104500,107500,99700,101500,137316,456750.0,4500000.0
2000-08-11,99500,100000,91500,95700,203264,430650.0,4500000.0
2000-08-14,97000,98900,93500,94000,99410,423000.0,4500000.0
2000-08-16,93000,97500,91100,95300,207982,428850.0,4500000.0
2000-08-17,96000,96700,89200,90900,174214,409050.0,4500000.0
2000-08-18,91000,92500,83500,88900,163811,400050.0,4500000.0
2000-08-21,84100,88400,82000,82700,117309,372150.0,4500000.0
2000-08-22,82000,89000,81400,86000,179600,387000.0,4500000.0
2000-08-23,87900,90500,84500,84500,173773,380250.0,4500000.0
2000-08-24,85100,86900,80600,81600,86434,367200.0,4500000.0
2000-08-25,80100,84000,77400,81100,111874,364950.0,4500000.0
2000-08-28,82200,90800,81100,90800,211208,408600.0,4500000.0
2000-08-29,92000,100500,90100,94000,274930,423000.0,4500000.0
2000-08-30,95100,104000,94900,100500,228389,452250.0,4500000.0
2000-08-31,103000,106000,95000,97600,337800,439200.0,4500000.0
2000-09-01,98500,101500,97800,100000,105311,450000.0,4500000.0
2000-09-04,103000,112000,103000,112000,93818,504000.0,4500000.0
2000-09-05,121000,124000,112500,117500,496038,528750.0,4500000.0
2000-09-06,115000,126000,112500,116000,400184,522000.0,4500000.0
2000-09-07,115000,120500,111000,114500,493063,515250.0,4500000.0
2000-09-08,116000,128000,101500,107000,937357,481500.0,4500000.0
2000-09-14,101000,105500,97200,103500,141655,465750.0,4500000.0
2000-09-15,101000,107500,98500,98800,164594,444600.0,4500000.0
2000-09-18,93000,94500,87000,87400,186369,393300.0,4500000.0
2000-09-19,88300,93600,86000,90400,211556,406800.0,4500000.0
2000-09-20,94400,101000,94000,101000,139492,454500.0,4500000.0
2000-09-21,106000,108500,92000,100000,521497,450000.0,4500000.0
2000-09-22,99500,100000,90500,92000,197326,414000.0,4500000.0
2000-09-25,96000,103000,93100,102500,241708,461250.0,4500000.0
2000-09-26,100000,106000,98500,101500,216219,456750.0,4500000.0
2000-09-27,104000,112000,103500,107000,254900,481500.0,4500000.0
2000-09-28,107000,110000,103500,106500,131954,479250.0,4500000.0
2000-09-29,109000,119000,106500,119000,340548,535500.0,4500000.0
2000-10-02,119000,132000,115000,128000,495711,576000.0,4500000.0
2000-10-04,125000,132000,121500,127500,363393,573750.0,4500000.0
2000-10-05,129500,130000,122500,123500,300033,555750.0,4500000.0
2000-10-06,121000,123000,117000,122000,251763,549000.0,4500000.0
2000-10-09,122000,128500,114000,116000,221952,522000.0,4500000.0
2000-10-10,113000,122500,111000,121000,273747,544500.0,4500000.0
2000-10-11,118000,120500,111000,114000,153188,513000.0,4500000.0
2000-10-12,113000,116000,112000,115000,138420,517500.0,4500000.0
2000-10-13,108000,111000,101500,103000,334113,463500.0,4500000.0
2000-10-16,110000,113000,106500,109500,253814,492750.0,4500000.0
2000-10-17,107000,111000,96500,96500,197850,434250.0,4500000.0
2000-10-18,90100,101000,90100,99900,256593,449550.0,4500000.0
2000-10-19,100000,105500,98100,101000,179389,454500.0,4500000.0
2000-10-20,106000,109000,101000,101500,152203,456750.0,4500000.0
2000-10-23,100500,102000,96500,97600,95602,439200.0,4500000.0
2000-10-24,97100,100000,95000,97300,114701,437850.0,4500000.0
2000-10-25,96000,105500,95700,96800,345284,435600.0,4500000.0
2000-10-26,95000,95900,90600,92600,120760,416700.0,4500000.0
2000-10-27,92700,96900,90500,96900,185156,436050.0,4500000.0
2000-10-30,99000,103500,87400,88300,405477,397350.0,4500000.0
2000-10-31,83000,89000,77800,88300,308420,397350.0,4500000.0
2000-11-01,90000,92000,88000,88500,239005,398250.0,4500000.0
2000-11-02,86500,94000,86500,89800,230340,404100.0,4500000.0
2000-11-03,90100,94300,89500,92000,223165,414000.0,4500000.0
2000-11-06,91500,93400,90500,92800,113271,417600.0,4500000.0
2000-11-07,93800,97500,90700,91000,334932,409500.0,4500000.0
2000-11-08,89900,91000,87200,89000,86673,400500.0,4500000.0
2000-11-09,88000,89900,87000,88700,60598,399150.0,4500000.0
2000-11-10,87500,91600,87500,90400,74214,406800.0,4500000.0
2000-11-13,88500,89800,86800,87500,59655,393750.0,4500000.0
2000-11-14,88600,89500,87200,88400,71147,397800.0,4500000.0
2000-11-15,91000,95900,89300,92000,219313,414000.0,4500000.0
2000-11-16,95000,95500,92100,92800,125267,417600.0,4500000.0
2000-11-17,91800,92000,90100,91200,56466,410400.0,4500000.0
2000-11-20,90200,90900,89000,90000,43189,405000.0,4500000.0
2000-11-21,87600,88800,85600,87600,53101,394200.0,4500000.0
2000-11-22,87600,88500,85200,86700,51379,390150.0,4500000.0
2000-11-23,84600,85400,81100,81900,57808,368550.0,4500000.0
2000-11-24,80100,88800,80000,85200,84255,383400.0,4500000.0
2000-11-27,85500,87900,85500,86500,52353,389250.0,4500000.0
2000-11-28,84200,85000,81500,82300,51550,370350.0,4500000.0
