YG PLUS(037270),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2003-08-01,2900,2950,2465,2465,451426,61625.0,2500000.0
2003-08-04,2405,2460,2235,2380,256390,59500.0,2500000.0
2003-08-05,2450,2735,2445,2735,332467,68375.0,2500000.0
2003-08-06,2880,2945,2515,2550,361313,63750.0,2500000.0
2003-08-07,2480,2585,2400,2545,129972,63625.0,2500000.0
2003-08-08,2510,2635,2505,2505,121841,62625.0,2500000.0
2003-08-11,2510,2540,2410,2430,83715,60750.0,2500000.0
2003-08-12,2490,2490,2390,2390,58583,59750.0,2500000.0
2003-08-13,2390,2475,2330,2430,82083,60750.0,2500000.0
2003-08-14,2430,2480,2320,2320,70806,58000.0,2500000.0
2003-08-18,2280,2300,2240,2250,69728,56250.0,2500000.0
2003-08-19,2300,2430,2255,2380,110530,59500.0,2500000.0
2003-08-20,2360,2380,2265,2265,61057,56625.0,2500000.0
2003-08-21,2245,2300,2240,2255,36497,56375.0,2500000.0
2003-08-22,2250,2280,2115,2115,66192,52875.0,2500000.0
2003-08-25,2115,2140,2080,2100,37903,52500.0,2500000.0
2003-08-26,2075,2250,2075,2200,72576,55000.0,2500000.0
2003-08-27,2160,2245,2155,2195,41270,54875.0,2500000.0
2003-08-28,2170,2180,2100,2140,29782,53500.0,2500000.0
2003-08-29,2130,2220,2130,2180,30853,54500.0,2500000.0
2003-09-01,2200,2300,2190,2235,56855,55875.0,2500000.0
2003-09-02,2235,2235,2205,2220,31256,55500.0,2500000.0
2003-09-03,2200,2270,2180,2180,37630,54500.0,2500000.0
2003-09-04,2170,2200,2140,2200,36087,55000.0,2500000.0
2003-09-05,2175,2265,2150,2210,27481,55250.0,2500000.0
2003-09-08,2190,2190,2140,2145,11120,53625.0,2500000.0
2003-09-09,2125,2175,2115,2175,22850,54375.0,2500000.0
2003-09-15,2170,2170,2115,2115,11186,52875.0,2500000.0
2003-09-16,2090,2135,2085,2090,13514,52250.0,2500000.0
2003-09-17,2090,2130,2080,2120,15540,53000.0,2500000.0
2003-09-18,2105,2120,2090,2120,11457,53000.0,2500000.0
2003-09-19,2145,2145,2070,2120,19770,53000.0,2500000.0
2003-09-22,2090,2100,2020,2060,23660,51500.0,2500000.0
2003-09-23,2010,2090,2010,2090,21350,52250.0,2500000.0
2003-09-24,2040,2100,2035,2100,17683,52500.0,2500000.0
2003-09-25,2040,2080,2035,2035,11202,50875.0,2500000.0
2003-09-26,2035,2040,1965,1965,17880,49125.0,2500000.0
2003-09-29,1925,1990,1840,1980,37600,49500.0,2500000.0
2003-09-30,1975,2040,1930,1975,16140,49375.0,2500000.0
2003-10-01,1915,1915,1790,1790,64198,44750.0,2500000.0
2003-10-02,1825,1825,1640,1660,63970,41500.0,2500000.0
2003-10-06,1665,1675,1600,1615,24937,40375.0,2500000.0
2003-10-07,1620,1685,1615,1630,34916,40750.0,2500000.0
2003-10-08,1660,1685,1605,1605,34602,40125.0,2500000.0
2003-10-09,1585,1620,1580,1610,20590,40250.0,2500000.0
2003-10-10,1605,1640,1600,1600,16190,40000.0,2500000.0
2003-10-13,1600,1600,1540,1560,22170,39000.0,2500000.0
2003-10-14,1565,1625,1550,1585,24043,39625.0,2500000.0
2003-10-15,1600,1635,1600,1625,17292,40625.0,2500000.0
2003-10-16,1650,1865,1645,1865,148488,46625.0,2500000.0
2003-10-17,1900,1920,1765,1855,50461,46375.0,2500000.0
2003-10-20,1820,1920,1820,1845,33253,46125.0,2500000.0
2003-10-21,1850,1875,1770,1790,25147,44750.0,2500000.0
2003-10-22,1800,1820,1720,1770,26190,44250.0,2500000.0
2003-10-23,1725,1775,1715,1775,22091,44375.0,2500000.0
2003-10-24,1775,1835,1760,1800,17345,45000.0,2500000.0
2003-10-27,1775,1900,1775,1875,25240,46875.0,2500000.0
2003-10-28,1865,1895,1810,1845,12975,46125.0,2500000.0
2003-10-29,1850,1850,1815,1815,18399,45375.0,2500000.0
2003-10-30,1840,1840,1765,1780,15758,44500.0,2500000.0
2003-10-31,1760,1760,1725,1730,8142,43250.0,2500000.0
2003-11-03,1740,1980,1690,1760,29191,44000.0,2500000.0
2003-11-04,1785,1805,1755,1780,13794,44500.0,2500000.0
2003-11-05,1790,1790,1715,1720,7080,43000.0,2500000.0
2003-11-06,1700,1735,1650,1650,14335,41250.0,2500000.0
2003-11-07,1635,1680,1635,1650,5810,41250.0,2500000.0
2003-11-10,1625,1640,1605,1620,10444,40500.0,2500000.0
2003-11-11,1620,1650,1600,1615,3194,40375.0,2500000.0
2003-11-12,1640,1690,1630,1690,7980,42250.0,2500000.0
2003-11-13,1700,1725,1675,1675,7267,41875.0,2500000.0
2003-11-14,1700,1790,1700,1750,15760,43750.0,2500000.0
2003-11-17,1750,1780,1715,1745,5399,43625.0,2500000.0
2003-11-18,1725,1750,1715,1735,6750,43375.0,2500000.0
2003-11-19,1690,1730,1690,1720,5550,43000.0,2500000.0
2003-11-20,1695,1785,1695,1780,8468,44500.0,2500000.0
2003-11-21,1780,1790,1760,1785,4540,44625.0,2500000.0
2003-11-24,1730,1735,1670,1675,4910,41875.0,2500000.0
2003-11-25,1675,1730,1675,1720,6120,43000.0,2500000.0
2003-11-26,1715,1720,1685,1690,9280,42250.0,2500000.0
2003-11-27,1690,1720,1670,1715,3240,42875.0,2500000.0
2003-11-28,1695,1745,1695,1730,1950,43250.0,2500000.0
2003-12-01,1700,1730,1695,1695,8666,42375.0,2500000.0
2003-12-02,1720,1725,1695,1695,2650,42375.0,2500000.0
2003-12-03,1665,1720,1650,1650,18370,41250.0,2500000.0
2003-12-04,1680,1680,1640,1675,3701,41875.0,2500000.0
2003-12-05,1695,1700,1650,1670,3590,41750.0,2500000.0
2003-12-08,1645,1675,1645,1650,2950,41250.0,2500000.0
2003-12-09,1655,1700,1645,1665,3455,41625.0,2500000.0
2003-12-10,1670,1700,1655,1700,3180,42500.0,2500000.0
2003-12-11,1705,1735,1670,1675,1830,41875.0,2500000.0
2003-12-12,1800,1925,1800,1895,117950,47375.0,2500000.0
2003-12-15,1955,2175,1950,2175,116684,54375.0,2500000.0
2003-12-16,2165,2275,2105,2250,100103,56250.0,2500000.0
2003-12-17,2280,2280,2080,2145,41600,53625.0,2500000.0
2003-12-18,2095,2145,2075,2100,27690,52500.0,2500000.0
2003-12-19,2105,2175,2065,2145,25041,53625.0,2500000.0
2003-12-22,2190,2340,2150,2200,83866,55000.0,2500000.0
2003-12-23,2230,2270,2070,2150,23671,53750.0,2500000.0
2003-12-24,2080,2180,2080,2150,12110,53750.0,2500000.0
2003-12-26,2100,2190,2100,2140,12512,53500.0,2500000.0
2003-12-29,2125,2125,2070,2090,15576,52250.0,2500000.0
2003-12-30,2150,2180,2090,2150,10568,53750.0,2500000.0
2004-01-02,2150,2285,2130,2210,12872,55250.0,2500000.0
2004-01-05,2175,2230,2175,2210,8422,55250.0,2500000.0
2004-01-06,2215,2250,2160,2160,15670,54000.0,2500000.0
2004-01-07,2200,2280,2200,2235,33324,55875.0,2500000.0
2004-01-08,2260,2420,2260,2350,67750,58750.0,2500000.0
2004-01-09,2380,2385,2250,2340,31588,58500.0,2500000.0
2004-01-12,2345,2345,2270,2280,18370,57000.0,2500000.0
2004-01-13,2230,2340,2210,2300,25309,57500.0,2500000.0
2004-01-14,2320,2320,2220,2260,28460,56500.0,2500000.0
2004-01-15,2315,2315,2240,2240,11540,56000.0,2500000.0
2004-01-16,2235,2270,2180,2210,26730,55250.0,2500000.0
2004-01-19,2200,2240,2175,2175,10980,54375.0,2500000.0
2004-01-20,2115,2210,2115,2120,11280,53000.0,2500000.0
2004-01-26,2115,2140,2100,2100,6610,52500.0,2500000.0
2004-01-27,2100,2245,2100,2200,7800,55000.0,2500000.0
2004-01-28,2165,2260,2165,2165,5410,54125.0,2500000.0
2004-01-29,2180,2195,2125,2130,7720,53250.0,2500000.0
2004-01-30,2135,2170,2130,2140,2779,53500.0,2500000.0
2004-02-02,2200,2200,2145,2160,3980,54000.0,2500000.0
2004-02-03,2170,2170,2110,2120,5490,53000.0,2500000.0
2004-02-04,2100,2150,2100,2145,3717,53625.0,2500000.0
2004-02-05,2130,2170,2120,2170,3340,54250.0,2500000.0
2004-02-06,2145,2190,2140,2190,3290,54750.0,2500000.0
2004-02-09,2200,2200,2150,2150,4290,53750.0,2500000.0
2004-02-10,2150,2210,2150,2180,10120,54500.0,2500000.0
2004-02-11,2250,2340,2240,2300,34880,57500.0,2500000.0
2004-02-12,2300,2300,2250,2275,16104,56875.0,2500000.0
2004-02-13,2275,2320,2255,2260,9610,56500.0,2500000.0
2004-02-16,2255,2280,2250,2255,5013,56375.0,2500000.0
2004-02-17,2215,2320,2215,2300,19080,57500.0,2500000.0
2004-02-18,2340,2365,2305,2325,8918,58125.0,2500000.0
2004-02-19,2320,2330,2300,2300,5312,57500.0,2500000.0
2004-02-20,2275,2340,2275,2330,3870,58250.0,2500000.0
2004-02-23,2305,2350,2305,2330,4250,58250.0,2500000.0
2004-02-24,2305,2330,2300,2300,7733,57500.0,2500000.0
2004-02-25,2285,2300,2260,2265,6570,56625.0,2500000.0
2004-02-26,2265,2290,2260,2290,2240,57250.0,2500000.0
2004-02-27,2335,2335,2270,2270,1899,56750.0,2500000.0
2004-03-02,2270,2420,2270,2400,37959,60000.0,2500000.0
2004-03-03,2405,2550,2395,2500,42653,62500.0,2500000.0
2004-03-04,2530,2530,2425,2450,8200,61250.0,2500000.0
2004-03-05,2435,2450,2420,2420,2800,60500.0,2500000.0
2004-03-08,2410,2490,2400,2400,5803,60000.0,2500000.0
2004-03-09,2355,2400,2350,2370,2410,59250.0,2500000.0
2004-03-10,2350,2470,2350,2420,18592,60500.0,2500000.0
2004-03-11,2385,2470,2385,2440,9720,61000.0,2500000.0
2004-03-12,2430,2450,2230,2375,14450,59375.0,2500000.0
2004-03-15,2380,2460,2380,2450,5178,61250.0,2500000.0
2004-03-16,2425,2425,2385,2410,5143,60250.0,2500000.0
2004-03-17,2410,2470,2410,2470,4410,61750.0,2500000.0
2004-03-18,2440,2540,2435,2450,13990,61250.0,2500000.0
2004-03-19,2450,2545,2450,2545,13544,63625.0,2500000.0
2004-03-22,2550,2550,2470,2470,2044,61750.0,2500000.0
2004-03-23,2470,2490,2410,2485,3646,62125.0,2500000.0
2004-03-24,2430,2485,2430,2440,850,61000.0,2500000.0
2004-03-25,2450,2450,2365,2420,1400,60500.0,2500000.0
2004-03-26,2430,2430,2365,2390,3090,59750.0,2500000.0
2004-03-29,2375,2375,2330,2345,3342,58625.0,2500000.0
2004-03-30,2315,2370,2315,2345,1658,58625.0,2500000.0
2004-03-31,2345,2350,2265,2315,2279,57875.0,2500000.0
2004-04-01,2265,2300,2265,2290,5360,57250.0,2500000.0
2004-04-02,2295,2320,2235,2235,7990,55875.0,2500000.0
2004-04-06,2235,2235,2185,2230,5890,55750.0,2500000.0
2004-04-07,2215,2225,2150,2170,9632,54250.0,2500000.0
2004-04-08,2170,2190,2125,2125,4930,53125.0,2500000.0
2004-04-09,2120,2190,2095,2115,12031,52875.0,2500000.0
2004-04-12,2180,2240,2150,2200,16800,55000.0,2500000.0
2004-04-13,2170,2200,2110,2110,6710,52750.0,2500000.0
2004-04-14,2120,2120,2055,2070,9460,51750.0,2500000.0
