하나투어(039130),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-11-28,2514,2514,2514,2514,11574,25650.0,4500000.0
2000-11-29,2814,2814,2814,2814,1817,28710.0,4500000.0
2000-11-30,3149,3149,2739,2999,2215162,30600.0,4500000.0
2000-12-01,2642,2783,2642,2642,934704,26955.0,4500000.0
2000-12-04,2625,2752,2329,2329,659140,23760.0,4500000.0
2000-12-05,2329,2554,2056,2395,1594390,24435.0,4500000.0
2000-12-06,2426,2505,2108,2108,712631,21510.0,4500000.0
2000-12-07,1941,2095,1861,1949,852188,19890.0,4500000.0
2000-12-08,1853,2016,1734,1852,958164,18900.0,4500000.0
2000-12-11,1963,1963,1689,1720,668904,17550.0,4500000.0
2000-12-12,1698,1923,1645,1923,1169679,19620.0,4500000.0
2000-12-13,1985,2033,1694,1693,1175723,17280.0,4500000.0
2000-12-14,1676,1729,1641,1684,375600,17190.0,4500000.0
2000-12-15,1667,1756,1566,1587,672207,16200.0,4500000.0
2000-12-18,1522,1601,1522,1583,482945,16155.0,4500000.0
2000-12-19,1566,1694,1535,1587,897725,16200.0,4500000.0
2000-12-20,1588,1588,1398,1398,235399,14265.0,4500000.0
2000-12-21,1231,1257,1231,1230,270943,12555.0,4500000.0
2000-12-22,1107,1337,1107,1221,785500,12465.0,4500000.0
2000-12-26,1134,1248,1129,1248,276635,12735.0,4500000.0
2001-01-02,1107,1314,1107,1252,633728,12780.0,4500000.0
2001-01-03,1213,1403,1160,1402,705986,14310.0,4500000.0
2001-01-04,1570,1570,1434,1433,1179702,14625.0,4500000.0
2001-01-05,1434,1491,1262,1332,809514,13590.0,4500000.0
2001-01-08,1337,1491,1323,1490,694619,15210.0,4500000.0
2001-01-09,1544,1667,1544,1667,926325,17010.0,4500000.0
2001-01-10,1764,1809,1469,1468,1611073,14985.0,4500000.0
2001-01-11,1491,1606,1337,1552,1124730,15840.0,4500000.0
2001-01-12,1632,1738,1544,1737,1426644,17730.0,4500000.0
2001-01-15,1831,1910,1676,1812,1679490,18495.0,4500000.0
2001-01-16,1764,1778,1597,1596,825801,16290.0,4500000.0
2001-01-17,1548,1742,1420,1645,1245993,16785.0,4500000.0
2001-01-18,1570,1734,1553,1583,558906,16155.0,4500000.0
2001-01-19,1584,1698,1575,1587,503952,16200.0,4500000.0
2001-01-22,1623,1676,1456,1632,497907,16650.0,4500000.0
2001-01-26,1703,1826,1659,1826,299666,18630.0,4500000.0
2001-01-29,2042,2042,2042,2042,20879,20835.0,4500000.0
2001-01-30,2285,2285,2285,2284,29080,23310.0,4500000.0
2001-01-31,2558,2558,2011,2293,1818200,23400.0,4500000.0
2001-02-01,2117,2338,2020,2020,542535,20610.0,4500000.0
2001-02-02,2153,2153,1853,1901,416102,19395.0,4500000.0
2001-02-05,1773,2029,1773,1962,515404,20025.0,4500000.0
2001-02-06,1972,2011,1879,1936,270413,19755.0,4500000.0
2001-02-07,1879,2064,1866,1865,398452,19035.0,4500000.0
2001-02-08,1901,1972,1866,1918,382374,19575.0,4500000.0
2001-02-09,1958,2148,1919,2020,1098925,20610.0,4500000.0
2001-02-12,1981,2161,1936,2059,823943,21015.0,4500000.0
