키움증권(039490),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2004-04-23,6337,7092,5583,5582,1077464,80845.0,11500000.0
2004-04-26,5668,5987,5485,5629,261376,81535.0,11500000.0
2004-04-27,5684,5716,5247,5280,228031,76475.0,11500000.0
2004-04-28,5288,5685,5209,5678,139035,82225.0,11500000.0
2004-04-29,5336,5669,5240,5320,83686,77050.0,11500000.0
2004-04-30,5122,5424,5122,5161,81471,74750.0,11500000.0
2004-05-03,4979,5201,4884,4884,110075,70725.0,11500000.0
2004-05-04,4891,4962,4764,4803,72898,69575.0,11500000.0
2004-05-06,4788,4829,4606,4605,76983,66700.0,11500000.0
2004-05-07,4527,4599,4408,4407,51327,63825.0,11500000.0
2004-05-10,4368,4368,3971,4081,78347,59110.0,11500000.0
2004-05-11,4082,4280,4082,4224,45708,61180.0,11500000.0
2004-05-12,4248,4327,4137,4152,33369,60145.0,11500000.0
2004-05-13,4049,4128,4024,4089,65807,59225.0,11500000.0
2004-05-14,4129,4129,3907,3919,84208,56752.0,11500000.0
2004-05-17,3923,3939,3451,3450,92534,49968.0,11500000.0
2004-05-18,3224,3427,3224,3303,44533,47840.0,11500000.0
2004-05-19,3310,3695,3310,3696,60492,53532.0,11500000.0
2004-05-20,3588,3600,3453,3470,25321,50255.0,11500000.0
2004-05-21,3477,3644,3477,3514,7953,50888.0,11500000.0
2004-05-24,3533,3748,3533,3628,32805,52555.0,11500000.0
2004-05-25,3653,3653,3462,3517,11518,50945.0,11500000.0
2004-05-27,3581,3641,3343,3343,40548,48415.0,11500000.0
2004-05-28,3462,3514,3256,3263,62320,47265.0,11500000.0
2004-05-31,3302,3343,3119,3140,76319,45482.0,11500000.0
2004-06-01,3153,3192,2950,2993,151557,43355.0,11500000.0
2004-06-02,2941,3100,2941,3057,94126,44275.0,11500000.0
2004-06-03,3080,3092,2910,2937,187825,42550.0,11500000.0
2004-06-04,2938,2965,2834,2875,150466,41630.0,11500000.0
2004-06-07,2881,3044,2874,3013,212163,43642.0,11500000.0
2004-06-08,3066,3074,2923,2922,182599,42320.0,11500000.0
2004-06-09,2943,2963,2915,2922,92233,42320.0,11500000.0
2004-06-10,2922,2998,2918,2942,69817,42608.0,11500000.0
2004-06-11,2922,3054,2922,2942,170640,42608.0,11500000.0
2004-06-14,2946,3017,2898,2965,95482,42952.0,11500000.0
2004-06-15,3010,3015,2931,2950,77418,42722.0,11500000.0
2004-06-16,2898,2969,2898,2925,69751,42378.0,11500000.0
2004-06-17,2920,2920,2881,2890,29069,41860.0,11500000.0
2004-06-18,2886,2890,2786,2819,40394,40825.0,11500000.0
2004-06-21,2765,2772,2673,2700,77531,39100.0,11500000.0
2004-06-22,2611,2635,2539,2553,50679,36972.0,11500000.0
2004-06-23,2556,2576,2528,2533,26960,36685.0,11500000.0
2004-06-24,2540,2604,2540,2549,25351,36915.0,11500000.0
2004-06-25,2580,2612,2580,2581,43452,37375.0,11500000.0
2004-06-28,2569,2692,2569,2644,39174,38295.0,11500000.0
2004-06-29,2668,2668,2625,2656,9975,38468.0,11500000.0
2004-06-30,2705,2705,2641,2656,24858,38468.0,11500000.0
2004-07-01,2667,2715,2660,2715,34949,39330.0,11500000.0
2004-07-02,2685,2749,2669,2700,29545,39100.0,11500000.0
2004-07-05,2707,2738,2698,2731,23511,39560.0,11500000.0
2004-07-06,2716,2843,2716,2755,26108,39905.0,11500000.0
2004-07-07,2754,3056,2707,3057,87447,44275.0,11500000.0
2004-07-08,3010,3114,2796,2906,53541,42090.0,11500000.0
2004-07-09,2898,2898,2835,2838,27856,41112.0,11500000.0
2004-07-12,2827,2859,2783,2783,20440,40308.0,11500000.0
2004-07-13,2787,2831,2779,2783,23203,40308.0,11500000.0
2004-07-14,2778,2814,2766,2807,31686,40652.0,11500000.0
2004-07-15,2779,2835,2708,2794,18051,40480.0,11500000.0
2004-07-16,2778,2818,2759,2815,17073,40768.0,11500000.0
2004-07-19,2793,2869,2793,2858,22070,41400.0,11500000.0
2004-07-20,2831,2882,2831,2835,14030,41055.0,11500000.0
2004-07-21,2882,2922,2838,2838,19439,41112.0,11500000.0
2004-07-22,2836,2836,2721,2779,22720,40250.0,11500000.0
2004-07-23,2778,2838,2778,2787,6744,40365.0,11500000.0
2004-07-26,2794,2803,2739,2791,10660,40422.0,11500000.0
2004-07-27,2818,2920,2818,2858,47490,41400.0,11500000.0
2004-07-28,3010,3010,2879,2878,30079,41688.0,11500000.0
2004-07-29,2914,2914,2843,2850,18445,41285.0,11500000.0
2004-07-30,2811,2855,2811,2850,13690,41285.0,11500000.0
2004-08-02,2806,2858,2787,2791,11522,40422.0,11500000.0
2004-08-03,2804,2820,2780,2779,23659,40250.0,11500000.0
2004-08-04,2787,2810,2755,2791,22228,40422.0,11500000.0
2004-08-05,2778,2905,2778,2858,12984,41400.0,11500000.0
2004-08-06,2849,2936,2825,2890,12849,41860.0,11500000.0
2004-08-09,2881,2937,2865,2914,6971,42205.0,11500000.0
