주연테크(044380),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-11-15,3015,3458,2985,3458,1211819,167310.0,14300000.0
2006-11-16,3872,3975,3783,3976,438822,192335.0,14300000.0
2006-11-17,4079,4537,4049,4242,2627268,205205.0,14300000.0
2006-11-20,4242,4242,3622,3666,746680,177320.0,14300000.0
2006-11-21,3607,3636,3296,3429,588822,165880.0,14300000.0
2006-11-22,3400,3873,3356,3621,1100843,175175.0,14300000.0
2006-11-23,3621,3679,3473,3503,263577,169455.0,14300000.0
2006-11-24,3444,3532,3163,3325,364154,160875.0,14300000.0
2006-11-27,3251,3281,3118,3192,217121,154440.0,14300000.0
2006-11-28,3133,3341,3075,3252,272994,157300.0,14300000.0
2006-11-29,3207,3413,3133,3148,479682,152295.0,14300000.0
2006-11-30,3148,3163,3015,3059,183310,148005.0,14300000.0
2006-12-01,3059,3251,3015,3089,281298,149435.0,14300000.0
2006-12-04,3075,3208,3015,3207,156724,155155.0,14300000.0
2006-12-05,3325,3577,3163,3192,1131405,154440.0,14300000.0
2006-12-06,3178,3267,3075,3119,159580,150865.0,14300000.0
2006-12-07,3118,3118,2955,2956,154567,143000.0,14300000.0
2006-12-08,2880,2956,2617,2661,228161,128700.0,14300000.0
2006-12-11,2689,2698,2459,2477,149412,119834.0,14300000.0
2006-12-12,2487,2493,2247,2273,190437,109967.0,14300000.0
2006-12-13,2250,2333,2229,2315,107834,111969.0,14300000.0
2006-12-14,2282,2308,2166,2172,182611,105105.0,14300000.0
2006-12-15,2098,2291,2039,2276,938281,110110.0,14300000.0
2006-12-18,2247,2321,2217,2318,239397,112112.0,14300000.0
2006-12-19,2336,2336,2229,2229,168652,107822.0,14300000.0
2006-12-20,2197,2291,2176,2264,145970,109538.0,14300000.0
2006-12-21,2601,2601,2554,2601,1378414,125840.0,14300000.0
2006-12-22,2690,2942,2634,2764,2559096,133705.0,14300000.0
2006-12-26,2856,2856,2604,2643,847552,127842.0,14300000.0
2006-12-27,2557,2573,2256,2256,783154,109109.0,14300000.0
2006-12-28,2188,2294,2188,2247,484433,108680.0,14300000.0
2007-01-02,2247,2324,2247,2306,274825,111540.0,14300000.0
2007-01-03,2298,2324,2223,2244,246261,108537.0,14300000.0
2007-01-04,2244,2307,2232,2306,216167,111540.0,14300000.0
2007-01-05,2336,2652,2303,2572,1340065,124410.0,14300000.0
2007-01-08,2572,2705,2457,2625,884571,126984.0,14300000.0
2007-01-09,2661,2688,2557,2590,433610,125268.0,14300000.0
2007-01-10,2590,2602,2424,2433,309179,117689.0,14300000.0
2007-01-11,2400,2525,2400,2412,234386,116688.0,14300000.0
2007-01-12,2416,2498,2404,2468,240581,119405.0,14300000.0
2007-01-15,2504,2587,2498,2501,298444,120978.0,14300000.0
2007-01-16,2469,2504,2427,2501,180013,120978.0,14300000.0
2007-01-17,2533,2545,2441,2480,248275,119977.0,14300000.0
2007-01-18,2453,2556,2447,2557,262163,123695.0,14300000.0
2007-01-19,2541,2645,2521,2592,397720,125411.0,14300000.0
2007-01-22,2601,2627,2545,2628,268488,127127.0,14300000.0
2007-01-23,2601,2625,2477,2477,345432,119834.0,14300000.0
2007-01-24,2504,2504,2386,2430,205341,117546.0,14300000.0
2007-01-25,2430,2462,2412,2444,139830,118261.0,14300000.0
2007-01-26,2412,2506,2412,2495,195203,120692.0,14300000.0
2007-01-29,2483,2536,2479,2513,173281,121550.0,14300000.0
2007-01-30,2557,2557,2480,2483,229996,120120.0,14300000.0
2007-01-31,2506,2539,2412,2477,517815,119834.0,14300000.0
2007-02-01,2844,2844,2676,2845,2266621,45903.0,14300000.0
2007-02-02,2960,2969,2601,2615,1963100,42185.0,14300000.0
2007-02-05,2565,2574,2450,2468,645966,39826.0,14300000.0
2007-02-06,2468,2512,2459,2473,434697,39897.0,14300000.0
2007-02-07,2446,2477,2397,2397,505165,38682.0,14300000.0
2007-02-08,2392,2437,2375,2375,347732,38324.0,14300000.0
2007-02-09,2375,2419,2348,2366,317452,38181.0,14300000.0
2007-02-12,2348,2348,2233,2273,250050,36680.0,14300000.0
2007-02-13,2260,2268,2224,2238,255403,36108.0,14300000.0
2007-02-14,2229,2322,2224,2318,284910,37394.0,14300000.0
2007-02-15,2348,2353,2268,2282,158893,36822.0,14300000.0
2007-02-16,2264,2339,2229,2273,151801,36680.0,14300000.0
2007-02-20,2277,2299,2242,2278,125198,36751.0,14300000.0
2007-02-21,2286,2304,2246,2251,179418,36322.0,14300000.0
2007-02-22,2242,2295,2229,2282,198373,36822.0,14300000.0
2007-02-23,2308,2428,2308,2327,499344,37538.0,14300000.0
2007-02-26,2282,2348,2171,2202,525717,35536.0,14300000.0
2007-02-27,1994,2109,1905,1950,1396430,94380.0,42900000.0
2007-02-28,1768,1847,1732,1826,716248,88374.0,42900000.0
2007-03-02,1825,1834,1772,1786,607053,86444.0,42900000.0
2007-03-05,1737,1763,1683,1702,754878,82368.0,42900000.0
2007-03-06,1701,1737,1697,1697,500304,82154.0,42900000.0
2007-03-07,1732,1745,1692,1742,596824,84298.0,42900000.0
2007-03-08,1768,1998,1759,1999,4540934,96740.0,42900000.0
2007-03-09,2003,2029,1865,1923,2098708,93093.0,42900000.0
2007-03-12,1963,2034,1905,1923,2280911,93093.0,42900000.0
2007-03-13,1923,1940,1803,1808,1266427,87516.0,42900000.0
2007-03-14,1750,1763,1723,1733,962272,83870.0,42900000.0
2007-03-15,1737,1803,1737,1742,969477,84298.0,42900000.0
2007-03-16,1781,1803,1750,1759,837254,85156.0,42900000.0
2007-03-19,1759,1812,1759,1790,804427,86658.0,42900000.0
2007-03-20,1816,1830,1737,1737,893190,84084.0,42900000.0
2007-03-21,1737,1781,1723,1777,786415,86014.0,42900000.0
2007-03-22,1803,1803,1737,1750,898315,84728.0,42900000.0
2007-03-23,1750,1834,1750,1835,1220105,88803.0,42900000.0
2007-03-26,1901,1923,1808,1826,1851140,88374.0,42900000.0
