대우건설(047040),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-03-23,3882,3882,3300,3299,37100,111813.0,37209087.0
2001-03-26,2806,2806,2806,2805,4200,95069.0,37209087.0
2001-03-27,2388,2388,2388,2388,10340,80930.0,37209087.0
2001-03-28,2031,2031,2031,2031,6610,68837.0,37209087.0
2001-03-29,1729,1850,1729,1729,14556990,58604.0,37209087.0
2001-03-30,1757,1768,1471,1471,6034190,49860.0,37209087.0
2001-04-02,1521,1521,1334,1432,4136310,48558.0,37209087.0
2001-04-03,1373,1384,1268,1279,2850730,43349.0,37209087.0
2001-04-04,1175,1340,1175,1235,3539300,41860.0,37209087.0
2001-04-06,1279,1362,1274,1301,4156490,44093.0,37209087.0
2001-04-09,1307,1493,1285,1394,10834800,47256.0,37209087.0
2001-04-10,1395,1438,1301,1328,2878970,45023.0,37209087.0
2001-04-11,1351,1455,1351,1367,3873190,46325.0,37209087.0
2001-04-12,1504,1570,1460,1570,10201950,53209.0,37209087.0
2001-04-13,1801,1801,1801,1800,457530,61023.0,37209087.0
2001-04-16,2070,2070,1883,2069,9588230,70139.0,37209087.0
2001-04-17,2075,2251,1927,2009,10080520,68093.0,37209087.0
2001-04-18,2009,2125,1889,2025,9790070,68651.0,37209087.0
2001-04-19,2042,2119,1944,1987,3715280,67348.0,37209087.0
2001-04-20,1922,1988,1691,1691,3531290,57302.0,37209087.0
2001-04-23,1691,1944,1647,1943,5814530,65860.0,37209087.0
2001-04-24,1894,2169,1883,2025,11090910,68651.0,37209087.0
2001-04-25,2031,2163,1900,1998,5469320,67721.0,37209087.0
2001-04-26,2103,2103,1944,1960,2266090,66418.0,37209087.0
2001-04-27,1922,1999,1894,1932,2270730,65488.0,37209087.0
2001-04-30,1938,1988,1927,1932,1704680,65488.0,37209087.0
2001-05-02,1933,1955,1878,1888,2120320,64000.0,37209087.0
2001-05-03,1889,1933,1845,1866,1690310,63255.0,37209087.0
2001-05-04,1894,1916,1850,1866,1428720,63255.0,37209087.0
2001-05-07,1861,2020,1839,1910,3744630,64744.0,37209087.0
2001-05-08,1966,2097,1922,2042,4241760,69209.0,37209087.0
2001-05-09,2009,2125,1993,2042,2877050,69209.0,37209087.0
2001-05-10,2064,2344,2064,2344,5419280,79441.0,37209087.0
2001-05-11,2416,2619,2311,2311,11486870,78325.0,37209087.0
2001-05-14,2300,2504,2284,2415,4373540,81860.0,37209087.0
2001-05-15,2482,2679,2416,2569,6480240,87069.0,37209087.0
2001-05-16,2504,2602,2355,2393,3079640,81116.0,37209087.0
2001-05-17,2421,2471,2262,2393,3737370,81116.0,37209087.0
2001-05-18,2394,2498,2344,2437,1829460,82604.0,37209087.0
2001-05-21,2493,2767,2493,2723,5406990,92279.0,37209087.0
2001-05-22,2778,2800,2559,2613,3893900,88558.0,37209087.0
2001-05-23,2745,2855,2668,2800,6642190,94883.0,37209087.0
2001-05-24,2712,2932,2663,2783,3331480,94325.0,37209087.0
