포스코인터내셔널(047050),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-03-23,3786,3786,3220,3220,79910,65969.0,19345893.0
2001-03-26,2740,2740,2740,2739,2790,56103.0,19345893.0
2001-03-27,2326,2326,2326,2328,470,47688.0,19345893.0
2001-03-28,1981,1981,1981,1983,14740,40626.0,19345893.0
2001-03-29,1685,2280,1685,1738,7564330,35596.0,19345893.0
2001-03-30,1766,1784,1478,1482,3616560,30373.0,19345893.0
2001-04-02,1446,1512,1332,1374,2090700,28148.0,19345893.0
2001-04-03,1297,1330,1212,1228,1704610,25150.0,19345893.0
2001-04-04,1143,1285,1134,1209,1795760,24763.0,19345893.0
2001-04-06,1228,1355,1223,1303,3396870,26697.0,19345893.0
2001-04-09,1282,1495,1274,1492,5675780,30567.0,19345893.0
2001-04-10,1490,1538,1349,1388,2898150,28438.0,19345893.0
2001-04-11,1454,1454,1341,1350,1950780,27665.0,19345893.0
2001-04-12,1369,1548,1369,1548,4594180,31727.0,19345893.0
2001-04-13,1698,1778,1670,1780,3606790,36467.0,19345893.0
2001-04-16,1871,1988,1785,1837,16723830,37628.0,19345893.0
2001-04-17,1836,1869,1561,1563,6105490,32017.0,19345893.0
2001-04-18,1586,1595,1478,1520,3497190,31147.0,19345893.0
2001-04-19,1519,1585,1453,1464,1994370,29986.0,19345893.0
2001-04-20,1463,1520,1350,1383,1514290,28342.0,19345893.0
2001-04-23,1369,1577,1369,1540,3964410,31534.0,19345893.0
2001-04-24,1501,1624,1445,1474,4183320,30180.0,19345893.0
2001-04-25,1501,1529,1454,1487,1347380,30470.0,19345893.0
2001-04-26,1491,1534,1468,1487,881240,30470.0,19345893.0
2001-04-27,1500,1623,1490,1596,3063530,32695.0,19345893.0
2001-04-30,1652,1671,1558,1573,2459750,32211.0,19345893.0
2001-05-02,1572,1586,1515,1553,1249020,31824.0,19345893.0
2001-05-03,1572,1638,1567,1586,1819000,32501.0,19345893.0
2001-05-04,1586,1619,1562,1573,1031050,32211.0,19345893.0
2001-05-07,1586,1746,1524,1644,3328650,33662.0,19345893.0
2001-05-08,1633,1733,1624,1672,2229960,34242.0,19345893.0
2001-05-09,1643,1680,1610,1614,1131820,33081.0,19345893.0
2001-05-10,1613,1854,1613,1856,4849520,38015.0,19345893.0
2001-05-11,1854,2019,1783,1785,7419370,36564.0,19345893.0
2001-05-14,1774,1906,1774,1851,2620590,37918.0,19345893.0
2001-05-15,1871,2054,1851,1941,3814250,39756.0,19345893.0
2001-05-16,1893,1959,1799,1804,1915880,36951.0,19345893.0
2001-05-17,1822,1832,1723,1771,1984140,36274.0,19345893.0
2001-05-18,1746,1803,1746,1756,1296980,35983.0,19345893.0
2001-05-21,1756,1870,1756,1842,2226520,37724.0,19345893.0
2001-05-22,1888,1969,1808,1814,1253210,37144.0,19345893.0
2001-05-23,1837,1936,1822,1842,3068100,37724.0,19345893.0
2001-05-24,1812,1859,1807,1851,933060,37918.0,19345893.0
2001-05-25,1889,1960,1875,1903,1129070,38982.0,19345893.0
2001-05-28,1946,1975,1899,1903,1086830,38982.0,19345893.0
2001-05-29,1907,1936,1879,1880,959510,38498.0,19345893.0
2001-05-30,1882,1892,1812,1856,473450,38015.0,19345893.0
2001-05-31,1817,1837,1746,1756,1281380,35983.0,19345893.0
2001-06-01,1766,1775,1680,1710,912710,35016.0,19345893.0
2001-06-04,1713,1742,1699,1705,704840,34919.0,19345893.0
2001-06-05,1705,1889,1705,1766,2559770,36177.0,19345893.0
2001-06-07,1795,1917,1776,1898,2004490,38885.0,19345893.0
2001-06-08,1915,2077,1882,1983,1914930,40626.0,19345893.0
2001-06-11,1982,2068,1954,2012,1029560,41207.0,19345893.0
2001-06-12,2012,2031,1946,2030,566510,41594.0,19345893.0
2001-06-13,2029,2114,1991,2049,1264900,41981.0,19345893.0
2001-06-14,2020,2356,2020,2356,2293540,48268.0,19345893.0
2001-06-15,2450,2559,2247,2404,6226970,49235.0,19345893.0
2001-06-18,2404,2763,2371,2762,4016140,56587.0,19345893.0
2001-06-19,2871,3173,2833,3174,6044740,65002.0,19345893.0
2001-06-20,3211,3363,2702,2701,10358910,55329.0,19345893.0
2001-06-21,2700,3002,2482,2786,12374330,57070.0,19345893.0
2001-06-22,2784,3134,2728,2928,8331460,59972.0,19345893.0
2001-06-25,2878,3053,2775,2781,3333460,56974.0,19345893.0
2001-06-26,2828,2871,2365,2417,3201750,49525.0,19345893.0
2001-06-27,2294,2483,2285,2389,3086330,48945.0,19345893.0
2001-06-28,2360,2743,2360,2744,5054270,56200.0,19345893.0
2001-06-29,2834,3117,2673,2767,5724310,56683.0,19345893.0
2001-07-02,2822,3040,2738,2956,3405930,60553.0,19345893.0
2001-07-03,3022,3141,2758,2833,5213770,58038.0,19345893.0
2001-07-04,3135,3163,2795,2946,3622300,60359.0,19345893.0
2001-07-05,2928,2971,2834,2942,1552160,60262.0,19345893.0
2001-07-06,2846,2904,2729,2777,1368680,56877.0,19345893.0
2001-07-09,2690,2718,2359,2361,1861700,48365.0,19345893.0
2001-07-10,2360,2559,2360,2470,2919610,50590.0,19345893.0
2001-07-11,2181,2559,2181,2366,1486000,48461.0,19345893.0
2001-07-12,2456,2720,2409,2531,6086060,51847.0,19345893.0
2001-07-13,2653,2663,2360,2389,2061410,82409.0,32572772.0
2001-07-16,2390,2475,2333,2342,1091010,80780.0,32572772.0
2001-07-18,2360,2398,2219,2247,882340,77523.0,32572772.0
2001-07-19,2181,2356,2162,2267,1192230,78175.0,32572772.0
2001-07-20,2272,2314,2120,2177,1065830,75328.0,32680119.0
2001-07-23,2151,2454,1892,2049,2636700,70916.0,32680119.0
