케이티스카이라이프(053210),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-06-03,17500,20100,16700,20100,8506593,958099.0,47666614.0
2011-06-07,20650,21400,18450,18750,3538645,893749.0,47666614.0
2011-06-08,19300,19450,17500,17800,1366841,848466.0,47666614.0
2011-06-09,18200,18800,17800,18700,1512206,891366.0,47666614.0
2011-06-10,18650,21100,18400,20200,1949539,962866.0,47666614.0
2011-06-13,20450,22100,19950,21450,1987806,1022449.0,47666614.0
2011-06-14,21850,22150,20700,21600,1017814,1029599.0,47666614.0
2011-06-15,22000,22050,21200,21700,529076,1034366.0,47666614.0
2011-06-16,21400,21500,20750,20950,609311,998616.0,47666614.0
2011-06-17,21200,22000,20950,22000,843020,1048666.0,47666614.0
2011-06-20,22600,25200,22500,23600,1899761,1124932.0,47666614.0
2011-06-21,24250,24500,23300,23900,894120,1139232.0,47666614.0
2011-06-22,24100,24250,22650,22700,717338,1082032.0,47666614.0
2011-06-23,22600,23050,21200,23000,967038,1096332.0,47666614.0
2011-06-24,23250,23450,22250,23000,512475,1096332.0,47666614.0
2011-06-27,22600,23200,22000,22000,346606,1048666.0,47666614.0
2011-06-28,22450,22650,21100,21100,581475,1005766.0,47666614.0
2011-06-29,21250,21400,19750,19850,796524,946182.0,47666614.0
2011-06-30,20400,22700,20250,22000,958606,1048666.0,47666614.0
2011-07-01,21900,22600,21450,21900,537988,1043899.0,47666614.0
2011-07-04,22250,22550,21950,22250,337413,1060582.0,47666614.0
2011-07-05,22600,23800,22550,23650,802870,1127315.0,47666614.0
2011-07-06,23650,25500,23400,24900,1375908,1186899.0,47666614.0
2011-07-07,24700,24850,23750,23900,626113,1139232.0,47666614.0
2011-07-08,24000,24350,22950,23250,450337,1108249.0,47666614.0
2011-07-11,23450,24600,23300,24450,512291,1165449.0,47666614.0
2011-07-12,24300,25550,24300,25350,1002926,1208349.0,47666614.0
2011-07-13,25450,26000,24700,25600,865439,1220265.0,47666614.0
2011-07-14,25900,26700,25650,26550,879334,1265549.0,47666614.0
2011-07-15,26250,27500,26100,27200,675544,1296532.0,47666614.0
2011-07-18,27600,29300,27400,29200,928116,1391865.0,47666614.0
2011-07-19,29300,30700,28150,28300,1144801,1348965.0,47666614.0
2011-07-20,28800,30750,28350,30500,933182,1453832.0,47666614.0
2011-07-21,30800,30900,27200,27650,1337064,1317982.0,47666614.0
2011-07-22,27450,28700,26250,28700,1332216,1368032.0,47666614.0
2011-07-25,28250,28900,27100,27100,580089,1291765.0,47666614.0
2011-07-26,27300,29550,27150,29550,938017,1408548.0,47666614.0
2011-07-27,29650,30150,29000,29250,507483,1394248.0,47666614.0
2011-07-28,28750,29900,28750,29000,414589,1382332.0,47666614.0
2011-07-29,29450,29650,28400,28800,313357,1372798.0,47666614.0
2011-08-01,29250,29350,28200,28300,425862,1348965.0,47666614.0
