현대홈쇼핑(057050),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-09-13,124500,133500,120500,130500,2805964,1566000.0,12000000.0
2010-09-14,131500,131500,125000,125000,414467,1500000.0,12000000.0
2010-09-15,123500,125000,116000,116000,502216,1392000.0,12000000.0
2010-09-16,117000,122000,116500,121500,375451,1458000.0,12000000.0
2010-09-17,121500,127000,120000,125500,268201,1506000.0,12000000.0
2010-09-20,125000,126000,122500,125000,57727,1500000.0,12000000.0
2010-09-24,124000,125000,122000,125000,87225,1500000.0,12000000.0
2010-09-27,125000,126000,120500,121500,127275,1458000.0,12000000.0
2010-09-28,120500,123500,119500,121500,149790,1458000.0,12000000.0
2010-09-29,123000,128000,121500,124500,238921,1494000.0,12000000.0
2010-09-30,124500,126000,121000,121500,212649,1458000.0,12000000.0
2010-10-01,122000,123000,121000,122000,86911,1464000.0,12000000.0
2010-10-04,123000,123000,118500,119500,135101,1434000.0,12000000.0
2010-10-05,119000,121500,119000,120000,63792,1440000.0,12000000.0
2010-10-06,120500,122500,120000,120500,119601,1446000.0,12000000.0
2010-10-07,122000,122000,119000,119000,110985,1428000.0,12000000.0
2010-10-08,119000,121000,119000,120000,85367,1440000.0,12000000.0
2010-10-11,120000,120000,118000,118500,72535,1422000.0,12000000.0
2010-10-12,118000,119000,113000,113500,179976,1362000.0,12000000.0
2010-10-13,113500,115500,107500,109000,272455,1308000.0,12000000.0
2010-10-14,110000,114000,108500,114000,196399,1368000.0,12000000.0
2010-10-15,113500,116500,112500,114500,62275,1374000.0,12000000.0
2010-10-18,114000,114000,110500,112500,73908,1350000.0,12000000.0
2010-10-19,112000,114000,111000,112000,52856,1344000.0,12000000.0
2010-10-20,111000,113000,110000,112000,54954,1344000.0,12000000.0
2010-10-21,112000,112500,108500,112500,100565,1350000.0,12000000.0
2010-10-22,116500,118500,113500,113500,268780,1362000.0,12000000.0
2010-10-25,115000,115000,112500,114500,48147,1374000.0,12000000.0
2010-10-26,114500,114500,112000,112000,56562,1344000.0,12000000.0
2010-10-27,112000,112500,110000,111500,99884,1338000.0,12000000.0
2010-10-28,112000,112000,108500,109500,96529,1314000.0,12000000.0
2010-10-29,109000,110000,107000,108000,118677,1296000.0,12000000.0
2010-11-01,108000,109500,107000,107500,62733,1290000.0,12000000.0
2010-11-02,107500,109500,106000,106000,75699,1272000.0,12000000.0
2010-11-03,107000,107500,103000,103500,128315,1242000.0,12000000.0
2010-11-04,103500,105000,100000,103500,152064,1242000.0,12000000.0
2010-11-05,104500,107500,102000,106000,148871,1272000.0,12000000.0
2010-11-08,106000,107500,104000,104500,66812,1254000.0,12000000.0
2010-11-09,105000,106000,104000,106000,76800,1272000.0,12000000.0
2010-11-10,106000,106000,103000,103500,64289,1242000.0,12000000.0
2010-11-11,103000,104000,102000,103000,65831,1236000.0,12000000.0
2010-11-12,102500,103000,99900,101500,116046,1218000.0,12000000.0
2010-11-15,101000,102000,97100,97300,147296,1167600.0,12000000.0
2010-11-16,96600,96800,93200,95000,116673,1140000.0,12000000.0
2010-11-17,93800,96800,93500,95300,61222,1143600.0,12000000.0
2010-11-18,95100,97400,95100,97400,60563,1168800.0,12000000.0
2010-11-19,97900,101500,97300,101500,147605,1218000.0,12000000.0
2010-11-22,102000,104500,101500,102500,104394,1230000.0,12000000.0
2010-11-23,103000,103000,99800,100500,71507,1206000.0,12000000.0
2010-11-24,97200,100000,97100,99600,86205,1195200.0,12000000.0
2010-11-25,100500,102500,98800,100500,43794,1206000.0,12000000.0
2010-11-26,100500,101000,98700,98900,40626,1186800.0,12000000.0
2010-11-29,98900,98900,97500,97600,29317,1171200.0,12000000.0
2010-11-30,97800,98900,96200,97000,33582,1164000.0,12000000.0
2010-12-01,97300,98300,94900,95300,89518,1143600.0,12000000.0
2010-12-02,96000,96700,94800,96100,69891,1153200.0,12000000.0
2010-12-03,96500,96700,94300,94400,83536,1132800.0,12000000.0
2010-12-06,94500,95300,92500,92500,91714,1110000.0,12000000.0
2010-12-07,93000,93500,92300,93500,60003,1122000.0,12000000.0
2010-12-08,93800,98400,92600,98000,140501,1176000.0,12000000.0
2010-12-09,98000,99400,96800,97400,114148,1168800.0,12000000.0
2010-12-10,98000,98200,95800,96100,47643,1153200.0,12000000.0
2010-12-13,96000,96400,94400,95000,60379,1140000.0,12000000.0
2010-12-14,96000,98700,95500,97900,126938,1174800.0,12000000.0
2010-12-15,98800,99100,98000,98000,90742,1176000.0,12000000.0
2010-12-16,99300,101000,97900,100000,133476,1200000.0,12000000.0
2010-12-17,101000,103000,100500,102000,134732,1224000.0,12000000.0
2010-12-20,100000,102000,99700,101500,78665,1218000.0,12000000.0
2010-12-21,103500,103500,101000,101500,59454,1218000.0,12000000.0
2010-12-22,103000,104000,102000,103500,87179,1242000.0,12000000.0
2010-12-23,103500,105500,102000,105000,87804,1260000.0,12000000.0
2010-12-24,105500,105500,103500,104000,44527,1248000.0,12000000.0
2010-12-27,104500,104500,101000,102000,64401,1224000.0,12000000.0
2010-12-28,102000,104000,101000,103000,44981,1236000.0,12000000.0
2010-12-29,103000,104000,102000,103500,31025,1242000.0,12000000.0
2010-12-30,103000,103500,102000,102500,33264,1230000.0,12000000.0
2011-01-03,103000,103000,101000,102000,56332,1224000.0,12000000.0
2011-01-04,103000,105500,102500,104500,65266,1254000.0,12000000.0
2011-01-05,104000,107000,104000,106500,88744,1278000.0,12000000.0
2011-01-06,107000,109500,106000,109500,120029,1314000.0,12000000.0
2011-01-07,111000,111000,106500,106500,60604,1278000.0,12000000.0
2011-01-10,105500,107500,103000,103500,51987,1242000.0,12000000.0
2011-01-11,103500,104500,103000,104500,16267,1254000.0,12000000.0
2011-01-12,104500,105000,100000,100500,74182,1206000.0,12000000.0
2011-01-13,101500,102000,99400,100500,39345,1206000.0,12000000.0
2011-01-14,100000,102000,99900,101000,31083,1212000.0,12000000.0
2011-01-17,102000,102000,98300,98400,49055,1180800.0,12000000.0
2011-01-18,98100,98100,96200,96500,57680,1158000.0,12000000.0
2011-01-19,96600,98500,96000,96900,38997,1162800.0,12000000.0
2011-01-20,96800,98100,94600,95000,47845,1140000.0,12000000.0
2011-01-21,95000,95700,93100,93200,43910,1118400.0,12000000.0
2011-01-24,93200,95000,91500,91800,99525,1101600.0,12000000.0
2011-01-25,92100,95400,91800,95100,109189,1141200.0,12000000.0
2011-01-26,96100,99900,96100,97700,83891,1172400.0,12000000.0
2011-01-27,98300,103000,98000,103000,115170,1236000.0,12000000.0
2011-01-28,103000,105500,101500,105000,116517,1260000.0,12000000.0
2011-01-31,102500,105000,101000,104500,43139,1254000.0,12000000.0
2011-02-01,105000,105000,102000,104500,47947,1254000.0,12000000.0
2011-02-07,105000,105500,99600,100000,55936,1200000.0,12000000.0
2011-02-08,101000,102000,100000,100500,26770,1206000.0,12000000.0
2011-02-09,101000,102000,100500,101000,17328,1212000.0,12000000.0
2011-02-10,101500,101500,98300,99900,42840,1198800.0,12000000.0
2011-02-11,100500,100500,94600,95200,67966,1142400.0,12000000.0
2011-02-14,95300,96800,92300,93100,87203,1117200.0,12000000.0
2011-02-15,94100,95100,92800,93800,50587,1125600.0,12000000.0
2011-02-16,93200,93800,92000,92100,42017,1105200.0,12000000.0
2011-02-17,92300,93500,86400,88800,153366,1065600.0,12000000.0
2011-02-18,88900,92400,88900,92000,74186,1104000.0,12000000.0
2011-02-21,93000,93000,89700,89700,44872,1076400.0,12000000.0
2011-02-22,89700,90800,88200,90000,41443,1080000.0,12000000.0
2011-02-23,90800,97300,90000,97000,107288,1164000.0,12000000.0
2011-02-24,96000,99400,95000,96100,105231,1153200.0,12000000.0
2011-02-25,96900,96900,93000,95000,40507,1140000.0,12000000.0
2011-02-28,94900,94900,93000,93200,33525,1118400.0,12000000.0
2011-03-02,93100,96300,92800,95100,54657,1141200.0,12000000.0
2011-03-03,95300,95600,94000,95400,44023,1144800.0,12000000.0
2011-03-04,95600,96400,93700,93700,45790,1124400.0,12000000.0
2011-03-07,93700,96000,93700,95300,79017,1143600.0,12000000.0
2011-03-08,95600,102000,94600,102000,149765,1224000.0,12000000.0
2011-03-09,102000,104500,101000,104000,177402,1248000.0,12000000.0
2011-03-10,103500,105500,101500,104000,142590,1248000.0,12000000.0
2011-03-11,102500,107000,102500,106000,178380,1272000.0,12000000.0
2011-03-14,105500,106500,101000,104000,80913,1248000.0,12000000.0
2011-03-15,104000,106500,99600,103000,153439,1236000.0,12000000.0
2011-03-16,104500,108500,103000,104000,170820,1248000.0,12000000.0
2011-03-17,103000,105500,101000,104500,138920,1254000.0,12000000.0
2011-03-18,104500,107500,103500,107500,178906,1290000.0,12000000.0
2011-03-21,108000,109000,107500,109000,110704,1308000.0,12000000.0
2011-03-22,109000,110000,107500,108500,86631,1302000.0,12000000.0
2011-03-23,110000,111000,108500,109500,68051,1314000.0,12000000.0
2011-03-24,109000,110000,108500,110000,38717,1320000.0,12000000.0
2011-03-25,111000,114000,109000,114000,126277,1368000.0,12000000.0
2011-03-28,115000,116500,114000,114500,99268,1374000.0,12000000.0
2011-03-29,114500,115500,111500,115000,84314,1380000.0,12000000.0
2011-03-30,117000,119500,116500,119000,158928,1428000.0,12000000.0
2011-03-31,120000,121500,118500,121500,126279,1458000.0,12000000.0
2011-04-01,122000,125000,121000,124000,165837,1488000.0,12000000.0
2011-04-04,125000,125500,120000,121000,68900,1452000.0,12000000.0
2011-04-05,121500,124500,120000,120500,88508,1446000.0,12000000.0
2011-04-06,120500,121500,118000,118000,147924,1416000.0,12000000.0
2011-04-07,119000,120000,116000,118000,77312,1416000.0,12000000.0
2011-04-08,118000,122000,116000,120000,67277,1440000.0,12000000.0
2011-04-11,120000,122000,120000,121000,55062,1452000.0,12000000.0
2011-04-12,120000,121500,119000,120000,61418,1440000.0,12000000.0
