KTis(058860),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-12-17,2920,3085,2605,2635,9348520,91703.0,34802000.0
2010-12-20,2530,3030,2455,3030,9475150,105450.0,34802000.0
2010-12-21,3280,3350,3000,3010,5778134,104754.0,34802000.0
2010-12-22,3050,3460,2990,3460,3961072,120415.0,34802000.0
2010-12-23,3610,3975,3555,3710,10293943,129115.0,34802000.0
2010-12-24,3760,4070,3420,3650,6715015,127027.0,34802000.0
2010-12-27,3655,3940,3640,3780,3108799,131552.0,34802000.0
2010-12-28,3870,3870,3620,3620,2703817,125983.0,34802000.0
2010-12-29,3620,3645,3305,3410,2143721,118675.0,34802000.0
2010-12-30,3470,3565,3415,3510,1333911,122155.0,34802000.0
2011-01-03,3600,3830,3525,3540,1356004,123199.0,34802000.0
2011-01-04,3600,3705,3400,3705,1860718,128941.0,34802000.0
2011-01-05,3850,4260,3780,3910,9448473,136076.0,34802000.0
2011-01-06,3945,4110,3690,3870,3622744,134684.0,34802000.0
2011-01-07,3900,4140,3785,4140,3521445,144080.0,34802000.0
2011-01-10,4290,4550,4180,4230,4577479,147212.0,34802000.0
2011-01-11,4185,4275,4030,4275,1975782,148779.0,34802000.0
2011-01-12,4345,4345,4140,4150,1104729,144428.0,34802000.0
2011-01-13,4110,4140,3980,4100,1157412,142688.0,34802000.0
2011-01-14,4180,4255,4050,4110,1192621,143036.0,34802000.0
2011-01-17,4140,4160,3850,3850,1295843,133988.0,34802000.0
2011-01-18,3900,3990,3760,3800,1027369,132248.0,34802000.0
2011-01-19,3775,3840,3630,3690,1029050,128419.0,34802000.0
2011-01-20,3690,3765,3510,3730,1293545,129811.0,34802000.0
2011-01-21,3720,3720,3565,3620,691930,125983.0,34802000.0
2011-01-24,3560,3570,3470,3500,808144,121807.0,34802000.0
2011-01-25,3560,3560,3380,3380,757053,117631.0,34802000.0
2011-01-26,3375,3435,3280,3300,529515,114847.0,34802000.0
2011-01-27,3335,3450,3320,3410,493408,118675.0,34802000.0
2011-01-28,3375,3500,3375,3475,463859,120937.0,34802000.0
2011-01-31,3380,3625,3350,3405,870057,118501.0,34802000.0
2011-02-01,3410,3500,3380,3405,351773,118501.0,34802000.0
2011-02-07,3470,3470,3345,3360,353663,116935.0,34802000.0
2011-02-08,3400,3410,3330,3380,275920,117631.0,34802000.0
2011-02-09,3410,3480,3310,3480,341286,121111.0,34802000.0
2011-02-10,3450,3600,3440,3465,540699,120589.0,34802000.0
2011-02-11,3515,3515,3265,3290,631229,114499.0,34802000.0
2011-02-14,3300,3345,3080,3175,690766,110496.0,34802000.0
2011-02-15,3140,3250,3090,3100,418582,107886.0,34802000.0
2011-02-16,3090,3100,2900,2990,748876,104058.0,34802000.0
2011-02-17,2960,3070,2925,2980,262926,103710.0,34802000.0
2011-02-18,2935,3030,2935,2985,244649,103884.0,34802000.0
2011-02-21,3000,3050,2990,3020,250336,105102.0,34802000.0
2011-02-22,3035,3035,2885,2885,412404,100404.0,34802000.0
2011-02-23,2850,2925,2815,2870,394654,99882.0,34802000.0
2011-02-24,2860,2900,2750,2760,258269,96054.0,34802000.0
2011-02-25,2760,2805,2685,2780,319558,96750.0,34802000.0
2011-02-28,2785,2785,2685,2685,297418,93443.0,34802000.0
2011-03-02,2685,2720,2655,2655,188176,92399.0,34802000.0
2011-03-03,2675,2760,2655,2700,125772,93965.0,34802000.0
2011-03-04,2750,2990,2705,2900,358758,100926.0,34802000.0
2011-03-07,2850,3035,2840,2955,209751,102840.0,34802000.0
2011-03-08,3030,3095,2970,3050,278750,106146.0,34802000.0
2011-03-09,3240,3395,3165,3195,1000369,111192.0,34802000.0
2011-03-10,3150,3240,3085,3195,267650,111192.0,34802000.0
2011-03-11,3085,3165,3070,3130,200401,108930.0,34802000.0
2011-03-14,3055,3080,2850,3055,359140,106320.0,34802000.0
2011-03-15,3050,3065,2750,2915,283774,101448.0,34802000.0
2011-03-16,2855,2970,2800,2885,296531,100404.0,34802000.0
2011-03-17,2850,2850,2765,2790,226995,97098.0,34802000.0
2011-03-18,2790,2925,2790,2900,231910,100926.0,34802000.0
2011-03-21,2940,3030,2920,2980,279940,103710.0,34802000.0
2011-03-22,3040,3140,3020,3035,299267,105624.0,34802000.0
2011-03-23,3025,3040,2905,2930,243856,101970.0,34802000.0
2011-03-24,2945,2945,2870,2915,263550,101448.0,34802000.0
2011-03-25,2940,2945,2885,2900,154318,100926.0,34802000.0
2011-03-28,2880,2910,2860,2895,179900,100752.0,34802000.0
2011-03-29,2900,2920,2865,2885,133600,100404.0,34802000.0
2011-03-30,2900,3015,2885,3015,328405,104928.0,34802000.0
2011-03-31,3050,3100,2925,2980,318116,103710.0,34802000.0
2011-04-01,2960,3000,2950,2980,195371,103710.0,34802000.0
2011-04-04,3025,3025,2920,2960,222078,103014.0,34802000.0
2011-04-05,2960,3030,2920,3030,329078,105450.0,34802000.0
2011-04-06,3070,3110,3015,3105,545748,108060.0,34802000.0
2011-04-07,3100,3105,3040,3095,187820,107712.0,34802000.0
2011-04-08,3105,3325,3075,3080,1308533,107190.0,34802000.0
2011-04-11,3150,3275,3120,3240,1371410,112758.0,34802000.0
2011-04-12,3275,3295,3155,3155,594450,109800.0,34802000.0
2011-04-13,3150,3150,3050,3070,406765,106842.0,34802000.0
2011-04-14,3065,3090,3020,3020,364721,105102.0,34802000.0
2011-04-15,3130,3130,3030,3060,363849,106494.0,34802000.0
2011-04-18,3060,3115,2965,2995,451405,104232.0,34802000.0
2011-04-19,2910,3000,2910,2970,319713,103362.0,34802000.0
2011-04-20,2960,3005,2950,2955,246448,102840.0,34802000.0
2011-04-21,2965,2985,2860,2870,448724,99882.0,34802000.0
2011-04-22,2855,2895,2815,2865,314009,99708.0,34802000.0
2011-04-25,2875,2880,2800,2850,236578,99186.0,34802000.0
2011-04-26,2850,2890,2785,2785,271676,96924.0,34802000.0
2011-04-27,2805,2875,2770,2865,368390,99708.0,34802000.0
2011-04-28,2875,2880,2815,2840,139390,98838.0,34802000.0
2011-04-29,2840,3070,2785,3070,703909,106842.0,34802000.0
2011-05-02,3120,3145,3030,3055,543413,106320.0,34802000.0
2011-05-03,3080,3245,3045,3090,1131635,107538.0,34802000.0
2011-05-04,3095,3185,3050,3150,676197,109626.0,34802000.0
2011-05-06,3125,3250,3120,3150,645186,109626.0,34802000.0
2011-05-09,3150,3150,3025,3030,514475,105450.0,34802000.0
2011-05-11,3040,3065,2930,3005,291285,104580.0,34802000.0
2011-05-12,3005,3050,2970,3035,297833,105624.0,34802000.0
2011-05-13,3045,3045,2940,2990,275900,104058.0,34802000.0
2011-05-16,3020,3020,2865,2905,260633,101100.0,34802000.0
2011-05-17,2890,3005,2890,2930,306110,101970.0,34802000.0
2011-05-18,2940,2980,2890,2900,229667,100926.0,34802000.0
2011-05-19,2910,2920,2810,2810,251204,97794.0,34802000.0
2011-05-20,2825,2900,2800,2865,165281,99708.0,34802000.0
2011-05-23,2890,2900,2820,2840,208087,98838.0,34802000.0
2011-05-24,2830,2890,2800,2860,158980,99534.0,34802000.0
2011-05-25,2890,2895,2815,2825,232520,98316.0,34802000.0
2011-05-26,2825,2875,2810,2875,155165,100056.0,34802000.0
2011-05-27,2880,2900,2845,2860,168626,99534.0,34802000.0
2011-05-30,2885,2925,2860,2865,162944,99708.0,34802000.0
2011-05-31,2865,2895,2825,2835,204190,98664.0,34802000.0
2011-06-01,2835,2860,2815,2815,198841,97968.0,34802000.0
2011-06-02,2780,2820,2770,2800,151847,97446.0,34802000.0
2011-06-03,2795,2950,2795,2925,336483,101796.0,34802000.0
2011-06-07,2935,3015,2880,2915,285560,101448.0,34802000.0
2011-06-08,2925,2925,2840,2840,151965,98838.0,34802000.0
2011-06-09,2840,2865,2820,2840,59921,98838.0,34802000.0
2011-06-10,2870,2880,2790,2820,90621,98142.0,34802000.0
2011-06-13,2800,2815,2700,2735,195120,95183.0,34802000.0
2011-06-14,2735,2785,2680,2750,103605,95706.0,34802000.0
2011-06-15,2750,2790,2740,2770,67432,96402.0,34802000.0
2011-06-16,2750,2765,2660,2670,139050,92921.0,34802000.0
2011-06-17,2750,2770,2670,2690,246280,93617.0,34802000.0
2011-06-20,2745,2850,2715,2835,375260,98664.0,34802000.0
2011-06-21,2790,2855,2770,2800,89183,97446.0,34802000.0
2011-06-22,2805,2875,2795,2845,146094,99012.0,34802000.0
2011-06-23,2830,2935,2830,2895,196923,100752.0,34802000.0
2011-06-24,2895,2920,2780,2830,370588,98490.0,34802000.0
2011-06-27,2785,2840,2765,2835,126090,98664.0,34802000.0
2011-06-28,2835,2865,2800,2845,173744,99012.0,34802000.0
2011-06-29,2850,2870,2795,2820,137940,98142.0,34802000.0
