한라홀딩스(060980),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-05-19,44959,51680,44032,51681,4780347,2030865.0,18214033.0
2010-05-20,52607,56315,49826,50985,3036928,2003544.0,18214033.0
2010-05-24,51912,53071,48667,49363,943842,1939795.0,18214033.0
2010-05-25,48204,51680,47045,51681,1329018,2030865.0,18214033.0
2010-05-26,53302,55388,52607,53303,1248678,2094614.0,18214033.0
2010-05-27,53302,61182,53071,61182,1727324,2404252.0,18214033.0
2010-05-28,61414,63036,57937,58401,1655473,2294968.0,18214033.0
2010-05-31,59096,60950,57706,59792,822072,2349610.0,18214033.0
2010-06-01,59096,59791,56547,57011,614091,2240326.0,18214033.0
2010-06-03,57706,58633,54229,55852,1021264,2194791.0,18214033.0
2010-06-04,55852,57937,55156,57011,675043,2240326.0,18214033.0
2010-06-07,55620,58633,54925,58401,575161,2294968.0,18214033.0
2010-06-08,59328,60023,56779,57011,557404,2240326.0,18214033.0
2010-06-09,57937,57937,55852,55852,326957,2194791.0,18214033.0
2010-06-10,56779,58633,56083,57938,335968,2276754.0,18214033.0
2010-06-11,58633,58864,56083,56547,245641,2222112.0,18214033.0
2010-06-14,56779,57010,55620,56547,222175,2222112.0,18214033.0
2010-06-15,56083,57706,55852,57474,245721,2258540.0,18214033.0
2010-06-16,58169,58401,56547,57706,241469,2267647.0,18214033.0
2010-06-17,57937,60487,57706,58865,537886,2313182.0,18214033.0
2010-06-18,59328,59328,57242,57474,208513,2258540.0,18214033.0
2010-06-21,58169,59328,57474,58170,304894,2285861.0,18214033.0
2010-06-22,57937,58864,57242,57243,188636,2249433.0,18214033.0
2010-06-23,56779,57242,54461,54462,492714,2140149.0,18214033.0
2010-06-24,54693,54693,52839,53071,396338,2085507.0,18214033.0
2010-06-25,52839,54693,52607,53303,283975,2094614.0,18214033.0
2010-06-28,53766,54693,53302,54693,158954,2149256.0,18214033.0
2010-06-29,54229,55156,52144,52144,249560,2049079.0,18214033.0
2010-06-30,50985,52607,50521,52144,179244,2049079.0,18214033.0
2010-07-01,52607,53534,51680,53303,222249,2094614.0,18214033.0
2010-07-02,53302,55852,52839,54230,355622,2131042.0,18214033.0
2010-07-05,54693,54925,53998,53998,105818,2121935.0,18214033.0
2010-07-06,54229,54461,53071,53998,135468,2121935.0,18214033.0
2010-07-07,53998,56315,53766,55620,271063,2185684.0,18214033.0
2010-07-08,56547,59096,56315,58633,485973,2304075.0,18214033.0
2010-07-09,58633,59328,57937,58401,236557,2294968.0,18214033.0
2010-07-12,58401,60023,57242,59328,233145,2331396.0,18214033.0
2010-07-13,59096,60255,56315,56547,390767,2222112.0,18214033.0
2010-07-14,57242,58401,56779,58170,235309,2285861.0,18214033.0
2010-07-15,57706,59096,57474,59097,101826,2322289.0,18214033.0
2010-07-16,58401,58633,56547,56779,113033,2231219.0,18214033.0
2010-07-19,56083,57242,55620,56779,87491,2231219.0,18214033.0
2010-07-20,57010,58169,56547,58170,102755,2285861.0,18214033.0
2010-07-21,58633,58633,55852,56316,165233,2213005.0,18214033.0
2010-07-22,56315,56779,54925,56547,188833,2222112.0,18214033.0
2010-07-23,57010,57010,54461,55620,182294,2185684.0,18214033.0
2010-07-26,55156,56315,54925,56084,96141,2203898.0,18214033.0
2010-07-27,56315,57706,56083,56779,173632,2231219.0,18214033.0
2010-07-28,57242,57242,55388,55852,82580,2194791.0,18214033.0
2010-07-29,56083,56083,53766,53998,156453,2121935.0,18214033.0
2010-07-30,53998,54461,53071,53998,96992,2121935.0,18214033.0
2010-08-02,54229,57706,54229,56547,307522,2222112.0,18214033.0
2010-08-03,57242,57474,55852,57474,177807,2258540.0,18214033.0
2010-08-04,57474,57937,56083,57938,163467,2276754.0,18214033.0
2010-08-05,57937,58169,56779,57474,162613,2258540.0,18214033.0
2010-08-06,57706,58633,56547,58170,155716,2285861.0,18214033.0
2010-08-09,57937,58633,57474,58633,104103,2304075.0,18214033.0
2010-08-10,58633,58633,56547,57474,135317,2258540.0,18214033.0
2010-08-11,57010,57474,56315,56316,61073,2213005.0,18214033.0
