대웅제약(069620),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-11-01,15634,16150,13314,13316,293970,153117.0,9878538.0
2002-11-04,12410,13183,11508,12026,805326,138300.0,9878538.0
2002-11-05,12239,12583,11938,12327,293346,141757.0,9878538.0
2002-11-06,12498,12625,11983,12199,233374,140275.0,9878538.0
2002-11-07,12153,12325,11594,12112,204008,139287.0,9878538.0
2002-11-08,12068,13915,11853,12714,1184815,146202.0,9878538.0
2002-11-11,12755,13226,12368,12929,321971,148672.0,9878538.0
2002-11-12,12624,13011,12410,12973,149211,149166.0,9878538.0
2002-11-13,12968,13226,12368,12800,115910,147190.0,9878538.0
2002-11-14,12624,12712,12282,12585,95610,144721.0,9878538.0
2002-11-15,12583,12583,12325,12585,68100,144721.0,9878538.0
2002-11-18,12582,12668,12282,12286,61633,141263.0,9878538.0
2002-11-19,12110,12798,12110,12327,59000,141757.0,9878538.0
2002-11-20,12283,12326,11983,11984,77496,137806.0,9878538.0
2002-11-21,12110,12110,11681,11684,99414,134348.0,9878538.0
2002-11-22,11852,12197,11594,11899,91410,136818.0,9878538.0
2002-11-25,11895,12110,11809,12026,30555,138300.0,9878538.0
2002-11-26,12110,13056,12067,12800,191500,147190.0,9878538.0
2002-11-27,12583,12883,12497,12885,41060,148178.0,9878538.0
2002-11-28,12883,12883,12454,12885,74230,148178.0,9878538.0
2002-11-29,12711,12968,12624,12973,45320,149166.0,9878538.0
2002-12-02,13055,13055,12711,12973,29870,149166.0,9878538.0
2002-12-03,13056,13999,12883,13401,308898,154105.0,9878538.0
2002-12-04,13313,13313,12968,13014,83968,149660.0,9878538.0
2002-12-05,13056,13184,12755,13057,38800,150154.0,9878538.0
2002-12-06,13313,13956,13313,13359,224644,153611.0,9878538.0
2002-12-09,13570,13699,13141,13487,55460,155093.0,9878538.0
2002-12-10,13486,13486,13142,13316,34940,153117.0,9878538.0
2002-12-11,13098,13312,13055,13230,62850,152129.0,9878538.0
2002-12-12,13055,13312,13055,13230,40270,152129.0,9878538.0
2002-12-13,13055,13226,12968,13230,26106,152129.0,9878538.0
2002-12-16,13055,13398,12925,13186,24700,151636.0,9878538.0
2002-12-17,13140,13440,13011,13230,53670,152129.0,9878538.0
2002-12-18,13398,13398,13055,13230,29811,152129.0,9878538.0
2002-12-20,13398,13528,13055,13230,24780,152129.0,9878538.0
2002-12-23,13056,13184,12712,13057,33500,150154.0,9878538.0
2002-12-24,12755,12925,12454,12800,32110,147190.0,9878538.0
2002-12-26,12625,12926,12326,12714,28962,146202.0,9878538.0
2002-12-27,12669,12713,12369,12714,13892,146202.0,9878538.0
2002-12-30,12326,12713,12111,12714,43920,146202.0,9878538.0
2003-01-02,12368,12712,12368,12457,9353,143239.0,9878538.0
2003-01-03,12756,12756,12455,12499,32464,143733.0,9878538.0
2003-01-06,12624,12624,12110,12457,33783,143239.0,9878538.0
2003-01-07,12454,12756,12282,12286,78176,141263.0,9878538.0
2003-01-08,12197,12756,12197,12286,54620,141263.0,9878538.0
2003-01-09,12282,12368,12153,12327,24260,141757.0,9878538.0
2003-01-10,12325,12411,11938,12286,31880,141263.0,9878538.0
2003-01-13,11938,12454,11938,12457,30920,143239.0,9878538.0
2003-01-14,12238,12497,12197,12286,34090,141263.0,9878538.0
2003-01-15,12197,12368,12197,12286,23820,141263.0,9878538.0
2003-01-16,12238,12453,12152,12413,36700,142745.0,9878538.0
2003-01-17,12368,12541,12197,12327,11144,141757.0,9878538.0
2003-01-20,12325,12454,12197,12457,14870,143239.0,9878538.0
2003-01-21,12282,12454,12197,12457,14032,143239.0,9878538.0
2003-01-22,12540,12540,12238,12413,10080,142745.0,9878538.0
2003-01-23,12239,12497,12197,12242,4570,140769.0,9878538.0
2003-01-24,12196,12324,12023,12026,11772,138300.0,9878538.0
2003-01-27,12023,12023,11593,12026,9842,138300.0,9878538.0
2003-01-28,12024,12110,11852,12112,18130,139287.0,9878538.0
2003-01-29,12025,12240,11853,12199,11160,140275.0,9878538.0
2003-01-30,12196,12453,12196,12413,14900,142745.0,9878538.0
2003-02-03,12110,12624,12110,12629,7350,145215.0,9878538.0
2003-02-04,12798,12798,11509,12286,150860,141263.0,9878538.0
2003-02-05,12282,12454,11982,12457,15070,143239.0,9878538.0
2003-02-06,12368,12454,12110,12370,25230,142251.0,9878538.0
2003-02-07,12110,12282,11982,12112,11866,139287.0,9878538.0
2003-02-10,11852,12282,11852,12112,10930,139287.0,9878538.0
2003-02-11,12067,12238,11895,12026,9330,138300.0,9878538.0
2003-02-12,11939,11983,11896,11941,4618,137312.0,9878538.0
2003-02-13,11937,12110,11937,12026,7753,138300.0,9878538.0
2003-02-14,12024,12110,11852,12112,7850,139287.0,9878538.0
2003-02-17,12110,12197,12110,12112,13693,139287.0,9878538.0
2003-02-18,12111,12154,11983,11984,6282,137806.0,9878538.0
2003-02-19,12025,12283,12025,12156,15690,139781.0,9878538.0
2003-02-20,12369,12713,12198,12199,22552,140275.0,9878538.0
2003-02-21,12110,12196,12067,12069,10590,138793.0,9878538.0
2003-02-24,12110,12410,12067,12413,16270,142745.0,9878538.0
2003-02-25,12111,12369,12111,12199,3010,140275.0,9878538.0
2003-02-26,12111,12455,12111,12156,3930,139781.0,9878538.0
2003-02-27,12068,12110,11938,12112,4260,139287.0,9878538.0
2003-02-28,12153,12411,12024,12112,5080,139287.0,9878538.0
2003-03-03,12240,12240,11939,12199,3290,140275.0,9878538.0
2003-03-04,12198,12240,11983,12199,1950,140275.0,9878538.0
2003-03-05,12025,12198,11768,12199,14810,140275.0,9878538.0
2003-03-06,12025,12025,11853,11941,6650,137312.0,9878538.0
2003-03-07,11938,11938,11553,11554,10205,132866.0,9878538.0
2003-03-10,11895,11895,11336,11511,6120,132372.0,9878538.0
2003-03-11,11250,11852,10822,11082,41975,127433.0,9878538.0
2003-03-12,11164,11508,10993,11468,18849,131878.0,9878538.0
2003-03-13,11295,11595,11251,11597,14140,133360.0,9878538.0
2003-03-14,11594,11896,11337,11768,14550,135336.0,9878538.0
2003-03-17,11937,11937,11164,11855,18420,136324.0,9878538.0
2003-03-18,11939,11939,11554,11941,12470,137312.0,9878538.0
2003-03-19,11853,11939,11682,11941,8950,137312.0,9878538.0
2003-03-20,11809,11937,11593,11855,38694,136324.0,9878538.0
2003-03-21,11724,11810,11594,11684,9930,134348.0,9878538.0
2003-03-24,11681,11810,11594,11768,15021,135336.0,9878538.0
2003-03-25,11680,11680,11464,11511,9941,132372.0,9878538.0
2003-03-26,11594,11852,11594,11768,19937,135336.0,9878538.0
2003-03-27,11766,11809,11552,11726,23560,134842.0,9878538.0
2003-03-28,11508,11723,11164,11726,28000,134842.0,9878538.0
2003-03-31,11553,11681,11209,11684,51720,134348.0,9878538.0
2003-04-01,11638,11638,11338,11426,27310,131385.0,9878538.0
2003-04-02,11250,11464,11250,11468,17500,131878.0,9878538.0
2003-04-03,11594,12197,11509,11768,188708,135336.0,9878538.0
2003-04-04,11852,12068,11509,11768,33680,135336.0,9878538.0
2003-04-07,12281,12711,12110,12672,85200,145708.0,9878538.0
2003-04-08,12153,12411,12110,12112,36210,139287.0,9878538.0
