나노메딕스(074610),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2003-12-23,2154,2475,1902,2476,4991976,7560.0,14000000.0
2003-12-24,2842,2842,2108,2109,2572377,6440.0,14000000.0
2003-12-26,2108,2177,1856,1880,1635623,5740.0,14000000.0
2003-12-29,1879,1902,1742,1742,803620,5320.0,14000000.0
2003-12-30,1810,1994,1765,1994,2104496,6090.0,14000000.0
2004-01-02,1994,2292,1971,2292,3389724,7000.0,14000000.0
2004-01-05,2636,2636,2406,2636,1748189,8050.0,14000000.0
2004-01-06,3025,3025,2544,3026,9720870,9240.0,14000000.0
2004-01-07,3048,3461,2773,3026,7459039,9240.0,14000000.0
2004-01-08,3094,3461,3071,3461,6562179,10570.0,14000000.0
2004-01-09,3782,3965,3713,3966,2933858,12110.0,14000000.0
2004-01-12,4538,4538,4424,4539,967582,13860.0,14000000.0
2004-01-13,5203,5203,4653,5204,4082354,15890.0,14000000.0
2004-01-14,5501,5983,5478,5983,6629912,18270.0,14000000.0
2004-01-15,6510,6877,5089,5135,5762606,15680.0,14000000.0
2004-01-16,5455,5593,4378,5112,17115099,15610.0,14000000.0
2004-01-19,5364,5570,4584,5387,14221008,16450.0,14000000.0
2004-01-20,5616,6189,4584,4585,25565402,14000.0,14000000.0
2004-01-26,4263,4538,3897,4195,15551849,12810.0,14000000.0
2004-01-27,4240,4286,3621,3943,10421062,12040.0,14000000.0
2004-01-28,3897,4447,3805,3897,18740894,11900.0,14000000.0
2004-01-29,4011,4470,3965,4470,8951030,13650.0,14000000.0
2004-01-30,4813,4928,3805,3805,18485079,11620.0,14000000.0
2004-02-02,3736,3942,3553,3805,7209896,11620.0,14000000.0
2004-02-03,3965,4332,3874,3920,14753637,11970.0,14000000.0
2004-02-04,3805,4034,3621,3759,5584609,11480.0,14000000.0
2004-02-05,3759,3988,3507,3645,6948769,11130.0,14000000.0
2004-02-06,3644,3736,3507,3576,3112509,10920.0,14000000.0
2004-02-09,3667,3690,3048,3347,5755429,10220.0,14000000.0
2004-02-10,3346,3484,3209,3484,5854909,10640.0,14000000.0
2004-02-11,3713,3988,3346,3393,18819884,10360.0,14000000.0
2004-02-12,3438,3484,3278,3278,3549047,10010.0,14000000.0
2004-02-13,3278,3346,3094,3095,3295999,9450.0,14000000.0
2004-02-16,3071,3209,3048,3209,3576060,9800.0,14000000.0
2004-02-17,3323,3576,3163,3209,11325550,9800.0,14000000.0
2004-02-18,3232,3484,3163,3484,3961875,10640.0,14000000.0
2004-02-19,3507,3530,3186,3186,4879071,9730.0,14000000.0
2004-02-20,3209,3255,3117,3163,2526890,9660.0,14000000.0
2004-02-23,3163,3163,2888,2888,1945981,8820.0,14000000.0
2004-02-24,2796,2911,2704,2705,3692479,8260.0,14000000.0
2004-02-25,2682,2865,2475,2476,2575015,7560.0,14000000.0
2004-02-26,2498,2842,2498,2843,3424621,8680.0,14000000.0
2004-02-27,2842,3255,2636,2682,16972215,8190.0,14000000.0
2004-03-02,2773,2865,2636,2820,3985442,8610.0,14000000.0
2004-03-03,2980,3025,2750,2774,3415275,8470.0,14000000.0
2004-03-04,2773,2819,2682,2682,1709986,8190.0,14000000.0
2004-03-05,2704,2888,2682,2774,3648392,8470.0,14000000.0
2004-03-08,2796,3186,2750,3163,8754200,9660.0,14000000.0
2004-03-09,3094,3163,2934,3163,3719651,9660.0,14000000.0
2004-03-10,3300,3621,3209,3530,11731014,10780.0,14000000.0
2004-03-11,3644,3897,3255,3301,9352766,10080.0,14000000.0
2004-03-12,3346,3438,2819,3003,8703954,9170.0,14000000.0
2004-03-15,3163,3438,3048,3439,7122220,10500.0,14000000.0
2004-03-16,3507,3874,3392,3461,11868897,10570.0,14000000.0
2004-03-17,3507,3736,3369,3668,6562304,11200.0,14000000.0
2004-03-18,3667,3805,3438,3439,4801128,10500.0,14000000.0
2004-03-19,3461,3553,3300,3439,3290070,10500.0,14000000.0
2004-03-22,3415,3621,3392,3530,4660440,10780.0,14000000.0
2004-03-23,3530,3851,3163,3301,11812902,10080.0,14000000.0
2004-03-24,3346,3484,3255,3416,5339870,10430.0,14000000.0
2004-03-25,3484,3644,3323,3622,7935169,11060.0,14000000.0
2004-03-26,3553,3759,3530,3668,5400556,11200.0,14000000.0
2004-03-29,3713,3828,3507,3530,4984516,10780.0,14000000.0
2004-03-30,3530,3599,3369,3393,4253978,10360.0,14000000.0
2004-03-31,3392,3576,3346,3576,3107621,10920.0,14000000.0
2004-04-01,3644,3690,3507,3530,4381048,10780.0,14000000.0
2004-04-02,3507,3667,3415,3668,4684080,11200.0,14000000.0
2004-04-06,3690,3759,3553,3599,4457140,10990.0,14000000.0
2004-04-07,3644,4126,3644,3943,15109620,12040.0,14000000.0
2004-04-08,3942,4309,3782,3897,8896806,11900.0,14000000.0
2004-04-09,3919,4103,3805,3989,3555997,12180.0,14000000.0
2004-04-12,3988,4195,3942,4080,6110121,12460.0,14000000.0
2004-04-13,4057,4240,3965,3966,5820160,12110.0,14000000.0
2004-04-14,3897,3965,3690,3714,3140879,11340.0,14000000.0
2004-04-16,3736,3782,3461,3461,2511044,10570.0,14000000.0
2004-04-19,3415,3530,3300,3461,2742248,10570.0,14000000.0
2004-04-20,3461,3599,3438,3484,3329328,10640.0,14000000.0
2004-04-21,3415,3530,3369,3370,3270484,10290.0,14000000.0
2004-04-22,3369,3484,3232,3255,2704320,9940.0,14000000.0
2004-04-23,3278,3323,3140,3209,2149197,9800.0,14000000.0
2004-04-26,3232,3300,3186,3232,1491924,9870.0,14000000.0
2004-04-27,3232,3300,3163,3301,1484734,10080.0,14000000.0
2004-04-28,3300,3690,3300,3530,8790697,10780.0,14000000.0
2004-04-29,3507,3507,3002,3049,3357920,9310.0,14000000.0
2004-04-30,3163,3369,3025,3209,2697940,9800.0,14000000.0
2004-05-03,3117,3278,3117,3118,1391844,9520.0,14000000.0
2004-05-04,3117,3209,2980,3049,1426326,9310.0,14000000.0
2004-05-06,3094,3117,2888,2911,1213478,8890.0,14000000.0
2004-05-07,2842,2957,2796,2843,1104320,8680.0,14000000.0
2004-05-10,2727,2796,2429,2476,1494220,7560.0,14000000.0
2004-05-11,2384,2475,2246,2430,1284596,7420.0,14000000.0
2004-05-12,2682,2773,2498,2774,2453876,8470.0,14000000.0
2004-05-13,2796,3025,2750,2888,2800331,8820.0,14000000.0
2004-05-14,3071,3094,2704,2797,1138945,8540.0,14000000.0
2004-05-17,2704,2842,2384,2453,1018399,7490.0,14000000.0
2004-05-18,2338,2773,2292,2590,2502038,7910.0,14000000.0
2004-05-19,2590,2773,2521,2682,975894,8190.0,14000000.0
2004-05-20,2590,2934,2498,2797,2364670,8540.0,14000000.0
2004-05-21,2934,2934,2727,2751,1018100,8400.0,14000000.0
2004-05-24,2819,2957,2750,2957,1170443,9030.0,14000000.0
2004-05-25,2957,2980,2819,2865,1036730,8750.0,14000000.0
2004-05-27,2911,3002,2842,2843,2326670,8680.0,14000000.0
2004-05-28,2819,2911,2750,2751,2250130,8400.0,14000000.0
2004-05-31,2750,2773,2704,2728,520249,8330.0,14000000.0
2004-06-01,2682,2773,2682,2705,793630,8260.0,14000000.0
2004-06-02,2704,2911,2704,2843,1380362,8680.0,14000000.0
2004-06-03,2888,2934,2659,2682,788900,8190.0,14000000.0
2004-06-04,2682,2727,2636,2659,377310,8120.0,14000000.0
2004-06-07,2659,2750,2659,2705,982609,8260.0,14000000.0
2004-06-08,2727,2888,2727,2843,2514191,8680.0,14000000.0
2004-06-09,2888,2911,2704,2751,1198565,8400.0,14000000.0
2004-06-10,2727,2773,2682,2682,553491,8190.0,14000000.0
2004-06-11,2704,2727,2498,2499,888190,7630.0,14000000.0
2004-06-14,2521,2567,2384,2384,415260,7280.0,14000000.0
2004-06-15,2384,2452,2315,2430,693430,7420.0,14000000.0
2004-06-16,2406,2498,2338,2338,819200,7140.0,14000000.0
2004-06-17,2338,2406,2315,2407,590490,7350.0,14000000.0
2004-06-18,2361,2406,2223,2361,963970,7210.0,14000000.0
2004-06-21,2338,2452,2338,2384,683370,7280.0,14000000.0
2004-06-22,2384,2406,2315,2338,382010,7140.0,14000000.0
2004-06-23,2315,2338,2246,2269,482490,6930.0,14000000.0
2004-06-24,2246,2292,2246,2269,309250,6930.0,14000000.0
2004-06-25,2246,2292,2223,2247,340740,6860.0,14000000.0
2004-06-28,2246,2292,2246,2269,346470,6930.0,14000000.0
2004-06-29,2292,2338,2269,2338,311482,7140.0,14000000.0
2004-06-30,2406,2682,2384,2682,2928320,8190.0,14000000.0
2004-07-01,2773,2819,2636,2751,1944517,8400.0,14000000.0
2004-07-02,2750,2750,2521,2590,784424,7910.0,14000000.0
2004-07-05,2590,2636,2498,2590,849773,7910.0,14000000.0
2004-07-06,2590,2727,2544,2705,1671908,8260.0,14000000.0
2004-07-07,2659,2659,2521,2567,759294,7840.0,14000000.0
2004-07-08,2544,2590,2452,2453,599850,7490.0,14000000.0
2004-07-09,2406,2475,2384,2407,305788,7350.0,14000000.0
2004-07-12,2429,2498,2384,2407,496882,7350.0,14000000.0
2004-07-13,2406,2429,2361,2384,521223,7280.0,14000000.0
2004-07-14,2361,2567,2338,2407,871910,7350.0,14000000.0
2004-07-15,2429,2452,2292,2338,515840,7140.0,14000000.0
2004-07-16,2338,2361,2269,2315,395120,7070.0,14000000.0
2004-07-19,2269,2361,2269,2269,310140,6930.0,14000000.0
2004-07-20,2292,2406,2269,2292,533532,7000.0,14000000.0
2004-07-21,2315,2498,2315,2407,1298300,7350.0,14000000.0
2004-07-22,2361,2384,2292,2292,553950,7000.0,14000000.0
2004-07-23,2315,2338,2269,2292,454095,7000.0,14000000.0
2004-07-26,2246,2292,2246,2292,288002,7000.0,14000000.0
2004-07-27,2269,2315,2154,2155,517590,6580.0,14000000.0
2004-07-28,2154,2223,2154,2155,433040,6580.0,14000000.0
2004-07-29,2154,2177,2040,2109,331230,6440.0,14000000.0
2004-07-30,2108,2177,2108,2109,190380,6440.0,14000000.0
2004-08-02,2108,2338,2086,2224,745310,6790.0,14000000.0
2004-08-03,2223,2315,2177,2224,542990,6790.0,14000000.0
2004-08-04,2177,2223,2063,2063,284921,6300.0,14000000.0
2004-08-05,2086,2246,2086,2201,513400,6720.0,14000000.0
2004-08-06,2131,2246,2131,2178,143330,6650.0,14000000.0
2004-08-09,2154,2200,2108,2178,240050,6650.0,14000000.0
2004-08-10,2154,2200,2131,2178,335830,6650.0,14000000.0
2004-08-11,2223,2498,2223,2499,1727592,7630.0,14000000.0
2004-08-12,2636,2842,2406,2476,7543570,7560.0,14000000.0
2004-08-13,2475,2567,2361,2522,2256433,7700.0,14000000.0
2004-08-16,2567,2819,2498,2682,4904750,8190.0,14000000.0
2004-08-17,2704,2773,2498,2522,2072565,7700.0,14000000.0
2004-08-18,2521,2567,2452,2476,772930,7560.0,14000000.0
2004-08-19,2498,2544,2406,2476,1730646,7560.0,14000000.0
2004-08-20,2475,2498,2429,2453,441790,7490.0,14000000.0
2004-08-23,2475,2544,2452,2499,869086,7630.0,14000000.0
2004-08-24,2498,2590,2498,2522,981486,7700.0,14000000.0
2004-08-25,2544,2567,2452,2453,535265,7490.0,14000000.0
2004-08-26,2475,2498,2429,2430,593840,7420.0,14000000.0
