새론오토모티브(075180),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-10-21,4860,4990,4300,4560,1350570,87552.0,19200000.0
2005-10-24,4650,5200,4600,4950,911931,95040.0,19200000.0
2005-10-25,5000,5070,4750,4900,358271,94080.0,19200000.0
2005-10-26,5000,5000,4675,4675,171959,89760.0,19200000.0
2005-10-27,4610,4665,4500,4500,182546,86400.0,19200000.0
2005-10-28,4320,4950,4320,4730,95679,90816.0,19200000.0
2005-10-31,4625,4790,4510,4740,88280,91008.0,19200000.0
2005-11-01,4550,4860,4520,4740,85864,91008.0,19200000.0
2005-11-02,4800,4850,4675,4795,73976,92064.0,19200000.0
2005-11-03,4720,5050,4700,4875,92495,93600.0,19200000.0
2005-11-04,5000,5000,4800,4930,59504,94656.0,19200000.0
2005-11-07,4920,4940,4765,4880,73643,93696.0,19200000.0
2005-11-08,4805,4850,4755,4810,35460,92352.0,19200000.0
2005-11-09,4750,4840,4680,4680,74192,89856.0,19200000.0
2005-11-10,4680,4775,4650,4700,54762,90240.0,19200000.0
2005-11-11,4860,4860,4600,4700,73350,90240.0,19200000.0
2005-11-14,4570,4710,4570,4630,63574,88896.0,19200000.0
2005-11-15,4610,4685,4555,4650,40941,89280.0,19200000.0
2005-11-16,4560,4775,4560,4600,16442,88320.0,19200000.0
2005-11-17,4600,4755,4580,4695,51500,90144.0,19200000.0
2005-11-18,4710,5390,4700,5390,466534,103488.0,19200000.0
2005-11-21,5600,6190,5420,6130,616082,117696.0,19200000.0
2005-11-22,6000,7040,5600,7040,552239,135168.0,19200000.0
2005-11-23,7200,8090,7140,7900,800337,151680.0,19200000.0
2005-11-24,8330,8330,7800,8000,373727,153600.0,19200000.0
2005-11-25,7840,8800,7750,8570,409870,164544.0,19200000.0
2005-11-28,8540,8700,8050,8150,186872,156480.0,19200000.0
2005-11-29,8000,8000,7300,7500,169347,144000.0,19200000.0
2005-11-30,7260,8620,7260,8620,256976,165504.0,19200000.0
2005-12-01,8800,9900,8580,8600,400910,165120.0,19200000.0
