세진중공업(075580),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-11-30,3495,3590,3110,3135,1151035,120048.0,38292720.0
2015-12-01,3150,3155,2940,3055,495937,116984.0,38292720.0
2015-12-02,3320,3640,3225,3300,702480,126366.0,38292720.0
2015-12-03,3250,3595,3235,3420,518626,130961.0,38292720.0
2015-12-04,3440,3475,3250,3430,112614,131344.0,38292720.0
2015-12-07,3440,3470,3285,3335,82698,127706.0,38292720.0
2015-12-08,3330,3360,3085,3140,140993,120239.0,38292720.0
2015-12-09,3200,3350,3140,3270,74735,125217.0,38292720.0
2015-12-10,3270,3280,3155,3210,38948,122920.0,38292720.0
2015-12-11,3210,3280,3005,3180,55235,121771.0,38292720.0
2015-12-14,3150,3240,3050,3150,38882,120622.0,38292720.0
2015-12-15,3275,3275,3060,3090,34166,118325.0,38292720.0
2015-12-16,3060,3150,3050,3095,53191,118516.0,38292720.0
2015-12-17,3150,3180,3090,3150,60001,120622.0,38292720.0
2015-12-18,3115,3145,3075,3090,53711,118325.0,38292720.0
2015-12-21,3110,3120,3040,3060,49542,117176.0,38292720.0
2015-12-22,3070,3180,3070,3120,16771,119473.0,38292720.0
2015-12-23,3120,3155,3085,3105,52772,118899.0,38292720.0
2015-12-24,3035,3160,3035,3075,69071,117750.0,38292720.0
2015-12-28,3250,3250,3060,3190,110722,122154.0,38292720.0
2015-12-29,3080,3185,3080,3135,31891,120048.0,38292720.0
2015-12-30,3085,3235,3070,3075,100371,117750.0,38292720.0
2016-01-04,3090,3140,3060,3085,46602,118133.0,38292720.0
2016-01-05,3015,3120,3015,3095,8922,118516.0,38292720.0
2016-01-06,3090,3220,3090,3165,64141,121196.0,38292720.0
2016-01-07,3095,3250,3095,3180,31248,121771.0,38292720.0
2016-01-08,3100,3235,3100,3160,33124,121005.0,38292720.0
2016-01-11,3150,3165,3085,3100,22216,118707.0,38292720.0
2016-01-12,3065,3125,3065,3100,38075,118707.0,38292720.0
2016-01-13,3150,3185,3085,3135,25842,120048.0,38292720.0
2016-01-14,3080,3160,3075,3120,5032,119473.0,38292720.0
2016-01-15,3180,3180,3080,3130,22180,119856.0,38292720.0
2016-01-18,3160,3160,3070,3135,8567,120048.0,38292720.0
2016-01-19,3135,3135,3060,3105,13520,118899.0,38292720.0
2016-01-20,3100,3105,2970,3045,11812,116601.0,38292720.0
2016-01-21,3050,3050,2960,3020,43483,115644.0,38292720.0
2016-01-22,2980,3030,2910,3025,28049,115835.0,38292720.0
2016-01-25,3000,3050,2995,3035,11664,116218.0,38292720.0
2016-01-26,2985,3030,2985,2990,36448,114495.0,38292720.0
2016-01-27,3000,3000,2950,3000,3851,114878.0,38292720.0
2016-01-28,3000,3035,2995,3005,4667,115070.0,38292720.0
2016-01-29,3005,3030,2990,3000,8419,114878.0,38292720.0
2016-02-01,3045,3050,2970,3040,17179,116410.0,38292720.0
2016-02-02,2990,3035,2990,3030,4531,116027.0,38292720.0
2016-02-03,3030,3030,2955,2995,8857,114687.0,38292720.0
2016-02-04,3000,3025,2950,2995,9861,114687.0,38292720.0
2016-02-05,2975,3010,2975,2995,23609,114687.0,38292720.0
2016-02-11,2910,2995,2910,2980,5243,114112.0,38292720.0
2016-02-12,3075,3075,2900,2920,11952,111815.0,38292720.0
2016-02-15,3040,3770,2850,3110,362435,119090.0,38292720.0
2016-02-16,3190,3195,3100,3120,61411,119473.0,38292720.0
2016-02-17,3100,3180,3070,3080,64222,117942.0,38292720.0
2016-02-18,3110,3110,3050,3090,98092,118325.0,38292720.0
2016-02-19,3055,3250,3030,3150,50538,120622.0,38292720.0
2016-02-22,3150,3160,3115,3140,21308,120239.0,38292720.0
2016-02-23,3140,3150,3090,3100,15390,118707.0,38292720.0
2016-02-24,3065,3120,3065,3105,67021,118899.0,38292720.0
2016-02-25,3120,3155,3095,3135,19961,120048.0,38292720.0
2016-02-26,3155,3200,3140,3150,17090,120622.0,38292720.0
2016-02-29,3150,3195,3140,3155,53187,120814.0,38292720.0
2016-03-02,3150,3190,3150,3160,12646,121005.0,38292720.0
2016-03-03,3160,3250,3155,3200,39197,122537.0,38292720.0
2016-03-04,3200,3215,3155,3200,48874,122537.0,38292720.0
2016-03-07,3230,3240,3170,3185,24770,121962.0,38292720.0
2016-03-08,3240,3240,3155,3170,30244,121388.0,38292720.0
2016-03-09,3215,3280,3175,3280,64522,125600.0,38292720.0
2016-03-10,3280,3480,3235,3420,104558,130961.0,38292720.0
2016-03-11,3470,3555,3420,3500,173883,134025.0,38292720.0
2016-03-14,3530,3590,3415,3515,50879,134599.0,38292720.0
2016-03-15,3520,3520,3460,3490,25360,133642.0,38292720.0
2016-03-16,3490,3490,3385,3395,38450,130004.0,38292720.0
2016-03-17,3485,3485,3355,3435,46650,131535.0,38292720.0
2016-03-18,3415,3430,3350,3420,46942,130961.0,38292720.0
2016-03-21,3365,3505,3365,3450,36526,132110.0,38292720.0
2016-03-22,3495,3540,3460,3510,27739,134407.0,38292720.0
2016-03-23,3535,3535,3480,3515,27775,134599.0,38292720.0
2016-03-24,3515,3545,3420,3500,79791,134025.0,38292720.0
2016-03-25,3495,3495,3305,3495,102256,133833.0,38292720.0
2016-03-28,3505,3505,3445,3460,18915,132493.0,38292720.0
2016-03-29,3450,3485,3360,3415,20547,130770.0,38292720.0
2016-03-30,3450,3450,3380,3415,24758,130770.0,38292720.0
2016-03-31,3415,3415,3355,3390,17267,129812.0,38292720.0
