휠라코리아(081660),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-09-28,14000,15380,13320,13740,5346244,588558.0,8567073.0
2010-09-29,14020,14260,13800,13820,951249,591985.0,8567073.0
2010-09-30,13800,13900,13560,13680,505994,585988.0,8567073.0
2010-10-01,13799,15719,13799,15720,1617532,673372.0,8567073.0
2010-10-04,16060,17040,15300,16300,2101266,698216.0,8567073.0
2010-10-05,16320,16700,15820,15980,604025,684509.0,8567073.0
2010-10-06,16280,16340,15520,15560,601581,666518.0,8567073.0
2010-10-07,15579,15700,14939,15460,628848,662235.0,8567073.0
2010-10-08,15339,15400,14840,14900,463704,638247.0,8567073.0
2010-10-11,15200,15639,15040,15320,484062,656238.0,8567073.0
2010-10-12,15460,15600,14860,15000,268690,642530.0,8567073.0
2010-10-13,15160,16200,15000,15660,620164,670802.0,8567073.0
2010-10-14,15700,16340,15460,16340,410304,699930.0,8567073.0
2010-10-15,16140,16500,15919,16140,284795,691363.0,8567073.0
2010-10-18,16020,16120,15740,15840,242993,678512.0,8567073.0
2010-10-19,15800,16620,15660,16360,341190,721237.0,8817073.0
2010-10-20,16300,16900,16240,16760,376054,738871.0,8817073.0
2010-10-21,16840,16960,16400,16420,185485,723882.0,8817073.0
2010-10-22,16320,16660,16240,16600,116017,731817.0,8817073.0
2010-10-25,16600,16740,15900,15980,193189,704484.0,8817073.0
2010-10-26,16020,16180,15900,15960,140362,703602.0,8817073.0
2010-10-27,16120,16480,15960,16160,142623,712419.0,8817073.0
2010-10-28,16260,16540,15960,16200,111584,714183.0,8817073.0
2010-10-29,16100,16180,15579,15620,131395,688613.0,8817073.0
2010-11-01,15640,15960,15300,15660,92758,690377.0,8817073.0
2010-11-02,15760,15880,15459,15580,79851,686850.0,8817073.0
2010-11-03,15740,15900,15420,15560,112099,685968.0,8817073.0
2010-11-04,15579,16400,15579,16260,223451,716828.0,8817073.0
2010-11-05,16400,16400,15819,15860,129154,699194.0,8817073.0
2010-11-08,16100,16360,15880,16240,115834,715946.0,8817073.0
2010-11-09,16339,16420,15960,16140,86101,711538.0,8817073.0
2010-11-10,16040,16440,16020,16440,132305,724763.0,8817073.0
2010-11-11,16520,16880,16320,16680,281250,735344.0,8817073.0
2010-11-12,16680,16800,15860,16340,232148,720355.0,8817073.0
2010-11-15,16340,16360,15639,16280,151562,717710.0,8817073.0
2010-11-16,15860,16100,15320,15540,194802,685087.0,8817073.0
2010-11-17,15239,15260,14000,14600,338129,643646.0,8817073.0
2010-11-18,14640,15120,14620,15000,105493,661280.0,8817073.0
2010-11-19,15020,15379,15020,15180,97467,669216.0,8817073.0
2010-11-22,15280,15560,15200,15480,49516,682441.0,8817073.0
2010-11-23,15580,15580,15300,15400,66609,678915.0,8817073.0
2010-11-24,14959,15260,14920,15020,100059,662162.0,8817073.0
2010-11-25,15200,15280,15020,15080,43702,664807.0,8817073.0
2010-11-26,15080,15340,14940,15000,67689,661280.0,8817073.0
2010-11-29,14840,15099,14700,14820,37821,653345.0,8817073.0
2010-11-30,14820,15000,14619,14960,81938,659517.0,8817073.0
2010-12-01,15000,15040,14860,14940,41583,658635.0,8817073.0
2010-12-02,15099,15600,14960,15600,72243,687732.0,8817073.0
2010-12-03,15620,15640,15360,15540,35591,685087.0,8817073.0
2010-12-06,15540,15860,15300,15600,40119,687732.0,8817073.0
2010-12-07,15700,16000,15419,15920,67985,701839.0,8817073.0
2010-12-08,16059,16059,15620,15620,35576,688613.0,8817073.0
2010-12-09,15700,15920,15480,15520,52418,684205.0,8817073.0
2010-12-10,15600,15640,15099,15300,98836,674506.0,8817073.0
2010-12-13,15299,15520,15139,15260,47573,672743.0,8817073.0
2010-12-14,15360,15360,15000,15040,73046,663044.0,8817073.0
2010-12-15,15040,15140,14600,14640,394395,645410.0,8817073.0
2010-12-16,14800,15059,14800,15020,76733,662162.0,8817073.0
2010-12-17,14900,15160,14779,14980,66373,660399.0,8817073.0
2010-12-20,14740,14900,14440,14780,95556,651582.0,8817073.0
2010-12-21,14780,14960,14640,14880,60334,655990.0,8817073.0
2010-12-22,14720,15160,14720,14820,52017,653345.0,8817073.0
2010-12-23,14859,15060,14740,14960,29105,678217.0,9067073.0
2010-12-24,14860,14980,14700,14700,63179,666430.0,9067073.0
2010-12-27,14619,14980,14619,14980,37804,679124.0,9067073.0
2010-12-28,15000,15480,14980,15340,96065,695444.0,9067073.0
2010-12-29,15459,15800,15320,15740,332797,713579.0,9067073.0
2010-12-30,15760,15880,15420,15640,66584,709045.0,9067073.0
2011-01-03,15640,15640,15200,15300,75494,693631.0,9067073.0
2011-01-04,15280,15300,14900,14960,87147,678217.0,9067073.0
2011-01-05,14920,15180,14620,14680,145838,665523.0,9067073.0
2011-01-06,14720,14900,14620,14680,64403,665523.0,9067073.0
2011-01-07,14700,14839,14660,14680,45029,665523.0,9067073.0
2011-01-10,14620,14700,14460,14520,90278,658269.0,9067073.0
2011-01-11,14520,14640,14300,14340,100701,650109.0,9067073.0
2011-01-12,14440,14700,14400,14660,111261,664616.0,9067073.0
2011-01-13,14720,14720,13980,14240,163829,645576.0,9067073.0
2011-01-14,14260,14340,14000,14140,90027,641042.0,9067073.0
2011-01-17,14200,14200,13320,13320,202601,603867.0,9067073.0
2011-01-18,13480,13680,13160,13360,123141,605680.0,9067073.0
2011-01-19,13520,13840,13520,13800,146241,625628.0,9067073.0
2011-01-20,13660,14100,13660,14080,159871,638322.0,9067073.0
2011-01-21,14100,14100,13880,14000,112508,634695.0,9067073.0
2011-01-24,14020,14460,13900,14440,172125,654643.0,9067073.0
2011-01-25,14440,14440,13800,14000,105005,634695.0,9067073.0
2011-01-26,13960,14040,13720,13760,85073,623815.0,9067073.0
2011-01-27,13900,13900,13340,13480,142196,611121.0,9067073.0
2011-01-28,13480,13640,13180,13500,146153,612027.0,9067073.0
2011-01-31,13500,13500,13060,13140,131962,595707.0,9067073.0
2011-02-01,13320,13680,13180,13340,143884,604774.0,9067073.0
2011-02-07,13500,13500,13260,13380,70996,606587.0,9067073.0
2011-02-08,13400,13600,12640,12740,165854,577573.0,9067073.0
2011-02-09,12880,12940,12200,12300,197057,557625.0,9067073.0
2011-02-10,12260,12600,12260,12580,66577,570319.0,9067073.0
2011-02-11,12539,12820,12459,12600,85294,571226.0,9067073.0
2011-02-14,12620,12680,12300,12360,40070,560345.0,9067073.0
2011-02-15,12300,12480,11740,12100,175092,548558.0,9067073.0
2011-02-16,12000,12220,11860,12000,87014,544024.0,9067073.0
2011-02-17,11920,12120,11700,11860,118985,537677.0,9067073.0
2011-02-18,11900,12700,11900,12560,178761,569412.0,9067073.0
2011-02-21,12660,12759,12460,12620,83634,572132.0,9067073.0
2011-02-22,12600,12679,12380,12580,135556,570319.0,9067073.0
2011-02-23,12579,12840,12440,12680,62344,574852.0,9067073.0
2011-02-24,12659,13120,12600,12840,80431,582106.0,9067073.0
2011-02-25,12899,13100,12840,13000,79467,589360.0,9067073.0
2011-02-28,13000,13020,12499,12680,65303,574852.0,9067073.0
2011-03-02,12500,12679,12020,12020,103802,544931.0,9067073.0
2011-03-03,12040,12360,12040,12360,63114,560345.0,9067073.0
2011-03-04,12300,12580,12240,12320,39237,558532.0,9067073.0
2011-03-07,12260,12560,12240,12240,17301,554905.0,9067073.0
2011-03-08,12240,13280,12240,13000,141037,589360.0,9067073.0
2011-03-09,13240,13720,13160,13660,155145,619281.0,9067073.0
2011-03-10,13840,14120,13500,14060,172584,637415.0,9067073.0
2011-03-11,13800,14400,13720,14300,90284,648296.0,9067073.0
2011-03-14,13900,14200,13540,13660,76363,619281.0,9067073.0
2011-03-15,13620,13960,12740,13800,87401,625628.0,9067073.0
2011-03-16,13900,13900,13400,13780,65129,624721.0,9067073.0
2011-03-17,13500,13640,13260,13260,48542,601147.0,9067073.0
2011-03-18,13260,14080,13260,14080,82836,638322.0,9067073.0
2011-03-21,14000,14120,13760,14040,80125,636509.0,9067073.0
2011-03-22,14040,14320,13840,13900,58578,630162.0,9067073.0
2011-03-23,13840,13900,13520,13580,130044,615654.0,9067073.0
2011-03-24,13600,14260,13600,14220,114422,644669.0,9067073.0
2011-03-25,14140,14360,14080,14340,95011,650109.0,9067073.0
2011-03-28,14460,14580,14040,14120,63939,640135.0,9067073.0
2011-03-29,14220,14760,14020,14740,112089,668243.0,9067073.0
2011-03-30,14880,15099,14640,14980,126974,679124.0,9067073.0
2011-03-31,15200,15240,14800,15180,83198,688191.0,9067073.0
2011-04-01,15259,15259,14920,14960,54151,678217.0,9067073.0
2011-04-04,15000,15100,14600,14860,49878,673684.0,9067073.0
2011-04-05,14759,15500,14759,15080,105865,683657.0,9067073.0
2011-04-06,14959,15240,14760,15020,93496,680937.0,9067073.0
2011-04-07,15020,15239,14860,15240,74592,690911.0,9067073.0
2011-04-08,15160,15340,15060,15240,55420,690911.0,9067073.0
2011-04-11,15260,15340,14680,14760,156780,669150.0,9067073.0
2011-04-12,14720,15180,14720,15140,50425,686377.0,9067073.0
2011-04-13,14920,15460,14920,15200,48141,689098.0,9067073.0
2011-04-14,15400,15700,15300,15600,133198,707232.0,9067073.0
2011-04-15,15740,16160,15600,16160,188535,732619.0,9067073.0
2011-04-18,16240,16300,15640,16000,64998,725366.0,9067073.0
2011-04-19,15780,15800,15440,15560,65418,705418.0,9067073.0
2011-04-20,15760,15940,15360,15400,80827,698165.0,9067073.0
2011-04-21,15500,15640,15040,15080,156249,683657.0,9067073.0
2011-04-22,15200,15240,14720,14780,96006,670057.0,9067073.0
2011-04-25,14960,15140,14760,15040,74987,681844.0,9067073.0
2011-04-26,15200,15200,14700,14920,73910,676404.0,9067073.0
2011-04-27,14940,15179,14200,14260,185264,646482.0,9067073.0
2011-04-28,14380,14440,13960,14100,93013,639229.0,9067073.0
2011-04-29,14160,14360,13980,14240,84235,645576.0,9067073.0
2011-05-02,14240,14840,14240,14800,89368,670963.0,9067073.0
2011-05-03,14899,14899,14480,14800,89085,670963.0,9067073.0
2011-05-04,14800,14820,14160,14160,90927,641949.0,9067073.0
2011-05-06,14220,14540,14040,14480,74603,656456.0,9067073.0
2011-05-09,14500,14500,14160,14340,28774,650109.0,9067073.0
2011-05-11,14460,14460,14160,14460,58321,655549.0,9067073.0
2011-05-12,14320,14859,14320,14640,62285,663710.0,9067073.0
2011-05-13,14640,15120,14579,15120,101353,685471.0,9067073.0
2011-05-16,15200,15360,14960,15060,78209,682751.0,9067073.0
2011-05-17,15200,15520,15160,15460,98325,700885.0,9067073.0
2011-05-18,15580,15600,15200,15360,71336,696351.0,9067073.0
2011-05-19,15420,15720,14820,15180,70963,688191.0,9067073.0
2011-05-20,15180,15340,14840,15180,50423,688191.0,9067073.0
2011-05-23,16920,17360,15200,15200,763290,689098.0,9067073.0
2011-05-24,14920,15700,14140,15320,311380,694538.0,9067073.0
2011-05-25,15440,15880,15100,15100,111438,684564.0,9067073.0
2011-05-26,14940,15200,14920,15000,93096,680030.0,9067073.0
2011-05-27,14999,16540,14940,15800,305221,716299.0,9067073.0
2011-05-30,16100,16740,15920,15920,188194,721739.0,9067073.0
2011-05-31,16120,16299,15739,16240,176217,736246.0,9067073.0
2011-06-01,16380,16380,15759,15860,105160,719019.0,9067073.0
2011-06-02,15480,15780,15360,15500,57234,702698.0,9067073.0
2011-06-03,15659,16700,15600,16560,249919,750754.0,9067073.0
2011-06-07,16480,17760,16420,17440,296261,790649.0,9067073.0
2011-06-08,17440,17740,17140,17440,137962,790649.0,9067073.0
2011-06-09,17440,18000,17300,17920,223558,812410.0,9067073.0
2011-06-10,18000,18340,16720,16760,507835,759821.0,9067073.0
2011-06-13,16600,17280,16219,16900,289066,766168.0,9067073.0
2011-06-14,16880,17000,16640,16640,122670,754380.0,9067073.0
2011-06-15,16680,16740,16300,16460,146791,746220.0,9067073.0
2011-06-16,16300,16800,16180,16600,114166,752567.0,9067073.0
2011-06-17,16840,17060,16600,16720,107073,758007.0,9067073.0
2011-06-20,16740,16860,16400,16420,111336,744407.0,9067073.0
2011-06-21,16560,16780,16140,16320,62607,739873.0,9067073.0
2011-06-22,16600,16600,16120,16160,114931,732619.0,9067073.0
