HDC현대EP(089470),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-09-25,3700,4255,3700,4255,211869,109779.0,2580000.0
2006-09-26,4690,4700,3620,3620,387355,93396.0,2580000.0
2006-09-27,3605,3605,3160,3400,155615,87720.0,2580000.0
2006-09-28,3420,3910,3420,3590,457019,92622.0,2580000.0
2006-09-29,3550,3590,3270,3300,101782,85140.0,2580000.0
2006-10-02,3255,3295,3010,3015,91596,77787.0,2580000.0
2006-10-04,2950,3190,2925,2980,68720,76884.0,2580000.0
2006-10-09,2950,3035,2535,2535,87780,65403.0,2580000.0
2006-10-10,2465,2650,2465,2560,48378,66048.0,2580000.0
2006-10-11,2500,2940,2500,2940,82327,75852.0,2580000.0
2006-10-12,3075,3085,2770,2890,104958,74562.0,2580000.0
2006-10-13,2985,3030,2875,2930,36437,75594.0,2580000.0
2006-10-16,2950,2950,2860,2870,35630,74046.0,2580000.0
2006-10-17,2875,2880,2620,2720,34890,70176.0,2580000.0
2006-10-18,2735,2770,2625,2660,32660,68628.0,2580000.0
2006-10-19,2670,2735,2590,2600,30332,67080.0,2580000.0
2006-10-20,2585,2650,2560,2600,28140,67080.0,2580000.0
2006-10-23,2670,2675,2580,2605,27955,67209.0,2580000.0
2006-10-24,2610,2630,2495,2500,85344,64500.0,2580000.0
2006-10-25,2400,2450,2175,2210,309735,57018.0,2580000.0
2006-10-26,2235,2410,2215,2295,227465,59211.0,2580000.0
2006-10-27,2350,2350,2235,2270,78732,58566.0,2580000.0
2006-10-30,2250,2270,2160,2165,133851,55857.0,2580000.0
2006-10-31,2185,2355,2175,2350,173058,60630.0,2580000.0
2006-11-01,2375,2440,2310,2430,123194,62694.0,2580000.0
2006-11-02,2430,2485,2400,2415,99701,62307.0,2580000.0
2006-11-03,2405,2580,2400,2560,129779,66048.0,2580000.0
2006-11-06,2555,2560,2455,2490,99841,64242.0,2580000.0
2006-11-07,2510,2565,2435,2435,104174,62823.0,2580000.0
2006-11-08,2450,2480,2415,2470,54150,63726.0,2580000.0
2006-11-09,2490,2520,2435,2500,74052,64500.0,2580000.0
2006-11-10,2515,2715,2485,2670,210840,68886.0,2580000.0
2006-11-13,2665,2710,2620,2695,121098,69531.0,2580000.0
2006-11-14,2670,2740,2640,2680,96422,69144.0,2580000.0
2006-11-15,2685,2825,2675,2675,147726,69015.0,2580000.0
2006-11-16,2690,2690,2590,2595,72313,66951.0,2580000.0
2006-11-17,2590,2650,2540,2620,66740,67596.0,2580000.0
2006-11-20,2600,2645,2515,2515,60609,64887.0,2580000.0
2006-11-21,2485,2520,2405,2450,88505,63210.0,2580000.0
2006-11-22,2450,2560,2450,2550,73377,65790.0,2580000.0
2006-11-23,2560,2620,2510,2600,60318,67080.0,2580000.0
2006-11-24,2575,2610,2560,2565,51679,66177.0,2580000.0
2006-11-27,2550,2650,2550,2620,36383,67596.0,2580000.0
2006-11-28,2595,2645,2570,2610,48750,67338.0,2580000.0
2006-11-29,2640,2710,2615,2700,75927,69660.0,2580000.0
2006-11-30,2710,2730,2675,2715,52070,70047.0,2580000.0
2006-12-01,2715,2715,2610,2635,57064,67983.0,2580000.0
2006-12-04,2620,2620,2590,2600,27319,67080.0,2580000.0
2006-12-05,2600,2635,2580,2590,21831,66822.0,2580000.0
2006-12-06,2570,2600,2465,2465,46772,63597.0,2580000.0
2006-12-07,2485,2490,2400,2440,46910,62952.0,2580000.0
2006-12-08,2405,2410,2330,2340,43771,60372.0,2580000.0
2006-12-11,2320,2400,2260,2260,39677,58308.0,2580000.0
2006-12-12,2280,2300,2210,2235,24027,57663.0,2580000.0
2006-12-13,2215,2295,2210,2280,15780,58824.0,2580000.0
2006-12-14,2265,2470,2265,2415,40643,62307.0,2580000.0
2006-12-15,2415,2480,2400,2460,12024,63468.0,2580000.0
2006-12-18,2460,2490,2410,2420,14540,62436.0,2580000.0
2006-12-19,2405,2470,2400,2450,17935,63210.0,2580000.0
2006-12-20,2425,2470,2425,2425,13430,62565.0,2580000.0
2006-12-21,2415,2430,2345,2430,36060,62694.0,2580000.0
2006-12-22,2400,2690,2400,2620,111454,67596.0,2580000.0
2006-12-26,2700,2725,2635,2685,114121,69273.0,2580000.0
2006-12-27,2710,2840,2615,2820,124341,72756.0,2580000.0
2006-12-28,2850,2850,2720,2790,64174,71982.0,2580000.0
2007-01-02,2790,2860,2750,2760,58374,71208.0,2580000.0
2007-01-03,2770,2770,2650,2750,60420,70950.0,2580000.0
2007-01-04,2730,2825,2700,2730,62702,70434.0,2580000.0
2007-01-05,2730,2750,2610,2650,35535,68370.0,2580000.0
2007-01-08,2630,2655,2545,2590,69336,66822.0,2580000.0
2007-01-09,2600,2665,2575,2645,34005,68241.0,2580000.0
2007-01-10,2650,2715,2590,2700,28715,69660.0,2580000.0
2007-01-11,2700,2850,2700,2745,81350,70821.0,2580000.0
2007-01-12,2730,2775,2660,2700,55130,69660.0,2580000.0
2007-01-15,2705,2710,2605,2630,54380,67854.0,2580000.0
2007-01-16,2630,2705,2600,2705,35229,69789.0,2580000.0
2007-01-17,2740,2740,2650,2715,34665,70047.0,2580000.0
2007-01-18,2690,2820,2660,2770,66767,71466.0,2580000.0
2007-01-19,2775,2775,2720,2750,30412,70950.0,2580000.0
2007-01-22,2715,2805,2715,2785,55342,71853.0,2580000.0
2007-01-23,2785,2900,2770,2770,77540,71466.0,2580000.0
2007-01-24,2750,2830,2720,2735,39933,70563.0,2580000.0
2007-01-25,2735,2775,2730,2750,30988,70950.0,2580000.0
2007-01-26,2750,2790,2730,2735,25065,70563.0,2580000.0
2007-01-29,2700,2700,2585,2585,51373,66693.0,2580000.0
2007-01-30,2575,2615,2530,2545,36278,65661.0,2580000.0
2007-01-31,2530,2600,2515,2575,12348,66435.0,2580000.0
2007-02-01,2550,2625,2520,2520,26260,65016.0,2580000.0
2007-02-02,2520,2585,2435,2480,64280,63984.0,2580000.0
2007-02-05,2500,2810,2500,2785,102825,71853.0,2580000.0
2007-02-06,2840,2840,2745,2755,50827,71079.0,2580000.0
2007-02-07,2785,2835,2345,2550,114833,65790.0,2580000.0
2007-02-08,2535,2650,2520,2520,40701,65016.0,2580000.0
2007-02-09,2520,2635,2520,2610,47661,67338.0,2580000.0
2007-02-12,2600,2610,2530,2610,18602,67338.0,2580000.0
2007-02-13,2575,2830,2575,2790,95591,71982.0,2580000.0
2007-02-14,2800,2865,2760,2830,96650,73014.0,2580000.0
2007-02-15,2870,2950,2870,2910,93183,75078.0,2580000.0
2007-02-16,2910,2910,2830,2850,34046,73530.0,2580000.0
2007-02-20,2835,2910,2800,2910,43083,75078.0,2580000.0
2007-02-21,2965,3185,2950,3170,245269,81786.0,2580000.0
2007-02-22,3130,3260,3060,3145,162174,81141.0,2580000.0
2007-02-23,3160,3175,3080,3160,63681,81528.0,2580000.0
2007-02-26,3150,3170,3070,3070,58751,79206.0,2580000.0
2007-02-27,3045,3045,2870,2870,98935,74046.0,2580000.0
2007-02-28,2680,2810,2660,2800,58395,72240.0,2580000.0
2007-03-02,2800,2865,2750,2830,35318,73014.0,2580000.0
2007-03-05,2800,2800,2690,2690,37230,69402.0,2580000.0
2007-03-06,2675,2750,2620,2690,39232,69402.0,2580000.0
2007-03-07,2735,2785,2700,2780,35460,71724.0,2580000.0
2007-03-08,2800,2830,2780,2805,19849,72369.0,2580000.0
2007-03-09,2810,2820,2730,2765,21740,71337.0,2580000.0
2007-03-12,2770,2815,2740,2800,21020,72240.0,2580000.0
2007-03-13,2810,2840,2785,2830,16736,73014.0,2580000.0
2007-03-14,2790,2790,2745,2745,17657,70821.0,2580000.0
2007-03-15,2745,2830,2725,2740,22963,70692.0,2580000.0
2007-03-16,2740,2785,2725,2785,19550,71853.0,2580000.0
2007-03-19,2790,2815,2735,2815,36420,72627.0,2580000.0
2007-03-20,2820,2835,2765,2800,21070,72240.0,2580000.0
2007-03-21,2800,2800,2750,2770,16550,71466.0,2580000.0
2007-03-22,2790,2790,2755,2785,18120,71853.0,2580000.0
2007-03-23,2790,2790,2745,2745,14860,70821.0,2580000.0
2007-03-26,2745,2750,2655,2690,25970,69402.0,2580000.0
2007-03-27,2690,2690,2650,2650,31010,68370.0,2580000.0
2007-03-28,2700,2880,2700,2805,107260,72369.0,2580000.0
2007-03-29,2800,2850,2775,2850,34630,73530.0,2580000.0
2007-03-30,2890,2940,2860,2875,56215,74175.0,2580000.0
2007-04-02,2875,2920,2835,2875,22903,74175.0,2580000.0
2007-04-03,2865,2865,2810,2845,27493,73401.0,2580000.0
2007-04-04,2830,3000,2820,3000,59961,77400.0,2580000.0
2007-04-05,2970,3000,2940,2970,19656,76626.0,2580000.0
2007-04-06,2950,3065,2950,2970,47563,76626.0,2580000.0
2007-04-09,2985,3010,2930,2955,37856,76239.0,2580000.0
2007-04-10,2955,2990,2920,2980,34860,76884.0,2580000.0
2007-04-11,2990,3040,2940,2950,47800,76110.0,2580000.0
2007-04-12,2980,2995,2920,2980,36164,76884.0,2580000.0
2007-04-13,2960,3065,2920,3065,66597,79077.0,2580000.0
2007-04-16,3090,3145,3060,3145,99503,81141.0,2580000.0
2007-04-17,3145,3210,3110,3140,62949,81012.0,2580000.0
2007-04-18,3130,3175,3105,3130,27748,80754.0,2580000.0
2007-04-19,3140,3145,3050,3145,49480,81141.0,2580000.0
2007-04-20,3145,3290,2950,3100,124000,79980.0,2580000.0
2007-04-23,3105,3295,3030,3230,97187,83334.0,2580000.0
2007-04-24,3230,3330,3230,3290,71800,84882.0,2580000.0
2007-04-25,3285,3285,3200,3260,28120,84108.0,2580000.0
2007-04-26,3270,3300,3150,3240,33940,83592.0,2580000.0
2007-04-27,3200,3440,3170,3435,116192,88623.0,2580000.0
2007-04-30,3430,3510,3350,3435,78007,88623.0,2580000.0
2007-05-02,3440,3500,3325,3460,68760,89268.0,2580000.0
2007-05-03,3480,3630,3450,3620,104293,93396.0,2580000.0
2007-05-04,3630,3730,3610,3620,75076,93396.0,2580000.0
2007-05-07,3630,3630,3510,3530,59785,91074.0,2580000.0
2007-05-08,3525,3530,3435,3440,45950,88752.0,2580000.0
2007-05-09,3450,3510,3355,3430,42800,88494.0,2580000.0
2007-05-10,3480,3585,3420,3580,55320,92364.0,2580000.0
2007-05-11,3510,3560,3470,3545,32740,91461.0,2580000.0
2007-05-14,3575,3575,3430,3440,23350,88752.0,2580000.0
2007-05-15,3405,3495,3405,3455,15904,89139.0,2580000.0
2007-05-16,3470,3470,3370,3370,17480,86946.0,2580000.0
2007-05-17,3380,3415,3295,3305,27140,85269.0,2580000.0
2007-05-18,3265,3370,3265,3320,19630,85656.0,2580000.0
2007-05-21,3320,3320,3265,3285,16820,84753.0,2580000.0
2007-05-22,3285,3320,3225,3245,20860,83721.0,2580000.0
2007-05-23,3230,3230,3180,3190,42510,82302.0,2580000.0
2007-05-25,3170,3230,3130,3230,25991,83334.0,2580000.0
2007-05-28,3260,3395,3200,3395,34371,87591.0,2580000.0
2007-05-29,3415,3415,3350,3380,25511,87204.0,2580000.0
2007-05-30,3360,3400,3210,3290,26030,84882.0,2580000.0
2007-05-31,3310,3370,3245,3290,29290,84882.0,2580000.0
2007-06-01,3280,3310,3100,3200,62621,82560.0,2580000.0
2007-06-04,3165,3280,3135,3180,32785,82044.0,2580000.0
2007-06-05,3150,3300,3150,3270,40021,84366.0,2580000.0
2007-06-07,3250,3330,3210,3320,30067,85656.0,2580000.0
2007-06-08,3315,3320,3200,3315,28602,85527.0,2580000.0
2007-06-11,3300,3300,3200,3215,18720,82947.0,2580000.0
2007-06-12,3220,3240,3190,3210,15660,82818.0,2580000.0
2007-06-13,3200,3370,3180,3330,34521,85914.0,2580000.0
2007-06-14,3330,3650,3320,3450,72770,89010.0,2580000.0
2007-06-15,3500,3550,3380,3450,37960,89010.0,2580000.0
2007-06-18,3450,3480,3385,3475,34590,89655.0,2580000.0
2007-06-19,3475,3475,3320,3370,31810,86946.0,2580000.0
2007-06-20,3340,3375,3240,3270,19180,84366.0,2580000.0
2007-06-21,3200,3330,3200,3280,18240,84624.0,2580000.0
2007-06-22,3280,3300,3220,3220,12370,83076.0,2580000.0
2007-06-25,3200,3295,3150,3250,12860,83850.0,2580000.0
2007-06-26,3250,3250,3150,3155,8030,81399.0,2580000.0
2007-06-27,3140,3200,3100,3150,8150,81270.0,2580000.0
2007-06-28,3135,3140,3080,3140,6330,81012.0,2580000.0
2007-06-29,3105,3165,3090,3120,14530,107328.0,3440000.0
2007-07-02,3085,3130,3050,3120,13740,107328.0,3440000.0
2007-07-03,3120,3200,3120,3200,8600,110080.0,3440000.0
2007-07-04,3180,3370,3180,3285,19130,113004.0,3440000.0
2007-07-05,3260,3380,3260,3350,15875,115240.0,3440000.0
2007-07-06,3280,3410,3280,3400,26610,116960.0,3440000.0
2007-07-09,3470,3470,3325,3335,15640,114724.0,3440000.0
2007-07-10,3350,3350,3220,3295,13940,113348.0,3440000.0
2007-07-11,3230,3270,3175,3180,36987,109392.0,3440000.0
2007-07-12,3200,3280,3175,3280,19440,112832.0,3440000.0
2007-07-13,3280,3350,3205,3225,24150,110940.0,3440000.0
2007-07-16,3210,3250,3175,3220,19521,110768.0,3440000.0
2007-07-18,3280,3280,3195,3200,13093,110080.0,3440000.0
2007-07-19,3195,3200,3135,3145,16680,108188.0,3440000.0
2007-07-20,3145,3240,3115,3215,25340,110596.0,3440000.0
2007-07-23,3200,3215,3145,3170,10870,109048.0,3440000.0
2007-07-24,3175,3210,3110,3175,23792,109220.0,3440000.0
2007-07-25,3175,3280,3100,3180,18440,109392.0,3440000.0
2007-07-26,3220,3290,3185,3200,20650,110080.0,3440000.0
2007-07-27,3070,3150,3000,3005,17210,103372.0,3440000.0
2007-07-30,2915,3060,2915,2970,6500,102168.0,3440000.0
2007-07-31,2980,3065,2975,3040,6365,104576.0,3440000.0
2007-08-01,3025,3050,2780,2800,42400,96320.0,3440000.0
2007-08-02,2835,2880,2740,2800,9700,96320.0,3440000.0
2007-08-03,2800,2845,2800,2830,5290,97352.0,3440000.0
2007-08-06,2750,2800,2750,2750,5620,94600.0,3440000.0
2007-08-07,2800,2815,2750,2765,11390,95116.0,3440000.0
2007-08-08,2800,2850,2755,2800,8040,96320.0,3440000.0
2007-08-09,2805,2835,2770,2800,6700,96320.0,3440000.0
2007-08-10,2770,3000,2695,2785,14100,95804.0,3440000.0
2007-08-13,2750,2830,2725,2740,10650,94256.0,3440000.0
2007-08-14,2715,2775,2675,2715,16120,93396.0,3440000.0
2007-08-16,2600,2650,2400,2530,20403,87032.0,3440000.0
2007-08-17,2410,2740,2385,2485,20100,85484.0,3440000.0
2007-08-20,2545,2600,2495,2520,25413,86688.0,3440000.0
2007-08-21,2525,2695,2525,2650,27940,91160.0,3440000.0
2007-08-22,2595,2710,2575,2600,12310,89440.0,3440000.0
2007-08-23,2665,2680,2615,2620,11771,90128.0,3440000.0
2007-08-24,2600,2650,2580,2600,11840,89440.0,3440000.0
2007-08-27,2650,2660,2600,2600,24240,89440.0,3440000.0
2007-08-28,2600,2720,2600,2700,12560,92880.0,3440000.0
