메타랩스(090370),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-12-26,51455,53013,43850,44050,631550,113000.0,10000000.0
2006-12-27,43076,43662,38514,38787,145182,99500.0,10000000.0
2006-12-28,38981,39372,36368,37423,115907,96000.0,10000000.0
2007-01-02,37420,37420,35896,36643,43976,94000.0,10000000.0
2007-01-03,36485,41516,36485,37501,168632,96200.0,10000000.0
2007-01-04,37498,37772,35745,36527,59675,93700.0,10000000.0
2007-01-05,35857,37420,34494,34694,46225,89000.0,10000000.0
2007-01-08,33563,34692,33485,33525,44234,86000.0,10000000.0
2007-01-09,33721,34693,33135,33135,26437,85000.0,10000000.0
2007-01-10,33134,33525,32548,33174,20820,85100.0,10000000.0
2007-01-11,33523,35707,33211,34110,49152,87500.0,10000000.0
2007-01-12,35083,35551,34106,35552,36341,91200.0,10000000.0
2007-01-15,35667,35706,34143,34305,24704,88000.0,10000000.0
2007-01-16,34378,34612,33171,34227,22530,87800.0,10000000.0
2007-01-17,33720,34301,33290,33564,8720,86100.0,10000000.0
2007-01-18,33327,38588,33327,38398,236358,98500.0,10000000.0
2007-01-19,37072,37267,33642,35084,89512,90000.0,10000000.0
2007-01-22,35122,35122,32939,33369,40567,85600.0,10000000.0
2007-01-23,32938,35277,32313,33837,54821,86800.0,10000000.0
2007-01-24,33445,34926,33445,33915,17166,87000.0,10000000.0
2007-01-25,34146,34693,33134,33330,36707,85500.0,10000000.0
2007-01-26,31770,32351,31457,31966,124847,82000.0,10000000.0
2007-01-29,31652,32351,31378,32355,127000,83000.0,10000000.0
2007-01-30,31960,32390,31183,32355,107760,83000.0,10000000.0
2007-01-31,32157,33603,32001,33525,79420,86000.0,10000000.0
2007-02-01,33448,34889,33252,34889,43977,89500.0,10000000.0
2007-02-02,34458,35240,33989,35240,29170,90400.0,10000000.0
2007-02-05,34769,36171,34495,36176,36590,92800.0,10000000.0
2007-02-06,35787,36174,34693,34967,31530,89700.0,10000000.0
2007-02-07,34691,34886,33949,34071,25180,87400.0,10000000.0
2007-02-08,34027,34574,33910,34032,46421,87300.0,10000000.0
2007-02-09,33949,34183,33211,33876,39674,86900.0,10000000.0
2007-02-12,33912,33912,32431,33096,35124,84900.0,10000000.0
2007-02-13,32937,32937,32155,32355,46950,83000.0,10000000.0
2007-02-14,32662,32936,32350,32745,25502,84000.0,10000000.0
2007-02-15,32627,33525,32627,33096,28561,84900.0,10000000.0
2007-02-16,32780,33327,32506,32667,16106,83800.0,10000000.0
2007-02-20,32662,33248,32662,32784,31090,84100.0,10000000.0
2007-02-21,32819,33132,32350,32394,45050,83100.0,10000000.0
2007-02-22,32468,34300,32468,34110,117035,87500.0,10000000.0
2007-02-23,34301,34301,33407,33720,43503,86500.0,10000000.0
2007-02-26,33486,33525,32353,33174,76100,85100.0,10000000.0
2007-02-27,33174,33799,32510,33096,29510,84900.0,10000000.0
2007-02-28,31883,32352,31497,31693,52170,81300.0,10000000.0
2007-03-02,31692,31961,31419,31771,64920,81500.0,10000000.0
2007-03-05,31770,32156,31575,31771,18830,81500.0,10000000.0
2007-03-06,31921,32390,31613,32160,32030,82500.0,10000000.0
2007-03-07,31960,32741,31960,32355,36480,83000.0,10000000.0
2007-03-08,32116,32702,32116,32589,12170,83600.0,10000000.0
2007-03-09,32195,32586,31809,31966,45700,82000.0,10000000.0
2007-03-12,31961,32156,31653,31966,26010,82000.0,10000000.0
2007-03-13,32352,32352,31844,31849,22290,81700.0,10000000.0
2007-03-14,31419,31845,30794,31381,46891,80500.0,10000000.0
2007-03-15,31380,31771,31185,31381,38259,80500.0,10000000.0
2007-03-16,31301,32000,31184,31771,23610,81500.0,10000000.0
2007-03-19,31807,32897,31807,32589,52160,83600.0,10000000.0
2007-03-20,32937,32937,31652,32005,61430,82100.0,10000000.0
2007-03-21,32586,32586,31692,31693,30270,81300.0,10000000.0
2007-03-22,32039,32352,31731,31771,57060,81500.0,10000000.0
2007-03-23,31844,34301,31844,33642,329821,86300.0,10000000.0
2007-03-26,33869,34690,33522,34655,215730,88900.0,10000000.0
2007-03-27,35975,37030,34300,34305,497162,88000.0,10000000.0
2007-03-28,34222,35081,33523,34305,150348,88000.0,10000000.0
2007-03-29,33833,36017,33833,35279,228580,90500.0,10000000.0
2007-03-30,35746,36992,35746,35825,202008,91900.0,10000000.0
2007-04-02,35858,36717,31960,34344,221919,88100.0,10000000.0
2007-04-03,34692,35396,34341,35396,84367,90800.0,10000000.0
2007-04-04,36405,38002,35858,36254,299976,93000.0,10000000.0
2007-04-05,36444,36952,35589,36293,96840,93100.0,10000000.0
2007-04-06,36328,36797,35356,35591,90240,91300.0,10000000.0
2007-04-09,35592,35978,34889,34889,74216,89500.0,10000000.0
2007-04-10,34885,34924,34455,34655,77734,88900.0,10000000.0
2007-04-11,34654,38826,34654,38826,216020,99600.0,10000000.0
2007-04-12,38392,40341,37459,38593,229446,99000.0,10000000.0
2007-04-13,40736,41712,38904,38982,279726,100000.0,10000000.0
2007-04-16,39762,42488,38394,41711,367778,107000.0,10000000.0
2007-04-17,41319,41709,39760,40347,160683,103500.0,10000000.0
2007-04-18,39953,41125,38980,39762,135365,102000.0,10000000.0
2007-04-19,40734,41125,38668,39762,206172,102000.0,10000000.0
2007-04-20,39762,40539,39176,39762,180570,102000.0,10000000.0
2007-04-23,41319,41514,39761,40152,338514,103000.0,10000000.0
2007-04-24,40344,44438,40149,43270,746193,111000.0,10000000.0
2007-04-25,43850,44045,41515,42101,434314,108000.0,10000000.0
2007-04-26,43464,44827,42878,43855,432214,112500.0,10000000.0
2007-04-27,43850,44045,42292,44050,205005,113000.0,10000000.0
2007-04-30,44827,45608,43659,44050,281426,113000.0,10000000.0
2007-05-02,44242,44438,42684,43270,220962,111000.0,10000000.0
2007-05-03,43661,43852,42684,43270,123905,111000.0,10000000.0
2007-05-04,43466,44634,42685,42881,190200,110000.0,10000000.0
2007-05-07,43852,44828,42879,43270,180796,111000.0,10000000.0
2007-05-08,43658,45607,42486,44635,372960,114500.0,10000000.0
2007-05-09,45022,45413,43464,44050,308213,113000.0,10000000.0
2007-05-10,44044,44044,42290,42686,238364,109500.0,10000000.0
2007-05-11,42099,43466,39954,42881,131743,110000.0,10000000.0
2007-05-14,43661,44438,42880,43076,197676,110500.0,10000000.0
2007-05-15,43660,44047,42879,43465,96991,111500.0,10000000.0
2007-05-16,43661,46191,43465,45220,307226,116000.0,10000000.0
2007-05-17,45219,47168,44828,45415,341651,116500.0,10000000.0
2007-05-18,45414,45609,44046,45609,94037,117000.0,10000000.0
2007-05-21,45021,47166,44826,46389,216621,119000.0,10000000.0
2007-05-22,47361,47557,45608,46194,163187,118500.0,10000000.0
2007-05-23,46581,47167,45414,45609,104080,117000.0,10000000.0
2007-05-25,45413,45995,45022,45804,77953,117500.0,10000000.0
2007-05-28,46581,46581,45414,45609,138636,117000.0,10000000.0
2007-05-29,45996,45996,44828,45415,154026,116500.0,10000000.0
2007-05-30,45799,50283,45218,47948,295771,123000.0,10000000.0
2007-05-31,48335,48921,46581,47559,137981,122000.0,10000000.0
2007-06-01,47363,47944,45609,45609,141130,117000.0,10000000.0
2007-06-04,45801,47750,45610,47169,147268,121000.0,10000000.0
2007-06-05,47557,48725,46581,47948,107725,123000.0,10000000.0
2007-06-07,47557,47944,46385,47948,99190,123000.0,10000000.0
2007-06-08,47169,48336,46583,46974,70018,120500.0,10000000.0
