세원셀론텍(091090),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-07-31,3151,3624,3142,3624,1294865,132024.0,34070766.0
2006-08-01,3843,4115,3212,3227,3632592,117544.0,34070766.0
2006-08-02,3343,3366,3006,3049,844590,111071.0,34070766.0
2006-08-03,3090,3118,2829,2862,681813,104257.0,34070766.0
2006-08-04,2843,3123,2843,2937,1333925,106982.0,34070766.0
2006-08-07,2959,3016,2847,2848,478253,103745.0,34070766.0
2006-08-08,2815,2847,2726,2726,543210,99316.0,34070766.0
2006-08-09,2721,2833,2684,2754,503378,100338.0,34070766.0
2006-08-10,2758,2763,2562,2647,511845,96420.0,34070766.0
2006-08-11,2665,2665,2571,2591,312982,94376.0,34070766.0
2006-08-14,2604,2730,2581,2637,529154,96080.0,34070766.0
2006-08-16,2679,2721,2585,2637,419057,96080.0,34070766.0
2006-08-17,2656,2684,2595,2595,301419,94546.0,34070766.0
2006-08-18,2618,2768,2618,2736,708624,99657.0,34070766.0
2006-08-21,2889,2936,2698,2740,669382,99827.0,34070766.0
2006-08-22,2744,2824,2674,2750,718077,100168.0,34070766.0
2006-08-23,2805,2908,2740,2787,864736,101531.0,34070766.0
2006-08-24,2819,2843,2758,2768,282302,100849.0,34070766.0
2006-08-25,2768,2805,2754,2759,266482,100509.0,34070766.0
2006-08-28,2758,2786,2665,2675,299918,97442.0,34070766.0
2006-08-29,2674,2726,2656,2684,339278,97783.0,34070766.0
2006-08-30,2730,2758,2642,2684,236124,97783.0,34070766.0
2006-08-31,2712,2805,2712,2796,539961,101872.0,34070766.0
2006-09-01,2843,3165,2805,3039,1031503,110730.0,34070766.0
2006-09-04,3128,3226,3020,3077,928162,112093.0,34070766.0
2006-09-05,3086,3235,3011,3236,868722,117885.0,34070766.0
2006-09-06,3235,3235,3095,3096,614731,112774.0,34070766.0
2006-09-07,3076,3221,3002,3002,1208994,109367.0,34070766.0
2006-09-08,2983,3114,2955,3039,479144,110730.0,34070766.0
2006-09-11,3039,3133,2945,2946,522399,107323.0,34070766.0
2006-09-12,2945,2955,2857,2885,336670,105108.0,34070766.0
2006-09-13,2945,2974,2857,2862,356447,104257.0,34070766.0
2006-09-14,2861,2936,2829,2899,454891,105619.0,34070766.0
2006-09-15,2974,3128,2964,3044,911327,110900.0,34070766.0
2006-09-18,3048,3048,2959,2979,593347,108515.0,34070766.0
2006-09-19,3002,3053,2969,3011,442189,109708.0,34070766.0
2006-09-20,3020,3067,2974,3039,568601,110730.0,34070766.0
2006-09-21,3081,3184,3058,3114,864235,113456.0,34070766.0
2006-09-22,3095,3095,3006,3011,401140,109708.0,34070766.0
2006-09-25,2988,3114,2983,3082,381149,112263.0,34070766.0
2006-09-26,3081,3151,2955,2965,529099,108004.0,34070766.0
2006-09-27,2992,3020,2843,2843,353626,103575.0,34070766.0
2006-09-28,2838,2899,2730,2801,654896,102042.0,34070766.0
2006-09-29,2838,2871,2763,2871,270132,104597.0,34070766.0
2006-10-02,2852,2908,2833,2852,246367,103916.0,34070766.0
2006-10-04,2824,2843,2702,2722,314122,99146.0,34070766.0
2006-10-09,2712,2721,2314,2315,903890,84325.0,34070766.0
2006-10-10,2310,2417,2267,2394,361506,87221.0,34070766.0
2006-10-11,2295,2417,2281,2394,366098,87221.0,34070766.0
2006-10-12,2394,2520,2370,2478,297859,90288.0,34070766.0
2006-10-13,2567,2567,2473,2492,225371,90799.0,34070766.0
2006-10-16,2501,2721,2492,2675,428612,97442.0,34070766.0
2006-10-17,2707,2768,2585,2698,588323,98294.0,34070766.0
2006-10-18,2698,2749,2609,2750,355233,100168.0,34070766.0
2006-10-19,2758,3104,2712,2824,2547970,102894.0,34070766.0
2006-10-20,2796,3245,2796,3245,3428233,118226.0,34070766.0
2006-10-23,3404,3595,3128,3203,3794007,116692.0,34070766.0
2006-10-24,3235,3306,3142,3250,1332353,118396.0,34070766.0
2006-10-25,3249,3422,3184,3339,2075691,121633.0,34070766.0
2006-10-26,3366,3553,3320,3367,1735043,122655.0,34070766.0
2006-10-27,3413,3413,3184,3213,848616,117033.0,34070766.0
2006-10-30,3170,3179,2945,2946,643966,107323.0,34070766.0
2006-10-31,2945,3320,2945,3259,1597093,118737.0,34070766.0
2006-11-01,3366,3418,3235,3259,684499,118737.0,34070766.0
2006-11-02,3357,3362,3263,3306,500059,120440.0,34070766.0
2006-11-03,3273,3329,3198,3208,389271,116863.0,34070766.0
2006-11-06,3207,3268,3109,3269,373437,119077.0,34070766.0
2006-11-07,3301,3694,3292,3516,3020847,128106.0,34070766.0
