기신정기(092440),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-10-30,7400,7750,6300,6300,1018123,183960.0,14600000.0
2007-10-31,5375,5375,5375,5375,126324,156950.0,14600000.0
2007-11-01,5025,5850,5000,5100,1558443,148920.0,14600000.0
2007-11-02,5100,5450,5050,5175,434011,151110.0,14600000.0
2007-11-05,5300,5500,5250,5350,313528,156220.0,14600000.0
2007-11-06,5300,5350,5000,5000,261494,146000.0,14600000.0
2007-11-07,5000,5025,4315,4350,424315,127020.0,14600000.0
2007-11-08,4325,4340,3910,4050,224082,118260.0,14600000.0
2007-11-09,4185,4480,4050,4120,156951,120304.0,14600000.0
2007-11-12,4075,4175,3770,3780,155270,110376.0,14600000.0
2007-11-13,3675,4080,3650,3850,187092,112420.0,14600000.0
2007-11-14,4075,4075,3870,3875,75424,113150.0,14600000.0
2007-11-15,3885,3950,3680,3705,82699,108186.0,14600000.0
2007-11-16,3705,3895,3600,3840,90739,112128.0,14600000.0
2007-11-19,3900,3900,3780,3795,57886,110814.0,14600000.0
2007-11-20,3745,3750,3595,3655,96322,106726.0,14600000.0
2007-11-21,3745,3835,3600,3600,67757,105120.0,14600000.0
2007-11-22,3550,3650,3545,3600,55775,105120.0,14600000.0
2007-11-23,3600,3655,3200,3415,125050,99718.0,14600000.0
2007-11-26,3455,3460,3355,3440,42869,100448.0,14600000.0
2007-11-27,3375,3400,3250,3310,75163,96652.0,14600000.0
2007-11-28,3385,3410,3250,3325,34657,97090.0,14600000.0
2007-11-29,3465,3465,3310,3345,22243,97674.0,14600000.0
2007-11-30,3385,3615,3385,3490,199193,101908.0,14600000.0
2007-12-03,3465,3500,3345,3400,150227,99280.0,14600000.0
2007-12-04,3430,3700,3375,3550,190513,103660.0,14600000.0
2007-12-05,3550,3910,3520,3850,178834,112420.0,14600000.0
2007-12-06,3950,3950,3645,3650,191694,106580.0,14600000.0
2007-12-07,3705,3815,3525,3540,172331,103368.0,14600000.0
2007-12-10,3590,3640,3510,3535,50089,103222.0,14600000.0
2007-12-11,3535,3620,3450,3550,74272,103660.0,14600000.0
2007-12-12,3475,3575,3380,3515,43568,102638.0,14600000.0
2007-12-13,3545,3605,3470,3560,32200,103952.0,14600000.0
2007-12-14,3565,3620,3480,3540,31298,103368.0,14600000.0
2007-12-17,3580,3580,3325,3340,76050,97528.0,14600000.0
2007-12-18,3340,3345,3245,3300,53957,96360.0,14600000.0
2007-12-20,3310,3355,3245,3300,28180,96360.0,14600000.0
2007-12-21,3265,3300,3150,3160,56309,92272.0,14600000.0
2007-12-24,3160,3200,3050,3150,75582,91980.0,14600000.0
2007-12-26,3150,3150,3100,3145,26531,91834.0,14600000.0
2007-12-27,3160,3160,3095,3150,25725,91980.0,14600000.0
2007-12-28,3125,3180,3105,3170,22233,92564.0,14600000.0
2008-01-02,3170,3300,3150,3250,37634,94900.0,14600000.0
2008-01-03,3175,3315,3150,3315,24608,96798.0,14600000.0
