이아이디(093230),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-11-01,6280,6700,5340,5340,1635736,127933.0,9583000.0
2007-11-02,5160,5920,5100,5300,620896,126975.0,9583000.0
2007-11-05,5560,5860,5320,5620,250350,134641.0,9583000.0
2007-11-06,5580,5840,5500,5560,184333,133204.0,9583000.0
2007-11-07,5600,5620,5260,5320,142086,127454.0,9583000.0
2007-11-08,5180,5280,4760,4880,136234,116913.0,9583000.0
2007-11-09,5080,5080,4200,4320,248681,103496.0,9583000.0
2007-11-12,4320,4340,3960,4080,161421,97747.0,9583000.0
2007-11-13,4320,4680,4320,4680,233232,112121.0,9583000.0
2007-11-14,5000,5380,4820,5260,442796,126016.0,9583000.0
2007-11-15,5020,5160,4580,4580,122408,109725.0,9583000.0
2007-11-16,4560,5200,4260,5160,162348,123621.0,9583000.0
2007-11-19,5000,5320,4800,4900,98457,117392.0,9583000.0
2007-11-20,4720,5140,4560,4840,103099,115954.0,9583000.0
2007-11-21,4840,4940,4620,4620,43564,110684.0,9583000.0
2007-11-22,4480,4780,4440,4560,37254,109246.0,9583000.0
2007-11-23,4400,4560,3980,4160,119440,99663.0,9583000.0
2007-11-26,4200,4400,4200,4280,63942,102538.0,9583000.0
2007-11-27,4200,4200,4040,4120,68798,98705.0,9583000.0
2007-11-28,4220,4260,4120,4120,42868,98705.0,9583000.0
2007-11-29,4240,4480,4200,4380,55344,104934.0,9583000.0
2007-11-30,4500,4520,4320,4400,48246,105413.0,9583000.0
2007-12-03,4400,4480,4300,4360,33206,104455.0,9583000.0
2007-12-04,4440,4440,4200,4260,50750,102059.0,9583000.0
2007-12-05,4260,4320,4160,4260,31553,102059.0,9583000.0
2007-12-06,4340,4700,4300,4500,78490,107809.0,9583000.0
2007-12-07,4520,4580,4320,4340,35560,103976.0,9583000.0
2007-12-10,4280,4380,4200,4260,47840,102059.0,9583000.0
2007-12-11,4260,4320,4200,4320,27780,103496.0,9583000.0
2007-12-12,4240,4320,4200,4300,30890,103017.0,9583000.0
2007-12-13,4340,4340,4200,4260,23110,102059.0,9583000.0
2007-12-14,4280,4300,4180,4200,17466,100622.0,9583000.0
2007-12-17,4220,4220,4040,4120,41800,98705.0,9583000.0
2007-12-18,4000,4200,3980,4140,28562,99184.0,9583000.0
2007-12-20,4200,4240,4120,4200,25607,100622.0,9583000.0
2007-12-21,4200,4220,4080,4080,19620,97747.0,9583000.0
2007-12-24,4200,4200,4080,4140,23640,99184.0,9583000.0
2007-12-26,4240,4260,4100,4180,32914,100142.0,9583000.0
2007-12-27,4160,4160,4060,4100,22056,98226.0,9583000.0
2007-12-28,4100,4200,4040,4120,13691,98705.0,9583000.0
2008-01-02,4220,4400,4160,4280,32013,102538.0,9583000.0
2008-01-03,4260,4260,4120,4240,17980,101580.0,9583000.0
2008-01-04,4260,4360,4200,4320,15980,103496.0,9583000.0
2008-01-07,4160,4260,4120,4160,22936,99663.0,9583000.0
2008-01-08,4240,4240,4100,4200,20469,100622.0,9583000.0
2008-01-09,4160,4180,4060,4120,19937,98705.0,9583000.0
2008-01-10,4140,4160,4040,4100,21770,98226.0,9583000.0
2008-01-11,4060,4140,4020,4100,27133,98226.0,9583000.0
2008-01-14,4040,4040,3980,4000,29368,95830.0,9583000.0
2008-01-15,4000,4000,3904,3904,25938,93530.0,9583000.0
2008-01-16,3844,3876,3652,3652,33733,87493.0,9583000.0
2008-01-17,3624,3772,3624,3772,19850,90368.0,9583000.0
2008-01-18,3684,3964,3680,3936,21750,94297.0,9583000.0
2008-01-21,3860,4040,3808,3936,22900,94297.0,9583000.0
2008-01-22,3880,4000,3720,3924,25260,94009.0,9583000.0
2008-01-23,3928,4080,3928,3960,17114,94872.0,9583000.0
2008-01-24,3880,4120,3880,4080,28690,97747.0,9583000.0
2008-01-25,4160,4480,4000,4300,74737,103017.0,9583000.0
2008-01-28,4200,4320,4160,4260,21031,102059.0,9583000.0
2008-01-29,4280,4360,4200,4260,14530,102059.0,9583000.0
2008-01-30,4280,4320,4000,4160,87229,99663.0,9583000.0
2008-01-31,4780,4780,4780,4780,116980,114517.0,9583000.0
2008-02-01,4780,4880,4440,4800,188494,114996.0,9583000.0
2008-02-04,4800,5040,4680,5000,145371,119788.0,9583000.0
2008-02-05,4960,5160,4880,4880,40755,116913.0,9583000.0
2008-02-11,4720,5020,4660,5020,63380,120267.0,9583000.0
2008-02-12,4960,5100,4940,4960,24820,118829.0,9583000.0
2008-02-13,5020,5300,4920,5300,123258,126975.0,9583000.0
2008-02-14,5360,5440,5280,5320,68960,127454.0,9583000.0
2008-02-15,5280,5360,5160,5300,36219,126975.0,9583000.0
2008-02-18,5360,5360,5160,5200,25627,124579.0,9583000.0
2008-02-19,5140,5280,5140,5260,37370,126016.0,9583000.0
2008-02-20,5160,5220,5080,5200,34201,124579.0,9583000.0
2008-02-21,5200,5200,5000,5040,19904,120746.0,9583000.0
2008-02-22,4920,5140,4920,5000,16935,119788.0,9583000.0
2008-02-25,5160,5160,4960,5080,24807,121704.0,9583000.0
2008-02-26,5120,5220,5020,5160,19440,123621.0,9583000.0
2008-02-27,5080,5460,5080,5300,65177,126975.0,9583000.0
2008-02-28,5360,5360,5180,5260,36432,126016.0,9583000.0
2008-02-29,5260,5340,5060,5320,25076,127454.0,9583000.0
2008-03-03,5140,5200,5120,5120,11702,122662.0,9583000.0
2008-03-04,5180,5240,4900,5220,33126,125058.0,9583000.0
2008-03-05,5200,5260,5040,5260,48780,126016.0,9583000.0
2008-03-06,5320,5440,5260,5440,43058,130329.0,9583000.0
2008-03-07,5440,5900,5360,5480,40495,131287.0,9583000.0
2008-03-10,5480,5480,5220,5220,8403,125058.0,9583000.0
2008-03-11,5140,5240,5000,5240,9650,125537.0,9583000.0
2008-03-12,5300,5420,5200,5260,13149,126016.0,9583000.0
2008-03-13,5280,5460,5120,5120,9260,122662.0,9583000.0
2008-03-14,5320,5320,4820,4820,11735,115475.0,9583000.0
2008-03-17,4840,4840,4480,4800,28650,114996.0,9583000.0
2008-03-18,4660,5000,4660,4980,15541,119308.0,9583000.0
2008-03-19,5120,5180,4840,4840,8800,115954.0,9583000.0
2008-03-20,4800,4900,4800,4900,12990,117392.0,9583000.0
2008-03-21,5080,5080,4900,4980,12535,119308.0,9583000.0
2008-03-24,4960,5060,4820,4920,17918,117871.0,9583000.0
2008-03-25,4880,4940,4840,4840,6951,115954.0,9583000.0
2008-03-26,4840,4940,4760,4900,15731,117392.0,9583000.0
2008-03-27,5000,5100,4860,5080,16620,121704.0,9583000.0
2008-03-28,5140,5140,4940,5100,16444,122183.0,9583000.0
2008-03-31,5100,5220,5040,5220,26825,125058.0,9583000.0
2008-04-01,5220,5280,5120,5240,16812,125537.0,9583000.0
2008-04-02,5240,5360,5160,5280,26410,126496.0,9583000.0
2008-04-03,5280,5280,5160,5240,13765,125537.0,9583000.0
2008-04-04,5120,5200,5040,5200,10820,124579.0,9583000.0
2008-04-07,5160,5220,5080,5180,8940,124100.0,9583000.0
2008-04-08,5080,5120,5040,5040,4868,120746.0,9583000.0
2008-04-10,4940,5080,4820,5080,15120,121704.0,9583000.0
2008-04-11,5000,5180,4980,5160,4238,123621.0,9583000.0
2008-04-14,5160,5160,5040,5120,8190,122662.0,9583000.0
2008-04-15,5160,5160,4980,5100,16920,122183.0,9583000.0
2008-04-16,5100,5120,5040,5080,14780,121704.0,9583000.0
2008-04-17,5120,5120,5040,5120,8504,122662.0,9583000.0
2008-04-18,5000,5120,5000,5120,11457,122662.0,9583000.0
2008-04-21,5200,5240,5080,5180,17460,124100.0,9583000.0
2008-04-22,5120,5240,5120,5200,22084,124579.0,9583000.0
2008-04-23,5260,5280,5080,5260,19900,126016.0,9583000.0
2008-04-24,5320,5320,5240,5280,13660,126496.0,9583000.0
2008-04-25,5280,5520,5180,5400,39015,129370.0,9583000.0
2008-04-28,5420,5480,5260,5340,19062,127933.0,9583000.0
2008-04-29,5340,5520,5260,5280,27949,126496.0,9583000.0
2008-04-30,5220,5440,5220,5440,18260,130329.0,9583000.0
2008-05-02,5500,5560,5360,5540,42730,132725.0,9583000.0
2008-05-06,5520,5660,5420,5620,47320,134641.0,9583000.0
2008-05-07,5640,5720,5280,5640,66555,135120.0,9583000.0
2008-05-08,5480,6000,5440,6000,92339,143745.0,9583000.0
2008-05-09,6060,6140,5880,6140,36421,147099.0,9583000.0
2008-05-13,6140,6280,5960,6280,45669,150453.0,9583000.0
2008-05-14,6260,6300,6060,6300,34350,150932.0,9583000.0
2008-05-15,6140,6300,6080,6120,37380,146620.0,9583000.0
2008-05-16,6180,6180,5700,6100,72550,146141.0,9583000.0
2008-05-19,5980,6060,5820,5920,17870,141828.0,9583000.0
2008-05-20,5920,5920,5760,5860,20010,140391.0,9583000.0
2008-05-21,5720,5940,5720,5760,19990,137995.0,9583000.0
2008-05-22,5620,5720,5480,5720,23200,137037.0,9583000.0
2008-05-23,5680,5720,5580,5660,8471,135599.0,9583000.0
2008-05-26,5520,5720,5440,5600,22372,134162.0,9583000.0
2008-05-27,5600,5640,5460,5480,11966,131287.0,9583000.0
2008-05-28,5480,5620,5200,5460,39230,130808.0,9583000.0
2008-05-29,5400,5440,5340,5360,8951,128412.0,9583000.0
2008-05-30,5360,5860,5360,5560,27969,133204.0,9583000.0
