형지엘리트(093240),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-09-28,5093,5167,4332,4333,1808336,37360.0,8000000.0
2009-09-29,3771,3850,3683,3683,1017427,31760.0,8000000.0
2009-09-30,3423,3520,3135,3164,2250373,27280.0,8000000.0
2009-10-01,3209,3307,3089,3094,822776,26680.0,8000000.0
2009-10-05,3015,3131,2996,3034,340172,26160.0,8000000.0
2009-10-06,3070,3172,2959,2969,386689,25600.0,8000000.0
2009-10-07,3038,3312,2996,3062,1611522,26400.0,8000000.0
2009-10-08,3019,3205,2783,2927,359152,25240.0,8000000.0
2009-10-09,2964,2964,2857,2927,286671,25240.0,8000000.0
2009-10-12,2936,3056,2931,3011,205994,25960.0,8000000.0
2009-10-13,3015,3015,2792,2932,195929,25280.0,8000000.0
2009-10-14,2931,2950,2857,2871,117855,24760.0,8000000.0
2009-10-15,2871,2936,2834,2857,166481,24640.0,8000000.0
2009-10-16,2875,2875,2811,2811,111171,24240.0,8000000.0
2009-10-19,2792,2866,2773,2825,86220,24360.0,8000000.0
2009-10-20,2829,3010,2820,2913,182943,25120.0,8000000.0
2009-10-21,2940,2959,2838,2853,102854,24600.0,8000000.0
2009-10-22,2885,2885,2815,2830,47930,24400.0,8000000.0
2009-10-23,2848,2899,2801,2839,107770,24480.0,8000000.0
2009-10-26,2820,2857,2801,2802,73515,24160.0,8000000.0
2009-10-27,2797,2824,2732,2755,93170,23760.0,8000000.0
2009-10-28,2755,2778,2639,2649,91736,22840.0,8000000.0
2009-10-29,2606,2671,2537,2644,69490,22800.0,8000000.0
2009-10-30,2644,2727,2620,2653,69847,22880.0,8000000.0
2009-11-02,2560,2634,2555,2561,73120,22080.0,8000000.0
2009-11-03,2560,2625,2467,2482,82013,21400.0,8000000.0
2009-11-04,2514,2569,2477,2565,53010,22120.0,8000000.0
2009-11-05,2588,2588,2477,2500,20454,21560.0,8000000.0
2009-11-06,2514,2574,2486,2533,41095,21840.0,8000000.0
2009-11-09,2537,2579,2532,2561,33459,22080.0,8000000.0
2009-11-10,2588,2597,2486,2491,43665,21480.0,8000000.0
2009-11-11,2518,2602,2467,2510,152530,21640.0,8000000.0
2009-11-12,2551,2588,2509,2537,57350,21880.0,8000000.0
2009-11-13,2551,2579,2514,2523,70970,21760.0,8000000.0
2009-11-16,2565,2662,2518,2630,106641,22680.0,8000000.0
2009-11-17,2708,2801,2653,2695,144837,23240.0,8000000.0
2009-11-18,2662,2727,2634,2653,175452,22880.0,8000000.0
2009-11-19,2708,2722,2634,2700,69962,23280.0,8000000.0
2009-11-20,2676,2769,2644,2751,100024,23720.0,8000000.0
2009-11-23,2801,2811,2708,2709,68661,23360.0,8000000.0
2009-11-24,2741,2741,2662,2723,67745,23480.0,8000000.0
2009-11-25,2736,2736,2681,2681,57230,23120.0,8000000.0
2009-11-26,2699,2704,2648,2653,48879,22880.0,8000000.0
2009-11-27,2648,2699,2328,2537,98271,21880.0,8000000.0
2009-11-30,2569,2690,2569,2672,43935,23040.0,8000000.0
2009-12-01,2699,2727,2634,2677,31626,23080.0,8000000.0
2009-12-02,2644,2708,2644,2704,51691,23320.0,8000000.0
2009-12-03,2708,2708,2644,2690,56023,23200.0,8000000.0
2009-12-04,2690,2792,2662,2792,95907,24080.0,8000000.0
2009-12-07,2829,3209,2792,3210,950293,27680.0,8000000.0
2009-12-08,3395,3673,3214,3590,1895387,30960.0,8000000.0
2009-12-09,3525,3543,3390,3502,479752,30200.0,8000000.0
2009-12-10,3534,3627,3386,3386,510259,29200.0,8000000.0
2009-12-11,3349,3381,3172,3242,554853,27960.0,8000000.0
2009-12-14,3265,3353,3200,3354,468565,28920.0,8000000.0
2009-12-15,3321,3321,3209,3210,245392,27680.0,8000000.0
2009-12-16,3265,3265,3103,3196,227977,27560.0,8000000.0
2009-12-17,3237,3237,3121,3126,106489,26960.0,8000000.0
2009-12-18,3098,3135,3042,3085,128148,26600.0,8000000.0
2009-12-21,3098,3219,3089,3164,261068,27280.0,8000000.0
2009-12-22,3126,3140,2982,2983,212178,25720.0,8000000.0
2009-12-23,2987,2987,2811,2811,182344,24240.0,8000000.0
2009-12-24,2815,2913,2801,2862,64020,24680.0,8000000.0
2009-12-28,2797,2903,2718,2760,134583,23800.0,8000000.0
2009-12-29,2792,2848,2760,2792,39608,24080.0,8000000.0
2009-12-30,2792,2815,2727,2816,53630,24280.0,8000000.0
2010-01-04,2783,2820,2760,2802,69716,24160.0,8000000.0
2010-01-05,2829,2968,2778,2908,133989,25080.0,8000000.0
2010-01-06,2964,2982,2903,2922,57661,25200.0,8000000.0
2010-01-07,2959,2959,2862,2895,55692,24960.0,8000000.0
2010-01-08,2866,2936,2866,2927,43300,25240.0,8000000.0
2010-01-11,2968,3056,2917,3057,100587,26360.0,8000000.0
2010-01-12,3010,3084,2978,3043,85205,26240.0,8000000.0
2010-01-13,3075,3075,2885,2890,122801,24920.0,8000000.0
2010-01-14,2880,2959,2866,2918,61716,25160.0,8000000.0
2010-01-15,2945,2945,2889,2941,53283,25360.0,8000000.0
2010-01-18,2931,3061,2931,3015,65660,26000.0,8000000.0
2010-01-19,3015,3024,2968,3024,83150,26080.0,8000000.0
2010-01-20,3038,3038,2968,2987,80474,25760.0,8000000.0
2010-01-21,2950,3001,2936,2969,51712,25600.0,8000000.0
2010-01-22,2959,2982,2866,2908,76560,25080.0,8000000.0
2010-01-25,2885,2964,2857,2913,61031,25120.0,8000000.0
2010-01-26,2931,2931,2815,2820,59020,24320.0,8000000.0
2010-01-27,2801,2875,2750,2806,67527,24200.0,8000000.0
2010-01-28,2806,2866,2746,2867,60220,24720.0,8000000.0
2010-01-29,2866,2987,2838,2904,161942,25040.0,8000000.0
2010-02-01,2931,2931,2806,2848,44120,24560.0,8000000.0
2010-02-02,2838,2917,2783,2857,41113,24640.0,8000000.0
2010-02-03,2820,2894,2820,2839,31372,24480.0,8000000.0
2010-02-04,2829,2866,2829,2848,28020,24560.0,8000000.0
2010-02-05,2783,2811,2708,2806,43940,24200.0,8000000.0
2010-02-08,2741,2792,2708,2746,38440,23680.0,8000000.0
2010-02-09,2718,2718,2644,2718,24595,23440.0,8000000.0
2010-02-10,2722,2829,2653,2820,47740,24320.0,8000000.0
2010-02-11,2736,2820,2690,2718,44682,23440.0,8000000.0
2010-02-12,2718,2811,2718,2792,20240,24080.0,8000000.0
2010-02-16,2811,2866,2760,2792,14382,24080.0,8000000.0
2010-02-17,2755,2787,2685,2714,45230,23400.0,8000000.0
2010-02-18,2746,2746,2685,2718,14840,23440.0,8000000.0
2010-02-19,2718,2727,2611,2653,27275,22880.0,8000000.0
2010-02-22,2634,2750,2634,2690,32413,23200.0,8000000.0
2010-02-23,2667,2732,2662,2690,31570,23200.0,8000000.0
2010-02-24,2690,2736,2644,2672,34770,23040.0,8000000.0
2010-02-25,2671,2755,2630,2644,16547,22800.0,8000000.0
2010-02-26,2630,2662,2569,2593,23573,22360.0,8000000.0
2010-03-02,2593,2593,2514,2514,59562,21680.0,8000000.0
2010-03-03,2504,2569,2458,2547,30770,21960.0,8000000.0
2010-03-04,2514,2560,2495,2505,28240,21600.0,8000000.0
2010-03-05,2537,2542,2504,2542,42180,21920.0,8000000.0
2010-03-08,2528,2755,2518,2677,47105,23080.0,8000000.0
2010-03-09,2671,2718,2579,2626,48035,22640.0,8000000.0
2010-03-10,2588,2671,2546,2593,44307,22360.0,8000000.0
2010-03-11,2555,2611,2551,2561,46098,22080.0,8000000.0
2010-03-12,2555,2588,2555,2565,26650,22120.0,8000000.0
2010-03-15,2565,2597,2537,2565,39340,22120.0,8000000.0
2010-03-16,2551,2593,2551,2584,19590,22280.0,8000000.0
2010-03-17,2593,2760,2593,2649,68970,22840.0,8000000.0
2010-03-18,2648,2671,2620,2667,29850,23000.0,8000000.0
2010-03-19,2644,2685,2634,2672,37930,23040.0,8000000.0
2010-03-22,2671,2690,2620,2667,27700,23000.0,8000000.0
2010-03-23,2690,2690,2630,2649,32889,22840.0,8000000.0
2010-03-24,2620,2671,2620,2653,55130,22880.0,8000000.0
2010-03-25,2653,2695,2648,2672,21120,23040.0,8000000.0
2010-03-26,2676,2764,2676,2686,59930,23160.0,8000000.0
2010-03-29,2690,2708,2662,2663,30440,22960.0,8000000.0
2010-03-30,2667,2667,2569,2598,63980,22400.0,8000000.0
2010-03-31,2639,2639,2579,2612,49710,22520.0,8000000.0
2010-04-01,2574,2671,2542,2588,68312,22320.0,8000000.0
2010-04-02,2606,2606,2537,2584,43030,22280.0,8000000.0
2010-04-05,2606,2606,2495,2542,33370,21920.0,8000000.0
2010-04-06,2490,2514,2444,2472,51260,21320.0,8000000.0
2010-04-07,2458,2523,2449,2472,40202,21320.0,8000000.0
2010-04-08,2472,2588,2458,2579,75682,22240.0,8000000.0
2010-04-09,2560,2579,2528,2565,15960,22120.0,8000000.0
2010-04-12,2560,2583,2542,2551,34508,22000.0,8000000.0
2010-04-13,2555,2579,2546,2551,8050,22000.0,8000000.0
2010-04-14,2546,2602,2523,2598,48040,22400.0,8000000.0
2010-04-15,2597,2648,2588,2626,30067,22640.0,8000000.0
2010-04-16,2625,2634,2560,2626,44590,22640.0,8000000.0
2010-04-19,2625,2662,2602,2649,101063,22840.0,8000000.0
2010-04-20,2778,2857,2634,2681,328430,23120.0,8000000.0
2010-04-21,2695,2736,2611,2653,79771,22880.0,8000000.0
2010-04-22,2648,2653,2616,2626,32310,22640.0,8000000.0
2010-04-23,2625,2648,2602,2616,24790,22560.0,8000000.0
2010-04-26,2657,2657,2616,2621,27682,22600.0,8000000.0
2010-04-27,2644,2644,2606,2607,38765,22480.0,8000000.0
2010-04-28,2602,2671,2565,2626,35250,22640.0,8000000.0
2010-04-29,2639,2657,2616,2639,49030,22760.0,8000000.0
2010-04-30,2639,2662,2620,2626,36010,22640.0,8000000.0
2010-05-03,2606,2653,2588,2626,26700,22640.0,8000000.0
2010-05-04,2644,2644,2597,2626,33830,22640.0,8000000.0
2010-05-06,2555,2634,2555,2598,13570,22400.0,8000000.0
2010-05-07,2523,2588,2477,2579,20520,22240.0,8000000.0
2010-05-10,2616,2616,2532,2598,6460,22400.0,8000000.0
2010-05-11,2597,2653,2569,2598,43550,22400.0,8000000.0
2010-05-12,2606,2606,2532,2551,39131,22000.0,8000000.0
