한진중공업(097230),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-08-31,769272,809652,715106,739005,2399846,3810655.0,47337324.0
2007-09-03,739910,812439,739910,807861,1233460,4165685.0,47337324.0
2007-09-04,821624,834472,797750,818873,785503,4222489.0,47337324.0
2007-09-05,821618,860166,819761,843660,689449,4350300.0,47337324.0
2007-09-06,849148,856479,820677,840003,447468,4331365.0,47337324.0
2007-09-07,839952,844537,803243,823464,447962,4246158.0,47337324.0
2007-09-10,803248,803248,768372,774814,520479,3995270.0,47337324.0
2007-09-11,775699,781204,752745,765641,426594,3947933.0,47337324.0
2007-09-12,762854,765600,712354,716056,652251,3692311.0,47337324.0
2007-09-13,711454,745399,694015,745435,684337,3843791.0,47337324.0
2007-09-14,752745,763760,746327,758286,348125,3910063.0,47337324.0
2007-09-17,761940,761940,723386,734413,522066,3786986.0,47337324.0
2007-09-18,726131,726131,699517,705034,676005,3635506.0,47337324.0
2007-09-19,725208,747261,711441,747274,799898,3853258.0,47337324.0
2007-09-20,748188,771118,744492,769298,696667,3966868.0,47337324.0
2007-09-21,764696,772947,751837,772965,585332,3985803.0,47337324.0
2007-09-27,776625,780303,743582,754609,533723,3891128.0,47337324.0
2007-09-28,759178,764695,736224,748188,376781,3857992.0,47337324.0
2007-10-01,744484,754580,733470,739005,414302,3810655.0,47337324.0
2007-10-02,757349,802338,757349,789504,1009196,4071010.0,47337324.0
2007-10-04,793155,817936,780296,806946,462078,4160951.0,47337324.0
2007-10-05,807836,836295,795902,804183,438113,4146750.0,47337324.0
2007-10-08,812430,832627,800478,822550,395019,4241424.0,47337324.0
2007-10-09,833534,869348,828029,849176,673335,4378702.0,47337324.0
2007-10-10,862919,864740,828031,848252,383503,4373969.0,47337324.0
2007-10-11,833531,859250,832624,858349,398129,4426040.0,47337324.0
2007-10-12,847301,885867,847301,876716,544397,4520714.0,47337324.0
2007-10-15,902400,908824,869356,908848,375582,4686395.0,47337324.0
2007-10-16,899644,959320,895059,936378,696973,4828407.0,47337324.0
2007-10-17,912505,927185,885879,916183,491968,4724265.0,47337324.0
2007-10-18,936373,977679,918004,945562,550960,4875744.0,47337324.0
2007-10-19,954707,963901,899634,899665,470931,4639058.0,47337324.0
2007-10-22,826187,858336,826187,853758,370942,4402371.0,47337324.0
2007-10-23,880354,890455,829866,881298,465541,4544383.0,47337324.0
2007-10-24,899624,927176,881273,886814,416015,4572785.0,47337324.0
2007-10-25,908824,917999,872108,908848,240643,4686395.0,47337324.0
2007-10-26,922606,931776,897800,918021,298393,4733732.0,47337324.0
2007-10-29,922609,931773,902401,927195,367916,4781070.0,47337324.0
2007-10-30,918003,918003,878542,893234,315775,4605922.0,47337324.0
2007-10-31,907891,911569,872095,906095,384383,4672194.0,47337324.0
2007-11-01,918003,936379,882213,898750,391368,4634324.0,47337324.0
2007-11-02,880339,897789,876686,897826,215149,4629590.0,47337324.0
2007-11-05,899626,900552,845467,867533,352822,4473377.0,47337324.0
2007-11-06,868431,883111,851906,878545,228863,4530182.0,47337324.0
2007-11-07,887703,891380,863829,863865,197771,4454442.0,47337324.0
2007-11-08,845482,850980,805996,826217,356892,4260359.0,47337324.0
2007-11-09,826190,831706,764687,775739,622301,4000004.0,47337324.0
2007-11-12,761935,767445,680224,716056,607319,3692311.0,47337324.0
2007-11-13,716027,744486,703192,730756,470745,3768051.0,47337324.0
2007-11-14,756432,775709,747262,771137,495022,3976335.0,47337324.0
2007-11-15,770197,781212,671973,693108,654758,3573968.0,47337324.0
2007-11-16,674732,682081,639856,676590,832295,3488761.0,47337324.0
2007-11-19,689403,705014,671971,683010,393832,3521897.0,47337324.0
2007-11-20,666454,687576,647178,683010,338103,3521897.0,47337324.0
2007-11-21,685738,696753,650850,660976,301554,3408287.0,47337324.0
2007-11-22,647174,669203,632482,647211,267502,3337281.0,47337324.0
2007-11-23,647180,659126,573744,618746,570905,3190536.0,47337324.0
2007-11-26,638003,674725,626082,667406,525776,3441423.0,47337324.0
2007-11-27,630654,692169,629747,688516,482541,3550299.0,47337324.0
2007-11-28,706854,708699,660951,660976,359051,3408287.0,47337324.0
2007-11-29,693086,693086,671964,674741,314192,3479293.0,47337324.0
2007-11-30,681161,721547,675644,707787,447474,3649708.0,47337324.0
2007-12-03,706848,708693,685738,685763,248373,3536098.0,47337324.0
2007-12-04,683921,696756,663725,677504,378017,3493495.0,47337324.0
2007-12-05,679310,688491,671047,688516,248254,3550299.0,47337324.0
2007-12-06,698588,700433,669210,672912,328847,3469826.0,47337324.0
2007-12-07,675636,677474,625136,625166,713843,3223672.0,47337324.0
2007-12-10,625137,626075,585676,592130,540689,3053257.0,47337324.0
2007-12-11,601274,614121,577400,588463,404345,3034322.0,47337324.0
2007-12-12,574669,582938,562742,569172,437115,2934914.0,47337324.0
2007-12-13,571003,594865,569158,585690,410333,3020121.0,47337324.0
2007-12-14,590262,598524,580155,591206,319334,3048524.0,47337324.0
2007-12-17,590259,597596,576487,581108,224304,2996453.0,47337324.0
2007-12-18,571909,595771,563635,592130,341067,3053257.0,47337324.0
2007-12-20,601282,606792,578327,586614,258138,3024855.0,47337324.0
2007-12-21,586602,592100,559976,586614,409956,3024855.0,47337324.0
2007-12-24,593024,609549,580165,608648,380377,3138465.0,47337324.0
2007-12-26,616894,622386,598536,598561,256723,3086394.0,47337324.0
2007-12-27,604041,616894,601282,614154,322612,3166867.0,47337324.0
2007-12-28,618736,635255,608629,632521,425432,3261542.0,47337324.0
2008-01-02,631566,631566,589353,589377,464411,3039056.0,47337324.0
2008-01-03,582922,610461,570988,609573,392141,3143198.0,47337324.0
2008-01-04,615059,634329,607715,632521,320106,3261542.0,47337324.0
2008-01-07,608631,654522,608631,646297,458508,3332548.0,47337324.0
2008-01-08,654522,654522,637090,646297,251318,3332548.0,47337324.0
2008-01-09,635249,651762,626079,651792,140214,3360950.0,47337324.0
2008-01-10,651760,669204,647175,653641,329581,3370417.0,47337324.0
2008-01-11,657278,665540,625136,625166,244109,3223672.0,47337324.0
2008-01-14,620557,621464,602187,609573,342378,3143198.0,47337324.0
2008-01-15,609546,618728,567302,572849,559952,2953849.0,47337324.0
2008-01-16,548962,560896,517739,518683,759310,2674559.0,47337324.0
2008-01-17,526920,539767,503034,515930,577354,2660358.0,47337324.0
2008-01-18,489281,525089,486535,525113,600974,2707695.0,47337324.0
2008-01-21,510398,514995,456233,475529,639559,2452073.0,47337324.0
2008-01-22,441548,456228,421352,436062,808499,2248523.0,47337324.0
2008-01-23,454395,469994,423644,436062,804606,2248523.0,47337324.0
2008-01-24,448879,471833,446126,468204,522347,2414204.0,47337324.0
2008-01-25,477365,494810,468183,494810,458321,2551482.0,47337324.0
2008-01-28,484694,492950,448880,451209,426922,2326629.0,47337324.0
2008-01-29,468161,470913,427762,435148,524866,2243789.0,47337324.0
2008-01-30,440628,440628,370852,372255,714096,1919528.0,47337324.0
2008-01-31,371767,396573,361672,379153,1220823,1955031.0,47337324.0
2008-02-01,394722,405736,391516,403940,540157,2082842.0,47337324.0
2008-02-04,413090,456229,408493,449370,614592,2317162.0,47337324.0
2008-02-05,435579,444773,425024,438815,357314,2262724.0,47337324.0
2008-02-11,413544,417682,405742,409904,331714,2113612.0,47337324.0
2008-02-12,415377,419515,406679,411265,590877,2120712.0,47337324.0
2008-02-13,419973,426862,400236,407598,450053,2101777.0,47337324.0
2008-02-14,418593,436038,415841,436062,380202,2248523.0,47337324.0
2008-02-15,425944,466337,424571,464517,599340,2395269.0,47337324.0
2008-02-18,472753,476424,452556,460849,422536,2376334.0,47337324.0
2008-02-19,467237,487440,458055,486551,463060,2508878.0,47337324.0
2008-02-20,481928,489277,466323,468204,396723,2414204.0,47337324.0
2008-02-21,477349,477349,453475,459935,347244,2371600.0,47337324.0
2008-02-22,447049,453479,442005,450752,214732,2324263.0,47337324.0
2008-02-25,458074,470007,457154,463602,411080,2390535.0,47337324.0
2008-02-26,472755,474600,458976,470947,337694,2428405.0,47337324.0
2008-02-27,476425,522328,476425,513177,858612,2646156.0,47337324.0
2008-02-28,516825,550782,506724,545309,849215,2811837.0,47337324.0
2008-02-29,537934,555378,537934,542556,521968,2797636.0,47337324.0
2008-03-03,519571,522323,509476,515930,312451,2660358.0,47337324.0
2008-03-04,519574,544367,513132,534297,584311,2755032.0,47337324.0
2008-03-05,537947,565486,537015,559988,652103,2887577.0,47337324.0
2008-03-06,568228,580174,553548,569172,578772,2934914.0,47337324.0
2008-03-07,555373,567295,548956,564580,298801,2911245.0,47337324.0
2008-03-10,547103,551712,487446,488390,620771,2518346.0,47337324.0
2008-03-11,471846,514060,460832,509499,486259,2627221.0,47337324.0
2008-03-12,537012,537012,520500,532458,607348,2745565.0,47337324.0
2008-03-13,524175,532438,493872,521436,249611,2688760.0,47337324.0
2008-03-14,532434,532434,473684,483798,292332,2494677.0,47337324.0
2008-03-17,471852,477363,441101,463602,400843,2390535.0,47337324.0
2008-03-18,463581,481939,453014,480131,427234,2475742.0,47337324.0
2008-03-19,512228,549869,502133,545309,1032221,2811837.0,47337324.0
2008-03-20,530591,544370,526006,544395,442224,2807103.0,47337324.0
2008-03-21,555378,559044,542531,542556,436121,2797636.0,47337324.0
2008-03-24,547104,559963,536102,542556,286893,2797636.0,47337324.0
2008-03-25,555387,558127,543441,554492,338082,2859174.0,47337324.0
2008-03-26,554461,568216,540688,546223,303529,2816571.0,47337324.0
2008-03-27,536106,557210,536106,550805,232925,2840239.0,47337324.0
2008-03-28,549872,574659,540690,574678,515212,2963316.0,47337324.0
2008-03-31,574658,580156,559047,573763,284806,2958583.0,47337324.0
2008-04-01,575582,577409,539780,539793,461586,2783435.0,47337324.0
2008-04-02,551710,552629,529668,533383,479987,2750299.0,47337324.0
2008-04-03,532422,554463,526004,551729,414428,2844973.0,47337324.0
2008-04-04,547116,567307,543445,559988,443886,2887577.0,47337324.0
2008-04-07,569148,582926,564563,579280,455099,2986985.0,47337324.0
2008-04-08,582929,594857,576499,587539,530045,3029589.0,47337324.0
2008-04-10,587495,591172,571908,588463,204735,3034322.0,47337324.0
2008-04-11,589368,589368,564574,569172,179347,2934914.0,47337324.0
2008-04-14,552629,558115,527835,533383,306809,2750299.0,47337324.0
2008-04-15,533355,537946,520501,537964,243866,2773967.0,47337324.0
2008-04-16,541612,545296,529684,538878,301223,2778701.0,47337324.0
2008-04-17,543435,547100,523226,533383,373183,2750299.0,47337324.0
2008-04-18,537017,537942,521417,523275,356030,2698227.0,47337324.0
2008-04-21,530600,550796,527854,548976,649814,2830772.0,47337324.0
2008-04-22,548017,567294,537934,563666,540290,2906512.0,47337324.0
2008-04-23,562736,601284,559978,596712,605048,3076926.0,47337324.0
2008-04-24,608628,610467,578324,578355,363325,2982251.0,47337324.0
2008-04-25,582014,592103,568229,578355,242072,2982251.0,47337324.0
2008-04-28,582925,582925,538855,545309,485073,2811837.0,47337324.0
2008-04-29,549862,549862,528753,537040,333247,2769233.0,47337324.0
2008-04-30,537011,537943,514069,527866,792039,2721896.0,47337324.0
2008-05-02,535203,547125,534272,541621,529075,2792902.0,47337324.0
2008-05-06,536096,545277,529666,537040,317742,2769233.0,47337324.0
2008-05-07,542535,548964,526004,534297,415426,2755032.0,47337324.0
2008-05-08,524174,527851,507655,514091,675347,2650890.0,47337324.0
2008-05-09,520495,531510,510400,513177,515635,2646156.0,47337324.0
2008-05-13,516820,517734,482839,496649,510878,2560949.0,47337324.0
2008-05-14,491114,496630,461754,471862,1397828,2433138.0,47337324.0
2008-05-15,481941,487457,464496,481959,913931,2485210.0,47337324.0
2008-05-16,487449,509478,484697,499402,1095323,2575150.0,47337324.0
2008-05-19,504904,520491,501214,518683,1044470,2674559.0,47337324.0
2008-05-20,523237,529673,514067,524199,649898,2702961.0,47337324.0
2008-05-21,515001,520506,491128,503993,539810,2598819.0,47337324.0
2008-05-22,488378,495721,476432,491143,930848,2532547.0,47337324.0
