해태제과식품(101530),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-05-11,18950,24600,18000,24600,8773781,472560.0,19209740.0
2016-05-12,29550,31950,29500,31950,1757878,613751.0,19209740.0
2016-05-13,41500,41500,40950,41500,1221061,797204.0,19209740.0
2016-05-16,49750,53900,45000,53800,7695596,1033484.0,19209740.0
2016-05-17,51500,68000,48000,60000,7132160,1152584.0,19209740.0
2016-05-18,62200,66500,47500,49200,4500353,945119.0,19209740.0
2016-05-19,48500,53900,45350,49150,3943235,944159.0,19209740.0
2016-05-20,51400,52300,45650,46150,1429677,886530.0,19209740.0
2016-05-23,44900,46650,41850,42200,1633242,810651.0,19209740.0
2016-05-24,41300,44250,40000,41300,2335225,793362.0,19209740.0
2016-05-25,42100,44400,40550,40850,1787722,784718.0,19209740.0
2016-05-26,40550,41550,36700,37150,1544618,713642.0,19209740.0
2016-05-27,37150,39550,36600,37250,1706692,715563.0,19209740.0
2016-05-30,37650,39100,34950,35450,1238989,680985.0,19209740.0
2016-05-31,36500,37050,34750,36250,776912,696353.0,19209740.0
2016-06-01,36150,37800,35600,37550,957616,721326.0,19209740.0
2016-06-02,37000,37500,36100,36100,622630,693472.0,19209740.0
2016-06-03,36250,36400,34400,34800,642991,668499.0,19209740.0
2016-06-07,34800,35650,34450,34700,344031,666578.0,19209740.0
2016-06-08,35000,36900,34700,36550,935347,702116.0,19209740.0
2016-06-09,36650,37250,35600,35950,466024,690590.0,19209740.0
2016-06-10,36050,36900,35450,35700,304142,685788.0,19209740.0
2016-06-13,34100,34400,32350,32450,1086001,623356.0,19209740.0
2016-06-14,32100,32800,30600,31200,562914,599344.0,19209740.0
2016-06-15,31100,32300,30600,31200,539781,599344.0,19209740.0
2016-06-16,31200,32100,29600,29700,490641,570529.0,19209740.0
2016-06-17,30100,30200,28050,28250,575737,542675.0,19209740.0
2016-06-20,28050,29150,27800,28400,467690,826918.0,29116822.0
2016-06-21,29500,33300,29450,30200,2934148,879328.0,29116822.0
