한세실업(105630),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-03-20,2994,3441,2994,3002,3650995,120000.0,30000000.0
2009-03-23,2961,3276,2942,3115,1126294,124500.0,30000000.0
2009-03-24,3205,3227,2889,3115,592211,124500.0,30000000.0
2009-03-25,3152,3580,3092,3580,1841544,143100.0,30000000.0
2009-03-26,3760,3895,3313,3532,2465100,141150.0,30000000.0
2009-03-27,3640,3704,3426,3603,757965,144000.0,30000000.0
2009-03-30,3602,3723,3464,3498,447871,139800.0,30000000.0
2009-03-31,3572,3925,3527,3678,1217058,147000.0,30000000.0
2009-04-01,3715,3745,3539,3547,339266,141750.0,30000000.0
2009-04-02,3625,3625,3437,3494,424770,139650.0,30000000.0
2009-04-03,3494,3524,3340,3378,235073,135000.0,30000000.0
2009-04-06,3377,3516,3347,3430,169342,137100.0,30000000.0
2009-04-07,3419,3674,3321,3640,346635,145500.0,30000000.0
2009-04-08,3602,3734,3550,3625,284486,144900.0,30000000.0
2009-04-09,3647,3940,3595,3753,892370,150000.0,30000000.0
2009-04-10,3775,3843,3625,3671,301272,146700.0,30000000.0
2009-04-13,3700,3798,3554,3622,277658,144750.0,30000000.0
2009-04-14,3629,3629,3400,3532,244067,141150.0,30000000.0
2009-04-15,3482,3828,3460,3828,603215,153000.0,30000000.0
2009-04-16,4068,4398,3948,4241,1982090,169500.0,30000000.0
2009-04-17,4353,4391,3925,4226,1009664,168900.0,30000000.0
2009-04-20,4286,4586,4135,4346,952832,173700.0,30000000.0
2009-04-21,4278,4691,4150,4579,1106127,183000.0,30000000.0
2009-04-22,4676,4773,4541,4616,532281,184500.0,30000000.0
2009-04-23,4691,4863,4518,4519,556029,180600.0,30000000.0
2009-04-24,4526,4563,4338,4541,399228,181500.0,30000000.0
2009-04-27,4698,4698,4436,4436,242709,177300.0,30000000.0
2009-04-28,4428,4571,4128,4173,307422,166800.0,30000000.0
2009-04-29,4278,4496,4158,4496,365363,179700.0,30000000.0
2009-04-30,4578,4653,4436,4534,292473,181200.0,30000000.0
2009-05-04,4518,4593,4451,4496,137774,179700.0,30000000.0
2009-05-06,4556,4578,4323,4361,213270,174300.0,30000000.0
2009-05-07,4353,4398,4195,4361,394871,174300.0,30000000.0
2009-05-08,4286,4503,4278,4391,296364,175500.0,30000000.0
2009-05-11,4391,4391,4195,4211,262656,168300.0,30000000.0
2009-05-12,4180,4278,4135,4203,85777,168000.0,30000000.0
2009-05-13,4218,4263,4098,4248,162793,169800.0,30000000.0
2009-05-14,4180,4203,4038,4046,166577,161700.0,30000000.0
2009-05-15,4128,4481,3828,4429,537946,177000.0,30000000.0
2009-05-18,4496,4571,4376,4436,421035,177300.0,30000000.0
2009-05-19,4578,5096,4503,5097,1082520,203700.0,30000000.0
2009-05-20,5209,5404,4946,5254,904176,210000.0,30000000.0
2009-05-21,5381,5622,5036,5329,945803,213000.0,30000000.0
2009-05-22,5344,5464,5089,5329,685569,213000.0,30000000.0
2009-05-25,5329,5592,4736,5592,703769,223500.0,30000000.0
2009-05-26,5742,5757,5164,5359,474418,214200.0,30000000.0
2009-05-27,5502,5502,5186,5374,296830,214800.0,30000000.0
2009-05-28,5329,5554,5119,5555,235653,222000.0,30000000.0
2009-05-29,5667,6004,5554,5885,744971,235200.0,30000000.0
2009-06-01,5877,6004,5772,5967,269601,238500.0,30000000.0
2009-06-02,6117,6117,5802,5967,312875,238500.0,30000000.0
2009-06-03,5929,5997,5719,5817,277187,232500.0,30000000.0
2009-06-04,5704,5742,5299,5397,431735,215700.0,30000000.0
2009-06-05,5449,5494,5171,5494,232037,219600.0,30000000.0
2009-06-08,5456,5599,5366,5600,129921,223800.0,30000000.0
2009-06-09,5532,5592,5411,5555,199735,222000.0,30000000.0
2009-06-10,5607,5667,5344,5442,279501,217500.0,30000000.0
2009-06-11,5449,5464,5111,5239,235910,209400.0,30000000.0
2009-06-12,5284,5284,5119,5142,85010,205500.0,30000000.0
2009-06-15,5111,5141,4886,4886,151096,195300.0,30000000.0
2009-06-16,4818,5029,4533,4947,315832,197700.0,30000000.0
2009-06-17,4878,5021,4811,4954,115880,198000.0,30000000.0
2009-06-18,4954,5036,4811,4924,91030,196800.0,30000000.0
2009-06-19,4954,4984,4691,4691,82461,187500.0,30000000.0
2009-06-22,4653,4781,4541,4609,169545,184200.0,30000000.0
2009-06-23,4481,4646,4428,4496,162915,179700.0,30000000.0
2009-06-24,4541,4788,4518,4729,184113,189000.0,30000000.0
2009-06-25,4728,4916,4668,4766,175719,190500.0,30000000.0
2009-06-26,4781,4916,4751,4871,207669,194700.0,30000000.0
2009-06-29,4901,4916,4728,4841,151532,193500.0,30000000.0
2009-06-30,4848,4984,4803,4804,232990,192000.0,30000000.0
2009-07-01,4788,4984,4766,4894,169769,195600.0,30000000.0
2009-07-02,4976,4999,4796,4796,89833,191700.0,30000000.0
2009-07-03,4653,4758,4653,4729,71743,189000.0,30000000.0
2009-07-06,4721,4788,4646,4684,76513,187200.0,30000000.0
2009-07-07,4683,4976,4653,4954,102649,198000.0,30000000.0
2009-07-08,4924,4991,4743,4759,140738,190200.0,30000000.0
2009-07-09,4781,4863,4721,4864,75441,194400.0,30000000.0
2009-07-10,4878,5119,4803,5119,144187,204600.0,30000000.0
2009-07-13,5186,5224,4743,4796,184011,191700.0,30000000.0
2009-07-14,4878,4916,4578,4586,141277,183300.0,30000000.0
2009-07-15,4563,4818,4563,4766,131449,190500.0,30000000.0
2009-07-16,4773,4856,4713,4804,53820,192000.0,30000000.0
2009-07-17,4803,4894,4751,4879,66777,195000.0,30000000.0
2009-07-20,4954,5141,4841,4932,508710,197100.0,30000000.0
2009-07-21,4984,5066,4931,4992,182416,199500.0,30000000.0
2009-07-22,5029,5044,4878,4977,78840,198900.0,30000000.0
2009-07-23,5014,5014,4878,4962,70448,198300.0,30000000.0
2009-07-24,4976,5134,4939,5119,132935,204600.0,30000000.0
2009-07-27,5149,5194,5051,5119,134943,204600.0,30000000.0
2009-07-28,5141,5156,5014,5127,70581,204900.0,30000000.0
2009-07-29,5119,5164,5006,5149,935295,205800.0,30000000.0
2009-07-30,5254,5366,5164,5164,683839,206400.0,30000000.0
2009-07-31,5254,5276,4999,5044,205986,201600.0,30000000.0
2009-08-03,5044,5141,4841,4894,196141,195600.0,30000000.0
2009-08-04,4969,4969,4796,4879,151051,195000.0,30000000.0
2009-08-05,4878,5096,4766,4954,389541,198000.0,30000000.0
2009-08-06,4954,4984,4781,4811,154258,192300.0,30000000.0
2009-08-07,4811,4811,4278,4714,133204,188400.0,30000000.0
2009-08-10,4728,4758,4653,4691,116780,187500.0,30000000.0
2009-08-11,4736,4894,4698,4856,145910,194100.0,30000000.0
2009-08-12,4811,4878,4736,4856,78590,194100.0,30000000.0
2009-08-13,4856,5126,4788,5022,552079,200700.0,30000000.0
2009-08-14,5089,5096,4969,5052,266434,201900.0,30000000.0
2009-08-17,5051,5119,4909,4977,259390,198900.0,30000000.0
2009-08-18,4939,5104,4886,5029,143301,201000.0,30000000.0
2009-08-19,5074,5074,4818,4819,115582,192600.0,30000000.0
2009-08-20,4818,4818,4578,4616,251259,184500.0,30000000.0
2009-08-21,4623,4728,4353,4556,309549,182100.0,30000000.0
2009-08-24,4578,4721,4518,4706,143452,188100.0,30000000.0
2009-08-25,4721,4728,4533,4534,81848,181200.0,30000000.0
2009-08-26,4863,4878,4653,4699,91511,187800.0,30000000.0
2009-08-27,4713,4841,4698,4706,102330,188100.0,30000000.0
2009-08-28,4706,4766,4578,4654,64651,186000.0,30000000.0
2009-08-31,4616,4653,4518,4526,91226,180900.0,30000000.0
2009-09-01,4481,4653,4481,4616,75350,184500.0,30000000.0
2009-09-02,4608,4758,4541,4699,144696,187800.0,30000000.0
2009-09-03,4668,4781,4668,4736,111888,189300.0,30000000.0
2009-09-04,4758,4773,4698,4714,70977,188400.0,30000000.0
2009-09-07,4788,4916,4721,4804,304995,192000.0,30000000.0
2009-09-08,4841,4939,4796,4841,260512,193500.0,30000000.0
2009-09-09,4871,4954,4803,4917,252386,196500.0,30000000.0
