한국화장품(123690),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-06-01,2990,3435,2890,3435,2469221,55194.0,16068000.0
2010-06-03,3885,3950,3810,3950,717084,63469.0,16068000.0
2010-06-04,4540,4540,4540,4540,53588,72949.0,16068000.0
2010-06-07,5220,5220,5220,5220,65237,83875.0,16068000.0
2010-06-08,6000,6000,6000,6000,387764,96408.0,16068000.0
2010-06-09,6900,6900,6350,6900,2304656,110869.0,16068000.0
2010-06-10,7500,7930,6320,6860,8110696,110226.0,16068000.0
2010-06-11,6140,6450,5840,5840,1867233,93837.0,16068000.0
2010-06-14,5300,5540,4970,5300,6089801,85160.0,16068000.0
2010-06-15,5710,6090,5500,6090,6110807,97854.0,16068000.0
2010-06-16,5430,5580,5180,5180,5396394,83232.0,16068000.0
2010-06-17,5030,5060,4585,4890,3273295,78573.0,16068000.0
2010-06-18,4990,4990,4590,4590,1919804,73752.0,16068000.0
2010-06-21,4590,4755,4480,4680,1859291,75198.0,16068000.0
2010-06-22,4600,4610,4220,4260,1579229,68450.0,16068000.0
2010-06-23,4260,4635,4160,4275,1153414,68691.0,16068000.0
2010-06-24,4275,4485,4140,4450,1086087,71503.0,16068000.0
2010-06-25,4360,4595,4175,4270,1204132,68610.0,16068000.0
2010-06-28,4470,4480,4180,4210,763497,67646.0,16068000.0
2010-06-29,4225,4285,4000,4000,904463,64272.0,16068000.0
2010-06-30,3900,3935,3795,3830,541690,61540.0,16068000.0
2010-07-01,3970,4400,3870,4400,2550495,70699.0,16068000.0
2010-07-02,4445,4450,4000,4000,1592980,64272.0,16068000.0
2010-07-05,4050,4105,3880,3880,583895,62344.0,16068000.0
2010-07-06,3890,3930,3750,3780,448945,60737.0,16068000.0
2010-07-07,3780,4150,3780,3860,946183,62022.0,16068000.0
2010-07-08,3900,3945,3815,3835,379177,61621.0,16068000.0
2010-07-09,3915,3975,3785,3865,503339,62103.0,16068000.0
2010-07-12,3920,4430,3900,4230,2764694,67968.0,16068000.0
2010-07-13,4290,4305,4110,4295,831936,69012.0,16068000.0
2010-07-14,4400,4400,4165,4170,781216,67004.0,16068000.0
2010-07-15,4190,4200,4000,4005,546050,64352.0,16068000.0
2010-07-16,3940,4200,3940,4075,553435,65477.0,16068000.0
2010-07-19,4020,4130,3985,4070,227783,65397.0,16068000.0
2010-07-20,4105,4285,4070,4200,876695,67486.0,16068000.0
2010-07-21,4250,4250,4100,4105,377636,65959.0,16068000.0
