한국자산신탁(123890),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-07-13,7466,7919,7134,7241,12274129,816000.0,85000000.0
2016-07-14,7429,7692,7375,7580,3397345,854250.0,85000000.0
2016-07-15,7655,7692,7413,7467,1303228,841500.0,85000000.0
2016-07-18,7496,7541,7202,7445,928447,838950.0,85000000.0
2016-07-19,7458,7692,7330,7656,655856,862750.0,85000000.0
2016-07-20,7541,7655,7466,7580,450242,854250.0,85000000.0
2016-07-21,7655,7655,7474,7475,433347,842350.0,85000000.0
2016-07-22,7474,7541,7413,7467,187109,841500.0,85000000.0
2016-07-25,7429,7503,7044,7128,1083671,803250.0,85000000.0
2016-07-26,7126,7126,6749,6781,1108286,764150.0,85000000.0
2016-07-27,6749,6870,6704,6841,573908,770950.0,85000000.0
2016-07-28,6787,7013,6735,6955,492840,783700.0,85000000.0
2016-07-29,6938,7074,6825,6848,375077,771800.0,85000000.0
2016-08-01,6848,6878,6372,6524,753632,735250.0,85000000.0
2016-08-02,6477,6870,6380,6818,464140,768400.0,85000000.0
2016-08-03,6794,6848,6560,6698,397133,754800.0,85000000.0
2016-08-04,6735,6991,6644,6955,491032,783700.0,85000000.0
2016-08-05,6952,7111,6945,7090,494622,799000.0,85000000.0
2016-08-08,7142,7142,6901,6969,266265,785400.0,85000000.0
2016-08-09,6968,6976,6704,6887,482283,776050.0,85000000.0
2016-08-10,6938,6938,6697,6728,412723,758200.0,85000000.0
2016-08-11,6727,6810,6674,6728,232800,758200.0,85000000.0
2016-08-12,6794,6893,6742,6796,407251,765850.0,85000000.0
2016-08-16,6832,6915,6689,6765,270720,762450.0,85000000.0
2016-08-17,6772,6794,6682,6721,134234,757350.0,85000000.0
2016-08-18,6711,6719,6485,6555,288448,738650.0,85000000.0
2016-08-19,6591,6591,6394,6449,297470,726750.0,85000000.0
2016-08-22,6448,6704,6267,6638,354579,748000.0,85000000.0
2016-08-23,6636,6787,6560,6789,221710,765000.0,85000000.0
2016-08-24,6840,6938,6787,6796,199352,765850.0,85000000.0
2016-08-25,6772,6794,6260,6765,187016,762450.0,85000000.0
2016-08-26,6689,6772,6628,6691,202401,753950.0,85000000.0
2016-08-29,6689,6697,6411,6562,258856,739500.0,85000000.0
2016-08-30,6560,6560,6335,6374,393937,718250.0,85000000.0
2016-08-31,6364,6411,6184,6260,249418,705500.0,85000000.0
2016-09-01,6260,6260,5980,6064,612662,683400.0,85000000.0
2016-09-02,6063,6086,5995,6064,159494,683400.0,85000000.0
2016-09-05,6078,6086,6003,6034,217859,680000.0,85000000.0
2016-09-06,6056,6056,5957,5967,165555,672350.0,85000000.0
