대성산업(128820),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-07-30,171437,177874,145905,145910,142695,258248.0,3797761.0
2010-08-02,137108,139041,124020,125526,124264,222169.0,3797761.0
2010-08-03,124662,135610,123378,125739,51098,222549.0,3797761.0
2010-08-04,126159,129380,121442,121879,23465,215713.0,3797761.0
2010-08-05,123376,140109,122304,137113,119159,242677.0,3797761.0
2010-08-06,137108,137752,127021,128959,68958,228245.0,3797761.0
2010-08-09,130669,132813,127019,129818,23267,229765.0,3797761.0
2010-08-10,139256,149122,137318,143766,330612,254450.0,3797761.0
2010-08-11,144190,145907,133459,134752,95443,238499.0,3797761.0
2010-08-12,131532,136682,115651,118017,119913,208877.0,3797761.0
2010-08-13,118012,122733,118012,121450,30816,214953.0,3797761.0
2010-08-16,119515,121227,118227,118876,20116,210396.0,3797761.0
2010-08-17,117800,121445,117368,118017,20620,208877.0,3797761.0
2010-08-18,119515,120587,118010,118443,15931,209636.0,3797761.0
2010-08-19,118443,119299,115866,116083,28380,205459.0,3797761.0
2010-08-20,115222,117154,112217,113938,18595,201661.0,3797761.0
2010-08-23,113936,115436,113720,113725,15996,201281.0,3797761.0
2010-08-24,113721,115005,102990,108361,25661,191787.0,3797761.0
2010-08-25,106638,107926,105241,105570,16844,186850.0,3797761.0
2010-08-26,105568,113507,105568,107718,27059,190648.0,3797761.0
2010-08-27,107711,109216,105567,106216,8152,187989.0,3797761.0
2010-08-30,107711,107711,105783,106000,9025,187609.0,3797761.0
2010-08-31,105995,107067,104814,104819,13937,185521.0,3797761.0
2010-09-01,105032,117368,104924,114368,42576,202421.0,3797761.0
2010-09-02,113505,115005,111144,111577,17305,197484.0,3797761.0
2010-09-03,110074,116940,109429,112007,20518,198243.0,3797761.0
2010-09-06,111143,113504,110287,110292,10737,195205.0,3797761.0
2010-09-07,111575,113936,110287,111364,11040,197104.0,3797761.0
2010-09-08,112215,112431,108566,109220,9364,193306.0,3797761.0
2010-09-09,110500,110500,106855,107072,15488,189508.0,3797761.0
2010-09-10,108994,108994,105241,106643,12911,188749.0,3797761.0
2010-09-13,106641,108357,105032,105033,17857,185900.0,3797761.0
2010-09-14,105351,106959,104598,105675,9671,187040.0,3797761.0
2010-09-15,106207,109000,105139,106108,11700,187799.0,3797761.0
2010-09-16,105561,106313,104597,105570,8745,186850.0,3797761.0
2010-09-17,105140,106532,105140,105357,5737,186470.0,3797761.0
2010-09-20,105565,107705,105345,106426,13067,188369.0,3797761.0
2010-09-24,106857,109218,105460,107285,11969,189888.0,3797761.0
2010-09-27,107928,109000,106959,107180,13187,189698.0,3797761.0
2010-09-28,107283,107283,105783,105784,12181,187230.0,3797761.0
2010-09-29,106639,111789,106639,111794,24528,197863.0,3797761.0
2010-09-30,112859,112859,110071,111148,9946,196724.0,3797761.0
2010-10-01,111790,112002,109218,109862,11903,194445.0,3797761.0
2010-10-04,109857,110290,108357,109646,9981,194066.0,3797761.0
2010-10-05,109646,109646,108357,109646,6383,194066.0,3797761.0
2010-10-06,109644,111144,109216,109433,8607,193686.0,3797761.0
