한전산업(130660),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-12-16,5490,5600,4950,5060,12776449,164956.0,32600000.0
2010-12-17,5090,5230,4970,4975,2359645,162185.0,32600000.0
2010-12-20,4880,4975,4750,4950,1477441,161370.0,32600000.0
2010-12-21,5090,5690,5060,5690,10276515,185494.0,32600000.0
2010-12-22,6140,6540,5960,6540,5899409,213204.0,32600000.0
2010-12-23,7260,7520,7110,7520,9356585,245152.0,32600000.0
2010-12-24,7840,8640,7830,8640,6118450,281664.0,32600000.0
2010-12-27,9930,9930,9820,9930,544514,323718.0,32600000.0
2010-12-28,11400,11400,10350,11400,5299957,371640.0,32600000.0
2010-12-29,11300,12050,10500,11450,7696773,373270.0,32600000.0
2010-12-30,11350,13150,10650,13150,5794260,428690.0,32600000.0
2011-01-03,14700,15100,12700,15100,8031766,492260.0,32600000.0
2011-01-04,14550,17150,14100,15550,5984687,506930.0,32600000.0
2011-01-05,14950,16750,13900,14900,5145000,485740.0,32600000.0
2011-01-06,15650,15700,12700,12700,4547703,414020.0,32600000.0
2011-01-07,12350,14600,11900,14600,6243625,475960.0,32600000.0
2011-01-10,15500,16750,14600,16400,7781502,534640.0,32600000.0
2011-01-11,16400,17350,15300,16750,7082305,546050.0,32600000.0
2011-01-12,16600,17300,15900,16450,3180610,536270.0,32600000.0
2011-01-13,16100,17250,15800,16400,2378189,534640.0,32600000.0
2011-01-14,16300,16400,14100,15100,3140660,492260.0,32600000.0
2011-01-17,14750,15050,13500,14000,3209539,456400.0,32600000.0
2011-01-18,13850,15550,13400,15050,4249477,490630.0,32600000.0
2011-01-19,15200,15450,14400,14750,1840126,480850.0,32600000.0
2011-01-20,14750,15200,14450,14650,973280,477590.0,32600000.0
2011-01-21,14850,15000,13600,13650,1485169,444990.0,32600000.0
2011-01-24,13850,13850,12750,12800,1730052,417280.0,32600000.0
2011-01-25,14000,14700,13750,14700,1466531,479220.0,32600000.0
2011-01-26,15500,16700,12700,13350,6113236,435210.0,32600000.0
2011-01-27,13850,15150,13450,14500,3063189,472700.0,32600000.0
2011-01-28,14200,14850,13850,13950,2056781,454770.0,32600000.0
2011-01-31,13500,13800,13200,13200,908143,430320.0,32600000.0
2011-02-01,13550,14550,13250,13450,1201126,438470.0,32600000.0
2011-02-07,13650,14600,13500,13750,1372227,448250.0,32600000.0
2011-02-08,13950,14000,13250,13400,694036,436840.0,32600000.0
2011-02-09,13400,13500,12850,13000,632699,423800.0,32600000.0
2011-02-10,12900,13200,12050,12500,845729,407500.0,32600000.0
2011-02-11,12400,13500,12000,12700,1346760,414020.0,32600000.0
